"Date","CUUR0300SA0L1E"
1977-12-01,62.1
1978-01-01,NA
1978-02-01,62.7
1978-03-01,NA
1978-04-01,63.6
1978-05-01,NA
1978-06-01,64.8
1978-07-01,NA
1978-08-01,65.8
1978-09-01,NA
1978-10-01,67
1978-11-01,NA
1978-12-01,68
1979-01-01,NA
1979-02-01,68.7
1979-03-01,NA
1979-04-01,69.9
1979-05-01,NA
1979-06-01,71.3
1979-07-01,NA
1979-08-01,72.5
1979-09-01,NA
1979-10-01,73.9
1979-11-01,NA
1979-12-01,75.3
1980-01-01,NA
1980-02-01,77
1980-03-01,NA
1980-04-01,79.1
1980-05-01,NA
1980-06-01,80.8
1980-07-01,NA
1980-08-01,80.8
1980-09-01,NA
1980-10-01,82.6
1980-11-01,NA
1980-12-01,84.3
1981-01-01,NA
1981-02-01,85.7
1981-03-01,NA
1981-04-01,86.8
1981-05-01,NA
1981-06-01,88.6
1981-07-01,NA
1981-08-01,90.3
1981-09-01,NA
1981-10-01,91.9
1981-11-01,NA
1981-12-01,93.6
1982-01-01,NA
1982-02-01,94.3
1982-03-01,NA
1982-04-01,94.4
1982-05-01,NA
1982-06-01,96.3
1982-07-01,NA
1982-08-01,96.9
1982-09-01,NA
1982-10-01,97.6
1982-11-01,NA
1982-12-01,97.5
1983-01-01,NA
1983-02-01,98.2
1983-03-01,NA
1983-04-01,98.6
1983-05-01,NA
1983-06-01,99.2
1983-07-01,NA
1983-08-01,100.1
1983-09-01,NA
1983-10-01,101.3
1983-11-01,NA
1983-12-01,101.9
1984-01-01,NA
1984-02-01,102.5
1984-03-01,NA
1984-04-01,103.5
1984-05-01,NA
1984-06-01,104
1984-07-01,NA
1984-08-01,104.7
1984-09-01,NA
1984-10-01,105.9
1984-11-01,NA
1984-12-01,106.6
1985-01-01,NA
1985-02-01,107.1
1985-03-01,NA
1985-04-01,107.6
1985-05-01,NA
1985-06-01,108.3
1985-07-01,NA
1985-08-01,108.8
1985-09-01,NA
1985-10-01,110.1
1985-11-01,NA
1985-12-01,110.4
1986-01-01,NA
1986-02-01,111
1986-03-01,NA
1986-04-01,111.8
1986-05-01,NA
1986-06-01,112.3
1986-07-01,NA
1986-08-01,112.5
1986-09-01,NA
1986-10-01,113.8
1986-11-01,NA
1986-12-01,114.3
1987-01-01,114.4
1987-02-01,114.7
1987-03-01,115.2
1987-04-01,115.7
1987-05-01,116
1987-06-01,116.1
1987-07-01,116.3
1987-08-01,116.6
1987-09-01,117.3
1987-10-01,117.9
1987-11-01,118.4
1987-12-01,118.3
1988-01-01,118.5
1988-02-01,118.8
1988-03-01,119.4
1988-04-01,120.1
1988-05-01,120.2
1988-06-01,120.5
1988-07-01,120.8
1988-08-01,120.9
1988-09-01,121.8
1988-10-01,122.6
1988-11-01,122.9
