"Date","CUUR0400SEHA"
1977-12-01,61.9
1978-01-01,NA
1978-02-01,62.4
1978-03-01,NA
1978-04-01,63.5
1978-05-01,NA
1978-06-01,64.2
1978-07-01,NA
1978-08-01,65.3
1978-09-01,NA
1978-10-01,66.6
1978-11-01,NA
1978-12-01,66.9
1979-01-01,NA
1979-02-01,68
1979-03-01,NA
1979-04-01,68.4
1979-05-01,NA
1979-06-01,69.7
1979-07-01,NA
1979-08-01,71.5
1979-09-01,NA
1979-10-01,74.4
1979-11-01,NA
1979-12-01,74.9
1980-01-01,NA
1980-02-01,75.6
1980-03-01,NA
1980-04-01,75.6
1980-05-01,NA
1980-06-01,78
1980-07-01,NA
1980-08-01,78.6
1980-09-01,NA
1980-10-01,81.7
1980-11-01,NA
1980-12-01,82.4
1981-01-01,NA
1981-02-01,83
1981-03-01,NA
1981-04-01,84.2
1981-05-01,NA
1981-06-01,85.9
1981-07-01,NA
1981-08-01,87.2
1981-09-01,NA
1981-10-01,89.6
1981-11-01,NA
1981-12-01,90.1
1982-01-01,NA
1982-02-01,91.4
1982-03-01,NA
1982-04-01,92.2
1982-05-01,NA
1982-06-01,92.9
1982-07-01,NA
1982-08-01,94.7
1982-09-01,NA
1982-10-01,96.7
1982-11-01,NA
1982-12-01,96.6
1983-01-01,NA
1983-02-01,97.8
1983-03-01,NA
1983-04-01,98.2
1983-05-01,NA
1983-06-01,98.9
1983-07-01,NA
1983-08-01,100.5
1983-09-01,NA
1983-10-01,101.9
1983-11-01,NA
1983-12-01,102.5
1984-01-01,NA
1984-02-01,103.2
1984-03-01,NA
1984-04-01,104.8
1984-05-01,NA
1984-06-01,106.3
1984-07-01,NA
1984-08-01,107.6
1984-09-01,NA
1984-10-01,109.1
1984-11-01,NA
1984-12-01,109.9
1985-01-01,NA
1985-02-01,111.3
1985-03-01,NA
1985-04-01,112.1
1985-05-01,NA
1985-06-01,114.3
1985-07-01,NA
1985-08-01,115.9
1985-09-01,NA
1985-10-01,117.8
1985-11-01,NA
1985-12-01,118.6
1986-01-01,NA
1986-02-01,118.8
1986-03-01,NA
1986-04-01,120.1
1986-05-01,NA
1986-06-01,121.1
1986-07-01,NA
1986-08-01,122.1
1986-09-01,NA
1986-10-01,123.7
1986-11-01,NA
1986-12-01,123.7
1987-01-01,124.2
1987-02-01,124.9
1987-03-01,125
1987-04-01,125.5
1987-05-01,125.1
1987-06-01,125.4
1987-07-01,125.5
1987-08-01,126.3
1987-09-01,127.2
1987-10-01,127.5
1987-11-01,127.9
1987-12-01,128.4
1988-01-01,128.7
1988-02-01,128.9
1988-03-01,129.3
1988-04-01,129.5
1988-05-01,129.5
1988-06-01,129.9
