"Date","CUUR0000SASL2RS"
1982-12-01,100
1983-01-01,100.7
1983-02-01,101
1983-03-01,101.3
1983-04-01,101.6
1983-05-01,102.2
1983-06-01,102.7
1983-07-01,103.1
1983-08-01,103.5
1983-09-01,104.2
1983-10-01,104.5
1983-11-01,104.7
1983-12-01,104.8
1984-01-01,105.7
1984-02-01,106.3
1984-03-01,106.5
1984-04-01,106.8
1984-05-01,107.5
1984-06-01,108.3
1984-07-01,109
1984-08-01,109.7
1984-09-01,110.5
1984-10-01,110.6
1984-11-01,110.5
1984-12-01,110.6
1985-01-01,111.1
1985-02-01,111.3
1985-03-01,111.9
1985-04-01,112.2
1985-05-01,112.8
1985-06-01,113.7
1985-07-01,114.2
1985-08-01,114.5
1985-09-01,115
1985-10-01,115.1
1985-11-01,115.2
1985-12-01,115.4
1986-01-01,116.2
1986-02-01,116.8
1986-03-01,117.1
1986-04-01,117.4
1986-05-01,117.8
1986-06-01,119.2
1986-07-01,119.5
1986-08-01,119.8
1986-09-01,120.2
1986-10-01,120.1
1986-11-01,120
1986-12-01,120.2
1987-01-01,120.8
1987-02-01,121.1
1987-03-01,121.3
1987-04-01,121.6
1987-05-01,122.1
1987-06-01,123.2
1987-07-01,123.7
1987-08-01,124.2
1987-09-01,124.9
1987-10-01,124.6
1987-11-01,124.6
1987-12-01,124.6
1988-01-01,125.3
1988-02-01,125.8
1988-03-01,126
1988-04-01,126.5
1988-05-01,127.1
1988-06-01,128.4
1988-07-01,128.9
1988-08-01,129.4
1988-09-01,130.3
1988-10-01,130.5
1988-11-01,130.6
1988-12-01,131.1
1989-01-01,132.1
1989-02-01,132.7
1989-03-01,133
1989-04-01,133.4
1989-05-01,134
1989-06-01,135.2
1989-07-01,135.8
1989-08-01,136.3
1989-09-01,137
1989-10-01,137
1989-11-01,137.2
1989-12-01,137.8
1990-01-01,138.9
1990-02-01,139.8
1990-03-01,140.3
1990-04-01,140.6
1990-05-01,141.2
1990-06-01,142.5
1990-07-01,143
1990-08-01,143.8
1990-09-01,145
1990-10-01,145.4
1990-11-01,146
1990-12-01,146.4
1991-01-01,148
1991-02-01,148.9
1991-03-01,149
1991-04-01,148.8
1991-05-01,149.4
1991-06-01,150.4
1991-07-01,151.3
1991-08-01,151.9
1991-09-01,153.1
1991-10-01,153.1
1991-11-01,153.3
1991-12-01,153.9
1992-01-01,154.6
1992-02-01,155.1
1992-03-01,155.5
1992-04-01,156
1992-05-01,156.3
1992-06-01,157.1
1992-07-01,157.8
1992-08-01,158.3
1992-09-01,159.2
1992-10-01,159.7
1992-11-01,160.3
1992-12-01,160.7
1993-01-01,161.6
1993-02-01,162
1993-03-01,162.5
1993-04-01,162.8
1993-05-01,163.6
1993-06-01,164.7
1993-07-01,165.4
1993-08-01,166
1993-09-01,167
1993-10-01,167.1
1993-11-01,167.4
1993-12-01,167.8
1994-01-01,168.2
1994-02-01,168.9
1994-03-01,169.3
1994-04-01,169.4
1994-05-01,169.5
1994-06-01,170.5
1994-07-01,171
1994-08-01,171.7
1994-09-01,172.2
1994-10-01,172.2
1994-11-01,172.4
1994-12-01,172.7
1995-01-01,174
1995-02-01,174.7
1995-03-01,175.1
1995-04-01,175.5
1995-05-01,175.8
1995-06-01,176.9
1995-07-01,177.3
1995-08-01,177.9
1995-09-01,178.3
1995-10-01,178.6
1995-11-01,178.6
1995-12-01,178.5
1996-01-01,179.2
1996-02-01,180.2
1996-03-01,180.4
1996-04-01,180.6
1996-05-01,181.4
1996-06-01,182.4
1996-07-01,183.1
1996-08-01,183.7
1996-09-01,184.6
1996-10-01,184.6
1996-11-01,184.8
1996-12-01,185.2
1997-01-01,185.9
1997-02-01,186.4
1997-03-01,186.7
1997-04-01,186.8
1997-05-01,186.9
1997-06-01,188.1
1997-07-01,188.8
1997-08-01,188.7
1997-09-01,189.5
1997-10-01,189.8
1997-11-01,189.8
1997-12-01,189.5
1998-01-01,189.9
1998-02-01,190.1
1998-03-01,190.6
1998-04-01,190.8
1998-05-01,191.1
1998-06-01,192.1
1998-07-01,192.6
1998-08-01,192.7
1998-09-01,193
1998-10-01,192.6
1998-11-01,192.7
1998-12-01,192.8
1999-01-01,193.3
1999-02-01,193.8
1999-03-01,194.2
1999-04-01,194.5
1999-05-01,194.7
1999-06-01,195.6
1999-07-01,196.5
1999-08-01,196.9
1999-09-01,197.3
1999-10-01,197.4
1999-11-01,197.9
1999-12-01,198
2000-01-01,198.6
2000-02-01,199.2
2000-03-01,199.9
2000-04-01,200.2
2000-05-01,200.9
2000-06-01,202.9
2000-07-01,204.2
2000-08-01,205
2000-09-01,205.7
2000-10-01,205.8
2000-11-01,205.9
2000-12-01,206.9
2001-01-01,210
2001-02-01,210.5
2001-03-01,210.6
2001-04-01,210.6
2001-05-01,211.4
2001-06-01,213.3
2001-07-01,213.7
2001-08-01,214
2001-09-01,213.9
2001-10-01,213
2001-11-01,213.3
2001-12-01,213.2
2002-01-01,213.9
2002-02-01,214.3
2002-03-01,214.8
2002-04-01,215.1
2002-05-01,216
2002-06-01,217.5
2002-07-01,218.6
2002-08-01,219.5
2002-09-01,220
2002-10-01,219.9
2002-11-01,220.2
2002-12-01,220.5
2003-01-01,221.6
2003-02-01,222.8
2003-03-01,224.4
2003-04-01,224.6
2003-05-01,225.5
2003-06-01,227.2
2003-07-01,228
2003-08-01,228.4
2003-09-01,229.2
2003-10-01,228.7
2003-11-01,228.2
2003-12-01,228.4
2004-01-01,229.7
2004-02-01,230.6
2004-03-01,230.7
2004-04-01,231.1
2004-05-01,231.7
2004-06-01,234.2
2004-07-01,235
2004-08-01,235.6
2004-09-01,235.9
2004-10-01,235.1
2004-11-01,236.4
2004-12-01,236.5
2005-01-01,237.4
2005-02-01,238
2005-03-01,238.5
2005-04-01,239.8
2005-05-01,240.7
2005-06-01,242.4
2005-07-01,243.6
2005-08-01,244.5
2005-09-01,246.8
2005-10-01,248.2
2005-11-01,249.5
2005-12-01,248.8
2006-01-01,251.2
2006-02-01,251
2006-03-01,250.9
2006-04-01,251
2006-05-01,251.8
2006-06-01,253.9
2006-07-01,254.6
2006-08-01,255.4
2006-09-01,256.2
2006-10-01,254.4
2006-11-01,254.6
2006-12-01,254.9
2007-01-01,256.164
2007-02-01,257.147
2007-03-01,257.864
2007-04-01,258.261
2007-05-01,259.262
2007-06-01,261.677
2007-07-01,262.284
2007-08-01,262.588
2007-09-01,263.243
2007-10-01,263.109
2007-11-01,263.599
2007-12-01,263.966
2008-01-01,265.311
2008-02-01,266.154
2008-03-01,267.567
2008-04-01,269.007
2008-05-01,271.467
2008-06-01,275.2
2008-07-01,277.982
2008-08-01,278.606
2008-09-01,277.615
2008-10-01,276.297
2008-11-01,275.425
2008-12-01,275.37
2009-01-01,276.227
