"Date","APUS24B74716"
1981-09-01,1.434
1981-10-01,1.435
1981-11-01,1.434
1981-12-01,1.435
1982-01-01,NA
1982-02-01,NA
1982-03-01,NA
1982-04-01,NA
1982-05-01,NA
1982-06-01,NA
1982-07-01,NA
1982-08-01,NA
1982-09-01,NA
1982-10-01,NA
1982-11-01,NA
1982-12-01,NA
1983-01-01,NA
1983-02-01,NA
1983-03-01,NA
1983-04-01,NA
1983-05-01,NA
1983-06-01,NA
1983-07-01,NA
1983-08-01,NA
1983-09-01,NA
1983-10-01,NA
1983-11-01,NA
1983-12-01,NA
1984-01-01,NA
1984-02-01,NA
1984-03-01,NA
1984-04-01,NA
1984-05-01,NA
1984-06-01,NA
1984-07-01,NA
1984-08-01,NA
1984-09-01,NA
1984-10-01,NA
1984-11-01,NA
1984-12-01,NA
1985-01-01,1.225
1985-02-01,1.21
1985-03-01,1.225
1985-04-01,1.283
1985-05-01,1.299
1985-06-01,1.305
1985-07-01,1.309
1985-08-01,1.373
1985-09-01,1.358
1985-10-01,1.338
1985-11-01,1.367
1985-12-01,1.366
1986-01-01,1.341
1986-02-01,1.229
1986-03-01,1.132
1986-04-01,1.037
1986-05-01,1.084
1986-06-01,1.124
1986-07-01,1.053
1986-08-01,0.992
1986-09-01,1.01
1986-10-01,0.991
1986-11-01,0.993
1986-12-01,0.999
1987-01-01,1.003
1987-02-01,1.031
1987-03-01,1.03
1987-04-01,1.038
1987-05-01,1.047
1987-06-01,1.099
1987-07-01,1.118
1987-08-01,1.133
1987-09-01,1.132
1987-10-01,1.134
1987-11-01,1.135
1987-12-01,1.122
1988-01-01,1.116
1988-02-01,1.113
1988-03-01,1.106
1988-04-01,1.107
1988-05-01,1.129
1988-06-01,1.118
1988-07-01,1.13
1988-08-01,1.141
1988-09-01,1.135
1988-10-01,1.119
1988-11-01,1.107
1988-12-01,1.093
1989-01-01,1.1
1989-02-01,1.113
1989-03-01,1.108
1989-04-01,1.206
1989-05-01,1.289
1989-06-01,1.283
1989-07-01,1.266
1989-08-01,1.235
1989-09-01,1.19
1989-10-01,1.199
1989-11-01,1.185
1989-12-01,1.172
1990-01-01,1.252
1990-02-01,1.24
1990-03-01,1.212
1990-04-01,1.246
1990-05-01,1.254
1990-06-01,1.283
1990-07-01,1.268
1990-08-01,1.328
1990-09-01,1.469
1990-10-01,1.479
1990-11-01,1.47
1990-12-01,1.418
1991-01-01,1.337
1991-02-01,1.25
1991-03-01,1.175
1991-04-01,1.215
1991-05-01,1.261
1991-06-01,1.238
1991-07-01,1.189
1991-08-01,1.252
1991-09-01,1.241
1991-10-01,1.204
1991-11-01,1.222
1991-12-01,1.218
1992-01-01,1.141
1992-02-01,1.113
1992-03-01,1.117
1992-04-01,1.178
1992-05-01,1.24
1992-06-01,1.279
1992-07-01,1.266
1992-08-01,1.224
1992-09-01,1.231
1992-10-01,1.25
1992-11-01,1.228
1992-12-01,1.186
1993-01-01,1.161
1993-02-01,1.187
1993-03-01,1.18
1993-04-01,1.212
1993-05-01,1.236
1993-06-01,1.252
1993-07-01,1.208
1993-08-01,1.184
1993-09-01,1.175
1993-10-01,1.209
1993-11-01,1.198
1993-12-01,1.127
1994-01-01,1.086
1994-02-01,1.142
1994-03-01,1.138
1994-04-01,1.162
1994-05-01,1.165
1994-06-01,1.227
1994-07-01,1.271
1994-08-01,1.339
1994-09-01,1.299
1994-10-01,1.223
1994-11-01,1.222
1994-12-01,1.176
1995-01-01,1.135
1995-02-01,1.155
1995-03-01,1.155
1995-04-01,1.211
1995-05-01,1.284
1995-06-01,1.299
1995-07-01,1.255
1995-08-01,1.209
1995-09-01,1.242
1995-10-01,1.174
1995-11-01,1.133
1995-12-01,1.166
1996-01-01,1.255
1996-02-01,1.243
