"Date","CUUR0000SEHD"
1997-12-01,100
1998-01-01,100.3
1998-02-01,100.2
1998-03-01,100.3
1998-04-01,100.4
1998-05-01,99.6
1998-06-01,99.1
1998-07-01,99.3
1998-08-01,99.2
1998-09-01,99.2
1998-10-01,99.7
1998-11-01,99.9
1998-12-01,99.9
1999-01-01,99.7
1999-02-01,100.1
1999-03-01,100.2
1999-04-01,100.3
1999-05-01,100.5
1999-06-01,102.2
1999-07-01,102.1
1999-08-01,102.2
1999-09-01,102.3
1999-10-01,102.2
1999-11-01,102.1
1999-12-01,102.2
2000-01-01,102.4
2000-02-01,102.4
2000-03-01,102.6
2000-04-01,103.1
2000-05-01,103.8
2000-06-01,103.9
2000-07-01,104.2
2000-08-01,104
2000-09-01,104.2
2000-10-01,104.2
2000-11-01,104.5
2000-12-01,104.7
2001-01-01,105
2001-02-01,105.1
2001-03-01,105.4
2001-04-01,105.5
2001-05-01,106.8
2001-06-01,107
2001-07-01,106.6
2001-08-01,106.6
2001-09-01,106.7
2001-10-01,106.9
2001-11-01,106.9
2001-12-01,106.3
2002-01-01,106.4
2002-02-01,106.8
2002-03-01,106.8
2002-04-01,107.2
2002-05-01,107.6
2002-06-01,107.8
2002-07-01,108.6
2002-08-01,109.6
2002-09-01,110
2002-10-01,110
2002-11-01,111.4
2002-12-01,112.3
2003-01-01,113.9
2003-02-01,114.1
2003-03-01,114
2003-04-01,114.2
2003-05-01,114.3
2003-06-01,115.2
2003-07-01,115.6
2003-08-01,115.8
2003-09-01,115.9
2003-10-01,116
2003-11-01,114.3
2003-12-01,114.3
2004-01-01,114.8
2004-02-01,115
2004-03-01,115.1
2004-04-01,115.7
2004-05-01,116.1
2004-06-01,116.2
2004-07-01,116.1
2004-08-01,116.3
2004-09-01,116.6
2004-10-01,116.3
2004-11-01,117.7
2004-12-01,118.7
2005-01-01,118.5
2005-02-01,118.7
2005-03-01,119
2005-04-01,118.2
2005-05-01,118
2005-06-01,118
2005-07-01,118.1
2005-08-01,117.8
2005-09-01,116.6
2005-10-01,115.8
2005-11-01,115.9
2005-12-01,116.1
2006-01-01,115.9
2006-02-01,116.2
2006-03-01,116.2
2006-04-01,116.2
2006-05-01,116.3
2006-06-01,116.4
2006-07-01,116.4
2006-08-01,116.2
2006-09-01,116.4
2006-10-01,116.2
2006-11-01,118.3
2006-12-01,117.1
2007-01-01,117.417
2007-02-01,117.32
2007-03-01,117.333
2007-04-01,117.559
2007-05-01,116.386
2007-06-01,117.106
2007-07-01,116.577
2007-08-01,116.926
2007-09-01,116.783
2007-10-01,116.64
2007-11-01,116.997
2007-12-01,117.003
2008-01-01,117.435
2008-02-01,117.622
2008-03-01,117.701
2008-04-01,118.422
2008-05-01,118.411
2008-06-01,119.092
2008-07-01,118.764
2008-08-01,118.562
2008-09-01,119.944
2008-10-01,119.916
2008-11-01,120.232
2008-12-01,120.019
2009-01-01,120.402
2009-02-01,120.683
2009-03-01,120.737
2009-04-01,120.675
2009-05-01,120.728
2009-06-01,121.083
2009-07-01,121.298
2009-08-01,121.83
2009-09-01,122.17
2009-10-01,122.184
2009-11-01,122.243
2009-12-01,123.812
2010-01-01,124.36
2010-02-01,124.439
2010-03-01,124.416
2010-04-01,124.879
2010-05-01,125.036
2010-06-01,125.289
2010-07-01,125.865
2010-08-01,126.463
2010-09-01,126.627
2010-10-01,127.111
2010-11-01,127.501
2010-12-01,126.194
2011-01-01,126.192
2011-02-01,126.529
2011-03-01,125.863
2011-04-01,126.574
2011-05-01,126.78
2011-06-01,127.155
2011-07-01,127.278
2011-08-01,127.581
2011-09-01,127.922
2011-10-01,128.416
2011-11-01,128.777
2011-12-01,129.48
2012-01-01,129.929
2012-02-01,129.158
2012-03-01,129.978
2012-04-01,130.881
2012-05-01,131.132
2012-06-01,131.225
2012-07-01,131.562
2012-08-01,131.748
2012-09-01,131.512
2012-10-01,131.81
2012-11-01,132.468
2012-12-01,133.852
2013-01-01,133.946
2013-02-01,135.459
2013-03-01,135.436
2013-04-01,134.017
2013-05-01,134.51
2013-06-01,134.893
2013-07-01,135.754
2013-08-01,135.147
2013-09-01,135.492
2013-10-01,135.936
2013-11-01,136.545
2013-12-01,137.331
2014-01-01,138.189
2014-02-01,138.781
2014-03-01,140.23
2014-04-01,140.095
2014-05-01,141.784
2014-06-01,141.558
2014-07-01,142.752
2014-08-01,143.239
2014-09-01,143.648
2014-10-01,143.503
2014-11-01,143.657
2014-12-01,144.97
2015-01-01,145.942
2015-02-01,145.942
2015-03-01,145.79
2015-04-01,146.341
2015-05-01,146.364
2015-06-01,145.976
2015-07-01,146.348
2015-08-01,146.333
2015-09-01,146.523
2015-10-01,146.57
2015-11-01,147.024
2015-12-01,147.76
2016-01-01,147.943
2016-02-01,148.254
2016-03-01,147.946
2016-04-01,147.526
2016-05-01,147.708
2016-06-01,147.652
2016-07-01,147.758
2016-08-01,147.728
2016-09-01,147.56
2016-10-01,147.432
2016-11-01,147.658
2016-12-01,147.793
2017-01-01,147.758
2017-02-01,147.798
2017-03-01,148.078
2017-04-01,149.125
2017-05-01,149.164
2017-06-01,149.307
2017-07-01,149.444
2017-08-01,149.386
2017-09-01,149.328
2017-10-01,148.87
2017-11-01,148.629
2017-12-01,148.699
2018-01-01,149.073
2018-02-01,149.258
2018-03-01,149.288
2018-04-01,149.393
2018-05-01,150.604
2018-06-01,150.901
2018-07-01,151.771
2018-08-01,151.975
2018-09-01,151.825
2018-10-01,151.51
2018-11-01,151.699
2018-12-01,151.508
2019-01-01,151.641
2019-02-01,151.737
2019-03-01,151.471
2019-04-01,151.423
2019-05-01,151.569
2019-06-01,152.159
2019-07-01,152.186
2019-08-01,151.777
2019-09-01,151.787
2019-10-01,151.906
2019-11-01,151.842
2019-12-01,151.654
2020-01-01,151.251
2020-02-01,151.731
2020-03-01,150.753
2020-04-01,151.161
2020-05-01,150.428
2020-06-01,150.444
2020-07-01,150.869
2020-08-01,150.818
2020-09-01,150.839
2020-10-01,151.186
2020-11-01,151.634
2020-12-01,151.786
2021-01-01,152.493
2021-02-01,150.665
2021-03-01,150.46
2021-04-01,150.559
2021-05-01,150.423
2021-06-01,150.608
2021-07-01,150.71
2021-08-01,150.428
2021-09-01,150.92
2021-10-01,150.535
2021-11-01,150.113
2021-12-01,150.408
2022-01-01,149.942
