"Date","CUURA207SA0L2"
1975-12-01,59
1976-01-01,NA
1976-02-01,NA
1976-03-01,59.3
1976-04-01,NA
1976-05-01,NA
1976-06-01,60.5
1976-07-01,NA
1976-08-01,NA
1976-09-01,61.4
1976-10-01,NA
1976-11-01,NA
1976-12-01,61.9
1977-01-01,NA
1977-02-01,NA
1977-03-01,63.2
1977-04-01,NA
1977-05-01,NA
1977-06-01,64.3
1977-07-01,NA
1977-08-01,NA
1977-09-01,65.2
1977-10-01,NA
1977-11-01,NA
1977-12-01,65.7
1978-01-01,66.2
1978-02-01,66.5
1978-03-01,67
1978-04-01,67.6
1978-05-01,68.2
1978-06-01,68.6
1978-07-01,68.9
1978-08-01,69.1
1978-09-01,69.6
1978-10-01,69.9
1978-11-01,70.4
1978-12-01,70.8
1979-01-01,71.4
1979-02-01,72.3
1979-03-01,73.3
1979-04-01,73.7
1979-05-01,74.7
1979-06-01,75.6
1979-07-01,76.5
1979-08-01,76.8
1979-09-01,77.7
1979-10-01,77.9
1979-11-01,78.7
1979-12-01,79.6
1980-01-01,80.6
1980-02-01,82.1
1980-03-01,83.3
1980-04-01,84
1980-05-01,84.4
1980-06-01,85.1
1980-07-01,85.5
1980-08-01,86.1
1980-09-01,87
1980-10-01,87.1
1980-11-01,87.7
1980-12-01,88.3
1981-01-01,89.3
1981-02-01,90.3
1981-03-01,91
1981-04-01,91.4
1981-05-01,91.6
1981-06-01,92.5
1981-07-01,93.5
1981-08-01,94.3
1981-09-01,94.9
1981-10-01,94.7
1981-11-01,95.1
1981-12-01,95.1
1982-01-01,95.2
1982-02-01,95.3
1982-03-01,95
1982-04-01,95.6
1982-05-01,96.4
1982-06-01,98.1
1982-07-01,98.2
1982-08-01,98
1982-09-01,98.3
1982-10-01,98
1982-11-01,97.8
1982-12-01,98.1
1983-01-01,98.5
1983-02-01,98.2
1983-03-01,98.2
1983-04-01,98.7
1983-05-01,99.1
1983-06-01,99.9
1983-07-01,100.2
1983-08-01,100.9
1983-09-01,101.3
1983-10-01,101
1983-11-01,101.5
1983-12-01,101.2
1984-01-01,101.8
1984-02-01,101.7
1984-03-01,101.9
1984-04-01,102.2
1984-05-01,102.1
1984-06-01,103
1984-07-01,103.4
1984-08-01,104.3
1984-09-01,104.7
1984-10-01,104.3
1984-11-01,104.1
1984-12-01,103.9
1985-01-01,104
1985-02-01,104.8
1985-03-01,105.1
1985-04-01,105.4
1985-05-01,105.5
1985-06-01,107.3
1985-07-01,107.4
1985-08-01,107.4
1985-09-01,107.7
1985-10-01,106.1
1985-11-01,106.9
1985-12-01,107.3
1986-01-01,107.4
1986-02-01,107.4
1986-03-01,106.3
1986-04-01,105.7
1986-05-01,105.8
1986-06-01,108.6
1986-07-01,108.6
1986-08-01,108.8
1986-09-01,109.6
1986-10-01,107.2
1986-11-01,108
1986-12-01,108.1
1987-01-01,109.2
1987-02-01,109.1
1987-03-01,109.7
1987-04-01,110.3
1987-05-01,110.5
1987-06-01,113.4
1987-07-01,113.7
1987-08-01,114.4
1987-09-01,114.8
1987-10-01,112.1
1987-11-01,112.3
1987-12-01,112.1
1988-01-01,111.4
1988-02-01,112.8
1988-03-01,113.3
1988-04-01,113.7
1988-05-01,113.3
1988-06-01,115.7
1988-07-01,116.4
1988-08-01,116.5
1988-09-01,118.6
1988-10-01,117.5
1988-11-01,117.2
1988-12-01,118.1
1989-01-01,117.9
1989-02-01,118.7
1989-03-01,119.3
1989-04-01,119.7
1989-05-01,120
1989-06-01,122.1
1989-07-01,122.9
1989-08-01,122.9
1989-09-01,123.5
1989-10-01,122.8
1989-11-01,122.9
1989-12-01,122.6
1990-01-01,124.6
1990-02-01,125.6
1990-03-01,125.6
1990-04-01,126.3
1990-05-01,126.7
1990-06-01,128.2
1990-07-01,127.6
1990-08-01,128.8
1990-09-01,129.9
1990-10-01,128.8
1990-11-01,129.9
1990-12-01,130.2
1991-01-01,130.8
1991-02-01,131.6
1991-03-01,132.1
1991-04-01,132.2
1991-05-01,132.4
1991-06-01,133
1991-07-01,132.6
1991-08-01,132.9
1991-09-01,133.9
1991-10-01,133.3
1991-11-01,133.5
1991-12-01,133.9
1992-01-01,134.2
1992-02-01,134.4
1992-03-01,135.1
1992-04-01,135.2
1992-05-01,136.1
1992-06-01,136.5
1992-07-01,136.6
1992-08-01,137
1992-09-01,137.9
1992-10-01,137.4
1992-11-01,137.9
1992-12-01,138.4
1993-01-01,138.8
1993-02-01,139.2
1993-03-01,140
1993-04-01,140.5
1993-05-01,141.6
1993-06-01,141.5
1993-07-01,141.2
1993-08-01,142
1993-09-01,142.5
1993-10-01,142.5
1993-11-01,141.3
1993-12-01,140.8
1994-01-01,141.4
1994-02-01,141.8
1994-03-01,142.6
1994-04-01,142.8
1994-05-01,142.2
1994-06-01,142.4
1994-07-01,142.8
1994-08-01,144.5
1994-09-01,144.8
1994-10-01,144.1
1994-11-01,144.9
1994-12-01,144.6
1995-01-01,146
1995-02-01,146.3
1995-03-01,146.5
1995-04-01,146.8
1995-05-01,146.5
1995-06-01,146.9
1995-07-01,146.8
1995-08-01,146.8
1995-09-01,147.1
1995-10-01,147.4
1995-11-01,146.8
1995-12-01,146.4
1996-01-01,147.5
1996-02-01,148.1
1996-03-01,149.5
1996-04-01,149.4
1996-05-01,150
1996-06-01,150.6
1996-07-01,150.5
1996-08-01,150.9
1996-09-01,151.3
1996-10-01,151.8
1996-11-01,152.5
1996-12-01,152.9
1997-01-01,153.6
1997-02-01,154.2
1997-03-01,154
1997-04-01,153.6
1997-05-01,153.4
1997-06-01,153.8
1997-07-01,153.3
1997-08-01,154.1
1997-09-01,153.4
1997-10-01,153.7
1997-11-01,154.2
1997-12-01,154.1
1998-01-01,153.8
1998-02-01,153.9
1998-03-01,154.9
1998-04-01,155.8
1998-05-01,156.6
1998-06-01,156.5
1998-07-01,157.2
1998-08-01,155.5
1998-09-01,155.3
1998-10-01,155.7
1998-11-01,155.5
1998-12-01,154.9
1999-01-01,155.9
1999-02-01,156
1999-03-01,156.6
1999-04-01,156.8
1999-05-01,157.4
1999-06-01,157.8
1999-07-01,158.2
1999-08-01,158.2
1999-09-01,158.7
1999-10-01,158.8
1999-11-01,158.4
1999-12-01,158.1
2000-01-01,158.9
2000-02-01,160.2
2000-03-01,160.8
2000-04-01,160.6
2000-05-01,162
2000-06-01,164.9
2000-07-01,162.4
2000-08-01,161.4
2000-09-01,162.9
2000-10-01,163.6
2000-11-01,164.6
2000-12-01,164.3
2001-01-01,167.2
2001-02-01,167.5
2001-03-01,165.2
2001-04-01,166.7
2001-05-01,168.2
2001-06-01,167.1
2001-07-01,164.3
2001-08-01,164.6
2001-09-01,166.5
2001-10-01,164
2001-11-01,162.7
2001-12-01,163
2002-01-01,162.6
2002-02-01,163
2002-03-01,164.3
2002-04-01,165.1
2002-05-01,165.2
2002-06-01,165.9
2002-07-01,165.3
2002-08-01,165.9
2002-09-01,166.1
2002-10-01,166.6
2002-11-01,167.1
2002-12-01,165.7
2003-01-01,166.2
2003-02-01,167.9
2003-03-01,169.1
2003-04-01,166.9
2003-05-01,166.9
2003-06-01,167.6
2003-07-01,166.9
2003-08-01,167.4
2003-09-01,169.2
2003-10-01,168.5
2003-11-01,168.7
2003-12-01,168.5
2004-01-01,169
2004-02-01,170.1
2004-03-01,169.8
2004-04-01,170.5
2004-05-01,172.6
2004-06-01,172.5
2004-07-01,172.4
2004-08-01,173.4
2004-09-01,173.3
2004-10-01,174
2004-11-01,174.7
2004-12-01,173.2
2005-01-01,173.6
2005-02-01,174.5
2005-03-01,175.2
2005-04-01,177.3
2005-05-01,176.9
2005-06-01,177
2005-07-01,177.3
2005-08-01,179
2005-09-01,183
2005-10-01,182.9
2005-11-01,181.7
2005-12-01,180.1
2006-01-01,181.6
2006-02-01,180.8
2006-03-01,181.3
2006-04-01,181.2
2006-05-01,181.9
2006-06-01,182
2006-07-01,182.3
2006-08-01,183.4
2006-09-01,182.5
2006-10-01,178.7
2006-11-01,179.6
2006-12-01,179.9
2007-01-01,181.3
2007-02-01,182.621
2007-03-01,184.807
2007-04-01,186.564
2007-05-01,188.767
2007-06-01,188.768
2007-07-01,187.527
2007-08-01,186.948
2007-09-01,188.218
2007-10-01,188.451
2007-11-01,190.241
2007-12-01,189.342
2008-01-01,190.898
2008-02-01,192.027
2008-03-01,194.161
2008-04-01,196.07
2008-05-01,199.053
2008-06-01,199.867
2008-07-01,202.559
2008-08-01,200.924
2008-09-01,200.466
2008-10-01,197.892
2008-11-01,192.513
2008-12-01,188.301
2009-01-01,190.163
2009-02-01,189.967
2009-03-01,190.276
2009-04-01,190.666
2009-05-01,192.986
2009-06-01,193.907
2009-07-01,193.506
2009-08-01,194.004
2009-09-01,194.338
2009-10-01,194.532
2009-11-01,195.63
2009-12-01,194.583
2010-01-01,195.703
2010-02-01,196.185
2010-03-01,196.943
2010-04-01,196.989
2010-05-01,197.191
2010-06-01,196.215
2010-07-01,196.797
2010-08-01,196.958
2010-09-01,197.698
2010-10-01,197.629
2010-11-01,197.064
2010-12-01,197.97
2011-01-01,199.475
2011-02-01,200.496
2011-03-01,202.803
2011-04-01,203.97
2011-05-01,205.572
2011-06-01,205.602
2011-07-01,203.967
2011-08-01,204.502
2011-09-01,205.013
2011-10-01,203.956
2011-11-01,203.237
2011-12-01,201.803
2012-01-01,203.528
2012-02-01,203.546
2012-03-01,206.888
2012-04-01,207.231
2012-05-01,206.786
2012-06-01,206.186
2012-07-01,205.505
2012-08-01,207.345
2012-09-01,208.482
2012-10-01,207.691
2012-11-01,206.408
2012-12-01,205.695
2013-01-01,205.869
2013-02-01,208.742
2013-03-01,208.181
2013-04-01,208.077
2013-05-01,209.534
2013-06-01,209.454
2013-07-01,208.265
2013-08-01,208.362
2013-09-01,208.027
2013-10-01,206.934
2013-11-01,205.487
2013-12-01,204.689
2014-01-01,207.243
2014-02-01,208.951
2014-03-01,212.439
2014-04-01,213.647
2014-05-01,213.034
2014-06-01,213.749
2014-07-01,212.372
2014-08-01,212.208
2014-09-01,211.929
2014-10-01,210.672
2014-11-01,208.15
