"Date","SUUR0000SAH3"
1999-12-01,100
2000-01-01,100.4
2000-02-01,100.5
2000-03-01,100.9
2000-04-01,100.8
2000-05-01,100.5
2000-06-01,100.7
2000-07-01,101.1
2000-08-01,100.6
2000-09-01,100.9
2000-10-01,100.5
2000-11-01,100.3
2000-12-01,99.7
2001-01-01,100
2001-02-01,99.8
2001-03-01,99.7
2001-04-01,99.8
2001-05-01,99.5
2001-06-01,99.7
2001-07-01,99.6
2001-08-01,99.6
2001-09-01,99.7
2001-10-01,99.5
2001-11-01,99.6
2001-12-01,99.3
2002-01-01,99.1
2002-02-01,99
2002-03-01,99.1
2002-04-01,99.3
2002-05-01,99.3
2002-06-01,99.1
2002-07-01,99
2002-08-01,98.6
2002-09-01,98.5
2002-10-01,98.3
2002-11-01,97.9
2002-12-01,97.5
2003-01-01,97.6
2003-02-01,97.7
2003-03-01,97.2
2003-04-01,97.3
2003-05-01,97
2003-06-01,96.9
2003-07-01,96.8
2003-08-01,96.4
2003-09-01,96.1
2003-10-01,96.1
2003-11-01,96
2003-12-01,95.9
2004-01-01,96.4
2004-02-01,96.5
2004-03-01,96.4
2004-04-01,96.5
2004-05-01,96.4
2004-06-01,96.4
2004-07-01,96
2004-08-01,95.7
2004-09-01,96
2004-10-01,96.7
2004-11-01,96.5
2004-12-01,96.3
2005-01-01,96.7
2005-02-01,96.6
2005-03-01,96.5
2005-04-01,96.7
2005-05-01,96.8
2005-06-01,96.5
2005-07-01,96.4
2005-08-01,96.2
2005-09-01,96
2005-10-01,96.2
2005-11-01,96.5
2005-12-01,96.3
2006-01-01,96.3
2006-02-01,96.4
2006-03-01,96.4
2006-04-01,96.5
2006-05-01,96.7
2006-06-01,96.7
2006-07-01,96.6
2006-08-01,96.6
2006-09-01,96.6
2006-10-01,96.7
2006-11-01,96.5
2006-12-01,96.1
2007-01-01,96.249
2007-02-01,96.497
2007-03-01,96.495
2007-04-01,96.362
2007-05-01,96.214
2007-06-01,95.728
2007-07-01,95.423
2007-08-01,95.202
2007-09-01,94.935
2007-10-01,94.893
2007-11-01,94.633
2007-12-01,94.348
2008-01-01,94.641
2008-02-01,94.89
2008-03-01,95.314
2008-04-01,95.287
2008-05-01,95.635
2008-06-01,95.466
2008-07-01,95.625
2008-08-01,95.755
2008-09-01,96.157
2008-10-01,96.096
2008-11-01,95.855
2008-12-01,95.958
2009-01-01,96.11
2009-02-01,96.423
2009-03-01,96.753
2009-04-01,96.607
2009-05-01,96.546
2009-06-01,96.364
2009-07-01,96.082
2009-08-01,95.543
2009-09-01,95.521
2009-10-01,95.227
2009-11-01,94.822
2009-12-01,94.667
2010-01-01,94.666
2010-02-01,94.463
2010-03-01,94.22
2010-04-01,93.824
2010-05-01,93.805
2010-06-01,93.413
2010-07-01,93.299
2010-08-01,93.023
2010-09-01,92.622
2010-10-01,92.613
2010-11-01,92.265
2010-12-01,92.022
2011-01-01,92.277
2011-02-01,92.499
2011-03-01,92.662
2011-04-01,92.705
2011-05-01,92.77
2011-06-01,92.621
2011-07-01,92.671
2011-08-01,92.66
2011-09-01,92.705
2011-10-01,92.901
2011-11-01,92.698
2011-12-01,92.571
2012-01-01,92.973
2012-02-01,93.176
2012-03-01,93.281
2012-04-01,93.433
2012-05-01,93.27
2012-06-01,93.399
