"Date","CUUR0000SEEA"
1967-01-01,33.3
1967-02-01,33.3
1967-03-01,33.3
1967-04-01,33.3
1967-05-01,33.3
1967-06-01,33.3
1967-07-01,33.3
1967-08-01,33.3
1967-09-01,33.4
1967-10-01,34.8
1967-11-01,34.8
1967-12-01,34.8
1968-01-01,34.9
1968-02-01,34.9
1968-03-01,34.9
1968-04-01,34.9
1968-05-01,34.9
1968-06-01,34.9
1968-07-01,34.9
1968-08-01,34.9
1968-09-01,34.9
1968-10-01,37.1
1968-11-01,37.1
1968-12-01,37.1
1969-01-01,37.1
1969-02-01,37.1
1969-03-01,37.1
1969-04-01,37.1
1969-05-01,37.1
1969-06-01,37.1
1969-07-01,37.1
1969-08-01,37.1
1969-09-01,37.1
1969-10-01,38.3
1969-11-01,38.3
1969-12-01,38.3
1970-01-01,38.3
1970-02-01,38.3
1970-03-01,38.3
1970-04-01,38.3
1970-05-01,38.3
1970-06-01,38.3
1970-07-01,38.3
1970-08-01,38.3
1970-09-01,38.3
1970-10-01,38.3
1970-11-01,41.2
1970-12-01,41.2
1971-01-01,41.2
1971-02-01,41.2
1971-03-01,41.2
1971-04-01,41.2
1971-05-01,41.2
1971-06-01,41.2
1971-07-01,41.2
1971-08-01,41.2
1971-09-01,41.2
1971-10-01,41.3
1971-11-01,41.3
1971-12-01,43.8
1972-01-01,43.8
1972-02-01,43.8
1972-03-01,43.8
1972-04-01,43.8
1972-05-01,43.8
1972-06-01,43.8
1972-07-01,43.8
1972-08-01,43.8
1972-09-01,43.8
1972-10-01,45.2
1972-11-01,45.2
1972-12-01,45.2
1973-01-01,45.2
1973-02-01,45.2
1973-03-01,45.2
1973-04-01,45.2
1973-05-01,45.3
1973-06-01,45.3
1973-07-01,45.3
1973-08-01,45.3
1973-09-01,45.3
1973-10-01,46.5
1973-11-01,46.5
1973-12-01,46.5
1974-01-01,46.5
1974-02-01,46.5
1974-03-01,46.5
1974-04-01,46.5
1974-05-01,46.5
1974-06-01,46.5
1974-07-01,46.5
1974-08-01,46.5
1974-09-01,46.5
1974-10-01,49.4
1974-11-01,49.4
1974-12-01,49.4
1975-01-01,49.4
1975-02-01,49.4
1975-03-01,49.4
1975-04-01,49.4
1975-05-01,49.4
1975-06-01,49.4
1975-07-01,49.4
1975-08-01,49.4
1975-09-01,49.4
1975-10-01,52.9
1975-11-01,52.9
1975-12-01,52.9
1976-01-01,52.9
1976-02-01,52.9
1976-03-01,52.9
1976-04-01,52.9
1976-05-01,52.9
1976-06-01,52.9
1976-07-01,52.9
1976-08-01,52.9
1976-09-01,52.9
1976-10-01,55.9
1976-11-01,55.9
1976-12-01,55.9
1977-01-01,55.9
1977-02-01,55.9
1977-03-01,55.9
1977-04-01,55.9
1977-05-01,55.9
1977-06-01,55.9
1977-07-01,55.9
1977-08-01,55.9
1977-09-01,55.9
1977-10-01,59.9
1977-11-01,59.9
1977-12-01,59.9
1978-01-01,60.6
1978-02-01,60.7
1978-03-01,60.8
1978-04-01,60.8
1978-05-01,60.9
1978-06-01,60.9
1978-07-01,60.9
1978-08-01,61
1978-09-01,63.1
1978-10-01,63.3
1978-11-01,63.3
1978-12-01,63.2
1979-01-01,64.2
1979-02-01,64.4
1979-03-01,64.5
1979-04-01,64.5
1979-05-01,64.5
1979-06-01,64.5
1979-07-01,64.5
1979-08-01,64.9
1979-09-01,67.9
1979-10-01,68.1
1979-11-01,68.1
1979-12-01,68.2
1980-01-01,69.4
1980-02-01,69.6
1980-03-01,69.7
1980-04-01,69.8
1980-05-01,69.8
1980-06-01,69.8
1980-07-01,69.8
1980-08-01,70
1980-09-01,74.4
1980-10-01,74.8
1980-11-01,74.8
1980-12-01,74.8
1981-01-01,77
1981-02-01,77.4
1981-03-01,77.6
1981-04-01,77.7
1981-05-01,77.7
1981-06-01,77.8
1981-07-01,77.9
1981-08-01,78
1981-09-01,84.9
1981-10-01,85.7
1981-11-01,85.8
1981-12-01,85.7
1982-01-01,87.8
1982-02-01,88.6
1982-03-01,88.7
1982-04-01,88.9
1982-05-01,89
1982-06-01,89.1
1982-07-01,89.2
1982-08-01,89.4
1982-09-01,94.5
1982-10-01,95.3
1982-11-01,95.4
