"Date","CUURA421SAH"
1976-01-01,53.9
1976-02-01,53.2
1976-03-01,53.1
1976-04-01,52.9
1976-05-01,53.9
1976-06-01,53.8
1976-07-01,54.4
1976-08-01,54.7
1976-09-01,55.4
1976-10-01,55.7
1976-11-01,55.7
1976-12-01,56
1977-01-01,57.1
1977-02-01,57.5
1977-03-01,57.5
1977-04-01,57.8
1977-05-01,58
1977-06-01,58.1
1977-07-01,58.6
1977-08-01,58.5
1977-09-01,59.1
1977-10-01,58.8
1977-11-01,59.6
1977-12-01,60.5
1978-01-01,60.9
1978-02-01,61.2
1978-03-01,61.4
1978-04-01,62.2
1978-05-01,62.9
1978-06-01,63.5
1978-07-01,63.8
1978-08-01,64
1978-09-01,65.1
1978-10-01,65
1978-11-01,64.9
1978-12-01,63.7
1979-01-01,64.7
1979-02-01,65.6
1979-03-01,66.1
1979-04-01,67.4
1979-05-01,68.6
1979-06-01,69.4
1979-07-01,70.1
1979-08-01,71.3
1979-09-01,72.6
1979-10-01,73
1979-11-01,74.1
1979-12-01,75.9
1980-01-01,77.7
1980-02-01,79.6
1980-03-01,81.2
1980-04-01,82.7
1980-05-01,85.6
1980-06-01,86.2
1980-07-01,84.7
1980-08-01,83
1980-09-01,83.4
1980-10-01,85.2
1980-11-01,86.6
1980-12-01,88.4
1981-01-01,88.4
1981-02-01,88.6
1981-03-01,88.8
1981-04-01,89.6
1981-05-01,90.4
1981-06-01,90.3
1981-07-01,92.3
1981-08-01,93.4
1981-09-01,96.2
1981-10-01,97
1981-11-01,96.7
1981-12-01,96.7
1982-01-01,97.9
1982-02-01,97.5
1982-03-01,98.3
1982-04-01,98.4
1982-05-01,98.3
1982-06-01,99.4
1982-07-01,98.1
1982-08-01,98
1982-09-01,97.5
1982-10-01,97.8
1982-11-01,97
1982-12-01,95.3
1983-01-01,95.4
1983-02-01,96.6
1983-03-01,96.5
1983-04-01,97
1983-05-01,97.8
1983-06-01,98.4
1983-07-01,98.7
1983-08-01,99.1
1983-09-01,100.2
1983-10-01,100.4
1983-11-01,100
1983-12-01,99.9
1984-01-01,99.9
1984-02-01,101.2
1984-03-01,101.5
1984-04-01,102.2
1984-05-01,103.7
1984-06-01,104.3
1984-07-01,104.7
1984-08-01,105.8
1984-09-01,106.3
1984-10-01,106.1
1984-11-01,105.6
1984-12-01,105.3
1985-01-01,106.6
1985-02-01,107
1985-03-01,106.4
1985-04-01,106.6
1985-05-01,109.1
1985-06-01,108.4
1985-07-01,110.6
1985-08-01,112.7
1985-09-01,112.3
1985-10-01,113.5
1985-11-01,111.7
1985-12-01,111.6
1986-01-01,111.6
1986-02-01,112.6
1986-03-01,114.9
1986-04-01,114
1986-05-01,115.4
1986-06-01,115.9
1986-07-01,116.9
1986-08-01,117.2
1986-09-01,120
1986-10-01,120.4
1986-11-01,117.5
1986-12-01,116.8
1987-01-01,116.7
1987-02-01,118.3
1987-03-01,119.5
1987-04-01,120.4
1987-05-01,121.6
1987-06-01,120.7
1987-07-01,121.1
1987-08-01,122.2
1987-09-01,122.8
1987-10-01,123.6
1987-11-01,122.7
1987-12-01,122.9
1988-01-01,123
1988-02-01,124.5
1988-03-01,125.2
1988-04-01,125.4
1988-05-01,126.8
1988-06-01,126.6
1988-07-01,126.4
1988-08-01,127.1
1988-09-01,128.2
1988-10-01,128.7
1988-11-01,128.9
1988-12-01,128.9
1989-01-01,128.7
1989-02-01,129.2
1989-03-01,128.8
1989-04-01,128.6
1989-05-01,130.4
1989-06-01,131.7
1989-07-01,133
1989-08-01,133
1989-09-01,134.6
1989-10-01,134.5
1989-11-01,134
1989-12-01,134.3
1990-01-01,135.8
1990-02-01,136.7
1990-03-01,138.1
1990-04-01,137.1
1990-05-01,137.8
1990-06-01,138.5
1990-07-01,139.9
1990-08-01,140.8
1990-09-01,141.5
1990-10-01,142
1990-11-01,141.3
1990-12-01,141.5
1991-01-01,142.8
1991-02-01,143.4
1991-03-01,143.9
1991-04-01,144.7
1991-05-01,144.5
1991-06-01,144.4
1991-07-01,145.4
1991-08-01,145.6
1991-09-01,146
1991-10-01,145.9
1991-11-01,146.3
1991-12-01,146.1
1992-01-01,147
1992-02-01,147.7
1992-03-01,147.9
1992-04-01,147.9
1992-05-01,148.1
1992-06-01,148.8
1992-07-01,149
1992-08-01,149.3
1992-09-01,149.2
1992-10-01,149.5
1992-11-01,149.4
1992-12-01,148.9
1993-01-01,149.9
1993-02-01,150.8
1993-03-01,150
1993-04-01,150.4
1993-05-01,150.6
1993-06-01,150.6
1993-07-01,150.7
1993-08-01,150.7
1993-09-01,149.8
1993-10-01,150.2
1993-11-01,150.4
1993-12-01,151
1994-01-01,151.5
1994-02-01,151.9
1994-03-01,151.6
1994-04-01,150.8
1994-05-01,150.7
1994-06-01,150.6
1994-07-01,151.2
1994-08-01,151.4
1994-09-01,151.2
1994-10-01,151.2
1994-11-01,149.9
1994-12-01,150.4
1995-01-01,151.3
1995-02-01,152
1995-03-01,152
1995-04-01,151.6
1995-05-01,152.5
1995-06-01,153
1995-07-01,152.4
1995-08-01,152.5
1995-09-01,152.7
1995-10-01,152.7
1995-11-01,150.9
1995-12-01,152.4
1996-01-01,153.1
1996-02-01,153.4
1996-03-01,153.4
1996-04-01,153.6
1996-05-01,153.4
1996-06-01,152.2
1996-07-01,154.4
1996-08-01,154.6
1996-09-01,155.4
1996-10-01,155.6
1996-11-01,155.1
1996-12-01,154.9
1997-01-01,155.4
1997-02-01,155.6
1997-03-01,155.5
1997-04-01,155.2
1997-05-01,156.1
1997-06-01,156.4
1997-07-01,156.9
1997-08-01,156.7
1997-09-01,157.1
1997-10-01,157.9
1997-11-01,157.7
1997-12-01,158.8
1998-01-01,158.4
1998-02-01,158.7
1998-03-01,159.2
1998-04-01,159.4
1998-05-01,159.6
1998-06-01,159.6
1998-07-01,159.9
1998-08-01,160.7
1998-09-01,161.3
1998-10-01,161.2
1998-11-01,161.4
1998-12-01,161.8
1999-01-01,162.3
1999-02-01,162.6
1999-03-01,162.9
1999-04-01,163.4
1999-05-01,163.4
1999-06-01,164
1999-07-01,165
1999-08-01,165.2
1999-09-01,166.4
1999-10-01,166.3
1999-11-01,166.2
1999-12-01,166
2000-01-01,167.4
2000-02-01,168.5
2000-03-01,169.1
2000-04-01,169.1
2000-05-01,169.3
2000-06-01,170.1
2000-07-01,171.1
2000-08-01,171.9
2000-09-01,172.7
2000-10-01,173.2
2000-11-01,173.3
2000-12-01,173.6
2001-01-01,175.1
2001-02-01,175.4
2001-03-01,176.3
2001-04-01,176.7
2001-05-01,177.9
2001-06-01,181.1
2001-07-01,180.7
2001-08-01,182.1
2001-09-01,182
2001-10-01,181.6
2001-11-01,182.4
2001-12-01,182.5
2002-01-01,184.3
2002-02-01,185.4
2002-03-01,185.7
2002-04-01,187.3
2002-05-01,187.7
2002-06-01,187.5
2002-07-01,188.5
2002-08-01,189.5
2002-09-01,189.4
2002-10-01,190.6
2002-11-01,190.4
2002-12-01,190.3
2003-01-01,193.1
2003-02-01,193
2003-03-01,194.1
2003-04-01,193.1
2003-05-01,192.5
2003-06-01,192.4
2003-07-01,193
2003-08-01,191.8
2003-09-01,192.8
2003-10-01,194
2003-11-01,193.5
2003-12-01,194.5
2004-01-01,195.9
2004-02-01,197
2004-03-01,198
2004-04-01,198.3
2004-05-01,200
2004-06-01,200.4
2004-07-01,201
2004-08-01,201.7
2004-09-01,202.7
2004-10-01,204
2004-11-01,205.2
2004-12-01,205
2005-01-01,205.8
2005-02-01,207.6
2005-03-01,209.1
2005-04-01,210.8
2005-05-01,211.8
2005-06-01,211.5
2005-07-01,212.4
2005-08-01,213.7
2005-09-01,215.6
2005-10-01,217.9
2005-11-01,218.5
2005-12-01,217.5
2006-01-01,220.2
2006-02-01,221.9
2006-03-01,223.2
2006-04-01,224.4
2006-05-01,225.8
2006-06-01,223.4
2006-07-01,224.7
2006-08-01,225.7
2006-09-01,228.5
2006-10-01,228.3
2006-11-01,229.6
2006-12-01,229.9
2007-01-01,231.585
2007-02-01,234.575
2007-03-01,235.342
2007-04-01,236.463
2007-05-01,237.288
2007-06-01,237.531
2007-07-01,238.361
2007-08-01,238.221
2007-09-01,238.375
2007-10-01,238.093
2007-11-01,238.736
2007-12-01,238.758
2008-01-01,240.414
2008-02-01,241.449
2008-03-01,242.451
2008-04-01,242.426
2008-05-01,243.96
2008-06-01,244.503
2008-07-01,245.889
2008-08-01,245.507
2008-09-01,244.984
2008-10-01,245.724
2008-11-01,244.835
2008-12-01,244.727
2009-01-01,244.895
2009-02-01,244.507
2009-03-01,244.542
2009-04-01,244.56
2009-05-01,245.426
2009-06-01,245.006
2009-07-01,245.171
2009-08-01,244.541
2009-09-01,244.113
2009-10-01,244.281
2009-11-01,243.505
2009-12-01,242.411
2010-01-01,242.594
2010-02-01,242.913
2010-03-01,242.828
2010-04-01,242.591
2010-05-01,243.458
2010-06-01,243.07
2010-07-01,243.316
2010-08-01,243.738
2010-09-01,243.549
2010-10-01,244.133
2010-11-01,243.399
2010-12-01,243.431
2011-01-01,244.399
2011-02-01,244.419
2011-03-01,244.709
2011-04-01,245.174
2011-05-01,245.582
2011-06-01,244.79
2011-07-01,245.077
2011-08-01,245.238
2011-09-01,245.076
2011-10-01,245.737
2011-11-01,245.271
2011-12-01,245.641
2012-01-01,246.531
2012-02-01,246.787
2012-03-01,247.775
2012-04-01,248.082
2012-05-01,248.847
2012-06-01,249.122
2012-07-01,249.724
2012-08-01,250.065
2012-09-01,250.214
2012-10-01,251.637
2012-11-01,251.221
2012-12-01,251.474
2013-01-01,253.033
2013-02-01,253.419
2013-03-01,253.654
2013-04-01,253.146
2013-05-01,254.275
2013-06-01,254.439
2013-07-01,254.436
2013-08-01,255.019
2013-09-01,255.249
2013-10-01,256.581
2013-11-01,255.922
2013-12-01,256.659
2014-01-01,257.565
2014-02-01,258.14
2014-03-01,258.594
2014-04-01,256.138
2014-05-01,258.843
2014-06-01,259.602
2014-07-01,261.284
2014-08-01,261.111
2014-09-01,261.662
2014-10-01,262.764
2014-11-01,262.727
2014-12-01,263.089
2015-01-01,263.629
2015-02-01,264.55
2015-03-01,265.421
2015-04-01,265.396
2015-05-01,266.349
2015-06-01,266.76
2015-07-01,267.487
2015-08-01,268.128
2015-09-01,268.534
2015-10-01,269.317
2015-11-01,269.198
2015-12-01,270.386
2016-01-01,272.241
2016-02-01,273.047
2016-03-01,274.461
2016-04-01,274.434
2016-05-01,276.055
2016-06-01,276.626
2016-07-01,277.721
2016-08-01,278.827
2016-09-01,280.005
2016-10-01,281.615
2016-11-01,281.4
2016-12-01,282.416
2017-01-01,284.696
2017-02-01,285.754
2017-03-01,285.975
2017-04-01,286.168
2017-05-01,287.251
2017-06-01,286.879
2017-07-01,288.012
2017-08-01,289.452
2017-09-01,289.765
2017-10-01,292.39
2017-11-01,291.58
2017-12-01,292.603
