"Date","SUUR0000SAH2"
1999-12-01,100
2000-01-01,100.3
2000-02-01,102.4
2000-03-01,101.8
2000-04-01,101.8
2000-05-01,102.7
2000-06-01,107.7
2000-07-01,109.1
2000-08-01,108.9
2000-09-01,110.5
2000-10-01,109
2000-11-01,108.2
2000-12-01,110.1
2001-01-01,116.7
2001-02-01,115.7
2001-03-01,114.5
2001-04-01,113.6
2001-05-01,115.1
2001-06-01,119.4
2001-07-01,119.2
2001-08-01,117.9
2001-09-01,116.6
2001-10-01,111.9
2001-11-01,110.7
2001-12-01,109.9
2002-01-01,109.4
2002-02-01,107.9
2002-03-01,108
2002-04-01,108.3
2002-05-01,109.2
2002-06-01,113.3
2002-07-01,113.6
2002-08-01,113.6
2002-09-01,113.7
2002-10-01,111.1
2002-11-01,110.4
2002-12-01,110.9
2003-01-01,112.7
2003-02-01,114.8
2003-03-01,120.2
2003-04-01,118.8
2003-05-01,119.4
2003-06-01,124.2
2003-07-01,124.5
2003-08-01,124.5
2003-09-01,124.9
2003-10-01,120.8
2003-11-01,119.1
2003-12-01,119.7
2004-01-01,122.1
2004-02-01,122.5
2004-03-01,120.9
2004-04-01,121.2
2004-05-01,123.1
2004-06-01,129.4
2004-07-01,130.2
2004-08-01,131
2004-09-01,130.5
2004-10-01,126.9
2004-11-01,128.3
2004-12-01,128.4
2005-01-01,129.3
2005-02-01,128.8
2005-03-01,128.9
2005-04-01,131.2
2005-05-01,133.1
2005-06-01,138.2
2005-07-01,139.7
2005-08-01,140.8
2005-09-01,144.1
2005-10-01,144
2005-11-01,144.8
2005-12-01,143.2
2006-01-01,148.1
2006-02-01,144.4
2006-03-01,142.2
2006-04-01,141.1
2006-05-01,141.9
2006-06-01,146.7
2006-07-01,147.3
2006-08-01,147.7
2006-09-01,148
2006-10-01,141.2
2006-11-01,141.3
2006-12-01,142.8
2007-01-01,143.887
2007-02-01,144.163
2007-03-01,145.427
2007-04-01,145.406
2007-05-01,147.07
2007-06-01,152.925
2007-07-01,153.001
2007-08-01,152.056
2007-09-01,152
2007-10-01,149.098
2007-11-01,149.724
2007-12-01,150.342
2008-01-01,151.62
2008-02-01,152.591
2008-03-01,155.319
2008-04-01,158.477
2008-05-01,163.085
2008-06-01,171.402
2008-07-01,176.331
2008-08-01,175.182
2008-09-01,170.963
2008-10-01,165.89
2008-11-01,161.942
2008-12-01,161.108
2009-01-01,160.639
2009-02-01,158.717
2009-03-01,155.873
2009-04-01,152.681
2009-05-01,151.822
2009-06-01,156.198
2009-07-01,156.415
2009-08-01,156.031
2009-09-01,155.421
2009-10-01,152.973
2009-11-01,154.058
2009-12-01,153.898
2010-01-01,156.292
2010-02-01,155.816
2010-03-01,156.639
2010-04-01,155.817
2010-05-01,156.41
2010-06-01,160.235
2010-07-01,161.481
2010-08-01,161.426
2010-09-01,160.235
2010-10-01,156.801
2010-11-01,155.32
2010-12-01,156.644
2011-01-01,157.908
2011-02-01,159.158
2011-03-01,159.735
2011-04-01,160.029
2011-05-01,161.934
2011-06-01,166.046
2011-07-01,167.468
2011-08-01,167.34
2011-09-01,167.39
2011-10-01,163.107
2011-11-01,161.51
2011-12-01,161.11
2012-01-01,161.427
2012-02-01,160.322
2012-03-01,159.821
2012-04-01,159.306
2012-05-01,159.817
2012-06-01,164.309
2012-07-01,163.874
2012-08-01,164.39
2012-09-01,164.158
2012-10-01,160.872
2012-11-01,160.446
2012-12-01,160.954
2013-01-01,162.071
2013-02-01,162.685
2013-03-01,162.083
2013-04-01,163.061
2013-05-01,165.8
2013-06-01,170.281
2013-07-01,170.702
2013-08-01,169.967
2013-09-01,170.252
2013-10-01,166.383
2013-11-01,165.038
2013-12-01,165.697
2014-01-01,170.039
2014-02-01,171.967
2014-03-01,174.49
2014-04-01,171.069
2014-05-01,174.174
2014-06-01,179.133
2014-07-01,179.593
2014-08-01,178.685
2014-09-01,177.575
2014-10-01,173.056
2014-11-01,170.994
2014-12-01,172.105
2015-01-01,171.909
2015-02-01,171.193
2015-03-01,169.296
2015-04-01,167.553
2015-05-01,167.772
2015-06-01,172.448
2015-07-01,171.884
2015-08-01,171.671
2015-09-01,170.661
2015-10-01,166.359
2015-11-01,164.813
2015-12-01,163.844
2016-01-01,164.424
2016-02-01,163.98
2016-03-01,163.776
2016-04-01,163.416
2016-05-01,165.436
2016-06-01,169.81
2016-07-01,171.026
2016-08-01,171.443
2016-09-01,171.865
2016-10-01,168.396
2016-11-01,167.1
2016-12-01,167.737
2017-01-01,170.09
2017-02-01,170.957
2017-03-01,170.058
2017-04-01,170.838
2017-05-01,173.032
2017-06-01,177.06
2017-07-01,177.243
2017-08-01,177.05
2017-09-01,176.795
2017-10-01,173.493
2017-11-01,172.955
2017-12-01,173.805
2018-01-01,174.864
2018-02-01,176.598
2018-03-01,175.625
2018-04-01,174.947
2018-05-01,176.324
2018-06-01,179.135
2018-07-01,178.785
2018-08-01,179.295
2018-09-01,177.643
2018-10-01,176.126
2018-11-01,175.388
2018-12-01,177.273
2019-01-01,177.45
2019-02-01,176.726
2019-03-01,176.733
2019-04-01,176.039
2019-05-01,176.568
2019-06-01,179.145
2019-07-01,179.622
2019-08-01,179.143
2019-09-01,178.477
2019-10-01,177.267
2019-11-01,176.704
2019-12-01,177.058
2020-01-01,178.446
2020-02-01,177.596
2020-03-01,175.946
2020-04-01,174.852
2020-05-01,175.246
2020-06-01,178.418
2020-07-01,178.724
2020-08-01,178.49
2020-09-01,179.466
2020-10-01,178.403
2020-11-01,178.942
2020-12-01,180.033
2021-01-01,181.245
2021-02-01,182.987
2021-03-01,183.368
2021-04-01,184.711
2021-05-01,186.247
2021-06-01,189.731
2021-07-01,190.972
2021-08-01,192.294
2021-09-01,193.559
2021-10-01,195.735
2021-11-01,195.597
2021-12-01,195.921
2022-01-01,200.906
2022-02-01,201.434
2022-03-01,204.348
2022-04-01,206.497
2022-05-01,211.829
2022-06-01,218.826
2022-07-01,219.741
2022-08-01,222.167
2022-09-01,223.181
2022-10-01,221.581
2022-11-01,219.277
2022-12-01,221.079
2023-01-01,226.286
2023-02-01,223.137
2023-03-01,218.897
2023-04-01,215.923
2023-05-01,214.477
2023-06-01,218.466
2023-07-01,219.01
2023-08-01,220.323
2023-09-01,220.936
2023-10-01,219.484
2023-11-01,220.63
