"Date","SUUR0000SAM1"
1999-12-01,100
2000-01-01,100.2
2000-02-01,100.3
2000-03-01,100.7
2000-04-01,101
2000-05-01,101.2
2000-06-01,101.5
2000-07-01,101.7
2000-08-01,101.8
2000-09-01,101.9
2000-10-01,102.1
2000-11-01,102.2
2000-12-01,102.6
2001-01-01,103.3
2001-02-01,103.9
2001-03-01,104.3
2001-04-01,104.7
2001-05-01,105.1
2001-06-01,105.7
2001-07-01,105.9
2001-08-01,106.2
2001-09-01,106.5
2001-10-01,106.8
2001-11-01,107
2001-12-01,107.4
2002-01-01,107.8
2002-02-01,108.2
2002-03-01,108.5
2002-04-01,108.7
2002-05-01,109
2002-06-01,109.5
2002-07-01,109.8
2002-08-01,109.8
2002-09-01,110
2002-10-01,110.2
2002-11-01,110.5
2002-12-01,110.7
2003-01-01,110.9
2003-02-01,111.1
2003-03-01,111.5
2003-04-01,111.4
2003-05-01,111.5
2003-06-01,111.6
2003-07-01,112.3
2003-08-01,112.4
2003-09-01,112.7
2003-10-01,112.6
2003-11-01,112.2
2003-12-01,112.7
2004-01-01,113
2004-02-01,113.5
2004-03-01,113.8
2004-04-01,114.1
2004-05-01,114.4
2004-06-01,114.5
2004-07-01,114.6
2004-08-01,114.6
2004-09-01,115
2004-10-01,115.3
2004-11-01,115
2004-12-01,114.9
2005-01-01,115.3
2005-02-01,115.7
2005-03-01,115.8
2005-04-01,116
2005-05-01,116.5
2005-06-01,116.9
2005-07-01,117.2
2005-08-01,117.4
2005-09-01,117.7
2005-10-01,118.2
2005-11-01,118.9
2005-12-01,119
2006-01-01,119.5
2006-02-01,120.1
2006-03-01,120.6
2006-04-01,121.1
2006-05-01,121.5
2006-06-01,121.5
2006-07-01,121.8
2006-08-01,122
2006-09-01,122.3
2006-10-01,122.1
2006-11-01,121.4
2006-12-01,121.2
2007-01-01,121.912
2007-02-01,121.704
2007-03-01,121.533
2007-04-01,121.932
2007-05-01,122.227
2007-06-01,122.261
2007-07-01,122.873
2007-08-01,123.196
2007-09-01,123.399
2007-10-01,123.757
2007-11-01,124.185
2007-12-01,124.391
2008-01-01,124.958
2008-02-01,125.583
2008-03-01,125.688
2008-04-01,125.497
2008-05-01,124.806
2008-06-01,124.919
2008-07-01,124.796
2008-08-01,124.912
2008-09-01,125.056
2008-10-01,125.385
2008-11-01,125.813
2008-12-01,126.2
2009-01-01,126.883
2009-02-01,127.866
2009-03-01,127.969
2009-04-01,128.395
2009-05-01,128.567
2009-06-01,128.585
2009-07-01,128.407
2009-08-01,129.114
2009-09-01,129.829
2009-10-01,130.024
2009-11-01,130.048
2009-12-01,130.06
2010-01-01,131.05
2010-02-01,131.881
2010-03-01,132.36
2010-04-01,132.569
2010-05-01,132.707
2010-06-01,132.635
2010-07-01,132.395
2010-08-01,132.612
2010-09-01,132.882
2010-10-01,132.923
2010-11-01,133.16
2010-12-01,133.39
2011-01-01,134.146
2011-02-01,134.959
2011-03-01,135.511
2011-04-01,136.069
2011-05-01,136.043
2011-06-01,135.963
2011-07-01,136.041
2011-08-01,136.189
2011-09-01,136.414
2011-10-01,136.726
2011-11-01,136.999
2011-12-01,137.439
2012-01-01,138.282
2012-02-01,139.191
2012-03-01,139.761
2012-04-01,139.602
2012-05-01,139.655
2012-06-01,139.842
2012-07-01,140.582
2012-08-01,140.737
2012-09-01,140.669
2012-10-01,140.638
2012-11-01,139.989
2012-12-01,139.411
2013-01-01,139.819
2013-02-01,139.959
2013-03-01,140.243
2013-04-01,140.253
2013-05-01,139.433
2013-06-01,139.625
2013-07-01,139.918
2013-08-01,140.403
2013-09-01,140.655
2013-10-01,141.023
2013-11-01,140.82
2013-12-01,139.428
2014-01-01,140.612
2014-02-01,141.936
2014-03-01,141.526
2014-04-01,141.963
2014-05-01,142.366
2014-06-01,143.102
2014-07-01,143.625
2014-08-01,143.671
2014-09-01,144.376
2014-10-01,144.376
2014-11-01,144.877
2014-12-01,145.763
2015-01-01,146.019
2015-02-01,147.602
2015-03-01,147.689
2015-04-01,147.791
2015-05-01,147.89
2015-06-01,147.754
2015-07-01,148.046
2015-08-01,148.668
2015-09-01,148.382
2015-10-01,148.397
2015-11-01,148.533
2015-12-01,147.925
2016-01-01,148.824
2016-02-01,150.413
2016-03-01,150.711
2016-04-01,151.079
2016-05-01,150
2016-06-01,151.172
2016-07-01,152.235
2016-08-01,154.496
2016-09-01,155.344
2016-10-01,155.343
2016-11-01,154.457
2016-12-01,154.506
2017-01-01,155.474
2017-02-01,156.116
2017-03-01,156.236
2017-04-01,154.993
2017-05-01,155.121
2017-06-01,156.08
2017-07-01,157.53
2017-08-01,157.943
2017-09-01,156.736
2017-10-01,156.446
2017-11-01,156.906
2017-12-01,157.581
2018-01-01,157.739
2018-02-01,158.343
2018-03-01,158.301
2018-04-01,157.846
2018-05-01,159.102
2018-06-01,159.654
2018-07-01,158.391
2018-08-01,158.319
2018-09-01,157.66
2018-10-01,157.355
2018-11-01,157.741
2018-12-01,156.632
2019-01-01,157.088
2019-02-01,156.379
2019-03-01,156.889
2019-04-01,157.615
2019-05-01,157.675
2019-06-01,157.235
2019-07-01,157.613
2019-08-01,158.628
2019-09-01,157.33
2019-10-01,158.173
2019-11-01,158.015
2019-12-01,158.762
2020-01-01,158.126
2020-02-01,157.857
2020-03-01,157.89
2020-04-01,157.558
2020-05-01,157.763
2020-06-01,157.716
2020-07-01,157.749
2020-08-01,158.072
2020-09-01,157.08
2020-10-01,156.077
2020-11-01,155.221
2020-12-01,154.8
2021-01-01,154.883
2021-02-01,154.14
2021-03-01,154.175
2021-04-01,154.811
2021-05-01,154.98
2021-06-01,154.438
2021-07-01,154.729
2021-08-01,154.429
2021-09-01,154.997
2021-10-01,155.748
2021-11-01,155.866
2021-12-01,156.162
2022-01-01,157.149
2022-02-01,157.688
2022-03-01,158.281
2022-04-01,158.437
2022-05-01,158.903
2022-06-01,159.532
2022-07-01,160.546
2022-08-01,160.942
2022-09-01,160.565
2022-10-01,160.476
2022-11-01,160.829
2022-12-01,161.061
2023-01-01,162.702
2023-02-01,162.939
2023-03-01,163.882
2023-04-01,164.635
2023-05-01,165.693
2023-06-01,166.006
2023-07-01,166.843
2023-08-01,167.759
2023-09-01,167.215
2023-10-01,167.876
2023-11-01,168.604
