"Date","CUURA318SA0L2"
1976-01-01,55.2
1976-02-01,NA
1976-03-01,NA
1976-04-01,55.7
1976-05-01,NA
1976-06-01,NA
1976-07-01,56.6
1976-08-01,NA
1976-09-01,NA
1976-10-01,57.9
1976-11-01,NA
1976-12-01,NA
1977-01-01,58.4
1977-02-01,NA
1977-03-01,NA
1977-04-01,60
1977-05-01,NA
1977-06-01,NA
1977-07-01,60.7
1977-08-01,NA
1977-09-01,NA
1977-10-01,60.8
1977-11-01,NA
1977-12-01,NA
1978-01-01,62.1
1978-02-01,NA
1978-03-01,NA
1978-04-01,63.7
1978-05-01,NA
1978-06-01,64.9
1978-07-01,NA
1978-08-01,66
1978-09-01,NA
1978-10-01,66.9
1978-11-01,NA
1978-12-01,67.8
1979-01-01,NA
1979-02-01,69.5
1979-03-01,NA
1979-04-01,71.1
1979-05-01,NA
1979-06-01,73.3
1979-07-01,NA
1979-08-01,74.6
1979-09-01,NA
1979-10-01,75.2
1979-11-01,NA
1979-12-01,76.5
1980-01-01,NA
1980-02-01,79.4
1980-03-01,NA
1980-04-01,80.9
1980-05-01,NA
1980-06-01,82.2
1980-07-01,NA
1980-08-01,83.6
1980-09-01,NA
1980-10-01,84.6
1980-11-01,NA
1980-12-01,85
1981-01-01,NA
1981-02-01,87.7
1981-03-01,NA
1981-04-01,89.2
1981-05-01,NA
1981-06-01,91.1
1981-07-01,NA
1981-08-01,91.5
1981-09-01,NA
1981-10-01,92.5
1981-11-01,NA
1981-12-01,92.9
1982-01-01,NA
1982-02-01,93.2
1982-03-01,NA
1982-04-01,94.1
1982-05-01,NA
1982-06-01,96.5
1982-07-01,NA
1982-08-01,97.8
1982-09-01,NA
1982-10-01,98.2
1982-11-01,NA
1982-12-01,98.7
1983-01-01,NA
1983-02-01,98.2
1983-03-01,NA
1983-04-01,99
1983-05-01,NA
1983-06-01,100.6
1983-07-01,NA
1983-08-01,100.8
1983-09-01,NA
1983-10-01,101.4
1983-11-01,NA
1983-12-01,100.2
1984-01-01,NA
1984-02-01,101.4
1984-03-01,NA
1984-04-01,102.4
1984-05-01,NA
1984-06-01,104
1984-07-01,NA
1984-08-01,105.3
1984-09-01,NA
1984-10-01,105.8
1984-11-01,NA
1984-12-01,105.4
1985-01-01,NA
1985-02-01,105.7
1985-03-01,NA
1985-04-01,106.5
1985-05-01,NA
1985-06-01,107.4
1985-07-01,NA
1985-08-01,107.2
1985-09-01,NA
1985-10-01,107.2
1985-11-01,NA
1985-12-01,107.1
1986-01-01,NA
1986-02-01,106.6
1986-03-01,NA
1986-04-01,104.2
1986-05-01,NA
1986-06-01,105.3
1986-07-01,NA
1986-08-01,105
1986-09-01,NA
1986-10-01,105.8
1986-11-01,NA
1986-12-01,105
1987-01-01,NA
1987-02-01,106.7
1987-03-01,NA
1987-04-01,108
1987-05-01,NA
1987-06-01,108.8
1987-07-01,NA
1987-08-01,109.9
1987-09-01,NA
1987-10-01,111.1
1987-11-01,NA
1987-12-01,110
1988-01-01,NA
1988-02-01,111
1988-03-01,NA
1988-04-01,110.9
1988-05-01,NA
1988-06-01,112.4
1988-07-01,NA
1988-08-01,113.7
1988-09-01,NA
1988-10-01,115.1
1988-11-01,NA
1988-12-01,114.2
1989-01-01,NA
1989-02-01,115.7
1989-03-01,NA
1989-04-01,116.5
1989-05-01,NA
1989-06-01,117.8
1989-07-01,NA
1989-08-01,117.9
1989-09-01,NA
1989-10-01,119.7
1989-11-01,NA
1989-12-01,118.9
1990-01-01,NA
1990-02-01,122.6
1990-03-01,NA
1990-04-01,121.9
1990-05-01,NA
1990-06-01,123.4
1990-07-01,NA
1990-08-01,125
1990-09-01,NA
1990-10-01,128.3
1990-11-01,NA
1990-12-01,126.1
1991-01-01,NA
1991-02-01,127.8
1991-03-01,NA
1991-04-01,126.1
1991-05-01,NA
1991-06-01,127.9
1991-07-01,NA
1991-08-01,127.4
1991-09-01,NA
1991-10-01,130.6
1991-11-01,NA
1991-12-01,129.4
1992-01-01,NA
1992-02-01,129.3
1992-03-01,NA
1992-04-01,131
1992-05-01,NA
1992-06-01,131.8
1992-07-01,NA
1992-08-01,132.1
1992-09-01,NA
1992-10-01,133.2
1992-11-01,NA
1992-12-01,131.3
1993-01-01,NA
1993-02-01,133.8
1993-03-01,NA
1993-04-01,134
1993-05-01,NA
1993-06-01,134.8
1993-07-01,NA
1993-08-01,134.9
1993-09-01,NA
1993-10-01,139.3
1993-11-01,NA
1993-12-01,138.6
1994-01-01,NA
1994-02-01,139.1
1994-03-01,NA
1994-04-01,138.7
1994-05-01,NA
1994-06-01,139.4
1994-07-01,NA
1994-08-01,141.2
1994-09-01,NA
1994-10-01,141.4
1994-11-01,NA
1994-12-01,139.4
1995-01-01,NA
1995-02-01,140.8
1995-03-01,NA
1995-04-01,139.4
1995-05-01,NA
1995-06-01,141.4
1995-07-01,NA
1995-08-01,141.8
1995-09-01,NA
1995-10-01,143
1995-11-01,NA
1995-12-01,142.6
1996-01-01,NA
1996-02-01,142.7
1996-03-01,NA
1996-04-01,144.4
1996-05-01,NA
1996-06-01,144.3
1996-07-01,NA
1996-08-01,144.1
1996-09-01,NA
1996-10-01,144
1996-11-01,NA
1996-12-01,145.2
1997-01-01,NA
1997-02-01,145.4
1997-03-01,NA
1997-04-01,146.3
1997-05-01,NA
1997-06-01,146.4
1997-07-01,NA
1997-08-01,146.9
1997-09-01,NA
1997-10-01,148.3
1997-11-01,NA
1997-12-01,146.2
1998-01-01,NA
1998-02-01,146.2
1998-03-01,NA
1998-04-01,146.2
1998-05-01,NA
1998-06-01,146.3
1998-07-01,NA
1998-08-01,147.3
1998-09-01,NA
1998-10-01,148
1998-11-01,NA
1998-12-01,145.3
1999-01-01,NA
1999-02-01,145.4
1999-03-01,NA
1999-04-01,146.9
1999-05-01,NA
1999-06-01,147.5
1999-07-01,NA
1999-08-01,148.3
1999-09-01,NA
1999-10-01,150.6
1999-11-01,NA
1999-12-01,149.2
2000-01-01,NA
2000-02-01,150.4
2000-03-01,NA
2000-04-01,151.5
2000-05-01,NA
2000-06-01,153.2
2000-07-01,NA
2000-08-01,153.1
2000-09-01,NA
2000-10-01,155.8
2000-11-01,NA
2000-12-01,155.3
2001-01-01,NA
2001-02-01,156.7
2001-03-01,NA
2001-04-01,158
2001-05-01,NA
2001-06-01,158.7
2001-07-01,NA
2001-08-01,157
2001-09-01,NA
2001-10-01,157.6
2001-11-01,NA
2001-12-01,154.5
2002-01-01,NA
2002-02-01,152.8
2002-03-01,NA
2002-04-01,155
2002-05-01,NA
2002-06-01,155.5
2002-07-01,NA
2002-08-01,156.2
2002-09-01,NA
2002-10-01,158.4
2002-11-01,NA
2002-12-01,156.2
2003-01-01,NA
2003-02-01,159.4
2003-03-01,NA
2003-04-01,159.1
2003-05-01,NA
2003-06-01,158.8
2003-07-01,NA
2003-08-01,160.7
2003-09-01,NA
2003-10-01,162.1
2003-11-01,NA
2003-12-01,160.4
2004-01-01,NA
2004-02-01,163
2004-03-01,NA
2004-04-01,163.9
2004-05-01,NA
2004-06-01,166.5
2004-07-01,NA
2004-08-01,166
2004-09-01,NA
2004-10-01,167.6
2004-11-01,NA
2004-12-01,165.5
2005-01-01,NA
2005-02-01,168.8
