"Date","CUURA103SA0L2"
1976-01-01,61
1976-02-01,NA
1976-03-01,NA
1976-04-01,61
1976-05-01,NA
1976-06-01,NA
1976-07-01,61.9
1976-08-01,NA
1976-09-01,NA
1976-10-01,62.2
1976-11-01,NA
1976-12-01,NA
1977-01-01,62.8
1977-02-01,NA
1977-03-01,NA
1977-04-01,64
1977-05-01,NA
1977-06-01,NA
1977-07-01,64.9
1977-08-01,NA
1977-09-01,NA
1977-10-01,65.5
1977-11-01,NA
1977-12-01,NA
1978-01-01,66
1978-02-01,NA
1978-03-01,65.9
1978-04-01,NA
1978-05-01,66.8
1978-06-01,NA
1978-07-01,67.9
1978-08-01,NA
1978-09-01,68.8
1978-10-01,NA
1978-11-01,69.7
1978-12-01,NA
1979-01-01,69.9
1979-02-01,NA
1979-03-01,71.7
1979-04-01,NA
1979-05-01,73.8
1979-06-01,NA
1979-07-01,75.9
1979-08-01,NA
1979-09-01,77
1979-10-01,NA
1979-11-01,78.1
1979-12-01,NA
1980-01-01,79.8
1980-02-01,NA
1980-03-01,82.1
1980-04-01,NA
1980-05-01,82.9
1980-06-01,NA
1980-07-01,84.1
1980-08-01,NA
1980-09-01,85.3
1980-10-01,NA
1980-11-01,86.9
1980-12-01,NA
1981-01-01,89.2
1981-02-01,NA
1981-03-01,91.5
1981-04-01,NA
1981-05-01,92.1
1981-06-01,NA
1981-07-01,92.1
1981-08-01,NA
1981-09-01,93.6
1981-10-01,NA
1981-11-01,94.8
1981-12-01,NA
1982-01-01,95.2
1982-02-01,NA
1982-03-01,96
1982-04-01,NA
1982-05-01,95.8
1982-06-01,NA
1982-07-01,97.2
1982-08-01,NA
1982-09-01,97.9
1982-10-01,NA
1982-11-01,98.2
1982-12-01,NA
1983-01-01,98.2
1983-02-01,NA
1983-03-01,98.4
1983-04-01,NA
1983-05-01,98.7
1983-06-01,NA
1983-07-01,99.3
1983-08-01,NA
1983-09-01,99.4
1983-10-01,NA
1983-11-01,100.5
1983-12-01,NA
1984-01-01,101.6
1984-02-01,NA
1984-03-01,103.4
1984-04-01,NA
1984-05-01,103.7
1984-06-01,NA
1984-07-01,104.3
1984-08-01,NA
1984-09-01,105
1984-10-01,NA
1984-11-01,104.8
1984-12-01,NA
1985-01-01,105.3
1985-02-01,NA
1985-03-01,107.1
