"Date","APU0300FD3101"
1998-01-01,3.158
1998-02-01,3.051
1998-03-01,3.016
1998-04-01,3.034
1998-05-01,2.987
1998-06-01,3.04
1998-07-01,3.108
1998-08-01,3.108
1998-09-01,3.033
1998-10-01,2.993
1998-11-01,2.923
1998-12-01,2.856
1999-01-01,2.747
1999-02-01,2.854
1999-03-01,2.836
1999-04-01,2.862
1999-05-01,2.851
1999-06-01,2.913
1999-07-01,2.962
1999-08-01,2.925
1999-09-01,3.006
1999-10-01,2.887
1999-11-01,2.951
1999-12-01,3.003
2000-01-01,2.977
2000-02-01,3.01
2000-03-01,2.994
2000-04-01,3.005
2000-05-01,3.018
2000-06-01,3.089
2000-07-01,3.077
2000-08-01,3.118
2000-09-01,3.062
2000-10-01,3.055
2000-11-01,3.102
2000-12-01,3.17
2001-01-01,3.152
2001-02-01,3.128
2001-03-01,3.185
2001-04-01,3.177
2001-05-01,3.147
2001-06-01,3.14
2001-07-01,3.192
2001-08-01,3.247
2001-09-01,3.279
2001-10-01,3.181
2001-11-01,3.22
2001-12-01,3.146
2002-01-01,3.248
2002-02-01,3.194
2002-03-01,3.112
2002-04-01,3.041
2002-05-01,3.186
2002-06-01,3.173
2002-07-01,3.237
2002-08-01,3.206
2002-09-01,3.133
2002-10-01,3.125
2002-11-01,2.99
2002-12-01,3.066
2003-01-01,3.03
2003-02-01,3.078
2003-03-01,3.096
2003-04-01,3.076
2003-05-01,3.098
2003-06-01,3.077
2003-07-01,3.234
2003-08-01,3.14
2003-09-01,3.176
2003-10-01,3.206
2003-11-01,3.097
2003-12-01,3.185
2004-01-01,3.174
2004-02-01,3.187
2004-03-01,3.215
2004-04-01,3.146
2004-05-01,3.131
2004-06-01,3.317
2004-07-01,3.379
2004-08-01,3.31
2004-09-01,3.37
2004-10-01,3.337
2004-11-01,3.376
2004-12-01,3.228
2005-01-01,3.374
2005-02-01,3.352
2005-03-01,3.312
2005-04-01,3.313
2005-05-01,3.224
2005-06-01,3.208
2005-07-01,3.234
2005-08-01,3.251
2005-09-01,3.311
2005-10-01,3.224
2005-11-01,3.22
2005-12-01,3.1
2006-01-01,3.154
2006-02-01,3.091
2006-03-01,3.1
2006-04-01,3.113
2006-05-01,2.973
2006-06-01,2.972
2006-07-01,3.094
2006-08-01,2.953
2006-09-01,3.021
2006-10-01,2.974
2006-11-01,2.979
2006-12-01,2.998
2007-01-01,2.988
2007-02-01,3.059
2007-03-01,3.128
2007-04-01,3.176
2007-05-01,3.124
2007-06-01,3.189
2007-07-01,3.278
2007-08-01,3.285
2007-09-01,3.144
2007-10-01,3.19
2007-11-01,3.253
2007-12-01,3.179
2008-01-01,3.15
2008-02-01,3.168
2008-03-01,3.147
2008-04-01,3.21
2008-05-01,3.314
2008-06-01,3.397
2008-07-01,3.473
2008-08-01,3.388
2008-09-01,3.48
2008-10-01,3.477
2008-11-01,3.405
2008-12-01,3.313
2009-01-01,3.229
2009-02-01,3.175
2009-03-01,3.212
2009-04-01,3.16
2009-05-01,3.06
2009-06-01,3.135
2009-07-01,3.114
2009-08-01,3.183
2009-09-01,3.086
2009-10-01,3.09
2009-11-01,3.051
2009-12-01,3.032
2010-01-01,3.199
2010-02-01,3.311
2010-03-01,3.092
2010-04-01,3.12
2010-05-01,3.175
2010-06-01,3.39
2010-07-01,3.194
2010-08-01,3.337
2010-09-01,3.343
2010-10-01,3.3
2010-11-01,3.222
2010-12-01,3.214
2011-01-01,3.272
2011-02-01,3.327
2011-03-01,3.392
2011-04-01,3.386
2011-05-01,3.483
2011-06-01,3.5
2011-07-01,3.47
2011-08-01,3.555
2011-09-01,3.574
2011-10-01,3.458
2011-11-01,3.407
2011-12-01,3.481
2012-01-01,3.344
2012-02-01,3.353
2012-03-01,3.329
2012-04-01,3.318
2012-05-01,3.298
2012-06-01,3.352
2012-07-01,3.367
2012-08-01,3.345
2012-09-01,3.212
2012-10-01,3.269
2012-11-01,3.415
2012-12-01,3.28
2013-01-01,3.293
2013-02-01,3.358
2013-03-01,3.307
2013-04-01,3.373
2013-05-01,3.467
2013-06-01,3.456
2013-07-01,3.49
2013-08-01,3.542
2013-09-01,3.6
2013-10-01,3.704
2013-11-01,3.681
2013-12-01,3.679
2014-01-01,3.651
2014-02-01,3.752
2014-03-01,3.712
2014-04-01,4.054
2014-05-01,4.162
2014-06-01,4.032
2014-07-01,4.002
2014-08-01,4.141
2014-09-01,4.103
2014-10-01,4.168
2014-11-01,4.06
2014-12-01,3.942
2015-01-01,3.935
2015-02-01,3.8
2015-03-01,3.757
2015-04-01,3.63
2015-05-01,3.588
2015-06-01,3.752
2015-07-01,3.834
2015-08-01,3.789
2015-09-01,3.786
2015-10-01,3.799
2015-11-01,3.772
2015-12-01,3.7
2016-01-01,3.634
2016-02-01,3.564
2016-03-01,3.589
2016-04-01,3.669
2016-05-01,3.666
2016-06-01,3.629
2016-07-01,3.83
2016-08-01,3.739
2016-09-01,3.633
2016-10-01,3.606
2016-11-01,3.495
2016-12-01,3.522
2017-01-01,3.369
2017-02-01,3.502
2017-03-01,3.346
2017-04-01,3.416
