"Date","CUUR0300SEFV"
1977-12-01,64.3
1978-01-01,NA
1978-02-01,65.7
1978-03-01,NA
1978-04-01,66.7
1978-05-01,NA
1978-06-01,68
1978-07-01,NA
1978-08-01,69.4
1978-09-01,NA
1978-10-01,70.4
1978-11-01,NA
1978-12-01,71.6
1979-01-01,NA
1979-02-01,73.6
1979-03-01,NA
1979-04-01,75.1
1979-05-01,NA
1979-06-01,76.5
1979-07-01,NA
1979-08-01,77.7
1979-09-01,NA
1979-10-01,78.4
1979-11-01,NA
1979-12-01,79.4
1980-01-01,NA
1980-02-01,80.9
1980-03-01,NA
1980-04-01,82.2
1980-05-01,NA
1980-06-01,83.2
1980-07-01,NA
1980-08-01,83.7
1980-09-01,NA
1980-10-01,84.8
1980-11-01,NA
1980-12-01,86.6
1981-01-01,NA
1981-02-01,88.9
1981-03-01,NA
1981-04-01,90.2
1981-05-01,NA
1981-06-01,90.5
1981-07-01,NA
1981-08-01,91.2
1981-09-01,NA
1981-10-01,92.1
1981-11-01,NA
1981-12-01,93
1982-01-01,NA
1982-02-01,94.2
1982-03-01,NA
1982-04-01,94.7
1982-05-01,NA
1982-06-01,95.5
1982-07-01,NA
1982-08-01,96.1
1982-09-01,NA
1982-10-01,97
1982-11-01,NA
1982-12-01,97.6
1983-01-01,NA
1983-02-01,98.6
1983-03-01,NA
1983-04-01,99.5
1983-05-01,NA
1983-06-01,100.1
1983-07-01,NA
1983-08-01,100.2
1983-09-01,NA
1983-10-01,100.9
1983-11-01,NA
1983-12-01,101.6
1984-01-01,NA
1984-02-01,102.6
1984-03-01,NA
1984-04-01,103.6
1984-05-01,NA
1984-06-01,104.1
1984-07-01,NA
1984-08-01,105
1984-09-01,NA
1984-10-01,105.8
1984-11-01,NA
1984-12-01,106.5
1985-01-01,NA
1985-02-01,107.3
1985-03-01,NA
1985-04-01,107.9
1985-05-01,NA
1985-06-01,109.3
1985-07-01,NA
1985-08-01,109.5
1985-09-01,NA
1985-10-01,110.2
1985-11-01,NA
1985-12-01,110.7
1986-01-01,NA
1986-02-01,111.4
1986-03-01,NA
1986-04-01,112.3
1986-05-01,NA
1986-06-01,113.1
1986-07-01,NA
1986-08-01,113.3
1986-09-01,NA
1986-10-01,114
1986-11-01,NA
1986-12-01,114.8
1987-01-01,115.3
1987-02-01,116.3
1987-03-01,116.7
1987-04-01,117
1987-05-01,117.4
1987-06-01,117.5
1987-07-01,117.8
1987-08-01,118
1987-09-01,118.6
1987-10-01,118.9
1987-11-01,119.3
1987-12-01,119.5
1988-01-01,119.9
1988-02-01,120.4
1988-03-01,120.8
1988-04-01,121.3
1988-05-01,121.8
1988-06-01,122.1
1988-07-01,122.5
1988-08-01,122.9
1988-09-01,123.6
1988-10-01,124.1
1988-11-01,124.5
1988-12-01,124.9
1989-01-01,125.5
1989-02-01,125.6
1989-03-01,125.9
1989-04-01,126.5
1989-05-01,126.8
1989-06-01,127.4
1989-07-01,128.3
1989-08-01,128.6
1989-09-01,129.1
1989-10-01,129.7
1989-11-01,130.2
1989-12-01,130.4
1990-01-01,131.3
1990-02-01,131.8
1990-03-01,132.5
1990-04-01,133.4
1990-05-01,134.2
1990-06-01,134.5
1990-07-01,135.3
1990-08-01,135.6
1990-09-01,135.8
1990-10-01,136.4
1990-11-01,136.6
1990-12-01,136.8
1991-01-01,137.1
1991-02-01,137.5
1991-03-01,138
1991-04-01,138.5
1991-05-01,139.2
1991-06-01,139.8
1991-07-01,140.1
1991-08-01,140.4
1991-09-01,140.5
1991-10-01,140.7
1991-11-01,141.1
1991-12-01,141.4
1992-01-01,141.6
1992-02-01,141.7
1992-03-01,142
1992-04-01,142
1992-05-01,142.2
1992-06-01,142.4
1992-07-01,142.6
1992-08-01,142.9
1992-09-01,142.9
1992-10-01,142.9
1992-11-01,142.9
1992-12-01,143.2
1993-01-01,143.8
1993-02-01,143.9
1993-03-01,144
1993-04-01,144.3
1993-05-01,144.4
1993-06-01,144.6
1993-07-01,145.2
1993-08-01,145.5
1993-09-01,145.9
1993-10-01,146
1993-11-01,146.1
1993-12-01,146.2
1994-01-01,146.4
1994-02-01,146.6
1994-03-01,146.9
1994-04-01,147.1
1994-05-01,147.2
1994-06-01,147.5
1994-07-01,147.7
1994-08-01,147.9
1994-09-01,148.1
1994-10-01,148.2
1994-11-01,148.6
1994-12-01,148.7
1995-01-01,148.9
1995-02-01,149.3
1995-03-01,149.8
1995-04-01,150.3
1995-05-01,150.5
1995-06-01,150.8
1995-07-01,151.2
1995-08-01,151.4
1995-09-01,151.6
1995-10-01,152
1995-11-01,152.2
1995-12-01,152.6
1996-01-01,152.9
1996-02-01,153.1
1996-03-01,153.4
1996-04-01,154
1996-05-01,154.2
1996-06-01,154.5
1996-07-01,154.9
1996-08-01,155.1
1996-09-01,155.8
1996-10-01,156.8
1996-11-01,157.3
1996-12-01,157.6
1997-01-01,157.9
1997-02-01,158.1
1997-03-01,158.5
1997-04-01,158.7
1997-05-01,158.8
1997-06-01,159.1
1997-07-01,159.6
1997-08-01,159.9
1997-09-01,160
1997-10-01,160.4
1997-11-01,160.7
1997-12-01,161.5
1998-01-01,161.8
1998-02-01,162.1
1998-03-01,162.3
1998-04-01,162.6
1998-05-01,162.9
1998-06-01,163.3
1998-07-01,163.7
1998-08-01,164.1
1998-09-01,164.6
1998-10-01,164.9
1998-11-01,165.1
1998-12-01,165.4
1999-01-01,166
1999-02-01,166.3
1999-03-01,166.8
1999-04-01,167
1999-05-01,167.2
1999-06-01,166.5
1999-07-01,167.2
1999-08-01,168.3
1999-09-01,168.3
1999-10-01,168.8
1999-11-01,169
1999-12-01,169.2
2000-01-01,169.6
2000-02-01,170
2000-03-01,170.6
2000-04-01,170.3
2000-05-01,170.5
2000-06-01,170.9
2000-07-01,171.6
2000-08-01,172
2000-09-01,172.1
2000-10-01,172.6
2000-11-01,172.8
2000-12-01,173.2
2001-01-01,173.6
2001-02-01,174
2001-03-01,174.5
2001-04-01,174.7
2001-05-01,175.1
2001-06-01,175.3
2001-07-01,176.1
2001-08-01,176.7
2001-09-01,177.4
2001-10-01,178.2
2001-11-01,178
2001-12-01,178.2
2002-01-01,178.3
2002-02-01,178.6
2002-03-01,179
2002-04-01,179
2002-05-01,179.7
2002-06-01,179.8
2002-07-01,180.2
2002-08-01,180.1
2002-09-01,180.5
2002-10-01,181
2002-11-01,181.2
2002-12-01,182
2003-01-01,182.3
2003-02-01,182.7
2003-03-01,182.9
2003-04-01,183
2003-05-01,183.4
2003-06-01,183.8
2003-07-01,184.3
2003-08-01,184.7
2003-09-01,185.2
2003-10-01,185.7
2003-11-01,186.3
2003-12-01,186.8
2004-01-01,187.4
2004-02-01,187.9
2004-03-01,188.2
2004-04-01,188.9
2004-05-01,189.3
2004-06-01,189.5
2004-07-01,190.6
2004-08-01,191.2
2004-09-01,191.5
2004-10-01,191.9
2004-11-01,191.8
2004-12-01,192.1
2005-01-01,192.5
2005-02-01,193.1
2005-03-01,193.6
2005-04-01,194
2005-05-01,194.6
2005-06-01,195.1
2005-07-01,195.9
2005-08-01,196.4
2005-09-01,197
2005-10-01,197.6
2005-11-01,198.1
2005-12-01,198.2
2006-01-01,199
2006-02-01,199.5
2006-03-01,200
2006-04-01,200.6
2006-05-01,201.1
2006-06-01,201.5
2006-07-01,201.8
2006-08-01,202
2006-09-01,202.6
2006-10-01,203
2006-11-01,203.4
2006-12-01,203.9
2007-01-01,204.426
2007-02-01,205.125
2007-03-01,205.612
2007-04-01,206.291
2007-05-01,207.093
2007-06-01,207.557
2007-07-01,208.58
2007-08-01,209.408
2007-09-01,210.82
2007-10-01,211.401
2007-11-01,212.08
2007-12-01,212.209
2008-01-01,213.012
2008-02-01,213.88
2008-03-01,214.669
2008-04-01,215.121
2008-05-01,215.873
2008-06-01,217.307
2008-07-01,218.512
2008-08-01,219.336
2008-09-01,220.484
2008-10-01,221.695
2008-11-01,222.478
2008-12-01,223.331
2009-01-01,224.223
2009-02-01,224.546
2009-03-01,225.168
2009-04-01,225.727
2009-05-01,225.941
2009-06-01,225.603
2009-07-01,225.477
2009-08-01,226.024
