"Date","CUUR0300SEFV"
2009-09-01,226.355
2009-10-01,226.896
2009-11-01,227.291
2009-12-01,227.401
2010-01-01,227.915
2010-02-01,228.116
2010-03-01,227.863
2010-04-01,228.213
2010-05-01,228.693
2010-06-01,229.044
2010-07-01,228.274
2010-08-01,228.487
2010-09-01,229.714
2010-10-01,229.516
2010-11-01,229.74
2010-12-01,229.629
2011-01-01,230.187
2011-02-01,231.16
2011-03-01,232.055
2011-04-01,232.685
2011-05-01,232.924
2011-06-01,233.411
2011-07-01,234.08
2011-08-01,234.861
2011-09-01,235.519
2011-10-01,235.923
2011-11-01,236.665
2011-12-01,236.791
2012-01-01,237.368
2012-02-01,238.077
2012-03-01,238.396
2012-04-01,238.849
2012-05-01,239.236
2012-06-01,240.314
2012-07-01,240.756
2012-08-01,241.247
2012-09-01,241.937
2012-10-01,242.119
2012-11-01,242.284
2012-12-01,242.896
2013-01-01,243.132
2013-02-01,243.532
2013-03-01,244.163
2013-04-01,244.797
2013-05-01,245.265
2013-06-01,245.573
2013-07-01,246.191
2013-08-01,246.816
2013-09-01,246.863
2013-10-01,247.182
2013-11-01,247.931
2013-12-01,248.227
2014-01-01,248.479
2014-02-01,248.541
2014-03-01,249.22
2014-04-01,250.272
2014-05-01,250.741
2014-06-01,251.352
2014-07-01,251.896
2014-08-01,252.353
2014-09-01,252.945
2014-10-01,253.489
2014-11-01,254.433
2014-12-01,255.417
2015-01-01,255.943
2015-02-01,256.901
2015-03-01,257.298
2015-04-01,257.813
2015-05-01,258.529
2015-06-01,259.094
2015-07-01,259.735
2015-08-01,260.258
2015-09-01,260.619
2015-10-01,261.397
2015-11-01,261.693
2015-12-01,261.992
2016-01-01,262.498
2016-02-01,262.719
2016-03-01,263.08
2016-04-01,263.298
2016-05-01,263.683
2016-06-01,263.986
2016-07-01,264.492
2016-08-01,265.365
2016-09-01,265.693
2016-10-01,265.836
2016-11-01,266.057
2016-12-01,266.747
2017-01-01,267.82
2017-02-01,267.916
2017-03-01,268.034
2017-04-01,268.415
2017-05-01,269.289
2017-06-01,269.782
2017-07-01,270.049
2017-08-01,270.563
2017-09-01,271.24
2017-10-01,270.779
2017-11-01,271.257
2017-12-01,272.22
2018-01-01,272.97
2018-02-01,273.685
2018-03-01,273.787
2018-04-01,273.864
2018-05-01,274.544
2018-06-01,275.224
2018-07-01,275.619
2018-08-01,276.255
2018-09-01,276.736
2018-10-01,276.53
2018-11-01,277.422
2018-12-01,279.035
2019-01-01,280.009
2019-02-01,281.561
2019-03-01,281.996
2019-04-01,282.804
2019-05-01,283.012
2019-06-01,284.053
2019-07-01,284.385
2019-08-01,285.022
2019-09-01,285.294
2019-10-01,285.649
2019-11-01,286.511
2019-12-01,287.006
2020-01-01,287.598
2020-02-01,288.107
2020-03-01,288.735
2020-04-01,289.44
2020-05-01,290.28
2020-06-01,290.776
2020-07-01,292.021
2020-08-01,292.515
2020-09-01,293.894
2020-10-01,294.665
2020-11-01,295.68
2020-12-01,296.626
2021-01-01,297.93
2021-02-01,297.797
2021-03-01,296.709
2021-04-01,297.504
2021-05-01,298.872
2021-06-01,301.136
2021-07-01,303.12
2021-08-01,304.448
2021-09-01,306.24
2021-10-01,309.069
2021-11-01,310.275
2021-12-01,312.602
2022-01-01,315.411
2022-02-01,317.675
2022-03-01,318.933
2022-04-01,319.932
2022-05-01,321.619
2022-06-01,324.482
2022-07-01,326.863
2022-08-01,330.085
2022-09-01,332.769
2022-10-01,335.11
2022-11-01,337.045
2022-12-01,338.303
2023-01-01,340.027
2023-02-01,342.563
2023-03-01,345.117
2023-04-01,347.009
2023-05-01,348.234
2023-06-01,349.976
2023-07-01,350.94
2023-08-01,352.143
2023-09-01,353.478
2023-10-01,354.065
2023-11-01,356.306
