"Date","CUURA000SAEC"
2009-12-01,100
2010-01-01,100.166
2010-02-01,99.936
2010-03-01,99.746
2010-04-01,99.447
2010-05-01,98.873
2010-06-01,97.989
2010-07-01,97.848
2010-08-01,97.78
2010-09-01,97.666
2010-10-01,98.178
2010-11-01,97.538
2010-12-01,96.78
2011-01-01,96.348
2011-02-01,95.917
2011-03-01,95.512
2011-04-01,95.127
2011-05-01,94.253
2011-06-01,93.009
2011-07-01,92.945
2011-08-01,91.991
2011-09-01,91.774
2011-10-01,91.52
2011-11-01,91.597
2011-12-01,90.801
2012-01-01,91.208
2012-02-01,91.288
2012-03-01,90.714
2012-04-01,90.401
2012-05-01,90.673
2012-06-01,90.071
2012-07-01,89.176
2012-08-01,89.077
2012-09-01,88.478
2012-10-01,88.611
2012-11-01,88.298
2012-12-01,87.272
2013-01-01,87.954
2013-02-01,88.313
2013-03-01,88.023
2013-04-01,87.502
2013-05-01,87.153
2013-06-01,86.775
2013-07-01,86.235
2013-08-01,85.213
2013-09-01,85.384
2013-10-01,84.957
2013-11-01,84.518
2013-12-01,84.206
2014-01-01,83.468
2014-02-01,83.175
2014-03-01,83.164
2014-04-01,83.162
2014-05-01,82.659
2014-06-01,82.118
2014-07-01,81.734
2014-08-01,81.768
2014-09-01,81.103
2014-10-01,81.026
2014-11-01,80.395
2014-12-01,79.186
2015-01-01,78.955
2015-02-01,78.906
2015-03-01,78.403
2015-04-01,78.454
2015-05-01,78.145
2015-06-01,77.142
2015-07-01,77.157
2015-08-01,77.013
2015-09-01,77.02
2015-10-01,76.832
2015-11-01,76.383
2015-12-01,75.853
2016-01-01,75.2
2016-02-01,75.468
2016-03-01,75.049
2016-04-01,75.236
2016-05-01,74.411
2016-06-01,73.557
2016-07-01,73.078
2016-08-01,72.978
2016-09-01,72.481
2016-10-01,72.128
2016-11-01,72.244
2016-12-01,71.816
2017-01-01,72.285
2017-02-01,72.279
2017-03-01,71.479
2017-04-01,71.217
2017-05-01,71.124
2017-06-01,71.401
2017-07-01,71.888
2017-08-01,70.791
2017-09-01,70.623
2017-10-01,71.197
2017-11-01,71.427
2017-12-01,70.109
2018-01-01,70.32
2018-02-01,70.346
2018-03-01,70.342
2018-04-01,70.289
2018-05-01,70.397
2018-06-01,70.333
2018-07-01,69.669
2018-08-01,69.273
2018-09-01,69.016
2018-10-01,68.584
2018-11-01,68.011
2018-12-01,68.242
2019-01-01,68.277
2019-02-01,68.191
2019-03-01,67.755
2019-04-01,67.349
2019-05-01,67.587
2019-06-01,67.166
2019-07-01,67.139
2019-08-01,67.588
2019-09-01,67.493
2019-10-01,66.719
2019-11-01,66.372
2019-12-01,65.776
2020-01-01,64.928
2020-02-01,65.168
2020-03-01,65.649
2020-04-01,65.876
2020-05-01,65.727
2020-06-01,64.389
2020-07-01,64.091
2020-08-01,64.229
2020-09-01,63.561
2020-10-01,63.06
2020-11-01,62.837
2020-12-01,62.689
2021-01-01,62.805
2021-02-01,63.113
2021-03-01,62.395
2021-04-01,63.034
2021-05-01,62.732
2021-06-01,62.665
2021-07-01,63.088
2021-08-01,62.126
2021-09-01,62.259
2021-10-01,61.675
2021-11-01,61.174
2021-12-01,61.159
2022-01-01,60.88
2022-02-01,60.669
2022-03-01,60.223
2022-04-01,59.904
2022-05-01,59.279
2022-06-01,58.544
2022-07-01,59.192
2022-08-01,59.356
2022-09-01,58.271
2022-10-01,57.558
2022-11-01,57.346
2022-12-01,57.008
2023-01-01,56.384
2023-02-01,55.868
2023-03-01,56.116
2023-04-01,55.282
2023-05-01,55.62
2023-06-01,55.704
2023-07-01,54.587
2023-08-01,54.04
2023-09-01,54.273
2023-10-01,53.741
2023-11-01,53.068
