"Date","USACPGRLH01IXOBM"
1982-12-01,31.5707449700133
1983-01-01,31.7917401848034
1983-02-01,31.8864524197134
1983-03-01,31.9811646546235
1983-04-01,32.0758768895335
1983-05-01,32.2653013593536
1983-06-01,32.4231550842037
1983-07-01,32.5494380640837
1983-08-01,32.6757210439638
1983-09-01,32.8967162587539
1983-10-01,32.9914284936639
1983-11-01,33.0545699836039
1983-12-01,33.086140728574
1984-01-01,33.3702774333041
1984-02-01,33.5597019031242
1984-03-01,33.6228433930642
1984-04-01,33.7175556279742
1984-05-01,33.9385508427643
1984-06-01,34.1911168025244
1984-07-01,34.4121120173145
1984-08-01,34.6331072321046
1984-09-01,34.8856731918647
1984-10-01,34.9172439368347
1984-11-01,34.8856731918647
1984-12-01,34.9172439368347
1985-01-01,35.0750976616848
1985-02-01,35.1382391516248
1985-03-01,35.3276636214449
1985-04-01,35.4223758563549
1985-05-01,35.611800326175
1985-06-01,35.8959370309051
1985-07-01,36.0537907557552
1985-08-01,36.1485029906652
1985-09-01,36.3063567155153
1985-10-01,36.3379274604853
1985-11-01,36.3694982054553
1985-12-01,36.4326396953954
1986-01-01,36.6852056551555
1986-02-01,36.8746301249755
1986-03-01,36.9693423598856
1986-04-01,37.0640545947956
1986-05-01,37.1903375746757
1986-06-01,37.6323280042559
1986-07-01,37.7270402391659
1986-08-01,37.821752474076
1986-09-01,37.948035453956
1986-10-01,37.916464708986
1986-11-01,37.884893964016
1986-12-01,37.948035453956
1987-01-01,38.1374599237761
1987-02-01,38.2321721586861
1987-03-01,38.2953136486262
1987-04-01,38.3900258835362
1987-05-01,38.5478796083863
1987-06-01,38.8951578030564
1987-07-01,39.0530115279065
1987-08-01,39.2108652527565
1987-09-01,39.4318604675466
1987-10-01,39.3371482326366
1987-11-01,39.3371482326366
1987-12-01,39.3371482326366
1988-01-01,39.5581434474267
1988-02-01,39.7159971722768
1988-03-01,39.7791386622168
1988-04-01,39.9369923870668
1988-05-01,40.1264168568869
1988-06-01,40.5368365414971
1988-07-01,40.6946902663472
1988-08-01,40.8525439911972
1988-09-01,41.1366806959273
1988-10-01,41.1998221858674
1988-11-01,41.2313929308374
1988-12-01,41.3892466556875
1989-01-01,41.7049541053876
1989-02-01,41.8943785752077
1989-03-01,41.9890908101177
1989-04-01,42.1153737899978
1989-05-01,42.3047982598178
1989-06-01,42.683647199458
1989-07-01,42.8730716692781
1989-08-01,43.0309253941282
1989-09-01,43.2519206089182
1989-10-01,43.2519206089182
1989-11-01,43.3150620988583
1989-12-01,43.5044865686783
1990-01-01,43.8517647633485
1990-02-01,44.1359014680786
1990-03-01,44.2937551929287
1990-04-01,44.3884674278387
1990-05-01,44.5778918976588
1990-06-01,44.988311582269
1990-07-01,45.146165307119
1990-08-01,45.3987312668791
1990-09-01,45.7775802065193
1990-10-01,45.9038631863994
1990-11-01,46.0932876562194
1990-12-01,46.2195706360995
1991-01-01,46.7247025556197
1991-02-01,47.0088392603498
1991-03-01,47.0404100053198
1991-04-01,46.9772685153798
1991-05-01,47.1666929851999
1991-06-01,47.4824004349
1991-07-01,47.7665371396301
1991-08-01,47.9559616094502
1991-09-01,48.3348105490904
1991-10-01,48.3348105490904
1991-11-01,48.3979520390304
1991-12-01,48.5873765088505
1992-01-01,48.8083717236406
1992-02-01,48.9662254484906
1992-03-01,49.0925084283707
1992-04-01,49.2503621532208
1992-05-01,49.3450743881308
1992-06-01,49.5976403478909
1992-07-01,49.818635562681
1992-08-01,49.9764892875311
1992-09-01,50.2606259922612
1992-10-01,50.4184797171113
1992-11-01,50.6079041869314
1992-12-01,50.7341871668114
1993-01-01,51.0183238715415
1993-02-01,51.1446068514216
1993-03-01,51.3024605762716
1993-04-01,51.3971728111817
1993-05-01,51.6497387709418
1993-06-01,51.9970169656119
1993-07-01,52.218012180402
1993-08-01,52.4074366502221
1993-09-01,52.7231440999222
1993-10-01,52.7547148448922
1993-11-01,52.8494270798023
1993-12-01,52.9757100596823
1994-01-01,53.1019930395624
1994-02-01,53.3229882543525
1994-03-01,53.4492712342325
1994-04-01,53.4808419792026
1994-05-01,53.5124127241726
1994-06-01,53.8281201738727
1994-07-01,53.9859738987228
1994-08-01,54.2069691135129
1994-09-01,54.3648228383629
1994-10-01,54.3648228383629
1994-11-01,54.427964328303
1994-12-01,54.522676563213
1995-01-01,54.9330962478232
1995-02-01,55.1540914626132
1995-03-01,55.2803744424933
1995-04-01,55.4066574223734
1995-05-01,55.5013696572834
1995-06-01,55.8486478519536
1995-07-01,55.9749308318336
1995-08-01,56.1643553016537
1995-09-01,56.2906382815337
1995-10-01,56.3853505164438
1995-11-01,56.3853505164438
1995-12-01,56.3537797714738
1996-01-01,56.5747749862639
1996-02-01,56.890482435964
1996-03-01,56.953623925904
1996-04-01,57.016765415844
1996-05-01,57.2693313756042
1996-06-01,57.5850388253043
1996-07-01,57.8060340400944
1996-08-01,57.9954585099145
1996-09-01,58.2795952146446
1996-10-01,58.2795952146446
1996-11-01,58.3427367045846
1996-12-01,58.4690196844647
1997-01-01,58.6900148992548
1997-02-01,58.8478686241048
1997-03-01,58.9425808590149
1997-04-01,58.9741516039849
1997-05-01,59.0057223489549
1997-06-01,59.384571288595
1997-07-01,59.6055665033851
1997-08-01,59.5739957584151
1997-09-01,59.8265617181752
1997-10-01,59.9212739530853
1997-11-01,59.9212739530853
1997-12-01,59.8265617181752
1998-01-01,59.9528446980553
1998-02-01,60.0159861879953
1998-03-01,60.1738399128454
1998-04-01,60.2369814027854
1998-05-01,60.3316936376954
