"Date","APUS49C72620"
2018-01-01,1.14
2018-02-01,1.187
2018-03-01,1.133
2018-04-01,1.062
2018-05-01,1.24
2018-06-01,1.28
2018-07-01,1.347
2018-08-01,1.564
2018-09-01,1.354
2018-10-01,1.267
2018-11-01,1.214
2018-12-01,1.36
2019-01-01,1.368
2019-02-01,1.299
2019-03-01,1.364
2019-04-01,1.227
2019-05-01,1.314
2019-06-01,1.325
2019-07-01,1.362
2019-08-01,1.349
2019-09-01,1.338
2019-10-01,1.378
2019-11-01,1.1
2019-12-01,1.205
2020-01-01,1.3
2020-02-01,1.233
2020-03-01,1.177
2020-04-01,1.22
2020-05-01,1.403
2020-06-01,1.422
2020-07-01,1.414
2020-08-01,1.409
2020-09-01,1.407
2020-10-01,1.42
2020-11-01,1.339
2020-12-01,1.356
2021-01-01,1.388
2021-02-01,1.358
2021-03-01,1.363
2021-04-01,1.316
2021-05-01,1.548
2021-06-01,1.583
2021-07-01,1.615
2021-08-01,1.635
2021-09-01,1.633
2021-10-01,1.73
2021-11-01,1.626
2021-12-01,1.589
2022-01-01,1.822
2022-02-01,1.614
2022-03-01,1.62
2022-04-01,1.58
2022-05-01,1.9
2022-06-01,2.173
2022-07-01,1.897
2022-08-01,2.105
2022-09-01,2.119
2022-10-01,1.814
2022-11-01,1.646
2022-12-01,1.976
2023-01-01,4.295
2023-02-01,2.182
2023-03-01,1.699
2023-04-01,1.545
2023-05-01,1.657
2023-06-01,1.667
2023-07-01,1.73
2023-08-01,1.84
2023-09-01,1.746
2023-10-01,1.651
2023-11-01,1.767
