"Date","CPIRECNS"
1993-01-01,89.5
1993-02-01,89.9
1993-03-01,90.3
1993-04-01,90.6
1993-05-01,90.2
1993-06-01,90.6
1993-07-01,90.5
1993-08-01,90.8
1993-09-01,91.2
1993-10-01,91.6
1993-11-01,91.7
1993-12-01,91.7
1994-01-01,92.1
1994-02-01,92.4
1994-03-01,92.6
1994-04-01,92.7
1994-05-01,92.7
1994-06-01,92.6
1994-07-01,92.7
1994-08-01,92.6
1994-09-01,92.8
1994-10-01,92.9
1994-11-01,93.2
1994-12-01,93
1995-01-01,93.5
1995-02-01,93.8
1995-03-01,93.9
1995-04-01,94.4
1995-05-01,94.5
1995-06-01,94.2
1995-07-01,94.3
1995-08-01,94.6
1995-09-01,95
1995-10-01,95.1
1995-11-01,95.5
1995-12-01,95.6
1996-01-01,96
1996-02-01,96.8
1996-03-01,96.9
1996-04-01,97.1
1996-05-01,97.1
1996-06-01,97.3
1996-07-01,97.5
1996-08-01,97.6
1996-09-01,97.8
1996-10-01,98.1
1996-11-01,98.4
1996-12-01,98.5
1997-01-01,98.8
1997-02-01,99.2
1997-03-01,99.4
1997-04-01,99.3
1997-05-01,99.4
1997-06-01,99.8
1997-07-01,99.8
1997-08-01,100
1997-09-01,99.9
1997-10-01,100
1997-11-01,100
1997-12-01,100
1998-01-01,100.3
1998-02-01,100.7
1998-03-01,101
1998-04-01,101.1
1998-05-01,101
1998-06-01,101.2
1998-07-01,101.1
1998-08-01,101.3
1998-09-01,101.3
1998-10-01,101.1
1998-11-01,101.3
1998-12-01,101.2
1999-01-01,101.7
1999-02-01,101.8
1999-03-01,101.8
1999-04-01,102
1999-05-01,102.2
1999-06-01,102.2
1999-07-01,102.2
1999-08-01,102.2
1999-09-01,101.7
1999-10-01,101.8
1999-11-01,101.9
1999-12-01,102
2000-01-01,102.3
2000-02-01,102.5
2000-03-01,102.9
2000-04-01,102.9
2000-05-01,103.1
2000-06-01,103.4
2000-07-01,103.7
2000-08-01,103.9
2000-09-01,103.8
2000-10-01,103.8
2000-11-01,103.7
2000-12-01,103.7
2001-01-01,104.1
2001-02-01,104.3
2001-03-01,104.3
2001-04-01,105
2001-05-01,105
2001-06-01,104.8
2001-07-01,105
2001-08-01,105.1
2001-09-01,105.2
2001-10-01,105.3
2001-11-01,105.5
2001-12-01,105.3
2002-01-01,105.7
2002-02-01,105.9
2002-03-01,106.1
2002-04-01,106.5
2002-05-01,106.4
2002-06-01,106.2
2002-07-01,106.2
2002-08-01,106.3
2002-09-01,106.2
2002-10-01,106.4
2002-11-01,106.4
2002-12-01,106.5
2003-01-01,106.9
2003-02-01,107.2
2003-03-01,107.4
2003-04-01,107.4
2003-05-01,107.6
2003-06-01,107.6
2003-07-01,107.7
2003-08-01,107.7
2003-09-01,107.7
2003-10-01,107.6
2003-11-01,107.8
2003-12-01,107.7
2004-01-01,107.9
2004-02-01,108.4
2004-03-01,108.8
2004-04-01,109
2004-05-01,108.8
2004-06-01,108.9
2004-07-01,108.7
2004-08-01,108.5
2004-09-01,108.6
2004-10-01,108.7
2004-11-01,108.7
2004-12-01,108.5
2005-01-01,108.9
2005-02-01,109
2005-03-01,109
2005-04-01,109.2
2005-05-01,109.5
2005-06-01,109.1
2005-07-01,109.1
2005-08-01,109.3
2005-09-01,109.7
2005-10-01,109.9
2005-11-01,109.8
2005-12-01,109.7
2006-01-01,109.9
2006-02-01,110.2
2006-03-01,110.6
2006-04-01,111.1
2006-05-01,111.2
2006-06-01,111.2
2006-07-01,111.3
2006-08-01,111.3
2006-09-01,111.1
2006-10-01,111.2
2006-11-01,111.2
2006-12-01,110.8
2007-01-01,111.012
2007-02-01,111.174
2007-03-01,111.244
2007-04-01,111.481
2007-05-01,111.659
2007-06-01,111.563
2007-07-01,111.347
2007-08-01,111.139
2007-09-01,111.4
2007-10-01,111.753
2007-11-01,111.842
2007-12-01,111.705
2008-01-01,112.083
2008-02-01,112.365
2008-03-01,112.731
2008-04-01,112.874
2008-05-01,112.987
2008-06-01,112.991
2008-07-01,113.277
2008-08-01,113.786
2008-09-01,114.032
2008-10-01,114.169
2008-11-01,114.078
2008-12-01,113.674
2009-01-01,113.822
2009-02-01,114.461
2009-03-01,114.625
2009-04-01,114.261
2009-05-01,114.264
2009-06-01,114.643
2009-07-01,114.619
2009-08-01,114.755
2009-09-01,114.629
2009-10-01,114.157
2009-11-01,113.82
2009-12-01,113.212
2010-01-01,113.31
2010-02-01,113.345
2010-03-01,113.339
2010-04-01,113.781
2010-05-01,113.684
2010-06-01,113.802
2010-07-01,113.689
2010-08-01,113.521
2010-09-01,113.12
2010-10-01,112.984
2010-11-01,112.839
2010-12-01,112.345
2011-01-01,112.638
2011-02-01,113.183
2011-03-01,113.261
2011-04-01,113.368
2011-05-01,113.659
2011-06-01,113.654
2011-07-01,113.492
2011-08-01,113.592
2011-09-01,113.44
2011-10-01,113.27
2011-11-01,113.232
2011-12-01,113.499
2012-01-01,114.183
2012-02-01,114.333
2012-03-01,114.675
2012-04-01,114.656
2012-05-01,114.689
2012-06-01,115.08
2012-07-01,114.944
2012-08-01,114.929
2012-09-01,114.963
2012-10-01,114.774
2012-11-01,114.763
2012-12-01,114.442
2013-01-01,114.816
2013-02-01,115.35
2013-03-01,115.386
2013-04-01,115.359
2013-05-01,115.57
2013-06-01,115.407
2013-07-01,115.384
2013-08-01,115.336
2013-09-01,115.203
2013-10-01,115.202
2013-11-01,115.325
2013-12-01,114.855
2014-01-01,115.275
2014-02-01,115.656
2014-03-01,115.763
2014-04-01,116.042
2014-05-01,116.018
2014-06-01,116.037
2014-07-01,115.838
2014-08-01,115.311
2014-09-01,115.286
2014-10-01,115.394
2014-11-01,115.026
2014-12-01,114.875
2015-01-01,115.288
2015-02-01,115.593
2015-03-01,115.835
2015-04-01,116.045
2015-05-01,116.19
2015-06-01,116.395
2015-07-01,116.355
2015-08-01,116.084
2015-09-01,116.024
2015-10-01,116.1
2015-11-01,115.763
2015-12-01,115.625
2016-01-01,116.062
2016-02-01,116.631
2016-03-01,117.071
2016-04-01,117.515
2016-05-01,117.512
2016-06-01,117.582
2016-07-01,117.358
2016-08-01,117.119
2016-09-01,116.945
2016-10-01,116.713
2016-11-01,116.746
2016-12-01,116.559
2017-01-01,117.337
2017-02-01,118.375
2017-03-01,118.573
2017-04-01,118.639
2017-05-01,118.577
2017-06-01,118.518
2017-07-01,118.863
2017-08-01,118.875
2017-09-01,118.87
2017-10-01,118.663
2017-11-01,118.42
2017-12-01,118.336
2018-01-01,118.647
2018-02-01,119.093
2018-03-01,119.281
2018-04-01,118.966
2018-05-01,118.851
2018-06-01,119.145
2018-07-01,119.272
2018-08-01,118.972
2018-09-01,119.163
2018-10-01,118.85
2018-11-01,119.147
2018-12-01,119.705
2019-01-01,120.265
2019-02-01,120.306
2019-03-01,120.743
2019-04-01,120.821
2019-05-01,120.254
2019-06-01,120.145
2019-07-01,120.128
2019-08-01,120.458
2019-09-01,120.357
2019-10-01,120.982
2019-11-01,121.381
2019-12-01,121.545
2020-01-01,121.986
2020-02-01,122.067
2020-03-01,122.265
2020-04-01,121.935
2020-05-01,122.779
2020-06-01,122.015
2020-07-01,121.304
2020-08-01,122.074
2020-09-01,122.188
2020-10-01,122.581
2020-11-01,123.016
2020-12-01,122.692
2021-01-01,122.14
2021-02-01,123.021
2021-03-01,123.567
2021-04-01,124.546
2021-05-01,124.769
2021-06-01,124.893
2021-07-01,125.588
2021-08-01,126.245
2021-09-01,126.438
2021-10-01,127.301
2021-11-01,126.952
2021-12-01,126.695
2022-01-01,127.937
2022-02-01,129.116
2022-03-01,129.437
2022-04-01,129.892
2022-05-01,130.36
2022-06-01,130.677
2022-07-01,131.087
2022-08-01,131.437
2022-09-01,131.581
2022-10-01,132.49
2022-11-01,132.965
2022-12-01,133.172
2023-01-01,134.077
2023-02-01,135.519
2023-03-01,135.693
2023-04-01,136.375
2023-05-01,136.28
2023-06-01,136.3
2023-07-01,136.401
2023-08-01,136.102
2023-09-01,136.687
2023-10-01,136.726
2023-11-01,136.292
