"Date","CUURA103SAR"
1997-12-01,100
1998-01-01,102.4
1998-02-01,NA
1998-03-01,104.5
1998-04-01,NA
1998-05-01,104.1
1998-06-01,NA
1998-07-01,103.2
1998-08-01,NA
1998-09-01,104.6
1998-10-01,NA
1998-11-01,104.2
1998-12-01,NA
1999-01-01,104.9
1999-02-01,NA
1999-03-01,105.6
1999-04-01,NA
1999-05-01,105.8
1999-06-01,NA
1999-07-01,105.7
1999-08-01,NA
1999-09-01,104.8
1999-10-01,NA
1999-11-01,103.9
1999-12-01,NA
2000-01-01,103.8
2000-02-01,NA
2000-03-01,103.9
2000-04-01,NA
2000-05-01,103.3
2000-06-01,NA
2000-07-01,104.8
2000-08-01,NA
2000-09-01,104.3
2000-10-01,NA
2000-11-01,103.8
2000-12-01,NA
2001-01-01,104.4
2001-02-01,NA
2001-03-01,105.1
2001-04-01,NA
2001-05-01,105.8
2001-06-01,NA
2001-07-01,105.9
2001-08-01,NA
2001-09-01,105.1
2001-10-01,NA
2001-11-01,105.7
2001-12-01,NA
2002-01-01,106.3
2002-02-01,NA
2002-03-01,106.5
2002-04-01,NA
2002-05-01,106.7
2002-06-01,NA
2002-07-01,106.8
2002-08-01,NA
2002-09-01,106.7
2002-10-01,NA
2002-11-01,107.9
2002-12-01,NA
2003-01-01,108.7
2003-02-01,NA
2003-03-01,108.8
2003-04-01,NA
2003-05-01,112.8
2003-06-01,NA
2003-07-01,113.3
2003-08-01,NA
2003-09-01,112.6
2003-10-01,NA
2003-11-01,110.6
2003-12-01,NA
2004-01-01,109.1
2004-02-01,NA
2004-03-01,108.2
2004-04-01,NA
2004-05-01,108.8
2004-06-01,NA
2004-07-01,107.9
2004-08-01,NA
2004-09-01,108.2
2004-10-01,NA
2004-11-01,108.8
2004-12-01,NA
2005-01-01,108.3
2005-02-01,NA
2005-03-01,110.2
2005-04-01,NA
2005-05-01,111.5
2005-06-01,NA
2005-07-01,111.4
2005-08-01,NA
2005-09-01,112.9
2005-10-01,NA
2005-11-01,112.2
2005-12-01,NA
2006-01-01,112.4
2006-02-01,NA
2006-03-01,113.3
2006-04-01,NA
2006-05-01,114.4
2006-06-01,NA
2006-07-01,116
2006-08-01,NA
2006-09-01,113.3
2006-10-01,NA
2006-11-01,115.9
2006-12-01,NA
2007-01-01,115.963
2007-02-01,NA
2007-03-01,115.152
2007-04-01,NA
2007-05-01,116.445
2007-06-01,NA
2007-07-01,116.714
2007-08-01,NA
2007-09-01,116.528
2007-10-01,NA
2007-11-01,117.052
2007-12-01,NA
2008-01-01,117.114
2008-02-01,NA
2008-03-01,118.301
2008-04-01,NA
2008-05-01,118.515
2008-06-01,NA
2008-07-01,118.31
2008-08-01,NA
2008-09-01,119.247
2008-10-01,NA
2008-11-01,120.174
2008-12-01,NA
2009-01-01,120.706
2009-02-01,NA
2009-03-01,120.616
2009-04-01,NA
2009-05-01,121.443
2009-06-01,NA
2009-07-01,122.432
2009-08-01,NA
2009-09-01,122.917
2009-10-01,NA
2009-11-01,124.757
