"Date","CUUR0000SEHG"
2022-03-01,269.621
2022-04-01,270.419
2022-05-01,270.844
2022-06-01,271.925
2022-07-01,273.097
2022-08-01,274.984
2022-09-01,276.759
2022-10-01,276.892
2022-11-01,277.824
2022-12-01,278.464
2023-01-01,281.461
2023-02-01,283.663
2023-03-01,284.166
2023-04-01,285.052
2023-05-01,286.322
2023-06-01,287.457
2023-07-01,289.005
2023-08-01,290.975
2023-09-01,291.279
2023-10-01,291.683
2023-11-01,292.694
