"Date","CUURA212SAC"
1966-11-01,35.7
1966-12-01,NA
1967-01-01,NA
1967-02-01,35.5
1967-03-01,NA
1967-04-01,NA
1967-05-01,35.8
1967-06-01,NA
1967-07-01,NA
1967-08-01,36.2
1967-09-01,NA
1967-10-01,NA
1967-11-01,36.4
1967-12-01,NA
1968-01-01,NA
1968-02-01,36.5
1968-03-01,NA
1968-04-01,NA
1968-05-01,36.7
1968-06-01,NA
1968-07-01,NA
1968-08-01,36.9
1968-09-01,NA
1968-10-01,NA
1968-11-01,37.3
1968-12-01,NA
1969-01-01,NA
1969-02-01,38.1
1969-03-01,NA
1969-04-01,NA
1969-05-01,38.7
1969-06-01,NA
1969-07-01,NA
1969-08-01,39
1969-09-01,NA
1969-10-01,NA
1969-11-01,40
1969-12-01,NA
1970-01-01,NA
1970-02-01,40.1
1970-03-01,NA
1970-04-01,NA
1970-05-01,40.4
1970-06-01,NA
1970-07-01,NA
1970-08-01,40.5
1970-09-01,NA
1970-10-01,NA
1970-11-01,41.1
1970-12-01,NA
1971-01-01,NA
1971-02-01,41.5
1971-03-01,NA
1971-04-01,NA
1971-05-01,41.6
1971-06-01,NA
1971-07-01,NA
1971-08-01,42.3
1971-09-01,NA
1971-10-01,NA
1971-11-01,42
1971-12-01,NA
1972-01-01,NA
1972-02-01,42.4
1972-03-01,NA
1972-04-01,NA
1972-05-01,42.6
1972-06-01,NA
1972-07-01,NA
1972-08-01,43.3
1972-09-01,NA
1972-10-01,NA
1972-11-01,43.5
1972-12-01,NA
1973-01-01,NA
1973-02-01,44.3
1973-03-01,NA
1973-04-01,NA
1973-05-01,45.7
1973-06-01,NA
1973-07-01,NA
1973-08-01,47.1
1973-09-01,NA
1973-10-01,NA
1973-11-01,48
1973-12-01,NA
1974-01-01,NA
1974-02-01,49.5
1974-03-01,NA
1974-04-01,NA
1974-05-01,50.9
1974-06-01,NA
1974-07-01,NA
1974-08-01,52.2
1974-09-01,NA
1974-10-01,NA
1974-11-01,53.9
1974-12-01,NA
1975-01-01,NA
1975-02-01,54.6
1975-03-01,NA
1975-04-01,NA
1975-05-01,55.2
1975-06-01,NA
1975-07-01,NA
1975-08-01,56.8
1975-09-01,NA
1975-10-01,NA
1975-11-01,57.5
1975-12-01,NA
1976-01-01,NA
1976-02-01,57.6
1976-03-01,NA
1976-04-01,NA
1976-05-01,58.7
1976-06-01,NA
1976-07-01,NA
1976-08-01,59.6
1976-09-01,NA
1976-10-01,NA
1976-11-01,60
1976-12-01,NA
1977-01-01,NA
1977-02-01,61.1
1977-03-01,NA
1977-04-01,NA
1977-05-01,62.4
1977-06-01,NA
1977-07-01,NA
1977-08-01,62.5
1977-09-01,NA
1977-10-01,NA
1977-11-01,63.3
1977-12-01,NA
1978-01-01,64.1
1978-02-01,NA
1978-03-01,64.8
1978-04-01,NA
1978-05-01,66.2
1978-06-01,NA
1978-07-01,67.3
1978-08-01,NA
1978-09-01,69
1978-10-01,NA
1978-11-01,69.5
1978-12-01,NA
1979-01-01,69.9
1979-02-01,NA
1979-03-01,72.4
1979-04-01,NA
1979-05-01,75.7
1979-06-01,NA
1979-07-01,77.7
1979-08-01,NA
1979-09-01,78.4
1979-10-01,NA
1979-11-01,79.9
1979-12-01,NA
1980-01-01,81.8
1980-02-01,NA
1980-03-01,84
1980-04-01,NA
1980-05-01,85.1
1980-06-01,NA
1980-07-01,84.8
1980-08-01,NA
1980-09-01,88.3
1980-10-01,NA
1980-11-01,89.4
1980-12-01,NA
1981-01-01,89.9
1981-02-01,NA
1981-03-01,90.8
1981-04-01,NA
1981-05-01,92.5
1981-06-01,NA
1981-07-01,94.2
1981-08-01,NA
1981-09-01,94.9
1981-10-01,NA
1981-11-01,94.8
1981-12-01,NA
1982-01-01,94.7
1982-02-01,NA
1982-03-01,94.8
1982-04-01,NA
1982-05-01,95.7
1982-06-01,NA
1982-07-01,97.7
1982-08-01,NA
1982-09-01,98.5
1982-10-01,NA
1982-11-01,98.9
1982-12-01,NA
1983-01-01,98.4
1983-02-01,NA
1983-03-01,98.5
1983-04-01,NA
1983-05-01,100
1983-06-01,NA
1983-07-01,99.9
1983-08-01,NA
1983-09-01,101.8
1983-10-01,NA
1983-11-01,101.7
1983-12-01,NA
1984-01-01,101.1
1984-02-01,NA
1984-03-01,102
1984-04-01,NA
1984-05-01,103.3
1984-06-01,NA
1984-07-01,103.5
1984-08-01,NA
1984-09-01,103.6
1984-10-01,NA
1984-11-01,103.8
1984-12-01,NA
1985-01-01,103.9
1985-02-01,NA
1985-03-01,105.1
1985-04-01,NA
1985-05-01,105.8
1985-06-01,NA
1985-07-01,105.7
1985-08-01,NA
1985-09-01,105.6
1985-10-01,NA
1985-11-01,106.3
1985-12-01,NA
1986-01-01,105.5
1986-02-01,NA
1986-03-01,102.7
1986-04-01,NA
1986-05-01,103.7
1986-06-01,NA
1986-07-01,102.9
1986-08-01,NA
1986-09-01,103.5
1986-10-01,NA
1986-11-01,104
1986-12-01,103.6
