"Date","CWSR0000SASL2RS"
1985-01-01,100.6
1985-02-01,100.8
1985-03-01,101.4
1985-04-01,101.7
1985-05-01,102.1
1985-06-01,102.4
1985-07-01,102.8
1985-08-01,103.1
1985-09-01,103.4
1985-10-01,103.9
1985-11-01,104.2
1985-12-01,104.6
1986-01-01,105.1
1986-02-01,105.7
1986-03-01,105.9
1986-04-01,106.2
1986-05-01,106.4
1986-06-01,107.2
1986-07-01,107.3
1986-08-01,107.7
1986-09-01,107.9
1986-10-01,108.1
1986-11-01,108.4
1986-12-01,108.7
1987-01-01,108.9
1987-02-01,109.1
1987-03-01,109.4
1987-04-01,109.8
1987-05-01,110.2
1987-06-01,110.7
1987-07-01,111
1987-08-01,111.5
1987-09-01,112.1
1987-10-01,112.2
1987-11-01,112.5
1987-12-01,112.6
1988-01-01,112.9
1988-02-01,113.3
1988-03-01,113.6
1988-04-01,114.2
1988-05-01,114.7
1988-06-01,115.2
1988-07-01,115.7
1988-08-01,116.2
1988-09-01,116.9
1988-10-01,117.6
1988-11-01,117.9
1988-12-01,118.5
1989-01-01,119.1
1989-02-01,119.5
1989-03-01,120
1989-04-01,120.4
1989-05-01,121
1989-06-01,121.5
1989-07-01,122
1989-08-01,122.4
1989-09-01,122.8
1989-10-01,123.2
1989-11-01,123.7
1989-12-01,124.3
1990-01-01,124.9
1990-02-01,125.6
1990-03-01,126.2
1990-04-01,126.6
1990-05-01,127.1
1990-06-01,127.7
1990-07-01,128.2
1990-08-01,128.9
1990-09-01,129.6
1990-10-01,130.3
1990-11-01,131.1
1990-12-01,131.4
1991-01-01,132.5
1991-02-01,133.3
1991-03-01,133.5
1991-04-01,133.6
1991-05-01,134.4
1991-06-01,134.7
1991-07-01,135.5
1991-08-01,136
1991-09-01,136.8
1991-10-01,137.2
1991-11-01,137.7
1991-12-01,138.1
1992-01-01,138.4
1992-02-01,138.8
1992-03-01,139.2
1992-04-01,139.9
1992-05-01,140.3
1992-06-01,140.6
1992-07-01,141.1
1992-08-01,141.5
1992-09-01,141.9
1992-10-01,142.7
1992-11-01,143.4
1992-12-01,143.7
1993-01-01,144.2
1993-02-01,144.5
1993-03-01,145.1
1993-04-01,145.6
1993-05-01,146.4
1993-06-01,147
1993-07-01,147.4
1993-08-01,147.9
1993-09-01,148.4
1993-10-01,148.8
1993-11-01,149.1
1993-12-01,149.8
1994-01-01,149.9
1994-02-01,150.4
1994-03-01,150.8
1994-04-01,151.1
1994-05-01,151.4
1994-06-01,151.9
1994-07-01,152.2
1994-08-01,152.7
1994-09-01,153
1994-10-01,153.3
1994-11-01,153.9
1994-12-01,154.3
1995-01-01,155.3
1995-02-01,155.8
1995-03-01,156.3
1995-04-01,156.7
1995-05-01,157.1
1995-06-01,157.4
1995-07-01,157.5
1995-08-01,158.3
1995-09-01,158.3
1995-10-01,159.1
1995-11-01,159.2
1995-12-01,159.6
1996-01-01,160
1996-02-01,160.5
1996-03-01,160.8
1996-04-01,161.3
1996-05-01,162.1
1996-06-01,162.3
1996-07-01,162.9
1996-08-01,163.4
1996-09-01,164
1996-10-01,164.4
1996-11-01,164.9
1996-12-01,165.4
1997-01-01,165.9
1997-02-01,166.2
1997-03-01,166.5
1997-04-01,166.8
1997-05-01,166.9
1997-06-01,167.4
1997-07-01,167.7
1997-08-01,167.8
1997-09-01,168.3
1997-10-01,169
1997-11-01,169.3
1997-12-01,169.2
1998-01-01,169.3
1998-02-01,169.3
1998-03-01,169.9
1998-04-01,170.2
1998-05-01,170.6
1998-06-01,170.8
1998-07-01,170.9
1998-08-01,171
1998-09-01,171.3
1998-10-01,171.3
1998-11-01,171.6
1998-12-01,171.9
1999-01-01,172.1
1999-02-01,172.5
1999-03-01,172.9
1999-04-01,173.2
1999-05-01,173.4
1999-06-01,173.5
1999-07-01,174
1999-08-01,174.4
1999-09-01,175
1999-10-01,175.5
1999-11-01,176
1999-12-01,176.3
2000-01-01,176.7
2000-02-01,177.2
2000-03-01,177.7
2000-04-01,178.2
2000-05-01,178.6
