"Date","CUURA316SAH"
1975-11-01,46
1975-12-01,NA
1976-01-01,NA
1976-02-01,47
1976-03-01,NA
1976-04-01,NA
1976-05-01,47.7
1976-06-01,NA
1976-07-01,NA
1976-08-01,48.4
1976-09-01,NA
1976-10-01,NA
1976-11-01,49.4
1976-12-01,NA
1977-01-01,NA
1977-02-01,50
1977-03-01,NA
1977-04-01,NA
1977-05-01,51.4
1977-06-01,NA
1977-07-01,NA
1977-08-01,52.4
1977-09-01,NA
1977-10-01,NA
1977-11-01,53
1977-12-01,NA
1978-01-01,NA
1978-02-01,54.3
1978-03-01,NA
1978-04-01,55.3
1978-05-01,NA
1978-06-01,56.7
1978-07-01,NA
1978-08-01,58.2
1978-09-01,NA
1978-10-01,59
1978-11-01,NA
1978-12-01,58.9
1979-01-01,NA
1979-02-01,60.4
1979-03-01,NA
1979-04-01,62
1979-05-01,NA
1979-06-01,64.8
1979-07-01,NA
1979-08-01,66.9
1979-09-01,NA
1979-10-01,69.3
1979-11-01,NA
1979-12-01,71.3
1980-01-01,NA
1980-02-01,73.6
1980-03-01,NA
1980-04-01,77.7
1980-05-01,NA
1980-06-01,80.2
1980-07-01,NA
1980-08-01,80.1
1980-09-01,NA
1980-10-01,82.7
1980-11-01,NA
1980-12-01,85
1981-01-01,NA
1981-02-01,86.1
1981-03-01,NA
1981-04-01,87.6
1981-05-01,NA
1981-06-01,90.8
1981-07-01,NA
1981-08-01,91
1981-09-01,NA
1981-10-01,92.9
1981-11-01,NA
1981-12-01,94.5
1982-01-01,NA
1982-02-01,92.5
1982-03-01,NA
1982-04-01,95.9
1982-05-01,NA
1982-06-01,98.5
1982-07-01,NA
1982-08-01,97.4
1982-09-01,NA
1982-10-01,98.4
1982-11-01,NA
1982-12-01,95.8
1983-01-01,NA
1983-02-01,96.7
1983-03-01,NA
1983-04-01,97.9
1983-05-01,NA
1983-06-01,101.3
1983-07-01,NA
1983-08-01,101
1983-09-01,NA
1983-10-01,101.3
1983-11-01,NA
1983-12-01,100.7
1984-01-01,NA
1984-02-01,103
1984-03-01,NA
1984-04-01,102.8
1984-05-01,NA
1984-06-01,104
1984-07-01,NA
1984-08-01,105.3
1984-09-01,NA
1984-10-01,106.3
1984-11-01,NA
1984-12-01,103.4
1985-01-01,NA
1985-02-01,105
1985-03-01,NA
1985-04-01,105.6
1985-05-01,NA
1985-06-01,107.9
1985-07-01,NA
1985-08-01,110
1985-09-01,NA
1985-10-01,109.1
1985-11-01,NA
1985-12-01,107.7
1986-01-01,NA
1986-02-01,109.7
1986-03-01,NA
1986-04-01,109.8
1986-05-01,NA
1986-06-01,111.3
1986-07-01,NA
1986-08-01,111.6
1986-09-01,NA
1986-10-01,110
1986-11-01,NA
1986-12-01,107.1
1987-01-01,NA
1987-02-01,108
1987-03-01,NA
1987-04-01,109.1
1987-05-01,NA
1987-06-01,109.7
1987-07-01,NA
1987-08-01,110.5
1987-09-01,NA
1987-10-01,111.4
1987-11-01,NA
1987-12-01,108.9
1988-01-01,NA
1988-02-01,107.9
1988-03-01,NA
1988-04-01,109.2
1988-05-01,NA
1988-06-01,109.4
1988-07-01,NA
1988-08-01,111.9
1988-09-01,NA
1988-10-01,111.2
1988-11-01,NA
1988-12-01,109.2
1989-01-01,NA
1989-02-01,110.3
1989-03-01,NA
1989-04-01,109.7
1989-05-01,NA
1989-06-01,112.4
1989-07-01,NA
1989-08-01,112.9
1989-09-01,NA
1989-10-01,113.7
1989-11-01,NA
1989-12-01,111.2
1990-01-01,NA
