"Date","CUURA320SEHA"
1977-11-01,64.9
1977-12-01,NA
1978-01-01,65.8
1978-02-01,NA
1978-03-01,66.4
1978-04-01,NA
1978-05-01,66
1978-06-01,NA
1978-07-01,66.8
1978-08-01,NA
1978-09-01,67.8
1978-10-01,NA
1978-11-01,67.3
1978-12-01,NA
1979-01-01,68.2
1979-02-01,NA
1979-03-01,69.3
1979-04-01,NA
1979-05-01,70.4
1979-06-01,NA
1979-07-01,70.5
1979-08-01,NA
1979-09-01,72
1979-10-01,NA
1979-11-01,73
1979-12-01,NA
1980-01-01,75
1980-02-01,NA
1980-03-01,78.8
1980-04-01,NA
1980-05-01,79.1
1980-06-01,NA
1980-07-01,81.7
1980-08-01,NA
1980-09-01,81.3
1980-10-01,NA
1980-11-01,84.1
1980-12-01,NA
1981-01-01,89.2
1981-02-01,NA
1981-03-01,90.5
1981-04-01,NA
1981-05-01,91.8
1981-06-01,NA
1981-07-01,91.4
1981-08-01,NA
1981-09-01,90.6
1981-10-01,NA
1981-11-01,94
1981-12-01,NA
1982-01-01,96.2
1982-02-01,NA
1982-03-01,96.7
1982-04-01,NA
1982-05-01,98.3
1982-06-01,NA
1982-07-01,96.1
1982-08-01,NA
1982-09-01,96.7
1982-10-01,NA
1982-11-01,98.9
1982-12-01,NA
1983-01-01,99.9
1983-02-01,NA
1983-03-01,101.2
1983-04-01,NA
1983-05-01,99.9
1983-06-01,NA
1983-07-01,101.5
1983-08-01,NA
1983-09-01,101.8
1983-10-01,NA
1983-11-01,101.3
1983-12-01,NA
1984-01-01,101.5
1984-02-01,NA
1984-03-01,101.4
1984-04-01,NA
1984-05-01,101.7
1984-06-01,NA
1984-07-01,101.4
1984-08-01,NA
1984-09-01,102.2
1984-10-01,NA
1984-11-01,101.8
1984-12-01,NA
1985-01-01,102.3
1985-02-01,NA
1985-03-01,102.1
1985-04-01,NA
1985-05-01,103.5
1985-06-01,NA
1985-07-01,103.6
1985-08-01,NA
1985-09-01,106.2
1985-10-01,NA
1985-11-01,105.3
1985-12-01,NA
1986-01-01,105.2
1986-02-01,NA
1986-03-01,106.1
1986-04-01,NA
1986-05-01,105.9
1986-06-01,NA
1986-07-01,106.3
1986-08-01,NA
1986-09-01,106.7
1986-10-01,NA
1986-11-01,106.4
1986-12-01,106.6
1987-01-01,106.8
1987-02-01,106.7
1987-03-01,107.4
1987-04-01,107.4
1987-05-01,107.1
1987-06-01,106.8
1987-07-01,108.2
1987-08-01,108.1
1987-09-01,108.1
1987-10-01,108.7
1987-11-01,108.7
1987-12-01,108.6
1988-01-01,110.1
1988-02-01,110.3
1988-03-01,109
1988-04-01,110.2
1988-05-01,110.8
1988-06-01,111
1988-07-01,111
1988-08-01,110.9
1988-09-01,113.6
1988-10-01,113.2
1988-11-01,112.6
1988-12-01,112.7
1989-01-01,112.6
1989-02-01,113
1989-03-01,112
1989-04-01,116.4
1989-05-01,116
1989-06-01,115.6
1989-07-01,115.1
1989-08-01,115.6
1989-09-01,113.5
1989-10-01,114.8
1989-11-01,115.4
1989-12-01,115.4
1990-01-01,115.5
1990-02-01,115.6
1990-03-01,112.5
1990-04-01,115.6
1990-05-01,115.6
1990-06-01,117.4
1990-07-01,119
1990-08-01,119.1
1990-09-01,120.8
1990-10-01,119.7
1990-11-01,118.6
1990-12-01,118.6
1991-01-01,118.2
1991-02-01,118.7
1991-03-01,120.4
1991-04-01,121.3
1991-05-01,121.7
1991-06-01,121.2
1991-07-01,120.6
1991-08-01,120.7
1991-09-01,122
1991-10-01,122.3
1991-11-01,125.2
1991-12-01,124.6
1992-01-01,124.4
1992-02-01,123.7
1992-03-01,125.7
1992-04-01,125.1
1992-05-01,124.2
1992-06-01,124.6
1992-07-01,125.5
1992-08-01,125.2
1992-09-01,124.1
1992-10-01,124.7
1992-11-01,125.9
1992-12-01,126.1
1993-01-01,127.3
1993-02-01,127.9
1993-03-01,126.8
1993-04-01,128.1
1993-05-01,128.4
1993-06-01,128.7
1993-07-01,130.6
1993-08-01,132.9
1993-09-01,133.2
1993-10-01,132.8
1993-11-01,131
1993-12-01,132.2
1994-01-01,133.2
1994-02-01,134.2
1994-03-01,136.5
1994-04-01,137.6
1994-05-01,137.2
1994-06-01,137.2
1994-07-01,137
1994-08-01,137
1994-09-01,138.4
1994-10-01,138.5
1994-11-01,139.3
1994-12-01,139.1
1995-01-01,139.4
1995-02-01,139.8
1995-03-01,139.7
1995-04-01,139.7
1995-05-01,140.4
1995-06-01,140.7
1995-07-01,140.9
1995-08-01,141.7
1995-09-01,142
1995-10-01,142.6
1995-11-01,142.7
1995-12-01,143.2
1996-01-01,143.8
1996-02-01,144.1
1996-03-01,144.4
1996-04-01,144.9
1996-05-01,145.4
1996-06-01,145.7
1996-07-01,145.5
1996-08-01,145.8
1996-09-01,146.2
1996-10-01,146.6
1996-11-01,146.9
1996-12-01,147.3
1997-01-01,147.7
1997-02-01,147.8
1997-03-01,147.6
1997-04-01,148
1997-05-01,148.1
1997-06-01,148.5
1997-07-01,148.8
1997-08-01,149.3
1997-09-01,149.2
1997-10-01,149.3
1997-11-01,149.5
1997-12-01,149.9
1998-01-01,149.9
1998-02-01,150.3
1998-03-01,150.9
1998-04-01,150.9
1998-05-01,150.9
1998-06-01,151.1
1998-07-01,151.4
1998-08-01,151.5
1998-09-01,151.4
1998-10-01,151.9
1998-11-01,152.1
1998-12-01,152.6
1999-01-01,152
1999-02-01,152.5
1999-03-01,152.9
1999-04-01,152.7
1999-05-01,152.8
1999-06-01,152.9
1999-07-01,153
1999-08-01,153
1999-09-01,153.1
1999-10-01,153.2
1999-11-01,153.4
1999-12-01,153.6
2000-01-01,154.2
2000-02-01,154.1
2000-03-01,154.4
2000-04-01,154.7
2000-05-01,154.7
2000-06-01,155.4
2000-07-01,155.6
2000-08-01,156
2000-09-01,156.6
2000-10-01,156.7
2000-11-01,157.2
2000-12-01,157
2001-01-01,157.4
2001-02-01,158.3
2001-03-01,158.8
2001-04-01,159
2001-05-01,159.4
2001-06-01,160
2001-07-01,160.7
2001-08-01,161.4
2001-09-01,162.3
2001-10-01,162.5
2001-11-01,163.4
2001-12-01,164
2002-01-01,164.6
2002-02-01,165.4
2002-03-01,165.7
2002-04-01,166.3
2002-05-01,167.2
2002-06-01,167.8
2002-07-01,168.5
2002-08-01,169.4
2002-09-01,170.3
2002-10-01,171.2
2002-11-01,171.8
2002-12-01,171.9
2003-01-01,172.4
2003-02-01,172.8
2003-03-01,173.1
2003-04-01,173.3
2003-05-01,173.5
2003-06-01,173.8
2003-07-01,174
2003-08-01,175
2003-09-01,175.5
2003-10-01,176.1
2003-11-01,177.3
2003-12-01,178.4
2004-01-01,178.8
2004-02-01,180.2
2004-03-01,181.2
2004-04-01,183.1
