"Date","CUUR0400SAH"
1977-12-01,60.1
1978-01-01,NA
1978-02-01,60.8
1978-03-01,NA
1978-04-01,61.9
1978-05-01,NA
1978-06-01,63.2
1978-07-01,NA
1978-08-01,64.1
1978-09-01,NA
1978-10-01,65.5
1978-11-01,NA
1978-12-01,64.9
1979-01-01,NA
1979-02-01,66.6
1979-03-01,NA
1979-04-01,68.2
1979-05-01,NA
1979-06-01,70
1979-07-01,NA
1979-08-01,72.1
1979-09-01,NA
1979-10-01,74.1
1979-11-01,NA
1979-12-01,76.8
1980-01-01,NA
1980-02-01,79.7
1980-03-01,NA
1980-04-01,81.9
1980-05-01,NA
1980-06-01,84.7
1980-07-01,NA
1980-08-01,83.6
1980-09-01,NA
1980-10-01,85.1
1980-11-01,NA
1980-12-01,87.2
1981-01-01,NA
1981-02-01,88.1
1981-03-01,NA
1981-04-01,89.9
1981-05-01,NA
1981-06-01,91.4
1981-07-01,NA
1981-08-01,94.1
1981-09-01,NA
1981-10-01,97.9
1981-11-01,NA
1981-12-01,96.8
1982-01-01,NA
1982-02-01,98.3
1982-03-01,NA
1982-04-01,99.2
1982-05-01,NA
1982-06-01,99.5
1982-07-01,NA
1982-08-01,99.2
1982-09-01,NA
1982-10-01,98.5
1982-11-01,NA
1982-12-01,95.4
1983-01-01,NA
1983-02-01,96.5
1983-03-01,NA
1983-04-01,96.9
1983-05-01,NA
1983-06-01,98
1983-07-01,NA
1983-08-01,99.1
1983-09-01,NA
1983-10-01,100.2
1983-11-01,NA
1983-12-01,99.8
1984-01-01,NA
1984-02-01,100.8
1984-03-01,NA
1984-04-01,102
1984-05-01,NA
1984-06-01,103.6
1984-07-01,NA
1984-08-01,104.7
1984-09-01,NA
1984-10-01,105.4
1984-11-01,NA
1984-12-01,105
1985-01-01,NA
1985-02-01,106.2
1985-03-01,NA
1985-04-01,106.9
1985-05-01,NA
1985-06-01,108.7
1985-07-01,NA
1985-08-01,110.6
1985-09-01,NA
1985-10-01,111.4
1985-11-01,NA
1985-12-01,110.5
1986-01-01,NA
1986-02-01,111.1
1986-03-01,NA
1986-04-01,111.7
1986-05-01,NA
1986-06-01,113
1986-07-01,NA
1986-08-01,113.9
1986-09-01,NA
1986-10-01,115.3
1986-11-01,NA
1986-12-01,113.7
1987-01-01,113.9
1987-02-01,114.8
1987-03-01,115.1
1987-04-01,115.9
1987-05-01,116.5
1987-06-01,116.4
1987-07-01,116.8
1987-08-01,117.2
1987-09-01,117.8
1987-10-01,118.2
1987-11-01,117.8
1987-12-01,118
1988-01-01,118.6
1988-02-01,119
1988-03-01,119.6
1988-04-01,119.4
1988-05-01,120.4
1988-06-01,120.7
1988-07-01,121
1988-08-01,121.6
1988-09-01,121.8
1988-10-01,122.2
1988-11-01,122
1988-12-01,122.1
1989-01-01,122.6
1989-02-01,122.9
1989-03-01,123.3
1989-04-01,122.8
1989-05-01,123.7
1989-06-01,124.2
1989-07-01,125.7
1989-08-01,125.9
1989-09-01,126.2
1989-10-01,126.5
1989-11-01,126.6
1989-12-01,127.1
1990-01-01,128
1990-02-01,128.6
1990-03-01,129.2
1990-04-01,128.8
1990-05-01,129.4
1990-06-01,130.7
1990-07-01,131.4
1990-08-01,132.2
1990-09-01,133.1
1990-10-01,133.3
1990-11-01,132.9
1990-12-01,133.5
1991-01-01,135
1991-02-01,135.4
1991-03-01,135.5
1991-04-01,135.8
1991-05-01,135.6
1991-06-01,136.4
1991-07-01,137.3
1991-08-01,137.9
1991-09-01,138.4
1991-10-01,138.2
1991-11-01,138.4
1991-12-01,138.4
1992-01-01,139.5
1992-02-01,140.2
1992-03-01,140.6
1992-04-01,140.5
1992-05-01,140.4
1992-06-01,140.7
1992-07-01,141.3
1992-08-01,141.4
1992-09-01,141.9
1992-10-01,142.4
1992-11-01,142.6
1992-12-01,142.6
1993-01-01,143.2
1993-02-01,143.3
1993-03-01,143.4
1993-04-01,144.1
1993-05-01,144.2
1993-06-01,144.6
1993-07-01,145
1993-08-01,145.2
1993-09-01,145.4
1993-10-01,145.4
1993-11-01,145.7
1993-12-01,146.1
1994-01-01,146.7
1994-02-01,147.2
1994-03-01,147.5
1994-04-01,147.1
1994-05-01,147.1
1994-06-01,147.5
1994-07-01,148.3
1994-08-01,148.8
1994-09-01,149.1
1994-10-01,149.3
1994-11-01,148.8
1994-12-01,148.8
1995-01-01,149.9
1995-02-01,150.5
1995-03-01,150.8
1995-04-01,150.9
1995-05-01,151.5
1995-06-01,151.9
1995-07-01,152
1995-08-01,152.4
1995-09-01,152.9
1995-10-01,153
1995-11-01,152.4
1995-12-01,152.9
1996-01-01,153.5
1996-02-01,153.9
1996-03-01,153.4
1996-04-01,153.8
1996-05-01,154.5
1996-06-01,154.5
1996-07-01,155.8
1996-08-01,156.1
1996-09-01,156.5
1996-10-01,156.9
1996-11-01,156.8
1996-12-01,156.5
1997-01-01,157.5
1997-02-01,157.9
1997-03-01,158.2
1997-04-01,158.4
1997-05-01,159
1997-06-01,159.2
1997-07-01,159.8
1997-08-01,160
1997-09-01,160.3
1997-10-01,161.1
1997-11-01,161.3
1997-12-01,161.7
1998-01-01,161.8
1998-02-01,162.3
1998-03-01,162.9
1998-04-01,163.1
1998-05-01,163.7
1998-06-01,164
1998-07-01,164.6
1998-08-01,165.3
1998-09-01,165.8
1998-10-01,165.9
1998-11-01,166.4
1998-12-01,166.5
1999-01-01,167.1
1999-02-01,167.7
1999-03-01,168
1999-04-01,168.5
1999-05-01,168.8
1999-06-01,169.4
1999-07-01,170.2
1999-08-01,170.6
1999-09-01,171.3
1999-10-01,171.5
1999-11-01,171.6
1999-12-01,171.6
2000-01-01,172.8
2000-02-01,173.7
2000-03-01,174.3
2000-04-01,174.5
2000-05-01,175
2000-06-01,175.9
2000-07-01,177
2000-08-01,177.8
2000-09-01,178.1
2000-10-01,179.1
2000-11-01,179.3
2000-12-01,179.8
2001-01-01,182.1
2001-02-01,183.2
2001-03-01,183.9
2001-04-01,184.2
2001-05-01,185.3
2001-06-01,187
2001-07-01,187.6
2001-08-01,188.4
2001-09-01,188.3
2001-10-01,188.5
2001-11-01,188.7
2001-12-01,189.1
2002-01-01,190.1
2002-02-01,191
2002-03-01,191.3
2002-04-01,192.2
2002-05-01,191.5
2002-06-01,191.7
2002-07-01,192.1
2002-08-01,192.9
2002-09-01,193.1
