"Date","CUUR0000SEFS"
1967-01-01,37.6
1967-02-01,37.4
1967-03-01,37.3
1967-04-01,37
1967-05-01,37
1967-06-01,36.9
1967-07-01,36.7
1967-08-01,36.7
1967-09-01,36.9
1967-10-01,36.9
1967-11-01,36.8
1967-12-01,36.9
1968-01-01,37
1968-02-01,36.8
1968-03-01,36.8
1968-04-01,36.8
1968-05-01,36.7
1968-06-01,36.7
1968-07-01,36.7
1968-08-01,36.6
1968-09-01,36.5
1968-10-01,36.5
1968-11-01,36.6
1968-12-01,36.5
1969-01-01,36.7
1969-02-01,36.7
1969-03-01,36.8
1969-04-01,36.7
1969-05-01,36.8
1969-06-01,37
1969-07-01,36.9
1969-08-01,36.8
1969-09-01,36.7
1969-10-01,36.8
1969-11-01,37
1969-12-01,37.2
1970-01-01,37.4
1970-02-01,37.4
1970-03-01,37.7
1970-04-01,38.3
1970-05-01,39.1
1970-06-01,39.3
1970-07-01,39.6
1970-08-01,39.7
1970-09-01,39.8
1970-10-01,40.2
1970-11-01,40.4
1970-12-01,40.9
1971-01-01,41.3
1971-02-01,41.7
1971-03-01,41.9
1971-04-01,42.4
1971-05-01,42.6
1971-06-01,42.6
1971-07-01,42.7
1971-08-01,43.1
1971-09-01,43.4
1971-10-01,43.5
1971-11-01,43.6
1971-12-01,43.6
1972-01-01,43.5
1972-02-01,43.6
1972-03-01,43.7
1972-04-01,43.6
1972-05-01,43.4
1972-06-01,43.1
1972-07-01,42.9
1972-08-01,42.8
1972-09-01,42.9
1972-10-01,42.9
1972-11-01,42.8
1972-12-01,42.7
1973-01-01,42.7
1973-02-01,42.7
1973-03-01,43
1973-04-01,43.7
1973-05-01,44.3
1973-06-01,44.9
1973-07-01,44.9
1973-08-01,45.8
1973-09-01,48.4
1973-10-01,52.6
1973-11-01,53.9
1973-12-01,54.2
1974-01-01,54.7
1974-02-01,56.4
1974-03-01,60
1974-04-01,62.8
1974-05-01,63.3
1974-06-01,63.7
1974-07-01,63.8
1974-08-01,66.5
1974-09-01,73.5
1974-10-01,75.4
1974-11-01,77.8
1974-12-01,78.7
1975-01-01,79.5
1975-02-01,79.5
1975-03-01,78.9
1975-04-01,77.6
1975-05-01,75.1
1975-06-01,72.5
1975-07-01,70.9
1975-08-01,70.1
1975-09-01,70.2
1975-10-01,69.9
1975-11-01,69.2
1975-12-01,68.8
1976-01-01,67.5
1976-02-01,65.6
1976-03-01,64.8
1976-04-01,63.5
1976-05-01,63.1
1976-06-01,63.1
1976-07-01,62.8
1976-08-01,62.6
1976-09-01,63.3
1976-10-01,64.5
1976-11-01,65
1976-12-01,65.6
1977-01-01,66.2
1977-02-01,66.4
1977-03-01,66.9
1977-04-01,67.9
1977-05-01,69.8
1977-06-01,72.1
1977-07-01,73.5
1977-08-01,74.4
1977-09-01,74
1977-10-01,73.2
1977-11-01,73
1977-12-01,72.6
1978-01-01,73.3
1978-02-01,73.6
1978-03-01,74.2
1978-04-01,75.7
1978-05-01,76.9
1978-06-01,78
1978-07-01,79
1978-08-01,79.4
1978-09-01,79.7
1978-10-01,80
1978-11-01,80.3
1978-12-01,80.5
1979-01-01,80.7
1979-02-01,81.1
1979-03-01,81.2
1979-04-01,82.3
1979-05-01,83.4
1979-06-01,83.7
1979-07-01,84.2
1979-08-01,84.7
1979-09-01,85.7
1979-10-01,85.8
1979-11-01,86
1979-12-01,86.2
1980-01-01,86.6
1980-02-01,87.3
1980-03-01,87.6
1980-04-01,88.2
1980-05-01,88.6
1980-06-01,88.8
1980-07-01,88.6
1980-08-01,89.6
1980-09-01,90.1
1980-10-01,91
1980-11-01,91.6
1980-12-01,93.2
1981-01-01,96.4
1981-02-01,98.9
1981-03-01,99.5
1981-04-01,100
1981-05-01,100.2
1981-06-01,99.8
1981-07-01,99.5
1981-08-01,99.6
1981-09-01,99.4
1981-10-01,99.4
1981-11-01,97
1981-12-01,96.6
1982-01-01,96.8
1982-02-01,96.4
1982-03-01,96.1
1982-04-01,96.4
