"Date","CUUR0000SAA2"
1947-01-01,53.4
1947-02-01,54.2
1947-03-01,55.3
1947-04-01,55.4
1947-05-01,55.4
1947-06-01,55.5
1947-07-01,55.1
1947-08-01,55.7
1947-09-01,56.4
1947-10-01,56.8
1947-11-01,57.1
1947-12-01,57.2
1948-01-01,57
1948-02-01,57.8
1948-03-01,58.2
1948-04-01,58.2
1948-05-01,58.4
1948-06-01,58.2
1948-07-01,58.2
1948-08-01,59.7
1948-09-01,60.2
1948-10-01,60.5
1948-11-01,60.5
1948-12-01,60.1
1949-01-01,58.5
1949-02-01,57.8
1949-03-01,57.4
1949-04-01,56.8
1949-05-01,56.3
1949-06-01,55.7
1949-07-01,54.9
1949-08-01,54.5
1949-09-01,54.5
1949-10-01,54.2
1949-11-01,53.9
1949-12-01,53.5
1950-01-01,53.1
1950-02-01,53
1950-03-01,53.2
1950-04-01,52.9
1950-05-01,52.9
1950-06-01,52.9
1950-07-01,52.9
1950-08-01,53.1
1950-09-01,54.6
1950-10-01,55.5
1950-11-01,55.7
1950-12-01,55.9
1951-01-01,56.3
1951-02-01,57.5
1951-03-01,57.9
1951-04-01,57.9
1951-05-01,57.9
1951-06-01,57.7
1951-07-01,57.2
1951-08-01,57.1
1951-09-01,59.4
1951-10-01,59.1
1951-11-01,58.8
1951-12-01,58.4
1952-01-01,57.6
1952-02-01,57.8
1952-03-01,57.5
1952-04-01,57.2
1952-05-01,57.1
1952-06-01,57
1952-07-01,56.8
1952-08-01,56.6
1952-09-01,57.6
1952-10-01,57.6
1952-11-01,57.1
1952-12-01,57
1953-01-01,56.6
1953-02-01,56.3
1953-03-01,56.5
1953-04-01,56.4
1953-05-01,56.4
1953-06-01,56.3
1953-07-01,56.1
1953-08-01,56
1953-09-01,57
1953-10-01,57.2
1953-11-01,57.1
1953-12-01,57
1954-01-01,56.6
1954-02-01,56.5
1954-03-01,56.2
1954-04-01,55.8
1954-05-01,55.9
1954-06-01,55.9
1954-07-01,55.7
1954-08-01,55.4
1954-09-01,56.2
1954-10-01,56.5
1954-11-01,56.5
1954-12-01,56.2
1955-01-01,55.3
1955-02-01,55.4
1955-03-01,55.3
1955-04-01,55.1
1955-05-01,55.2
1955-06-01,55.2
1955-07-01,55
1955-08-01,55.3
1955-09-01,56.5
1955-10-01,56.5
1955-11-01,56.3
1955-12-01,56.2
1956-01-01,55.5
1956-02-01,55.8
1956-03-01,55.8
1956-04-01,55.7
1956-05-01,55.5
