"Date","CUUR0200SAF11"
1977-12-01,69.3
1978-01-01,70.5
1978-02-01,71.5
1978-03-01,72.4
1978-04-01,73.7
1978-05-01,75
1978-06-01,76.4
1978-07-01,77
1978-08-01,76.9
1978-09-01,76.9
1978-10-01,77.3
1978-11-01,77.7
1978-12-01,78.5
1979-01-01,80.3
1979-02-01,81.9
1979-03-01,82.4
1979-04-01,83
1979-05-01,83.5
1979-06-01,83.9
1979-07-01,84.3
1979-08-01,83.6
1979-09-01,83.9
1979-10-01,84
1979-11-01,84.3
1979-12-01,85.2
1980-01-01,85.7
1980-02-01,86.1
1980-03-01,86.9
1980-04-01,87.5
1980-05-01,88
1980-06-01,88.3
1980-07-01,89.8
1980-08-01,91.5
1980-09-01,92.3
1980-10-01,92.8
1980-11-01,93.5
1980-12-01,94.1
1981-01-01,94.5
1981-02-01,95.2
1981-03-01,95.2
1981-04-01,95.2
1981-05-01,95
1981-06-01,95.5
1981-07-01,96.4
1981-08-01,96.8
1981-09-01,96.7
1981-10-01,96.5
1981-11-01,96.2
1981-12-01,96.4
1982-01-01,97.2
1982-02-01,98.1
1982-03-01,97.7
1982-04-01,98.2
1982-05-01,99
1982-06-01,100.1
1982-07-01,100.2
1982-08-01,99.5
1982-09-01,99.4
1982-10-01,98.8
1982-11-01,98.6
1982-12-01,98.1
1983-01-01,98.8
1983-02-01,99
1983-03-01,99.4
1983-04-01,99.6
1983-05-01,99.7
1983-06-01,99.5
1983-07-01,99.1
1983-08-01,98.9
1983-09-01,99
1983-10-01,98.5
1983-11-01,98.3
1983-12-01,98.6
1984-01-01,101.1
1984-02-01,102.4
1984-03-01,102.2
1984-04-01,102.5
1984-05-01,101.7
1984-06-01,102
1984-07-01,102.4
1984-08-01,103.1
1984-09-01,102.5
1984-10-01,102.4
1984-11-01,102
1984-12-01,102.5
1985-01-01,103.1
1985-02-01,103.8
1985-03-01,103.7
1985-04-01,103.6
1985-05-01,102.9
1985-06-01,103.2
1985-07-01,103
1985-08-01,102.7
1985-09-01,102.6
1985-10-01,102.6
1985-11-01,103.2
1985-12-01,104.2
1986-01-01,104.7
1986-02-01,104.8
1986-03-01,104.9
1986-04-01,104.9
1986-05-01,104.8
1986-06-01,105.2
1986-07-01,106.6
1986-08-01,107.8
1986-09-01,107.9
1986-10-01,108.1
1986-11-01,108.7
1986-12-01,108.7
1987-01-01,110.4
1987-02-01,110.2
1987-03-01,109.8
1987-04-01,110.1
1987-05-01,110.7
1987-06-01,111.7
1987-07-01,111.2
1987-08-01,111.2
1987-09-01,111.5
1987-10-01,111.6
1987-11-01,111.2
1987-12-01,111.8
1988-01-01,112.9
1988-02-01,112.5
1988-03-01,112.4
1988-04-01,113
1988-05-01,113.7
1988-06-01,114.1
1988-07-01,115.4
1988-08-01,116.7
1988-09-01,117.7
1988-10-01,118
1988-11-01,117.4
1988-12-01,117.9
1989-01-01,119.8
1989-02-01,120.4
1989-03-01,121.1
1989-04-01,121.5
1989-05-01,122.1
1989-06-01,122.1
1989-07-01,122.6
1989-08-01,122.9
1989-09-01,123.1
1989-10-01,123.4
1989-11-01,123.9
1989-12-01,124.4
1990-01-01,129
1990-02-01,129.6
1990-03-01,129.4
1990-04-01,128.9
1990-05-01,129.1
1990-06-01,130.2
1990-07-01,131.2
1990-08-01,131.2
1990-09-01,131.3
1990-10-01,131.3
1990-11-01,132
1990-12-01,132.3
1991-01-01,134.1
1991-02-01,133.3
1991-03-01,133.6
1991-04-01,134.6
1991-05-01,135.2
1991-06-01,135.3
1991-07-01,134.2
1991-08-01,133.3
1991-09-01,133.6
1991-10-01,133.2
1991-11-01,133.7
1991-12-01,134.1
1992-01-01,134.2
1992-02-01,134.1
1992-03-01,134.7
1992-04-01,134.7
1992-05-01,134.5
1992-06-01,134.1
1992-07-01,133.5
1992-08-01,134.4
1992-09-01,134.8
1992-10-01,134.1
1992-11-01,134.8
1992-12-01,135.3
1993-01-01,136
1993-02-01,135.8
1993-03-01,136.1
1993-04-01,136.6
1993-05-01,138.2
1993-06-01,136.7
1993-07-01,137
1993-08-01,137.2
1993-09-01,137.9
1993-10-01,138.6
1993-11-01,138.6
1993-12-01,139.1
1994-01-01,140.4
1994-02-01,139.6
1994-03-01,139.8
1994-04-01,139.5
1994-05-01,140
1994-06-01,139.6
1994-07-01,140.2
1994-08-01,141.1
1994-09-01,141.2
1994-10-01,140.9
1994-11-01,141.2
1994-12-01,142.8
1995-01-01,143.6
1995-02-01,144.4
1995-03-01,143.9
1995-04-01,145
1995-05-01,145.4
1995-06-01,144.5
1995-07-01,144.4
1995-08-01,144.6
1995-09-01,145
1995-10-01,145.5
1995-11-01,145.8
1995-12-01,146.6
1996-01-01,148
1996-02-01,147
1996-03-01,147.8
1996-04-01,148.7
1996-05-01,148.6
1996-06-01,149.1
1996-07-01,150.3
1996-08-01,151.3
1996-09-01,151.8
1996-10-01,153.3
1996-11-01,153.8
1996-12-01,154.3
1997-01-01,154
1997-02-01,153.6
1997-03-01,152.9
1997-04-01,153.2
1997-05-01,153.8
1997-06-01,153.4
1997-07-01,154.1
