"Date","APUS37A7471A"
1978-01-01,0.586
1978-02-01,0.585
1978-03-01,0.584
1978-04-01,0.583
1978-05-01,0.585
1978-06-01,0.593
1978-07-01,0.602
1978-08-01,0.611
1978-09-01,0.618
1978-10-01,0.619
1978-11-01,0.621
1978-12-01,0.632
1979-01-01,0.638
1979-02-01,0.649
1979-03-01,0.672
1979-04-01,0.715
1979-05-01,0.755
1979-06-01,0.814
1979-07-01,0.859
1979-08-01,0.895
1979-09-01,0.907
1979-10-01,0.917
1979-11-01,0.939
1979-12-01,0.967
1980-01-01,1.036
1980-02-01,1.113
1980-03-01,1.164
1980-04-01,1.177
1980-05-01,1.177
1980-06-01,1.18
1980-07-01,1.177
1980-08-01,1.173
1980-09-01,1.165
1980-10-01,1.154
1980-11-01,1.151
1980-12-01,1.167
1981-01-01,1.2
1981-02-01,1.282
1981-03-01,1.328
1981-04-01,1.33
1981-05-01,1.319
1981-06-01,1.309
1981-07-01,1.288
1981-08-01,1.27
1981-09-01,1.264
1981-10-01,1.261
1981-11-01,1.259
1981-12-01,1.259
1982-01-01,1.26
1982-02-01,1.242
1982-03-01,1.191
1982-04-01,1.106
1982-05-01,1.123
1982-06-01,1.212
1982-07-01,1.241
1982-08-01,1.231
1982-09-01,1.218
1982-10-01,1.202
1982-11-01,1.192
1982-12-01,1.178
1983-01-01,1.143
1983-02-01,1.1
1983-03-01,1.074
1983-04-01,1.125
1983-05-01,1.161
1983-06-01,1.17
1983-07-01,1.181
1983-08-01,1.182
1983-09-01,1.18
1983-10-01,1.175
1983-11-01,1.163
1983-12-01,1.149
1984-01-01,1.137
1984-02-01,1.127
1984-03-01,1.124
1984-04-01,1.136
1984-05-01,1.136
1984-06-01,1.137
1984-07-01,1.138
1984-08-01,1.181
1984-09-01,1.189
1984-10-01,1.187
1984-11-01,1.171
1984-12-01,1.164
1985-01-01,1.135
1985-02-01,1.116
1985-03-01,1.117
1985-04-01,1.15
1985-05-01,1.192
1985-06-01,1.201
1985-07-01,1.209
1985-08-01,1.206
1985-09-01,1.203
1985-10-01,1.196
1985-11-01,1.121
1985-12-01,1.117
1986-01-01,1.117
1986-02-01,1.081
1986-03-01,0.958
1986-04-01,0.803
1986-05-01,0.798
1986-06-01,0.83
1986-07-01,0.807
1986-08-01,0.752
1986-09-01,0.747
1986-10-01,0.731
1986-11-01,0.712
1986-12-01,0.718
1987-01-01,0.809
1987-02-01,0.851
1987-03-01,0.846
1987-04-01,0.867
1987-05-01,0.874
1987-06-01,0.89
1987-07-01,0.907
1987-08-01,0.937
1987-09-01,0.937
1987-10-01,0.936
1987-11-01,0.929
1987-12-01,0.925
1988-01-01,0.913
1988-02-01,0.908
1988-03-01,0.888
1988-04-01,0.886
1988-05-01,0.899
1988-06-01,0.899
1988-07-01,0.906
1988-08-01,0.925
1988-09-01,0.933
1988-10-01,0.92
1988-11-01,0.904
1988-12-01,0.896
1989-01-01,0.876
1989-02-01,0.871
1989-03-01,0.873
1989-04-01,0.981
1989-05-01,1.05
1989-06-01,1.045
1989-07-01,1.027
1989-08-01,0.996
1989-09-01,0.968
1989-10-01,0.968
1989-11-01,0.957
1989-12-01,0.947
1990-01-01,0.992
1990-02-01,0.996
1990-03-01,0.985
1990-04-01,1.003
1990-05-01,1.024
1990-06-01,1.058
1990-07-01,1.058
1990-08-01,1.102
1990-09-01,1.234
1990-10-01,1.334
1990-11-01,1.418
1990-12-01,1.402
1991-01-01,1.299
1991-02-01,1.182
1991-03-01,1.11
1991-04-01,1.084
1991-05-01,1.162
1991-06-01,1.18
1991-07-01,1.145
1991-08-01,1.156
1991-09-01,1.158
1991-10-01,1.171
1991-11-01,1.177
1991-12-01,1.176
1992-01-01,1.122
1992-02-01,1.086
1992-03-01,1.089
1992-04-01,1.115
1992-05-01,1.159
1992-06-01,1.205
1992-07-01,1.21
1992-08-01,1.204
1992-09-01,1.19
1992-10-01,1.18
1992-11-01,1.176
1992-12-01,1.167
1993-01-01,1.137
1993-02-01,1.112
1993-03-01,1.119
1993-04-01,1.12
1993-05-01,1.144
1993-06-01,1.158
1993-07-01,1.148
1993-08-01,1.145
1993-09-01,1.122
1993-10-01,1.153
1993-11-01,1.123
1993-12-01,1.103
1994-01-01,1.069
1994-02-01,1.063
1994-03-01,1.055
1994-04-01,1.078
1994-05-01,1.09
1994-06-01,1.106
1994-07-01,1.127
1994-08-01,1.193
1994-09-01,1.21
1994-10-01,1.202
1994-11-01,1.205
1994-12-01,1.225
1995-01-01,1.221
1995-02-01,1.206
1995-03-01,1.192
1995-04-01,1.186
1995-05-01,1.224
1995-06-01,1.257
1995-07-01,1.24
1995-08-01,1.201
1995-09-01,1.173
1995-10-01,1.147
1995-11-01,1.086
1995-12-01,1.087
1996-01-01,1.113
1996-02-01,1.105
1996-03-01,1.151
1996-04-01,1.283
1996-05-01,1.314
1996-06-01,1.295
1996-07-01,1.246
1996-08-01,1.21
1996-09-01,1.214
1996-10-01,1.207
1996-11-01,1.219
1996-12-01,1.229
1997-01-01,1.226
1997-02-01,1.229
1997-03-01,1.217
1997-04-01,1.209
1997-05-01,1.201
1997-06-01,1.202
1997-07-01,1.184
1997-08-01,1.217
1997-09-01,1.24
1997-10-01,1.218
1997-11-01,1.184
1997-12-01,1.161
1998-01-01,1.119
1998-02-01,1.079
1998-03-01,1.051
1998-04-01,1.049
1998-05-01,1.052
1998-06-01,1.051
1998-07-01,1.046
1998-08-01,1.033
1998-09-01,1.013
1998-10-01,1.023
1998-11-01,1.025
1998-12-01,1.002
1999-01-01,0.971
1999-02-01,0.959
1999-03-01,0.965
1999-04-01,1.086
1999-05-01,1.121
1999-06-01,1.119
1999-07-01,1.137
1999-08-01,1.2
1999-09-01,1.235
1999-10-01,1.275
1999-11-01,1.261
1999-12-01,1.297
2000-01-01,1.297
2000-02-01,1.351
2000-03-01,1.516
2000-04-01,1.521
2000-05-01,1.49
2000-06-01,1.562
2000-07-01,1.606
2000-08-01,1.518
2000-09-01,1.517
2000-10-01,1.506
2000-11-01,1.494
2000-12-01,1.443
2001-01-01,1.403
2001-02-01,1.459
2001-03-01,1.416
2001-04-01,1.555
2001-05-01,1.693
2001-06-01,1.657
2001-07-01,1.45
2001-08-01,1.364
2001-09-01,1.437
2001-10-01,1.333
2001-11-01,1.168
2001-12-01,1.067
2002-01-01,1.094
2002-02-01,1.11
2002-03-01,1.214
2002-04-01,1.418
2002-05-01,1.43
2002-06-01,1.405
2002-07-01,1.395
2002-08-01,1.4
2002-09-01,1.408
2002-10-01,1.463
2002-11-01,1.432
2002-12-01,1.39
2003-01-01,1.495
2003-02-01,1.632
2003-03-01,1.658
2003-04-01,1.542
2003-05-01,1.456
2003-06-01,1.456
2003-07-01,1.497
2003-08-01,1.583
2003-09-01,1.561
2003-10-01,1.479
2003-11-01,1.436
2003-12-01,1.425
2004-01-01,1.58
2004-02-01,1.622
2004-03-01,1.674
2004-04-01,1.747
2004-05-01,1.947
2004-06-01,1.93
2004-07-01,1.864
2004-08-01,1.853
2004-09-01,1.854
2004-10-01,1.902
2004-11-01,1.921
2004-12-01,1.818
2005-01-01,1.741
2005-02-01,1.86
2005-03-01,1.934
2005-04-01,2.196
2005-05-01,2.158
2005-06-01,2.1
2005-07-01,2.245
2005-08-01,2.393
2005-09-01,2.933
2005-10-01,2.943
2005-11-01,2.311
2005-12-01,2.116
2006-01-01,2.299
2006-02-01,2.3
2006-03-01,2.334
2006-04-01,2.767
2006-05-01,2.95
2006-06-01,2.858
2006-07-01,2.926
2006-08-01,2.934
2006-09-01,2.473
2006-10-01,2.111
2006-11-01,2.119
2006-12-01,2.214
2007-01-01,2.167
2007-02-01,2.097
2007-03-01,2.402
2007-04-01,2.737
2007-05-01,2.953
2007-06-01,2.99
2007-07-01,2.905
2007-08-01,2.743
2007-09-01,2.676
2007-10-01,2.681
2007-11-01,2.955
2007-12-01,2.876
2008-01-01,2.948
2008-02-01,2.908
2008-03-01,3.19
2008-04-01,3.354
2008-05-01,3.685
2008-06-01,3.962
2008-07-01,4.004
2008-08-01,3.689
2008-09-01,3.61
2008-10-01,3.176
2008-11-01,2.015
2008-12-01,1.618
2009-01-01,1.663
2009-02-01,1.801
2009-03-01,1.849
2009-04-01,2.013
2009-05-01,2.123
2009-06-01,2.52
2009-07-01,2.392
2009-08-01,2.497
2009-09-01,2.372
2009-10-01,2.374
2009-11-01,2.509
2009-12-01,2.498
2010-01-01,2.57
2010-02-01,2.486
2010-03-01,2.674
2010-04-01,2.766
2010-05-01,2.821
2010-06-01,2.606
2010-07-01,2.591
2010-08-01,2.583
2010-09-01,2.523
2010-10-01,2.682
2010-11-01,2.663
2010-12-01,2.842
2011-01-01,2.957
2011-02-01,2.991
2011-03-01,3.45
2011-04-01,3.741
2011-05-01,3.853
2011-06-01,3.576
2011-07-01,3.58
2011-08-01,3.577
2011-09-01,3.403
2011-10-01,3.215
2011-11-01,3.212
2011-12-01,3.07
2012-01-01,3.236
2012-02-01,3.525
2012-03-01,3.766
2012-04-01,3.86
2012-05-01,3.593
2012-06-01,3.329
2012-07-01,3.306
2012-08-01,3.524
2012-09-01,3.65
2012-10-01,3.499
2012-11-01,3.162
2012-12-01,3.096
2013-01-01,3.258
2013-02-01,3.605
2013-03-01,3.673
2013-04-01,3.516
2013-05-01,3.509
2013-06-01,3.507
2013-07-01,3.578
2013-08-01,3.524
2013-09-01,3.329
2013-10-01,3.226
2013-11-01,3.08
2013-12-01,3.135
2014-01-01,3.207
2014-02-01,3.274
2014-03-01,3.429
2014-04-01,3.595
2014-05-01,3.53
2014-06-01,3.598
2014-07-01,3.529
2014-08-01,3.344
2014-09-01,3.261
2014-10-01,3.012
2014-11-01,2.708
2014-12-01,2.286
2015-01-01,1.926
2015-02-01,2.173
2015-03-01,2.29
2015-04-01,2.403
2015-05-01,2.614
2015-06-01,2.742
2015-07-01,2.593
2015-08-01,2.391
2015-09-01,2.101
2015-10-01,2.085
2015-11-01,1.981
2015-12-01,1.907
2016-01-01,1.773
2016-02-01,1.631
2016-03-01,1.913
2016-04-01,2.001
2016-05-01,2.112
2016-06-01,2.223
2016-07-01,2.101
2016-08-01,2.045
2016-09-01,2.01
2016-10-01,2.052
2016-11-01,2.015
2016-12-01,2.037
2017-01-01,2.165
2017-02-01,2.066
2017-03-01,2.136
2017-04-01,2.29
2017-05-01,2.207
2017-06-01,2.214
2017-07-01,2.133
2017-08-01,2.247
2017-09-01,2.537
2017-10-01,2.256
2017-11-01,2.31
2017-12-01,2.21
2018-01-01,2.273
2018-02-01,2.235
2018-03-01,2.332
2018-04-01,2.509
2018-05-01,2.721
2018-06-01,2.762
2018-07-01,2.623
2018-08-01,2.601
2018-09-01,2.636
2018-10-01,2.621
2018-11-01,2.267
2018-12-01,1.961
2019-01-01,1.892
2019-02-01,2.031
2019-03-01,2.332
2019-04-01,2.602
2019-05-01,2.604
2019-06-01,2.399
2019-07-01,2.549
2019-08-01,2.335
2019-09-01,2.348
2019-10-01,2.249
2019-11-01,2.286
2019-12-01,2.214
2020-01-01,2.235
2020-02-01,2.054
2020-03-01,1.919
2020-04-01,1.417
2020-05-01,1.406
2020-06-01,1.722
2020-07-01,1.903
2020-08-01,1.869
2020-09-01,1.893
2020-10-01,1.833
2020-11-01,1.766
2020-12-01,1.885
2021-01-01,2.065
2021-02-01,2.196
2021-03-01,2.533
2021-04-01,2.485
2021-05-01,2.737
2021-06-01,2.836
2021-07-01,2.882
2021-08-01,2.894
2021-09-01,2.91
2021-10-01,3.033
2021-11-01,3.137
2021-12-01,3.015
2022-01-01,3.058
2022-02-01,3.288
2022-03-01,3.901
2022-04-01,3.816
2022-05-01,4.271
2022-06-01,4.748
2022-07-01,4.119
2022-08-01,3.511
2022-09-01,3.231
2022-10-01,3.268
2022-11-01,3.084
2022-12-01,2.782
2023-01-01,3.025
2023-02-01,3.055
2023-03-01,3.156
2023-04-01,3.429
2023-05-01,3.189
2023-06-01,3.262
2023-07-01,3.343
2023-08-01,3.549
2023-09-01,3.434
2023-10-01,3.133
2023-11-01,2.87
