"Date","APU0000FD4101"
1998-01-01,1.77
1998-02-01,1.764
1998-03-01,1.734
1998-04-01,1.702
1998-05-01,1.744
1998-06-01,1.773
1998-07-01,1.765
1998-08-01,1.743
1998-09-01,1.744
1998-10-01,1.669
1998-11-01,1.685
1998-12-01,1.658
1999-01-01,1.632
1999-02-01,1.646
1999-03-01,1.647
1999-04-01,1.651
1999-05-01,1.67
1999-06-01,1.666
1999-07-01,1.654
1999-08-01,1.675
1999-09-01,1.71
1999-10-01,1.654
1999-11-01,1.713
1999-12-01,1.673
2000-01-01,1.654
2000-02-01,1.692
2000-03-01,1.714
2000-04-01,1.746
2000-05-01,1.714
2000-06-01,1.755
2000-07-01,1.78
2000-08-01,1.811
2000-09-01,1.797
2000-10-01,1.798
2000-11-01,1.802
2000-12-01,1.802
2001-01-01,1.824
2001-02-01,1.812
2001-03-01,1.803
2001-04-01,1.831
2001-05-01,1.845
2001-06-01,1.873
2001-07-01,1.884
2001-08-01,1.886
2001-09-01,1.912
2001-10-01,1.912
2001-11-01,1.847
2001-12-01,1.852
2002-01-01,1.892
2002-02-01,1.859
2002-03-01,1.905
2002-04-01,1.841
2002-05-01,1.863
2002-06-01,1.87
2002-07-01,1.834
2002-08-01,1.861
2002-09-01,1.808
2002-10-01,1.812
2002-11-01,1.818
2002-12-01,1.86
2003-01-01,1.846
2003-02-01,1.874
2003-03-01,1.845
2003-04-01,1.903
2003-05-01,1.877
2003-06-01,1.949
2003-07-01,1.91
2003-08-01,1.965
2003-09-01,1.977
2003-10-01,1.951
2003-11-01,2.019
2003-12-01,2.061
2004-01-01,2.111
2004-02-01,2.04
2004-03-01,2.115
2004-04-01,2.072
2004-05-01,2.069
2004-06-01,2.125
2004-07-01,2.11
2004-08-01,2.13
2004-09-01,2.13
2004-10-01,2.111
2004-11-01,2.036
2004-12-01,2.072
2005-01-01,2.146
2005-02-01,2.133
2005-03-01,2.068
2005-04-01,2.123
2005-05-01,2.168
2005-06-01,2.168
2005-07-01,2.079
2005-08-01,2.08
2005-09-01,2.121
2005-10-01,2.058
2005-11-01,2.007
2005-12-01,2.073
2006-01-01,2.028
2006-02-01,2.003
2006-03-01,1.992
2006-04-01,2.059
2006-05-01,1.985
2006-06-01,1.993
2006-07-01,2.009
2006-08-01,2
2006-09-01,2.068
2006-10-01,2.053
2006-11-01,1.976
2006-12-01,1.969
2007-01-01,2.015
2007-02-01,1.972
2007-03-01,2.005
2007-04-01,1.998
2007-05-01,2.038
2007-06-01,2.095
2007-07-01,2.038
2007-08-01,2.001
2007-09-01,1.98
2007-10-01,2.079
2007-11-01,2.048
2007-12-01,2.018
2008-01-01,2.057
2008-02-01,1.986
2008-03-01,1.995
2008-04-01,2.075
2008-05-01,2.135
2008-06-01,2.145
2008-07-01,2.184
2008-08-01,2.224
2008-09-01,2.255
2008-10-01,2.194
2008-11-01,2.236
2008-12-01,2.227
2009-01-01,2.18
2009-02-01,2.148
2009-03-01,2.125
2009-04-01,2.147
2009-05-01,2.142
2009-06-01,2.155
2009-07-01,2.159
2009-08-01,2.151
2009-09-01,2.163
2009-10-01,2.078
2009-11-01,2.065
2009-12-01,2.054
2010-01-01,2.147
2010-02-01,2.171
2010-03-01,2.187
2010-04-01,2.176
2010-05-01,2.336
2010-06-01,2.404
2010-07-01,2.366
2010-08-01,2.381
2010-09-01,2.37
2010-10-01,2.333
2010-11-01,2.389
2010-12-01,2.365
2011-01-01,2.451
2011-02-01,2.448
2011-03-01,2.486
2011-04-01,2.511
2011-05-01,2.6
2011-06-01,2.566
2011-07-01,2.651
2011-08-01,2.641
2011-09-01,2.676
2011-10-01,2.478
2011-11-01,2.682
2011-12-01,2.662
2012-01-01,2.683
2012-02-01,2.627
2012-03-01,2.652
2012-04-01,2.662
2012-05-01,2.609
2012-06-01,2.622
2012-07-01,2.638
2012-08-01,2.651
2012-09-01,2.535
2012-10-01,2.599
2012-11-01,2.593
2012-12-01,2.491
2013-01-01,2.497
2013-02-01,2.533
2013-03-01,2.494
2013-04-01,2.496
2013-05-01,2.447
2013-06-01,2.474
2013-07-01,2.533
2013-08-01,2.549
2013-09-01,2.501
2013-10-01,2.599
2013-11-01,2.61
2013-12-01,2.618
2014-01-01,2.593
2014-02-01,2.607
2014-03-01,2.704
2014-04-01,2.904
2014-05-01,2.963
2014-06-01,3.054
2014-07-01,3.102
2014-08-01,3.141
2014-09-01,3.148
2014-10-01,3.12
2014-11-01,3.076
2014-12-01,3.019
2015-01-01,2.991
2015-02-01,2.928
2015-03-01,2.904
2015-04-01,2.836
2015-05-01,2.804
2015-06-01,2.784
2015-07-01,2.833
2015-08-01,2.841
2015-09-01,2.819
2015-10-01,2.803
2015-11-01,2.778
2015-12-01,2.716
2016-01-01,2.695
2016-02-01,2.697
2016-03-01,2.657
2016-04-01,2.688
2016-05-01,2.668
2016-06-01,2.69
2016-07-01,2.693
2016-08-01,2.767
2016-09-01,2.694
2016-10-01,2.665
2016-11-01,2.663
2016-12-01,2.579
2017-01-01,2.55
2017-02-01,2.627
2017-03-01,2.633
2017-04-01,2.592
2017-05-01,2.554
2017-06-01,2.6
2017-07-01,2.614
2017-08-01,2.593
2017-09-01,2.635
2017-10-01,2.654
2017-11-01,2.623
2017-12-01,2.596
2018-01-01,2.621
2018-02-01,2.631
2018-03-01,2.642
2018-04-01,2.614
2018-05-01,2.546
2018-06-01,2.516
2018-07-01,2.553
2018-08-01,2.605
2018-09-01,2.596
2018-10-01,2.573
2018-11-01,2.614
2018-12-01,2.601
2019-01-01,2.615
2019-02-01,2.558
2019-03-01,2.582
2019-04-01,2.562
2019-05-01,2.651
2019-06-01,2.718
2019-07-01,2.722
2019-08-01,2.687
2019-09-01,2.687
2019-10-01,2.716
2019-11-01,2.74
2019-12-01,2.761
2020-01-01,2.722
2020-02-01,2.775
2020-03-01,2.762
2020-04-01,NA
2020-05-01,3.085
2020-06-01,3.152
2020-07-01,3.099
2020-08-01,3.045
2020-09-01,2.891
2020-10-01,2.989
2020-11-01,2.974
2020-12-01,2.991
2021-01-01,3.02
2021-02-01,3.001
2021-03-01,2.997
2021-04-01,3.176
2021-05-01,3.217
2021-06-01,3.381
2021-07-01,3.564
2021-08-01,3.474
2021-09-01,3.497
2021-10-01,3.565
2021-11-01,3.665
2021-12-01,3.494
2022-01-01,3.451
2022-02-01,3.479
2022-03-01,3.519
2022-04-01,3.578
2022-05-01,3.609
