"Date","CUURA101SA0E"
1977-12-01,51.6
1978-01-01,51.8
1978-02-01,51.9
1978-03-01,52.4
1978-04-01,52.6
1978-05-01,52.7
1978-06-01,54.1
1978-07-01,54.4
1978-08-01,54.6
1978-09-01,55
1978-10-01,55.3
1978-11-01,55.1
1978-12-01,56.1
1979-01-01,56.4
1979-02-01,57.3
1979-03-01,58.7
1979-04-01,60.6
1979-05-01,63.3
1979-06-01,67.8
1979-07-01,71.5
1979-08-01,73.6
1979-09-01,75.8
1979-10-01,76.5
1979-11-01,75.5
1979-12-01,76.8
1980-01-01,80.1
1980-02-01,83.8
1980-03-01,86.5
1980-04-01,86.9
1980-05-01,87.3
1980-06-01,89
1980-07-01,89.7
1980-08-01,89.4
1980-09-01,89.3
1980-10-01,88.2
1980-11-01,88.5
1980-12-01,90.8
1981-01-01,94
1981-02-01,99.4
1981-03-01,100.9
1981-04-01,102.4
1981-05-01,101.2
1981-06-01,103
1981-07-01,102
1981-08-01,102.1
1981-09-01,101.9
1981-10-01,100.4
1981-11-01,100.5
1981-12-01,101.3
1982-01-01,100.9
1982-02-01,99.8
1982-03-01,98.1
1982-04-01,96.8
1982-05-01,96.8
1982-06-01,100.4
1982-07-01,101.3
1982-08-01,101.4
1982-09-01,101.5
1982-10-01,102.1
1982-11-01,102.1
1982-12-01,102.1
1983-01-01,101.1
1983-02-01,99.1
1983-03-01,97.2
1983-04-01,98.1
1983-05-01,99.3
1983-06-01,100
1983-07-01,100.8
1983-08-01,100.9
1983-09-01,100.9
1983-10-01,100.2
1983-11-01,100
1983-12-01,98.8
1984-01-01,98.9
1984-02-01,101.7
1984-03-01,100.2
1984-04-01,100.6
1984-05-01,99.6
1984-06-01,100.6
1984-07-01,100.9
1984-08-01,99.9
1984-09-01,100.5
1984-10-01,98.4
1984-11-01,100
1984-12-01,99.3
1985-01-01,98.6
1985-02-01,98.4
1985-03-01,99
1985-04-01,100.3
1985-05-01,100.2
1985-06-01,101.4
1985-07-01,100.9
1985-08-01,100.7
1985-09-01,100.4
1985-10-01,99.3
1985-11-01,101.2
1985-12-01,101.7
1986-01-01,101.2
1986-02-01,98.6
1986-03-01,93.6
1986-04-01,87.2
1986-05-01,85.3
1986-06-01,89.8
1986-07-01,86.2
1986-08-01,84.1
1986-09-01,84.6
1986-10-01,80.7
1986-11-01,80.1
1986-12-01,80.6
1987-01-01,81.6
1987-02-01,84
1987-03-01,83.7
1987-04-01,83.3
1987-05-01,84
1987-06-01,87.5
1987-07-01,88.2
1987-08-01,89.5
1987-09-01,89.4
1987-10-01,85.5
1987-11-01,85.7
1987-12-01,85.5
1988-01-01,85.7
1988-02-01,85.7
1988-03-01,84.4
1988-04-01,83.8
1988-05-01,84.3
1988-06-01,87.5
1988-07-01,87.5
1988-08-01,87.8
1988-09-01,87.8
1988-10-01,84.7
1988-11-01,84.6
1988-12-01,85.3
1989-01-01,86.7
1989-02-01,87.4
1989-03-01,87.8
1989-04-01,90.9
1989-05-01,92.3
1989-06-01,95.7
1989-07-01,95.3
1989-08-01,94.2
1989-09-01,92.6
1989-10-01,91
1989-11-01,90.7
1989-12-01,92.3
1990-01-01,97.2
1990-02-01,94.7
1990-03-01,94.3
1990-04-01,93.8
1990-05-01,93.9
1990-06-01,96.4
1990-07-01,95.6
1990-08-01,98.2
1990-09-01,104.8
1990-10-01,107.8
1990-11-01,108.4
1990-12-01,106.3
1991-01-01,104.3
1991-02-01,101.5
1991-03-01,98.8
1991-04-01,98.1
1991-05-01,98.9
1991-06-01,101.7
1991-07-01,100.8
1991-08-01,100.4
1991-09-01,100.6
1991-10-01,97.9
1991-11-01,99.7
1991-12-01,100.1
1992-01-01,98.4
1992-02-01,97.7
1992-03-01,96.8
1992-04-01,96.4
1992-05-01,97.8
1992-06-01,103.6
1992-07-01,104.1
1992-08-01,103.4
1992-09-01,103.7
1992-10-01,101.4
1992-11-01,104.3
1992-12-01,104.6
1993-01-01,104.2
1993-02-01,102.6
1993-03-01,102.1
1993-04-01,102.2
1993-05-01,103.4
1993-06-01,106.3
1993-07-01,105.8
1993-08-01,105
1993-09-01,104.6
1993-10-01,104.8
1993-11-01,104.4
1993-12-01,104.1
1994-01-01,103.1
1994-02-01,103.4
1994-03-01,103.4
1994-04-01,102.6
1994-05-01,102.4
1994-06-01,104.8
1994-07-01,106.7
1994-08-01,107.4
1994-09-01,107.7
1994-10-01,104.8
1994-11-01,105.2
1994-12-01,104.5
1995-01-01,103.5
1995-02-01,104.1
1995-03-01,103.9
1995-04-01,103.6
1995-05-01,105.2
1995-06-01,108.6
1995-07-01,108.7
1995-08-01,107.4
1995-09-01,106
1995-10-01,103.6
1995-11-01,103.6
1995-12-01,104.4
1996-01-01,108
1996-02-01,108.5
1996-03-01,108.5
1996-04-01,110.5
1996-05-01,110.8
1996-06-01,112.4
1996-07-01,111.1
1996-08-01,110.9
1996-09-01,111.2
1996-10-01,108.5
1996-11-01,110.5
1996-12-01,113.5
1997-01-01,113.8
1997-02-01,114.5
1997-03-01,112.5
1997-04-01,109.3
1997-05-01,108.5
1997-06-01,111.7
1997-07-01,110.3
1997-08-01,111.3
1997-09-01,112.8
1997-10-01,109.6
1997-11-01,109.6
1997-12-01,110
1998-01-01,108.2
1998-02-01,106.4
1998-03-01,104.1
1998-04-01,104.2
1998-05-01,103.6
1998-06-01,105.9
1998-07-01,105
