"Date","CWUR0000SEHG"
1997-12-01,100
1998-01-01,100.2
1998-02-01,100.7
1998-03-01,101
1998-04-01,101.1
1998-05-01,101.4
1998-06-01,101.5
1998-07-01,102
1998-08-01,102.2
1998-09-01,102.4
1998-10-01,102.4
1998-11-01,102.5
1998-12-01,102.8
1999-01-01,103.1
1999-02-01,103.2
1999-03-01,103.5
1999-04-01,103.7
1999-05-01,103.8
1999-06-01,103.9
1999-07-01,104.2
1999-08-01,104.4
1999-09-01,104.5
1999-10-01,104.7
1999-11-01,104.7
1999-12-01,104.8
2000-01-01,105.2
2000-02-01,105.5
2000-03-01,105.9
2000-04-01,106
2000-05-01,106.2
2000-06-01,106.3
2000-07-01,106.6
2000-08-01,107
2000-09-01,107.2
2000-10-01,107.3
2000-11-01,107.7
2000-12-01,108
2001-01-01,108.2
2001-02-01,108.5
2001-03-01,108.8
2001-04-01,108.9
2001-05-01,109.1
2001-06-01,109.1
2001-07-01,109.5
2001-08-01,110.2
2001-09-01,110.4
2001-10-01,110.6
2001-11-01,110.8
2001-12-01,111
2002-01-01,111.7
2002-02-01,111.9
2002-03-01,112.3
2002-04-01,112.6
2002-05-01,112.7
2002-06-01,112.7
2002-07-01,113.1
2002-08-01,113.5
2002-09-01,113.7
2002-10-01,114
2002-11-01,114.3
2002-12-01,114.6
2003-01-01,114.9
2003-02-01,115.1
2003-03-01,116
2003-04-01,116.2
2003-05-01,116.4
2003-06-01,116.5
2003-07-01,117.1
2003-08-01,118.1
2003-09-01,118.4
2003-10-01,118.9
2003-11-01,119.5
2003-12-01,119.9
2004-01-01,120.7
2004-02-01,121.9
2004-03-01,122.4
2004-04-01,122.5
2004-05-01,123.5
2004-06-01,123.7
2004-07-01,124.5
2004-08-01,125.4
2004-09-01,125.8
2004-10-01,126.1
2004-11-01,126.4
2004-12-01,126.5
2005-01-01,127.9
2005-02-01,128.8
2005-03-01,129.2
2005-04-01,129.4
2005-05-01,129.7
2005-06-01,130.2
2005-07-01,131
2005-08-01,131.5
2005-09-01,131.7
2005-10-01,132.2
2005-11-01,132.7
2005-12-01,133.2
2006-01-01,134.3
2006-02-01,135.3
2006-03-01,135.4
2006-04-01,135.8
2006-05-01,136
2006-06-01,136.6
2006-07-01,137.4
2006-08-01,138.2
2006-09-01,138.5
2006-10-01,139
2006-11-01,139.3
2006-12-01,139.6
2007-01-01,140.947
2007-02-01,141.636
2007-03-01,142.07
2007-04-01,142.451
2007-05-01,142.786
2007-06-01,143.086
2007-07-01,144.432
2007-08-01,145.259
2007-09-01,145.513
2007-10-01,145.749
2007-11-01,146.651
2007-12-01,147.186
2008-01-01,148.528
2008-02-01,149.317
2008-03-01,149.555
2008-04-01,149.751
2008-05-01,150.237
2008-06-01,150.742
2008-07-01,152.22
2008-08-01,154.475
2008-09-01,154.628
2008-10-01,156.005
2008-11-01,156.702
2008-12-01,156.864
2009-01-01,157.733
2009-02-01,158.069
2009-03-01,158.46
2009-04-01,159.073
2009-05-01,159.861
2009-06-01,160.206
2009-07-01,161.79
2009-08-01,163.567
2009-09-01,163.808
2009-10-01,165.123
2009-11-01,165.509
2009-12-01,165.808
2010-01-01,167.473
2010-02-01,168.774
2010-03-01,169.229
2010-04-01,169.766
2010-05-01,170.427
2010-06-01,170.323
2010-07-01,171.69
2010-08-01,172.934
2010-09-01,173.258
2010-10-01,173.843
2010-11-01,174.621
2010-12-01,175.008
2011-01-01,176.175
2011-02-01,177.594
2011-03-01,178.016
2011-04-01,178.392
2011-05-01,178.896
2011-06-01,178.981
2011-07-01,180.17
2011-08-01,181.099
2011-09-01,181.931
2011-10-01,182.337
2011-11-01,182.664
2011-12-01,183.178
2012-01-01,184.533
2012-02-01,185.943
2012-03-01,186.775
2012-04-01,188.092
2012-05-01,188.384
2012-06-01,188.99
2012-07-01,190.369
2012-08-01,192.289
2012-09-01,192.166
2012-10-01,192.704
2012-11-01,193.265
2012-12-01,193.651
2013-01-01,195.096
2013-02-01,195.909
2013-03-01,196.42
2013-04-01,196.736
2013-05-01,197.162
2013-06-01,197.441
2013-07-01,198.685
2013-08-01,199.236
2013-09-01,199.288
2013-10-01,200.291
2013-11-01,200.517
2013-12-01,200.734
2014-01-01,201.745
2014-02-01,202.672
2014-03-01,203.271
2014-04-01,203.693
2014-05-01,203.697
2014-06-01,203.965
2014-07-01,205.613
2014-08-01,206.68
2014-09-01,206.877
2014-10-01,208.175
2014-11-01,209.153
2014-12-01,209.939
2015-01-01,210.779
2015-02-01,211.967
2015-03-01,212.374
2015-04-01,212.822
2015-05-01,213.243
2015-06-01,213.53
2015-07-01,214.511
2015-08-01,216.373
2015-09-01,216.692
2015-10-01,216.894
2015-11-01,217.548
2015-12-01,217.937
2016-01-01,218.93
2016-02-01,219.621
