"Date","CUURA101SA0L1E"
1982-01-01,90.8
1982-02-01,90.9
1982-03-01,90.3
1982-04-01,90.9
1982-05-01,92.1
1982-06-01,94.1
1982-07-01,94.4
1982-08-01,95.2
1982-09-01,96.1
1982-10-01,98
1982-11-01,97.8
1982-12-01,96.9
1983-01-01,97.4
1983-02-01,97.8
1983-03-01,98.1
1983-04-01,99.4
1983-05-01,99.6
1983-06-01,99.9
1983-07-01,100.2
1983-08-01,100.4
1983-09-01,101.4
1983-10-01,102
1983-11-01,102.6
1983-12-01,102.8
1984-01-01,103.6
1984-02-01,103.8
1984-03-01,104.3
1984-04-01,104.8
1984-05-01,105.1
1984-06-01,105.2
1984-07-01,105.6
1984-08-01,106.7
1984-09-01,107.6
1984-10-01,107.7
1984-11-01,108.2
1984-12-01,108.1
1985-01-01,108.1
1985-02-01,108.9
1985-03-01,109
1985-04-01,109.2
1985-05-01,109.7
1985-06-01,109.8
1985-07-01,110
1985-08-01,111
1985-09-01,111.5
1985-10-01,111.9
1985-11-01,112.9
1985-12-01,113
1986-01-01,113.9
1986-02-01,113.9
1986-03-01,114.6
1986-04-01,114.9
1986-05-01,114.6
1986-06-01,115.1
1986-07-01,116.3
1986-08-01,116.8
1986-09-01,117
1986-10-01,118
1986-11-01,118
1986-12-01,118.5
1987-01-01,119.2
1987-02-01,119.6
1987-03-01,120.3
1987-04-01,121.3
1987-05-01,122
1987-06-01,122
1987-07-01,122.1
1987-08-01,123.2
1987-09-01,124.4
1987-10-01,125.3
1987-11-01,125.7
1987-12-01,125.6
1988-01-01,126.3
1988-02-01,126
1988-03-01,126.8
1988-04-01,127.9
1988-05-01,128.1
1988-06-01,128
1988-07-01,128.5
1988-08-01,129
1988-09-01,131.4
1988-10-01,132.3
1988-11-01,131.8
1988-12-01,131.8
1989-01-01,132.4
1989-02-01,132.8
1989-03-01,134.5
1989-04-01,134.7
1989-05-01,135.3
1989-06-01,135.3
1989-07-01,135.3
1989-08-01,135.8
1989-09-01,137.8
1989-10-01,138.9
1989-11-01,139.4
1989-12-01,139.3
1990-01-01,140.3
1990-02-01,140.5
1990-03-01,142.4
1990-04-01,143.3
1990-05-01,143.1
1990-06-01,142.6
1990-07-01,144.1
1990-08-01,145.9
1990-09-01,146.3
1990-10-01,146.8
1990-11-01,146.7
1990-12-01,147
1991-01-01,148.7
1991-02-01,149.8
1991-03-01,149.8
1991-04-01,149.9
1991-05-01,150.3
1991-06-01,150.6
1991-07-01,151.9
1991-08-01,152.5
1991-09-01,153
1991-10-01,153.2
1991-11-01,154.3
1991-12-01,154.1
1992-01-01,155
1992-02-01,156
1992-03-01,157.5
1992-04-01,157.6
1992-05-01,157.2
1992-06-01,157.3
1992-07-01,158
1992-08-01,158.9
1992-09-01,159.8
1992-10-01,160.8
1992-11-01,160.6
1992-12-01,160.1
1993-01-01,161.2
1993-02-01,162.3
1993-03-01,162.9
1993-04-01,162.7
1993-05-01,162.3
1993-06-01,162.8
1993-07-01,163
1993-08-01,164.2
1993-09-01,164.2
1993-10-01,164.5
1993-11-01,164.2
1993-12-01,164.2
1994-01-01,164.6
1994-02-01,166.8
1994-03-01,167.5
1994-04-01,167.3
1994-05-01,166.7
1994-06-01,167.1
1994-07-01,167.1
1994-08-01,168.2
1994-09-01,168.1
1994-10-01,169.1
1994-11-01,168.8
1994-12-01,168.1
1995-01-01,169.2
1995-02-01,169.9
1995-03-01,170.6
1995-04-01,170.9
1995-05-01,171.4
1995-06-01,171.6
1995-07-01,171.6
1995-08-01,172.4
1995-09-01,173
1995-10-01,173.8
1995-11-01,174.1
1995-12-01,173.9
1996-01-01,174.6
1996-02-01,175.6
1996-03-01,176.7
1996-04-01,175.9
1996-05-01,176.4
1996-06-01,176
1996-07-01,176.5
1996-08-01,177.4
1996-09-01,178.2
1996-10-01,178.5
1996-11-01,178.4
1996-12-01,178.3
1997-01-01,179
1997-02-01,180.2
1997-03-01,181.1
1997-04-01,180.9
1997-05-01,180.6
1997-06-01,180.6
1997-07-01,181.5
1997-08-01,181.4
1997-09-01,182.2
1997-10-01,183.5
1997-11-01,182.9
1997-12-01,182.8
1998-01-01,183.1
1998-02-01,184.3
1998-03-01,184.9
1998-04-01,184.8
1998-05-01,184.8
1998-06-01,184.8
1998-07-01,185.3
1998-08-01,186.1
1998-09-01,186.4
1998-10-01,187.1
1998-11-01,186.8
1998-12-01,186.8
1999-01-01,187
1999-02-01,187.4
1999-03-01,188.2
1999-04-01,188.2
1999-05-01,188
1999-06-01,188.4
1999-07-01,188.9
1999-08-01,189.1
1999-09-01,189.8
1999-10-01,190.6
1999-11-01,190.3
1999-12-01,190
2000-01-01,191
2000-02-01,191.7
2000-03-01,193
2000-04-01,192.9
2000-05-01,192.7
2000-06-01,192.8
2000-07-01,192.9
2000-08-01,194.1
2000-09-01,195.2
2000-10-01,195.9
2000-11-01,195.5
2000-12-01,194.8
2001-01-01,195.2
2001-02-01,196.3
2001-03-01,198
2001-04-01,198.2
2001-05-01,198
2001-06-01,198.8
2001-07-01,198.4
2001-08-01,199.4
2001-09-01,199.9
2001-10-01,200.7
2001-11-01,201.1
