"Date","SUUR0000SEFV"
1999-12-01,100
2000-01-01,100.2
2000-02-01,100.5
2000-03-01,100.7
2000-04-01,100.8
2000-05-01,101
2000-06-01,101.2
2000-07-01,101.5
2000-08-01,101.7
2000-09-01,102
2000-10-01,102
2000-11-01,102.1
2000-12-01,102.4
2001-01-01,102.7
2001-02-01,102.9
2001-03-01,103.2
2001-04-01,103.5
2001-05-01,103.8
2001-06-01,104
2001-07-01,104.4
2001-08-01,104.7
2001-09-01,105
2001-10-01,105.3
2001-11-01,105.4
2001-12-01,105.6
2002-01-01,105.9
2002-02-01,106.1
2002-03-01,106.2
2002-04-01,106.3
2002-05-01,106.6
2002-06-01,106.9
2002-07-01,107.1
2002-08-01,107.2
2002-09-01,107.5
2002-10-01,107.7
2002-11-01,107.9
2002-12-01,108.1
2003-01-01,108
2003-02-01,108.4
2003-03-01,108.6
2003-04-01,108.7
2003-05-01,108.9
2003-06-01,109.2
2003-07-01,109.4
2003-08-01,109.6
2003-09-01,109.7
2003-10-01,110
2003-11-01,110.3
2003-12-01,110.6
2004-01-01,111
2004-02-01,111.3
2004-03-01,111.5
2004-04-01,111.8
2004-05-01,112
2004-06-01,112.2
2004-07-01,112.7
2004-08-01,113
2004-09-01,113.3
2004-10-01,113.6
2004-11-01,113.7
2004-12-01,113.9
2005-01-01,114.4
2005-02-01,114.7
2005-03-01,114.9
2005-04-01,115.2
2005-05-01,115.4
2005-06-01,115.7
2005-07-01,116
2005-08-01,116.4
2005-09-01,116.6
2005-10-01,117
2005-11-01,117.3
2005-12-01,117.5
2006-01-01,117.8
2006-02-01,118.1
2006-03-01,118.4
2006-04-01,118.7
2006-05-01,119.1
2006-06-01,119.4
2006-07-01,119.7
2006-08-01,120
2006-09-01,120.2
2006-10-01,120.6
2006-11-01,120.8
2006-12-01,121.2
2007-01-01,121.811
2007-02-01,122.208
2007-03-01,122.324
2007-04-01,122.71
2007-05-01,122.989
2007-06-01,123.458
2007-07-01,123.997
2007-08-01,124.517
2007-09-01,125.043
2007-10-01,125.361
2007-11-01,125.63
2007-12-01,125.875
2008-01-01,126.377
2008-02-01,126.837
2008-03-01,127.22
2008-04-01,127.595
2008-05-01,128.152
2008-06-01,128.847
2008-07-01,129.552
2008-08-01,129.981
2008-09-01,130.708
2008-10-01,131.297
2008-11-01,131.732
2008-12-01,132.107
2009-01-01,132.472
2009-02-01,132.826
2009-03-01,133.006
2009-04-01,133.303
2009-05-01,133.436
2009-06-01,133.593
2009-07-01,133.724
2009-08-01,133.861
2009-09-01,133.987
2009-10-01,134.152
2009-11-01,134.384
2009-12-01,134.469
2010-01-01,134.522
2010-02-01,134.552
2010-03-01,134.562
2010-04-01,134.759
2010-05-01,134.881
2010-06-01,134.926
2010-07-01,134.85
2010-08-01,135.5
2010-09-01,136.068
2010-10-01,136.17
2010-11-01,136.328
2010-12-01,136.483
2011-01-01,136.741
2011-02-01,136.96
2011-03-01,137.385
2011-04-01,137.869
2011-05-01,138.102
2011-06-01,138.502
2011-07-01,138.785
2011-08-01,139.287
2011-09-01,139.642
2011-10-01,139.895
2011-11-01,140.216
2011-12-01,140.478
2012-01-01,140.884
2012-02-01,141.139
2012-03-01,141.436
2012-04-01,141.837
2012-05-01,142.214
2012-06-01,142.555
2012-07-01,142.855
2012-08-01,143.274
2012-09-01,143.511
2012-10-01,143.635
2012-11-01,143.811
2012-12-01,143.979
2013-01-01,144.17
2013-02-01,144.32
2013-03-01,144.6
2013-04-01,145.082
2013-05-01,145.345
2013-06-01,145.579
2013-07-01,145.806
2013-08-01,146.084
2013-09-01,146.221
2013-10-01,146.428
2013-11-01,146.779
2013-12-01,146.975
2014-01-01,147.078
2014-02-01,147.41
2014-03-01,147.843
2014-04-01,148.214
2014-05-01,148.438
2014-06-01,148.725
2014-07-01,149.218
2014-08-01,149.563
2014-09-01,150.02
2014-10-01,150.352
2014-11-01,150.894
2014-12-01,151.286
2015-01-01,151.452
2015-02-01,151.898
2015-03-01,152.143
2015-04-01,152.527
2015-05-01,152.841
2015-06-01,153.127
2015-07-01,153.109
2015-08-01,153.494
2015-09-01,154.542
2015-10-01,154.855
2015-11-01,155.146
2015-12-01,155.309
2016-01-01,155.79
2016-02-01,155.98
2016-03-01,156.312
2016-04-01,156.682
2016-05-01,157.032
2016-06-01,157.275
2016-07-01,157.58
2016-08-01,157.947
2016-09-01,158.25
2016-10-01,158.485
2016-11-01,158.62
2016-12-01,158.864
2017-01-01,159.518
2017-02-01,159.869
2017-03-01,160.086
2017-04-01,160.454
2017-05-01,160.792
2017-06-01,160.846
2017-07-01,161.123
2017-08-01,161.732
2017-09-01,162.273
2017-10-01,162.376
2017-11-01,162.668
2017-12-01,163.037
2018-01-01,163.589
2018-02-01,163.964
2018-03-01,164.129
2018-04-01,164.492
2018-05-01,165.035
2018-06-01,165.342
2018-07-01,165.513
2018-08-01,165.838
2018-09-01,166.196
2018-10-01,166.379
2018-11-01,166.886
2018-12-01,167.512
2019-01-01,168.116
2019-02-01,168.701
2019-03-01,169.027
2019-04-01,169.585
2019-05-01,169.94
2019-06-01,170.475
2019-07-01,170.8
2019-08-01,171.209
2019-09-01,171.643
2019-10-01,171.965
2019-11-01,172.249
2019-12-01,172.735
2020-01-01,173.409
2020-02-01,173.782
2020-03-01,174.075
2020-04-01,174.696
2020-05-01,175.601
2020-06-01,176.602
2020-07-01,177.449
2020-08-01,178.102
2020-09-01,179.182
2020-10-01,179.634
2020-11-01,180.048
2020-12-01,180.822
2021-01-01,181.526
2021-02-01,181.581
2021-03-01,181.974
2021-04-01,182.528
2021-05-01,183.484
2021-06-01,184.783
2021-07-01,186.249
2021-08-01,187.443
2021-09-01,188.616
2021-10-01,190.3
2021-11-01,191.495
2021-12-01,192.745
2022-01-01,193.956
2022-02-01,194.924
2022-03-01,195.529
2022-04-01,196.775
2022-05-01,198.199
2022-06-01,199.794
2022-07-01,201.235
2022-08-01,203.586
2022-09-01,205.795
2022-10-01,207.624
2022-11-01,208.866
2022-12-01,209.726
2023-01-01,211.028
2023-02-01,212.367
2023-03-01,213.644
2023-04-01,214.456
2023-05-01,215.469
2023-06-01,216.307
2023-07-01,216.685
2023-08-01,217.392
2023-09-01,218.252
2023-10-01,219.069
2023-11-01,220.033
