"Date","APU0400FC1101"
1998-01-01,1.901
1998-02-01,1.858
1998-03-01,1.874
1998-04-01,1.889
1998-05-01,1.894
1998-06-01,1.855
1998-07-01,1.909
1998-08-01,1.89
1998-09-01,1.909
1998-10-01,1.941
1998-11-01,1.884
1998-12-01,1.899
1999-01-01,1.93
1999-02-01,1.983
1999-03-01,1.972
1999-04-01,2.007
1999-05-01,1.976
1999-06-01,2.007
1999-07-01,1.991
1999-08-01,2.001
1999-09-01,2.061
1999-10-01,2.027
1999-11-01,2.04
1999-12-01,1.998
2000-01-01,2.008
2000-02-01,1.979
2000-03-01,2.034
2000-04-01,2.036
2000-05-01,2.045
2000-06-01,2.042
2000-07-01,2.08
2000-08-01,2.11
2000-09-01,2.084
2000-10-01,2.097
2000-11-01,2.112
2000-12-01,2.129
2001-01-01,2.148
2001-02-01,2.246
2001-03-01,2.251
2001-04-01,2.312
2001-05-01,2.29
2001-06-01,2.322
2001-07-01,2.271
2001-08-01,2.269
2001-09-01,2.287
2001-10-01,2.368
2001-11-01,2.429
2001-12-01,2.379
2002-01-01,2.372
2002-02-01,2.454
2002-03-01,2.423
2002-04-01,2.463
2002-05-01,2.615
2002-06-01,2.606
2002-07-01,2.567
2002-08-01,2.584
2002-09-01,2.633
2002-10-01,2.739
2002-11-01,2.703
2002-12-01,2.705
2003-01-01,2.65
2003-02-01,2.644
2003-03-01,2.762
2003-04-01,2.766
2003-05-01,2.556
2003-06-01,2.533
2003-07-01,2.601
2003-08-01,2.674
2003-09-01,2.706
2003-10-01,2.734
2003-11-01,2.841
2003-12-01,2.831
2004-01-01,2.889
2004-02-01,2.826
2004-03-01,2.822
2004-04-01,2.881
2004-05-01,2.736
2004-06-01,2.846
2004-07-01,2.809
2004-08-01,2.775
2004-09-01,2.832
2004-10-01,2.869
2004-11-01,2.856
2004-12-01,2.89
2005-01-01,2.829
2005-02-01,2.781
2005-03-01,2.875
2005-04-01,2.892
2005-05-01,2.807
2005-06-01,2.749
2005-07-01,2.752
2005-08-01,2.678
2005-09-01,2.714
2005-10-01,2.724
2005-11-01,2.696
2005-12-01,2.617
2006-01-01,2.688
2006-02-01,2.655
2006-03-01,2.755
2006-04-01,2.722
2006-05-01,2.719
2006-06-01,2.692
2006-07-01,2.665
2006-08-01,2.67
2006-09-01,2.705
2006-10-01,2.699
2006-11-01,2.745
2006-12-01,2.7
2007-01-01,2.705
2007-02-01,2.734
2007-03-01,2.783
2007-04-01,2.818
2007-05-01,2.876
2007-06-01,2.853
2007-07-01,2.883
2007-08-01,2.952
2007-09-01,2.98
2007-10-01,2.99
2007-11-01,3.018
2007-12-01,2.989
2008-01-01,2.958
2008-02-01,3.038
2008-03-01,3.029
2008-04-01,3.004
2008-05-01,3.083
2008-06-01,3.136
2008-07-01,3.101
2008-08-01,3.263
2008-09-01,3.289
2008-10-01,3.345
2008-11-01,3.416
2008-12-01,3.447
2009-01-01,3.365
2009-02-01,3.333
2009-03-01,3.235
2009-04-01,3.215
2009-05-01,3.533
2009-06-01,3.549
2009-07-01,3.251
2009-08-01,3.516
2009-09-01,3.452
2009-10-01,3.504
2009-11-01,3.469
2009-12-01,3.477
2010-01-01,3.512
2010-02-01,3.573
2010-03-01,3.539
2010-04-01,3.582
2010-05-01,3.513
2010-06-01,3.565
2010-07-01,3.576
2010-08-01,3.71
2010-09-01,3.469
2010-10-01,3.65
2010-11-01,3.51
2010-12-01,3.534
2011-01-01,3.62
2011-02-01,3.418
2011-03-01,3.796
2011-04-01,3.538
2011-05-01,3.739
2011-06-01,3.778
2011-07-01,3.808
2011-08-01,3.655
2011-09-01,3.614
2011-10-01,3.683
2011-11-01,3.677
2011-12-01,3.77
2012-01-01,3.789
2012-02-01,3.743
2012-03-01,3.751
2012-04-01,3.77
2012-05-01,3.791
2012-06-01,3.712
2012-07-01,3.884
2012-08-01,4.025
2012-09-01,3.904
2012-10-01,3.872
2012-11-01,3.991
2012-12-01,4.081
2013-01-01,4.061
2013-02-01,3.902
2013-03-01,3.961
2013-04-01,3.929
2013-05-01,3.632
2013-06-01,3.712
2013-07-01,3.895
2013-08-01,3.862
2013-09-01,3.912
2013-10-01,3.739
2013-11-01,3.947
2013-12-01,3.954
2014-01-01,3.991
2014-02-01,3.996
2014-03-01,4.15
2014-04-01,4.316
2014-05-01,4.328
2014-06-01,4.258
2014-07-01,4.339
2014-08-01,4.445
2014-09-01,4.59
2014-10-01,4.617
2014-11-01,4.743
2014-12-01,4.749
2015-01-01,4.724
2015-02-01,4.717
2015-03-01,4.752
2015-04-01,4.777
2015-05-01,4.756
2015-06-01,4.925
2015-07-01,4.811
2015-08-01,4.844
2015-09-01,4.772
2015-10-01,4.787
2015-11-01,4.853
2015-12-01,4.821
2016-01-01,4.694
2016-02-01,4.673
2016-03-01,4.671
2016-04-01,4.571
2016-05-01,4.467
2016-06-01,4.562
2016-07-01,4.564
2016-08-01,4.49
2016-09-01,4.507
2016-10-01,4.475
2016-11-01,4.518
2016-12-01,4.433
2017-01-01,4.463
2017-02-01,4.433
2017-03-01,4.485
2017-04-01,4.343
2017-05-01,4.259
2017-06-01,4.377
2017-07-01,4.524
2017-08-01,4.479
2017-09-01,4.432
2017-10-01,4.488
2017-11-01,4.438
2017-12-01,4.508
2018-01-01,4.377
2018-02-01,4.353
2018-03-01,4.44
2018-04-01,4.442
2018-05-01,4.387
2018-06-01,4.4
2018-07-01,4.344
2018-08-01,4.479
2018-09-01,4.347
2018-10-01,4.353
2018-11-01,4.495
2018-12-01,4.521
2019-01-01,4.497
2019-02-01,4.473
2019-03-01,4.517
2019-04-01,4.561
2019-05-01,4.411
2019-06-01,4.366
2019-07-01,4.478
2019-08-01,4.578
2019-09-01,4.553
2019-10-01,4.674
2019-11-01,4.7
2019-12-01,4.689
2020-01-01,4.642
2020-02-01,4.684
2020-03-01,4.674
2020-04-01,NA
2020-05-01,NA
2020-06-01,5.287
2020-07-01,5.241
2020-08-01,5.032
2020-09-01,5.011
2020-10-01,5.076
2020-11-01,4.991
2020-12-01,4.963
2021-01-01,4.862
2021-02-01,4.89
2021-03-01,5.125
2021-04-01,5.128
2021-05-01,5.044
2021-06-01,5.224
2021-07-01,5.151
2021-08-01,5.407
2021-09-01,5.5
2021-10-01,5.777
2021-11-01,5.951
2021-12-01,5.758
2022-01-01,5.823
2022-02-01,5.763
2022-03-01,5.911
2022-04-01,5.989
2022-05-01,5.734
2022-06-01,5.788
2022-07-01,5.799
2022-08-01,5.912
2022-09-01,5.688
2022-10-01,5.427
2022-11-01,5.415
2022-12-01,5.419
2023-01-01,5.461
2023-02-01,5.403
2023-03-01,5.486
2023-04-01,5.428
2023-05-01,5.534
2023-06-01,5.662
2023-07-01,5.787
2023-08-01,5.769
2023-09-01,5.885
2023-10-01,5.764
2023-11-01,5.712
