"Date","CUSR0000SERF01"
1998-01-01,100.1
1998-02-01,100.3
1998-03-01,100.9
1998-04-01,100.8
1998-05-01,100.9
1998-06-01,102.4
1998-07-01,102.7
1998-08-01,103.6
1998-09-01,104
1998-10-01,103.7
1998-11-01,104.7
1998-12-01,105.1
1999-01-01,105.2
1999-02-01,105.6
1999-03-01,105.2
1999-04-01,105.7
1999-05-01,105.8
1999-06-01,105.7
1999-07-01,105.7
1999-08-01,105.8
1999-09-01,105.4
1999-10-01,105.1
1999-11-01,107.1
1999-12-01,106.8
2000-01-01,106.9
2000-02-01,107
2000-03-01,107.3
2000-04-01,107.5
2000-05-01,107.6
2000-06-01,108.7
2000-07-01,109.8
2000-08-01,110
2000-09-01,110.6
2000-10-01,110.6
2000-11-01,110.5
2000-12-01,110.4
2001-01-01,111.1
2001-02-01,111.2
2001-03-01,110.7
2001-04-01,111.7
2001-05-01,112.2
2001-06-01,111.3
2001-07-01,111.2
2001-08-01,111.1
2001-09-01,111.6
2001-10-01,111.9
2001-11-01,113.1
2001-12-01,112.8
2002-01-01,112.6
2002-02-01,112.7
2002-03-01,112.9
2002-04-01,112.8
2002-05-01,113
2002-06-01,112.7
2002-07-01,112.7
2002-08-01,112.8
2002-09-01,112.9
2002-10-01,113.3
2002-11-01,113.2
2002-12-01,113.6
2003-01-01,113.3
2003-02-01,114.5
2003-03-01,115.3
2003-04-01,115.9
2003-05-01,116
2003-06-01,116.6
2003-07-01,116.9
2003-08-01,117
2003-09-01,117.2
2003-10-01,117.4
2003-11-01,116.6
2003-12-01,116.6
2004-01-01,117
2004-02-01,117.2
2004-03-01,117.5
2004-04-01,115.6
2004-05-01,116.2
2004-06-01,116.6
2004-07-01,116.5
2004-08-01,116.7
2004-09-01,116.7
2004-10-01,116.4
2004-11-01,116.8
2004-12-01,116.9
2005-01-01,116.8
2005-02-01,116.7
2005-03-01,116.3
2005-04-01,116.8
2005-05-01,116.9
2005-06-01,116.8
2005-07-01,116.8
2005-08-01,116
2005-09-01,117.7
2005-10-01,118.8
2005-11-01,119.5
2005-12-01,120
2006-01-01,120.2
2006-02-01,121.2
2006-03-01,121.6
2006-04-01,121.5
2006-05-01,122
2006-06-01,122
2006-07-01,122
2006-08-01,121.9
2006-09-01,122.5
2006-10-01,122.1
2006-11-01,122.5
2006-12-01,122.7
2007-01-01,122.849
2007-02-01,122.836
2007-03-01,123.084
2007-04-01,123.882
2007-05-01,124.431
2007-06-01,124.318
2007-07-01,123.878
2007-08-01,123.985
2007-09-01,123.804
2007-10-01,123.191
2007-11-01,124.316
2007-12-01,123.864
2008-01-01,124.846
2008-02-01,124.889
2008-03-01,124.8
2008-04-01,125.812
2008-05-01,126.269
2008-06-01,126.724
2008-07-01,126.477
2008-08-01,126.632
2008-09-01,126.061
2008-10-01,126.456
2008-11-01,125.935
2008-12-01,125.014
2009-01-01,125.164
2009-02-01,126.609
2009-03-01,126.564
2009-04-01,124.951
2009-05-01,125.792
2009-06-01,126.309
2009-07-01,126.034
2009-08-01,125.716
2009-09-01,126.794
2009-10-01,125.756
2009-11-01,125.403
2009-12-01,122.918
2010-01-01,122.949
2010-02-01,123.428
2010-03-01,121.755
2010-04-01,124.583
2010-05-01,124.846
2010-06-01,124.195
2010-07-01,124.673
2010-08-01,124.735
2010-09-01,122.119
2010-10-01,122.059
2010-11-01,122.921
2010-12-01,123.325
2011-01-01,122.761
2011-02-01,122.139
2011-03-01,121.677
2011-04-01,121.736
2011-05-01,122.764
2011-06-01,122.796
2011-07-01,120.978
2011-08-01,121.4
2011-09-01,120.824
2011-10-01,119.649
2011-11-01,122.577
2011-12-01,125.494
2012-01-01,125.841
2012-02-01,124.774
2012-03-01,125.835
2012-04-01,125.397
2012-05-01,124.847
2012-06-01,125.227
2012-07-01,125.076
2012-08-01,125.488
2012-09-01,125.645
2012-10-01,125.479
2012-11-01,126.351
2012-12-01,125.963
2013-01-01,126.283
2013-02-01,127.731
2013-03-01,126.698
2013-04-01,126.961
2013-05-01,127.375
2013-06-01,127.12
2013-07-01,126.482
2013-08-01,126.951
2013-09-01,128.7
2013-10-01,128.993
2013-11-01,128.565
2013-12-01,127.923
2014-01-01,129.356
2014-02-01,129.574
2014-03-01,129.185
2014-04-01,129.189
2014-05-01,129.482
2014-06-01,129.556
2014-07-01,130.332
2014-08-01,129.431
2014-09-01,129.083
2014-10-01,129.207
2014-11-01,129.2
2014-12-01,128.377
2015-01-01,130.186
2015-02-01,128.532
2015-03-01,128.144
2015-04-01,128.872
2015-05-01,129.237
2015-06-01,131.952
2015-07-01,132.608
2015-08-01,131.751
2015-09-01,131.427
2015-10-01,130.553
2015-11-01,129.403
2015-12-01,129.04
2016-01-01,129.269
2016-02-01,130.481
