"Date","CP0200USM086NEST"
2001-12-01,57.98
2002-01-01,59.47
2002-02-01,60.94
2002-03-01,59.64
2002-04-01,61.88
2002-05-01,60.95
2002-06-01,62.45
2002-07-01,62.46
2002-08-01,63.36
2002-09-01,63.88
2002-10-01,62.79
2002-11-01,62.77
2002-12-01,62.91
2003-01-01,63.04
2003-02-01,63.1
2003-03-01,62.8
2003-04-01,62.79
2003-05-01,62.63
2003-06-01,62.5
2003-07-01,62.96
2003-08-01,63.14
2003-09-01,62.99
2003-10-01,63.06
2003-11-01,63.07
2003-12-01,63.18
2004-01-01,63.51
2004-02-01,63.55
2004-03-01,63.83
2004-04-01,63.94
2004-05-01,63.88
2004-06-01,64.15
2004-07-01,64.36
2004-08-01,64.47
2004-09-01,64.77
2004-10-01,64.7
2004-11-01,64.71
2004-12-01,64.84
2005-01-01,65.59
2005-02-01,65.91
2005-03-01,66.04
2005-04-01,66.09
2005-05-01,66.04
2005-06-01,66.06
2005-07-01,66.44
2005-08-01,66.68
2005-09-01,67.05
2005-10-01,66.98
2005-11-01,67.12
2005-12-01,67.07
2006-01-01,67.54
2006-02-01,67.86
2006-03-01,68.21
2006-04-01,68.09
2006-05-01,68.08
2006-06-01,68.45
2006-07-01,68.34
2006-08-01,68.22
2006-09-01,68.2
2006-10-01,68.33
2006-11-01,68.15
2006-12-01,68.48
2007-01-01,69.89
2007-02-01,70.56
2007-03-01,70.93
2007-04-01,70.73
2007-05-01,70.89
2007-06-01,71.23
2007-07-01,71.25
2007-08-01,71.45
2007-09-01,71.75
2007-10-01,71.92
2007-11-01,71.96
2007-12-01,72.16
2008-01-01,72.94
2008-02-01,73.44
2008-03-01,73.45
2008-04-01,73.68
2008-05-01,73.92
2008-06-01,74.55
2008-07-01,75.15
2008-08-01,75.24
2008-09-01,75.46
2008-10-01,75.84
2008-11-01,75.88
2008-12-01,76.11
2009-01-01,76.71
2009-02-01,77.18
2009-03-01,81.89
2009-04-01,86.08
2009-05-01,86
2009-06-01,86.54
2009-07-01,87.76
2009-08-01,87.88
2009-09-01,88.33
2009-10-01,88.61
2009-11-01,89.28
2009-12-01,89.21
2010-01-01,89.43
2010-02-01,89.48
2010-03-01,89.5
2010-04-01,89.46
2010-05-01,90.15
2010-06-01,90.68
2010-07-01,91.77
2010-08-01,91.92
2010-09-01,92.03
2010-10-01,92
2010-11-01,91.79
2010-12-01,92.15
2011-01-01,92.36
2011-02-01,92.69
2011-03-01,92.67
2011-04-01,92.46
2011-05-01,92.26
2011-06-01,92.46
2011-07-01,92.64
2011-08-01,92.93
2011-09-01,93.3
2011-10-01,93.43
2011-11-01,93.38
2011-12-01,93.53
2012-01-01,94.26
2012-02-01,94.2
2012-03-01,94.01
2012-04-01,93.95
2012-05-01,93.92
2012-06-01,94.18
2012-07-01,94.81
2012-08-01,94.59
2012-09-01,94.72
2012-10-01,94.63
2012-11-01,94.64
2012-12-01,94.98
2013-01-01,95.52
2013-02-01,95.65
2013-03-01,95.6
2013-04-01,95.9
2013-05-01,95.89
2013-06-01,95.93
2013-07-01,96.79
2013-08-01,97.03
2013-09-01,97
2013-10-01,97.02
2013-11-01,96.89
2013-12-01,97.34
2014-01-01,97.92
2014-02-01,97.82
2014-03-01,97.89
2014-04-01,97.78
2014-05-01,97.94
2014-06-01,98.32
2014-07-01,98.14
2014-08-01,98.54
2014-09-01,98.44
2014-10-01,98.69
2014-11-01,98.99
2014-12-01,99.19
2015-01-01,99.22
2015-02-01,99.39
2015-03-01,99.46
2015-04-01,99.2
2015-05-01,99.4
2015-06-01,99.71
2015-07-01,100.13
2015-08-01,100.38
2015-09-01,100.29
2015-10-01,100.84
2015-11-01,100.9
2015-12-01,101.1
2016-01-01,101.68
2016-02-01,101.84
2016-03-01,101.86
2016-04-01,101.77
2016-05-01,101.74
2016-06-01,102.14
2016-07-01,102.07
2016-08-01,102.4
2016-09-01,102.62
2016-10-01,103.02
2016-11-01,102.96
2016-12-01,103.37
2017-01-01,103.79
2017-02-01,103.73
2017-03-01,104
2017-04-01,106.28
2017-05-01,105.96
2017-06-01,105.92
2017-07-01,106.12
2017-08-01,106.09
2017-09-01,106.51
2017-10-01,107.62
2017-11-01,107.72
2017-12-01,107.48
2018-01-01,107.69
2018-02-01,107.87
2018-03-01,107.72
2018-04-01,108.42
2018-05-01,108.3
2018-06-01,108.45
2018-07-01,108.47
2018-08-01,108.49
2018-09-01,108.89
2018-10-01,110.01
2018-11-01,110.24
2018-12-01,110.12
2019-01-01,110.49
2019-02-01,111
2019-03-01,111.56
2019-04-01,111.5
2019-05-01,111.85
2019-06-01,111.97
2019-07-01,112.63
2019-08-01,112.92
2019-09-01,113.04
2019-10-01,113.42
2019-11-01,113.61
2019-12-01,113.35
2020-01-01,113.84
2020-02-01,114.44
2020-03-01,115.47
2020-04-01,115.61
2020-05-01,115.51
2020-06-01,115.95
2020-07-01,116.55
2020-08-01,116.61
2020-09-01,116.78
2020-10-01,117.25
2020-11-01,117.73
2020-12-01,117.83
2021-01-01,119.01
2021-02-01,119.48
2021-03-01,120
2021-04-01,120.18
2021-05-01,120.41
2021-06-01,121
2021-07-01,121.35
2021-08-01,121.6
2021-09-01,122.14
2021-10-01,123.19
2021-11-01,123.8
2021-12-01,123.98
2022-01-01,124.23
2022-02-01,125.36
2022-03-01,125.92
2022-04-01,126.36
2022-05-01,126.94
2022-06-01,127.63
2022-07-01,127.99
2022-08-01,128.99
2022-09-01,129.02
2022-10-01,129.61
2022-11-01,130.52
2022-12-01,130.61
2023-01-01,131.37
2023-02-01,132.18
2023-03-01,132.63
2023-04-01,132.76
2023-05-01,133.36
2023-06-01,133.32
2023-07-01,133.55
2023-08-01,134.08
2023-09-01,134.48
2023-10-01,135.96
