"Date","CWSR0000SETD"
1967-01-01,29.7
1967-02-01,29.8
1967-03-01,29.9
1967-04-01,30
1967-05-01,30.1
1967-06-01,30.3
1967-07-01,30.4
1967-08-01,30.5
1967-09-01,30.6
1967-10-01,30.8
1967-11-01,30.9
1967-12-01,31
1968-01-01,31
1968-02-01,31.3
1968-03-01,31.4
1968-04-01,31.6
1968-05-01,31.7
1968-06-01,31.9
1968-07-01,32
1968-08-01,32.1
1968-09-01,32.4
1968-10-01,32.5
1968-11-01,32.7
1968-12-01,32.9
1969-01-01,33.1
1969-02-01,33.3
1969-03-01,33.4
1969-04-01,33.5
1969-05-01,33.7
1969-06-01,33.9
1969-07-01,34.1
1969-08-01,34.2
1969-09-01,34.4
1969-10-01,34.7
1969-11-01,34.9
1969-12-01,35.1
1970-01-01,35.4
1970-02-01,35.6
1970-03-01,35.9
1970-04-01,36.1
1970-05-01,36.3
1970-06-01,36.5
1970-07-01,36.7
1970-08-01,36.9
1970-09-01,37.1
1970-10-01,37.3
1970-11-01,37.5
1970-12-01,37.7
1971-01-01,37.7
1971-02-01,38.1
1971-03-01,38.4
1971-04-01,38.7
1971-05-01,38.9
1971-06-01,39.2
1971-07-01,39.5
1971-08-01,39.8
1971-09-01,39.8
1971-10-01,39.9
1971-11-01,40.1
1971-12-01,40.2
1972-01-01,40.3
1972-02-01,40.4
1972-03-01,40.5
1972-04-01,40.6
1972-05-01,40.8
1972-06-01,40.9
1972-07-01,41
1972-08-01,41.2
1972-09-01,41.3
1972-10-01,41.4
1972-11-01,41.6
1972-12-01,41.7
1973-01-01,41.9
1973-02-01,42.1
1973-03-01,42.3
1973-04-01,42.6
1973-05-01,42.8
1973-06-01,43.1
1973-07-01,43.2
1973-08-01,43.4
1973-09-01,43.6
1973-10-01,43.8
1973-11-01,44.1
1973-12-01,44.4
1974-01-01,44.6
1974-02-01,45.1
1974-03-01,45.4
1974-04-01,45.9
1974-05-01,46.4
1974-06-01,46.8
1974-07-01,47.6
1974-08-01,48.2
1974-09-01,49.3
1974-10-01,49.9
1974-11-01,50.5
1974-12-01,50.8
1975-01-01,51.6
1975-02-01,52
1975-03-01,52.5
1975-04-01,52.8
1975-05-01,53.1
1975-06-01,53.4
1975-07-01,53.8
1975-08-01,54
1975-09-01,54.3
1975-10-01,54.5
1975-11-01,55.1
1975-12-01,55.5
1976-01-01,56.1
1976-02-01,56.2
1976-03-01,56.3
1976-04-01,56.6
1976-05-01,57
1976-06-01,57.2
1976-07-01,57.6
1976-08-01,58
1976-09-01,58.3
1976-10-01,58.6
1976-11-01,58.9
1976-12-01,59.2
1977-01-01,59.6
1977-02-01,60
1977-03-01,60.5
1977-04-01,60.9
1977-05-01,61.3
1977-06-01,61.6
1977-07-01,61.9
1977-08-01,62.3
1977-09-01,62.8
1977-10-01,63
1977-11-01,63.4
1977-12-01,64
1978-01-01,64.5
1978-02-01,65.2
1978-03-01,65.3
1978-04-01,65.6
1978-05-01,66.1
1978-06-01,66.7
1978-07-01,67.2
1978-08-01,67.6
1978-09-01,68.3
1978-10-01,68.9
1978-11-01,69.4
1978-12-01,69.8
1979-01-01,70.3
1979-02-01,71
1979-03-01,71.6
1979-04-01,72.3
1979-05-01,72.9
1979-06-01,73.4
1979-07-01,74.1
1979-08-01,74.6
1979-09-01,75.1
1979-10-01,75.6
1979-11-01,76.2
1979-12-01,77
1980-01-01,77.7
1980-02-01,78.5
1980-03-01,79.1
1980-04-01,79.9
1980-05-01,80.6
1980-06-01,81.3
1980-07-01,81.9
1980-08-01,82.6
1980-09-01,83.1
1980-10-01,83.9
1980-11-01,84.6
1980-12-01,85.3
1981-01-01,85.9
1981-02-01,86.5
1981-03-01,87.2
1981-04-01,87.7
1981-05-01,88.2
1981-06-01,88.7
1981-07-01,89.1
1981-08-01,89.9
1981-09-01,90.8
1981-10-01,91.5
1981-11-01,92
1981-12-01,92.5
1982-01-01,92.8
1982-02-01,93.5
1982-03-01,94.3
1982-04-01,94.8
1982-05-01,95.3
1982-06-01,96.1
1982-07-01,96.6
1982-08-01,97
1982-09-01,97.4
1982-10-01,97.8
1982-11-01,98
1982-12-01,98.2
1983-01-01,98.6
1983-02-01,99
1983-03-01,99.3
1983-04-01,99.5
1983-05-01,99.9
1983-06-01,100.1
1983-07-01,100.2
1983-08-01,100.6
1983-09-01,101
1983-10-01,101.3
1983-11-01,101.8
1983-12-01,101.8
1984-01-01,102.1
1984-02-01,102.5
1984-03-01,102.8
1984-04-01,103
1984-05-01,103.3
1984-06-01,103.5
1984-07-01,103.8
1984-08-01,104.1
1984-09-01,104.6
1984-10-01,105
1984-11-01,105.1
1984-12-01,105.2
1985-01-01,105.5
1985-02-01,105.9
1985-03-01,106
1985-04-01,105.9
1985-05-01,106.3
1985-06-01,106.6
1985-07-01,106.8
1985-08-01,107
1985-09-01,107.5
1985-10-01,108.2
1985-11-01,108.3
1985-12-01,108.9
1986-01-01,109
1986-02-01,109.3
1986-03-01,109.4
1986-04-01,109.8
1986-05-01,110
1986-06-01,110.2
1986-07-01,110.7
1986-08-01,110.9
1986-09-01,111.2
1986-10-01,111.3
1986-11-01,112.1
1986-12-01,112.9
1987-01-01,113.2
1987-02-01,113.7
1987-03-01,113.7
1987-04-01,114.6
1987-05-01,114.6
1987-06-01,114.7
1987-07-01,114.9
1987-08-01,115.4
1987-09-01,116
1987-10-01,116.3
1987-11-01,116.7
1987-12-01,117
1988-01-01,117.4
1988-02-01,117.8
1988-03-01,118.6
1988-04-01,118.9
1988-05-01,119.4
1988-06-01,119.8
1988-07-01,120.1
1988-08-01,120.5
1988-09-01,121
1988-10-01,121.3
1988-11-01,121.5
1988-12-01,121.5
1989-01-01,122.5
1989-02-01,123.2
1989-03-01,123.3
1989-04-01,123.8
1989-05-01,124.3
1989-06-01,124.7
1989-07-01,125
1989-08-01,125.5
1989-09-01,126.1
1989-10-01,126.5
1989-11-01,126.8
1989-12-01,127.2
1990-01-01,127.5
1990-02-01,127.9
1990-03-01,128.8
1990-04-01,129.5
1990-05-01,129.6
1990-06-01,129.9
1990-07-01,130.4
1990-08-01,130.8
1990-09-01,131.5
1990-10-01,132.2
1990-11-01,132.9
1990-12-01,133.1
1991-01-01,133.7
1991-02-01,133.9
1991-03-01,134.4
1991-04-01,134.7
1991-05-01,135.1
1991-06-01,136.1
1991-07-01,136.9
1991-08-01,137.5
1991-09-01,138
1991-10-01,138.5
1991-11-01,139
1991-12-01,139
1992-01-01,139.7
1992-02-01,140.2
1992-03-01,140.7
1992-04-01,141
1992-05-01,141.4
1992-06-01,141.8
1992-07-01,142
1992-08-01,142.2
1992-09-01,142.6
1992-10-01,143
1992-11-01,143.4
1992-12-01,144.1
1993-01-01,144.3
1993-02-01,144.9
1993-03-01,145.3
1993-04-01,145.9
1993-05-01,146.1
1993-06-01,146.6
1993-07-01,147
1993-08-01,147
1993-09-01,147.3
1993-10-01,147.6
1993-11-01,147.9
1993-12-01,148.4
1994-01-01,149
1994-02-01,149.2
1994-03-01,149.6
1994-04-01,150
1994-05-01,150.5
1994-06-01,150.6
1994-07-01,151
1994-08-01,151.5
1994-09-01,151.8
1994-10-01,152.2
1994-11-01,152.4
1994-12-01,152.7
1995-01-01,152.7
1995-02-01,153.3
1995-03-01,153.5
1995-04-01,154
1995-05-01,154.6
1995-06-01,154.5
1995-07-01,154.9
1995-08-01,155.3
1995-09-01,155.9
1995-10-01,156.2
1995-11-01,156.5
1995-12-01,156.6
1996-01-01,157.1
1996-02-01,157.5
1996-03-01,157.9
1996-04-01,158.2
1996-05-01,158.5
1996-06-01,158.8
1996-07-01,159.1
1996-08-01,159.8
1996-09-01,160.7
1996-10-01,161.1
1996-11-01,161.2
1996-12-01,161.5
1997-01-01,162
1997-02-01,162
1997-03-01,162.5
1997-04-01,162.9
1997-05-01,163.3
1997-06-01,163.9
1997-07-01,164.2
1997-08-01,164.4
1997-09-01,164.4
1997-10-01,164.6
1997-11-01,164.9
1997-12-01,165.8
1998-01-01,165.9
1998-02-01,166.3
1998-03-01,166.6
1998-04-01,166.9
1998-05-01,167.2
1998-06-01,167.8
1998-07-01,168.2
1998-08-01,168.6
1998-09-01,169.3
1998-10-01,170
1998-11-01,170.6
1998-12-01,171
1999-01-01,171.1
1999-02-01,171.6
1999-03-01,171.9
1999-04-01,172.4
1999-05-01,172.9
1999-06-01,173.2
1999-07-01,173.7
1999-08-01,173.8
1999-09-01,174.2
1999-10-01,174.4
1999-11-01,174.9
1999-12-01,175.3
2000-01-01,176
2000-02-01,176.3
2000-03-01,177.1
2000-04-01,177.5
2000-05-01,178
2000-06-01,178.5
2000-07-01,178.9
2000-08-01,179.9
2000-09-01,180.2
2000-10-01,180.7
2000-11-01,181.2
2000-12-01,181.5
2001-01-01,182
2001-02-01,182.8
2001-03-01,183.2
2001-04-01,183.5
2001-05-01,184.2
2001-06-01,184.6
2001-07-01,185.2
2001-08-01,186
2001-09-01,186.7
2001-10-01,187.3
2001-11-01,187.6
2001-12-01,187.9
2002-01-01,188.5
2002-02-01,189.2
2002-03-01,189.8
2002-04-01,190.6
2002-05-01,191.5
2002-06-01,191.7
2002-07-01,191.6
2002-08-01,192.8
2002-09-01,193
2002-10-01,193.1
2002-11-01,194.1
2002-12-01,195
2003-01-01,195.4
2003-02-01,195.9
2003-03-01,195.9
2003-04-01,196.4
2003-05-01,196.6
2003-06-01,197
2003-07-01,197.8
2003-08-01,197.5
2003-09-01,198
2003-10-01,198.4
2003-11-01,198.7
2003-12-01,199.8
2004-01-01,199.9
2004-02-01,200.1
2004-03-01,200.3
2004-04-01,200.4
2004-05-01,200.8
2004-06-01,201.5
2004-07-01,202.1
2004-08-01,202.7
2004-09-01,202.7
2004-10-01,203.8
2004-11-01,204.9
2004-12-01,205.3
2005-01-01,206
2005-02-01,206.1
2005-03-01,206.9
2005-04-01,207.2
2005-05-01,207.9
2005-06-01,208.4
2005-07-01,209.1
2005-08-01,209.7
2005-09-01,211.1
2005-10-01,212.4
2005-11-01,213.1
2005-12-01,213.2
2006-01-01,213.6
2006-02-01,215.4
2006-03-01,215.8
2006-04-01,216.3
2006-05-01,217.4
2006-06-01,218
2006-07-01,219.1
2006-08-01,218.6
2006-09-01,219.4
2006-10-01,221.1
2006-11-01,221.1
2006-12-01,221.4
2007-01-01,221.769
2007-02-01,223.054
2007-03-01,223.683
2007-04-01,224.086
2007-05-01,224.623
2007-06-01,225.172
2007-07-01,226.09
2007-08-01,226.636
2007-09-01,226.881
2007-10-01,227.472
2007-11-01,228.267
2007-12-01,228.692
2008-01-01,230.255
2008-02-01,231.349
2008-03-01,232.344
2008-04-01,232.983
2008-05-01,234.221
2008-06-01,235.55
2008-07-01,237.324
2008-08-01,238.583
2008-09-01,239.571
2008-10-01,240.688
2008-11-01,241.509
2008-12-01,241.855
2009-01-01,243.594
2009-02-01,244.219
2009-03-01,244.65
2009-04-01,245.18
2009-05-01,245.036
2009-06-01,245.129
2009-07-01,245.421
2009-08-01,245.871
2009-09-01,246.85
2009-10-01,247.811
2009-11-01,247.972
2009-12-01,247.812
2010-01-01,247.975
2010-02-01,248.479
2010-03-01,249.127
2010-04-01,249.873
2010-05-01,249.841
2010-06-01,250.142
2010-07-01,250.143
2010-08-01,251.084
2010-09-01,251.938
2010-10-01,252.546
2010-11-01,252.61
2010-12-01,252.759
2011-01-01,253.31
2011-02-01,253.524
2011-03-01,253.391
2011-04-01,253.99
2011-05-01,255.042
2011-06-01,255.133
2011-07-01,255.509
2011-08-01,256.077
2011-09-01,258.001
2011-10-01,258.44
2011-11-01,258.342
2011-12-01,258.355
2012-01-01,259.076
2012-02-01,259.689
2012-03-01,259.389
2012-04-01,259.291
2012-05-01,260.061
2012-06-01,260.369
2012-07-01,260.159
2012-08-01,260.394
2012-09-01,260.802
2012-10-01,261.261
2012-11-01,261.623
2012-12-01,261.517
2013-01-01,262.265
2013-02-01,262.812
2013-03-01,262.762
2013-04-01,263.086
2013-05-01,263.799
2013-06-01,264.092
2013-07-01,264.99
2013-08-01,265.294
2013-09-01,265.838
2013-10-01,265.968
2013-11-01,265.887
2013-12-01,265.939
2014-01-01,266.488
2014-02-01,267.429
2014-03-01,267.262
2014-04-01,267.573
2014-05-01,267.849
2014-06-01,268.543
2014-07-01,269.182
2014-08-01,268.956
2014-09-01,270.067
2014-10-01,270.935
2014-11-01,271.279
2014-12-01,271.386
2015-01-01,271.696
2015-02-01,271.921
2015-03-01,271.675
2015-04-01,272.766
2015-05-01,273.594
2015-06-01,273.81
2015-07-01,273.965
2015-08-01,273.585
2015-09-01,273.985
2015-10-01,274.622
2015-11-01,274.77
2015-12-01,275.709
2016-01-01,275.843
2016-02-01,275.883
2016-03-01,276.672
2016-04-01,277.637
2016-05-01,278.28
2016-06-01,278.584
2016-07-01,279.125
2016-08-01,278.833
2016-09-01,278.403
2016-10-01,278.68
2016-11-01,280.235
2016-12-01,281.029
2017-01-01,282.515
2017-02-01,282.782
2017-03-01,282.586
2017-04-01,283.131
2017-05-01,283.425
2017-06-01,282.016
2017-07-01,282.294
2017-08-01,283.193
2017-09-01,284.773
2017-10-01,285.866
2017-11-01,285.139
2017-12-01,285.611
2018-01-01,285.909
2018-02-01,286.524
2018-03-01,286.04
2018-04-01,286.696
2018-05-01,287.018
2018-06-01,288.026
2018-07-01,288.238
2018-08-01,289.189
2018-09-01,290.578
2018-10-01,291.346
2018-11-01,292.285
2018-12-01,291.832
2019-01-01,293.398
2019-02-01,294.564
2019-03-01,296.681
2019-04-01,297.572
2019-05-01,296.741
2019-06-01,297.683
2019-07-01,297.752
2019-08-01,300.513
2019-09-01,301.148
2019-10-01,301.584
2019-11-01,302.048
2019-12-01,302.378
2020-01-01,302.769
2020-02-01,305.108
2020-03-01,307.376
2020-04-01,307.668
2020-05-01,308.819
2020-06-01,308.946
2020-07-01,308.69
2020-08-01,310.941
2020-09-01,311.521
2020-10-01,311.803
2020-11-01,313.394
2020-12-01,313.097
2021-01-01,313.836
2021-02-01,314.832
2021-03-01,318.481
2021-04-01,318.755
2021-05-01,317.545
2021-06-01,318.396
2021-07-01,321.68
2021-08-01,324.165
2021-09-01,324.182
2021-10-01,328.953
2021-11-01,328.647
2021-12-01,327.964
2022-01-01,328.932
2022-02-01,335.332
