"Date","M04072US000MAM324NNBR"
1910-01-01,96.1
1910-02-01,96.1
1910-03-01,96.6
1910-04-01,96.1
1910-05-01,95.8
1910-06-01,96
1910-07-01,96.5
1910-08-01,96.7
1910-09-01,97
1910-10-01,96.7
1910-11-01,96.6
1910-12-01,95.1
1911-01-01,96.1
1911-02-01,95.8
1911-03-01,95.4
1911-04-01,94.3
1911-05-01,94.3
1911-06-01,94.3
1911-07-01,95.6
1911-08-01,96.1
1911-09-01,97.3
1911-10-01,97.7
1911-11-01,97.5
1911-12-01,97.4
1912-01-01,100.7
1912-02-01,101.5
1912-03-01,100.7
1912-04-01,99.9
1912-05-01,101.9
1912-06-01,99.9
1912-07-01,100.4
1912-08-01,100.3
1912-09-01,100.8
1912-10-01,101.9
1912-11-01,101.9
1912-12-01,100.6
1913-01-01,99.4
1913-02-01,98.7
1913-03-01,99.2
1913-04-01,99.6
1913-05-01,99.4
1913-06-01,100.3
1913-07-01,100.8
1913-08-01,100.6
1913-09-01,100.2
1913-10-01,101
1913-11-01,101
1913-12-01,100.8
1914-01-01,101.8
1914-02-01,101.8
1914-03-01,101.6
1914-04-01,100.4
1914-05-01,100.1
1914-06-01,100.6
1914-07-01,102.1
1914-08-01,103.1
1914-09-01,103.3
1914-10-01,104.1
1914-11-01,103.2
1914-12-01,102.7
1915-01-01,102.9
1915-02-01,102.1
1915-03-01,101
1915-04-01,101
1915-05-01,101.5
1915-06-01,101.4
1915-07-01,101.7
1915-08-01,101.4
1915-09-01,102.2
1915-10-01,103.2
1915-11-01,103.9
1915-12-01,103.5
1916-01-01,105.7
1916-02-01,106.3
1916-03-01,106.7
1916-04-01,108.2
1916-05-01,108.7
1916-06-01,110.3
1916-07-01,109.9
1916-08-01,110.1
1916-09-01,112.1
1916-10-01,113.6
1916-11-01,116.2
1916-12-01,117.5
1917-01-01,119.6
1917-02-01,121.1
1917-03-01,122.7
1917-04-01,125.3
1917-05-01,127.5
1917-06-01,131
1917-07-01,129.3
1917-08-01,130
1917-09-01,133.1
1917-10-01,137.1
1917-11-01,138.2
1917-12-01,139.6
1918-01-01,144.6
1918-02-01,147
1918-03-01,145.7
1918-04-01,145
1918-05-01,148.7
1918-06-01,152.4
1918-07-01,155.1
1918-08-01,157.6
1918-09-01,161.3
1918-10-01,164.2
1918-11-01,165
1918-12-01,166.1
1919-01-01,167.5
1919-02-01,164.7
1919-03-01,164.7
1919-04-01,167
1919-05-01,169.1
1919-06-01,170.3
1919-07-01,171.5
1919-08-01,174.6
1919-09-01,173.1
1919-10-01,179.9
1919-11-01,184.5
1919-12-01,184.7
1920-01-01,192
1920-02-01,190.8
1920-03-01,193.4
1920-04-01,196.3
1920-05-01,200.3
1920-06-01,199.7
1920-07-01,202.6
1920-08-01,198.5
1920-09-01,200.1
1920-10-01,194.9
1920-11-01,191.3
1920-12-01,183.9
1921-01-01,179.5
1921-02-01,172.9
1921-03-01,166.4
1921-04-01,164.5
1921-05-01,161.4
1921-06-01,159.4
1921-07-01,160.8
1921-08-01,161.4
1921-09-01,160
1921-10-01,159.7
1921-11-01,159.2
1921-12-01,159.6
1922-01-01,157.3
1922-02-01,156.8
1922-03-01,155.3
1922-04-01,155.6
