"Date","CUUR0300SAC"
1977-12-01,65
1978-01-01,NA
1978-02-01,65.7
1978-03-01,NA
1978-04-01,66.9
1978-05-01,NA
1978-06-01,68.4
1978-07-01,NA
1978-08-01,69.2
1978-09-01,NA
1978-10-01,70.1
1978-11-01,NA
1978-12-01,71
1979-01-01,NA
1979-02-01,72.3
1979-03-01,NA
1979-04-01,74.1
1979-05-01,NA
1979-06-01,76
1979-07-01,NA
1979-08-01,77.4
1979-09-01,NA
1979-10-01,78.4
1979-11-01,NA
1979-12-01,79.7
1980-01-01,NA
1980-02-01,82
1980-03-01,NA
1980-04-01,83.6
1980-05-01,NA
1980-06-01,84.6
1980-07-01,NA
1980-08-01,86.1
1980-09-01,NA
1980-10-01,87.5
1980-11-01,NA
1980-12-01,88.9
1981-01-01,NA
1981-02-01,90.9
1981-03-01,NA
1981-04-01,91.8
1981-05-01,NA
1981-06-01,92.4
1981-07-01,NA
1981-08-01,93.4
1981-09-01,NA
1981-10-01,94
1981-11-01,NA
1981-12-01,95
1982-01-01,NA
1982-02-01,95.4
1982-03-01,NA
1982-04-01,95
1982-05-01,NA
1982-06-01,97.3
1982-07-01,NA
1982-08-01,97.5
1982-09-01,NA
1982-10-01,97.9
1982-11-01,NA
1982-12-01,98.2
1983-01-01,NA
1983-02-01,97.7
1983-03-01,NA
1983-04-01,98.9
1983-05-01,NA
1983-06-01,99.7
1983-07-01,NA
1983-08-01,100.4
1983-09-01,NA
1983-10-01,101.3
1983-11-01,NA
1983-12-01,101.3
1984-01-01,NA
1984-02-01,102.5
1984-03-01,NA
1984-04-01,103.1
1984-05-01,NA
1984-06-01,103.4
1984-07-01,NA
1984-08-01,103.9
1984-09-01,NA
1984-10-01,104.6
1984-11-01,NA
1984-12-01,104.5
1985-01-01,NA
1985-02-01,104.8
1985-03-01,NA
1985-04-01,105.8
1985-05-01,NA
1985-06-01,105.9
1985-07-01,NA
1985-08-01,105.9
1985-09-01,NA
1985-10-01,106.3
1985-11-01,NA
1985-12-01,106.9
1986-01-01,NA
1986-02-01,106.4
1986-03-01,NA
1986-04-01,103.8
1986-05-01,NA
1986-06-01,104.2
1986-07-01,NA
1986-08-01,104.1
1986-09-01,NA
1986-10-01,104.7
1986-11-01,NA
1986-12-01,104.9
1987-01-01,105.5
1987-02-01,106.3
1987-03-01,106.8
1987-04-01,107.5
1987-05-01,108.1
1987-06-01,108.2
1987-07-01,108.3
1987-08-01,108.6
1987-09-01,109.3
1987-10-01,109.8
1987-11-01,110.1
1987-12-01,109.8
1988-01-01,109.7
1988-02-01,109.9
1988-03-01,110.5
1988-04-01,111.3
1988-05-01,111.7
1988-06-01,111.9
1988-07-01,112.4
1988-08-01,112.7
1988-09-01,113.7
1988-10-01,114.2
1988-11-01,114.4
1988-12-01,114.3
1989-01-01,114.4
1989-02-01,114.9
1989-03-01,115.5
1989-04-01,117.2
1989-05-01,118
1989-06-01,117.9
1989-07-01,117.6
1989-08-01,117.2
1989-09-01,117.8
1989-10-01,118.7
1989-11-01,118.6
1989-12-01,118.6
1990-01-01,120.3
1990-02-01,121.3
1990-03-01,121.8
1990-04-01,121.7
1990-05-01,121.7
1990-06-01,122
1990-07-01,122.1
1990-08-01,123
1990-09-01,124.7
1990-10-01,126.3
1990-11-01,126.4
1990-12-01,126.2
1991-01-01,126.2
1991-02-01,126.3
1991-03-01,126.4
1991-04-01,126.9
1991-05-01,127.4
1991-06-01,127.4
1991-07-01,126.7
1991-08-01,126.9
1991-09-01,127.5
1991-10-01,127.7
1991-11-01,128
1991-12-01,127.8
1992-01-01,127.5
1992-02-01,128.1
1992-03-01,128.9
1992-04-01,129.1
1992-05-01,129.4
1992-06-01,129.4
1992-07-01,129.2
1992-08-01,129.1
1992-09-01,129.8
1992-10-01,130.2
1992-11-01,130.3
1992-12-01,129.8
1993-01-01,130
1993-02-01,130.7
1993-03-01,131.4
1993-04-01,132.2
1993-05-01,132.5
1993-06-01,131.9
1993-07-01,131.2
1993-08-01,131.5
1993-09-01,131.8
1993-10-01,132.8
1993-11-01,133
1993-12-01,132.7
1994-01-01,132.5
1994-02-01,132.7
1994-03-01,133.5
1994-04-01,133.8
1994-05-01,134.1
1994-06-01,134.2
1994-07-01,134.3
1994-08-01,134.7
1994-09-01,135.1
1994-10-01,135.2
1994-11-01,135.5
1994-12-01,135.4
1995-01-01,135.4
1995-02-01,136
1995-03-01,136.5
1995-04-01,137.2
1995-05-01,137.5
1995-06-01,137.1
1995-07-01,136.7
1995-08-01,137
1995-09-01,137.3
1995-10-01,137.7
1995-11-01,137.8
1995-12-01,137.6
1996-01-01,138.4
1996-02-01,138.3
1996-03-01,139.3
1996-04-01,140.6
1996-05-01,140.8
1996-06-01,140.5
1996-07-01,140.2
1996-08-01,140
1996-09-01,140.6
1996-10-01,141.2
1996-11-01,141.8
1996-12-01,141.9
1997-01-01,142.1
1997-02-01,142.3
1997-03-01,142.4
1997-04-01,142.7
1997-05-01,142.4
1997-06-01,141.9
1997-07-01,141.3
1997-08-01,141.5
1997-09-01,142
1997-10-01,142.4
1997-11-01,142.5
1997-12-01,142.1
1998-01-01,142
1998-02-01,141.5
1998-03-01,141.8
1998-04-01,142.2
1998-05-01,142.3
1998-06-01,142.1
1998-07-01,141.8
1998-08-01,142
1998-09-01,142
1998-10-01,142.6
1998-11-01,142.5
1998-12-01,142.5
1999-01-01,142.5
1999-02-01,142.3
1999-03-01,142.5
1999-04-01,144.1
1999-05-01,144.4
1999-06-01,143.7
1999-07-01,143.8
1999-08-01,144.2
1999-09-01,145.7
1999-10-01,146.5
1999-11-01,146.4
1999-12-01,146.6
2000-01-01,146.6
2000-02-01,147.5
2000-03-01,149.6
2000-04-01,150
2000-05-01,149.7
2000-06-01,149.8
2000-07-01,150
2000-08-01,149.2
2000-09-01,150
2000-10-01,150
2000-11-01,150.5
2000-12-01,150
2001-01-01,150
2001-02-01,150.9
2001-03-01,150.9
2001-04-01,152.3
2001-05-01,152.5
2001-06-01,151.7
2001-07-01,150.1
2001-08-01,149.3
2001-09-01,151.1
2001-10-01,150.6
2001-11-01,149.3
2001-12-01,147.9
2002-01-01,148
2002-02-01,148.2
2002-03-01,149.4
2002-04-01,151.4
2002-05-01,150.9
2002-06-01,150.1
2002-07-01,149.6
2002-08-01,149.4
2002-09-01,150.3
2002-10-01,151.3
2002-11-01,151.2
2002-12-01,150.3
2003-01-01,150.6
2003-02-01,152.3
2003-03-01,153.3
2003-04-01,152.5
2003-05-01,151.1
2003-06-01,150.6
2003-07-01,150.2
2003-08-01,150.8
2003-09-01,151.7
2003-10-01,151.4
2003-11-01,150.8
2003-12-01,150.7
2004-01-01,151.5
2004-02-01,152.5
2004-03-01,153.9
2004-04-01,154.9
2004-05-01,156.4
2004-06-01,156.5
2004-07-01,155.2
2004-08-01,154.9
2004-09-01,155.6
2004-10-01,157.6
2004-11-01,157.5
2004-12-01,156.5
2005-01-01,156.1
2005-02-01,157.4
2005-03-01,159
2005-04-01,161.1
2005-05-01,160.4
2005-06-01,159.6
2005-07-01,160.1
2005-08-01,161.8
2005-09-01,166.8
2005-10-01,167.1
2005-11-01,162.4
2005-12-01,161.2
2006-01-01,162.7
2006-02-01,162.5
2006-03-01,163.9
2006-04-01,167.2
2006-05-01,168.1
2006-06-01,167.4
2006-07-01,167.9
2006-08-01,167.7
2006-09-01,164.8
2006-10-01,162.8
2006-11-01,162
2006-12-01,162.9
2007-01-01,162.318
2007-02-01,162.918
2007-03-01,165.941
2007-04-01,168.81
2007-05-01,170.665
2007-06-01,170.061
2007-07-01,169.32
2007-08-01,167.981
2007-09-01,168.959
2007-10-01,169.762
2007-11-01,172.393
2007-12-01,171.947
2008-01-01,172.799
2008-02-01,173.2
2008-03-01,175.321
2008-04-01,177.268
2008-05-01,179.907
2008-06-01,182.02
