"Date","CUURA000SARS"
2009-12-01,100
2010-01-01,100.055
2010-02-01,100.066
2010-03-01,99.809
2010-04-01,100.971
2010-05-01,101.503
2010-06-01,101.677
2010-07-01,101.773
2010-08-01,101.513
2010-09-01,101.093
2010-10-01,100.86
2010-11-01,101.097
2010-12-01,100.984
2011-01-01,101.4
2011-02-01,101.845
2011-03-01,102.016
2011-04-01,102.019
2011-05-01,102.676
2011-06-01,102.835
2011-07-01,102.255
2011-08-01,102.77
2011-09-01,102.703
2011-10-01,102.617
2011-11-01,102.976
2011-12-01,103.814
2012-01-01,105.008
2012-02-01,104.724
2012-03-01,105.404
2012-04-01,105.455
2012-05-01,105.413
2012-06-01,105.831
2012-07-01,105.729
2012-08-01,106.021
2012-09-01,106.309
2012-10-01,106.38
2012-11-01,106.47
2012-12-01,106.294
2013-01-01,106.405
2013-02-01,107.049
2013-03-01,106.878
2013-04-01,106.716
2013-05-01,106.929
2013-06-01,107.24
2013-07-01,107.459
2013-08-01,107.549
2013-09-01,107.957
2013-10-01,108.038
2013-11-01,108.373
2013-12-01,107.901
2014-01-01,108.252
2014-02-01,108.461
2014-03-01,108.764
2014-04-01,109.142
2014-05-01,109.398
2014-06-01,109.528
2014-07-01,109.756
2014-08-01,109.356
2014-09-01,109.265
2014-10-01,109.41
2014-11-01,109.165
2014-12-01,109.318
2015-01-01,110.248
2015-02-01,110.217
2015-03-01,110.404
2015-04-01,110.763
2015-05-01,111.379
2015-06-01,111.937
2015-07-01,112.153
2015-08-01,112.096
2015-09-01,111.615
2015-10-01,112.011
2015-11-01,111.987
2015-12-01,112.11
2016-01-01,112.626
2016-02-01,113.287
2016-03-01,113.743
2016-04-01,114.361
2016-05-01,114.386
2016-06-01,115.122
2016-07-01,115.047
2016-08-01,114.72
2016-09-01,114.858
2016-10-01,114.393
2016-11-01,114.837
2016-12-01,114.795
2017-01-01,115.641
2017-02-01,117.275
2017-03-01,117.78
2017-04-01,117.955
2017-05-01,117.565
2017-06-01,117.482
2017-07-01,118.59
2017-08-01,118.806
2017-09-01,118.69
2017-10-01,118.542
2017-11-01,118.67
2017-12-01,119.352
2018-01-01,120.064
2018-02-01,120.328
2018-03-01,120.128
2018-04-01,119.746
2018-05-01,119.639
2018-06-01,120.456
2018-07-01,120.852
2018-08-01,120.622
2018-09-01,121.021
2018-10-01,120.702
2018-11-01,121.527
2018-12-01,121.735
2019-01-01,122.258
2019-02-01,122.508
2019-03-01,122.973
2019-04-01,123.468
2019-05-01,122.871
2019-06-01,122.294
2019-07-01,122.43
2019-08-01,123.07
2019-09-01,122.711
2019-10-01,123.728
2019-11-01,124.29
2019-12-01,125.134
2020-01-01,125.324
2020-02-01,125.03
2020-03-01,125.499
2020-04-01,125.943
2020-05-01,128.897
2020-06-01,126.421
2020-07-01,124.005
2020-08-01,124.111
2020-09-01,124.662
2020-10-01,125.988
2020-11-01,126.267
2020-12-01,126.007
2021-01-01,123.788
2021-02-01,124.547
2021-03-01,126.481
2021-04-01,127.532
2021-05-01,127.771
2021-06-01,129.385
2021-07-01,130.311
2021-08-01,130.802
2021-09-01,130.463
2021-10-01,131.648
2021-11-01,131.938
2021-12-01,132.005
2022-01-01,132.667
2022-02-01,134.01
2022-03-01,135.004
2022-04-01,135.576
2022-05-01,136.121
2022-06-01,136.322
2022-07-01,136.81
2022-08-01,136.844
2022-09-01,136.949
2022-10-01,138.758
2022-11-01,138.953
2022-12-01,139.771
2023-01-01,140.972
2023-02-01,142.65
2023-03-01,142.803
2023-04-01,143.945
2023-05-01,143.99
2023-06-01,144.368
2023-07-01,145.48
2023-08-01,145.501
2023-09-01,145.554
2023-10-01,146.049
2023-11-01,146.464
