"Date","CUUR0300SAH3"
1977-12-01,72.2
1978-01-01,NA
1978-02-01,72.9
1978-03-01,NA
1978-04-01,74
1978-05-01,NA
1978-06-01,75.2
1978-07-01,NA
1978-08-01,75.8
1978-09-01,NA
1978-10-01,77.1
1978-11-01,NA
1978-12-01,77.9
1979-01-01,NA
1979-02-01,78.5
1979-03-01,NA
1979-04-01,79.7
1979-05-01,NA
1979-06-01,80.4
1979-07-01,NA
1979-08-01,80.8
1979-09-01,NA
1979-10-01,81.5
1979-11-01,NA
1979-12-01,82.6
1980-01-01,NA
1980-02-01,84.1
1980-03-01,NA
1980-04-01,85.4
1980-05-01,NA
1980-06-01,86.2
1980-07-01,NA
1980-08-01,87.1
1980-09-01,NA
1980-10-01,88.3
1980-11-01,NA
1980-12-01,89.1
1981-01-01,NA
1981-02-01,90.5
1981-03-01,NA
1981-04-01,92
1981-05-01,NA
1981-06-01,92.7
1981-07-01,NA
1981-08-01,93.6
1981-09-01,NA
1981-10-01,94.5
1981-11-01,NA
1981-12-01,95.4
1982-01-01,NA
1982-02-01,96.8
1982-03-01,NA
1982-04-01,97.6
1982-05-01,NA
1982-06-01,98
1982-07-01,NA
1982-08-01,98.1
1982-09-01,NA
1982-10-01,98.9
1982-11-01,NA
1982-12-01,99.2
1983-01-01,NA
1983-02-01,99.7
1983-03-01,NA
1983-04-01,100.2
1983-05-01,NA
1983-06-01,99.9
1983-07-01,NA
1983-08-01,99.9
1983-09-01,NA
1983-10-01,100.4
1983-11-01,NA
1983-12-01,101.2
1984-01-01,NA
1984-02-01,101.5
1984-03-01,NA
1984-04-01,101.7
1984-05-01,NA
1984-06-01,101.8
1984-07-01,NA
1984-08-01,101.5
1984-09-01,NA
1984-10-01,102.5
1984-11-01,NA
1984-12-01,102.8
1985-01-01,NA
1985-02-01,103.6
1985-03-01,NA
1985-04-01,104.9
1985-05-01,NA
1985-06-01,104.5
1985-07-01,NA
1985-08-01,104.3
1985-09-01,NA
1985-10-01,104.7
1985-11-01,NA
1985-12-01,105.4
1986-01-01,NA
1986-02-01,105.3
1986-03-01,NA
1986-04-01,105.5
1986-05-01,NA
1986-06-01,106.2
1986-07-01,NA
1986-08-01,106.1
1986-09-01,NA
1986-10-01,106.7
1986-11-01,NA
1986-12-01,107.7
1987-01-01,107.6
1987-02-01,107.8
1987-03-01,108
1987-04-01,108.1
1987-05-01,108.6
1987-06-01,108.9
1987-07-01,108.7
1987-08-01,109.1
1987-09-01,108.9
1987-10-01,109.1
1987-11-01,109
1987-12-01,108.7
1988-01-01,109.1
1988-02-01,109.5
1988-03-01,110
1988-04-01,110.8
1988-05-01,110.8
1988-06-01,110.8
1988-07-01,111.2
1988-08-01,111.2
1988-09-01,111
1988-10-01,111.4
1988-11-01,111.7
1988-12-01,111.4
1989-01-01,111.4
1989-02-01,111.7
1989-03-01,111.8
1989-04-01,111.8
1989-05-01,111.9
