"Date","CUUR0400SA0L1E"
1977-12-01,62.7
1978-01-01,NA
1978-02-01,63.2
1978-03-01,NA
1978-04-01,64.3
1978-05-01,NA
1978-06-01,65.5
1978-07-01,NA
1978-08-01,66.4
1978-09-01,NA
1978-10-01,67.5
1978-11-01,NA
1978-12-01,67.5
1979-01-01,NA
1979-02-01,68.8
1979-03-01,NA
1979-04-01,70.3
1979-05-01,NA
1979-06-01,71.8
1979-07-01,NA
1979-08-01,73.4
1979-09-01,NA
1979-10-01,75
1979-11-01,NA
1979-12-01,77.1
1980-01-01,NA
1980-02-01,79.4
1980-03-01,NA
1980-04-01,81.4
1980-05-01,NA
1980-06-01,83
1980-07-01,NA
1980-08-01,82.5
1980-09-01,NA
1980-10-01,84.2
1980-11-01,NA
1980-12-01,86.3
1981-01-01,NA
1981-02-01,87.1
1981-03-01,NA
1981-04-01,88.8
1981-05-01,NA
1981-06-01,90.1
1981-07-01,NA
1981-08-01,92.4
1981-09-01,NA
1981-10-01,95.4
1981-11-01,NA
1981-12-01,95.2
1982-01-01,NA
1982-02-01,96.3
1982-03-01,NA
1982-04-01,97.5
1982-05-01,NA
1982-06-01,97.8
1982-07-01,NA
1982-08-01,97.9
1982-09-01,NA
1982-10-01,97.9
1982-11-01,NA
1982-12-01,96.3
1983-01-01,NA
1983-02-01,97.2
1983-03-01,NA
1983-04-01,97.8
1983-05-01,NA
1983-06-01,98.3
1983-07-01,NA
1983-08-01,99.3
1983-09-01,NA
1983-10-01,100.6
1983-11-01,NA
1983-12-01,101
1984-01-01,NA
1984-02-01,101.8
1984-03-01,NA
1984-04-01,102.8
1984-05-01,NA
1984-06-01,103.7
1984-07-01,NA
1984-08-01,104.7
1984-09-01,NA
1984-10-01,105.7
1984-11-01,NA
1984-12-01,106.1
1985-01-01,NA
1985-02-01,107.2
1985-03-01,NA
1985-04-01,108.1
1985-05-01,NA
1985-06-01,108.9
1985-07-01,NA
1985-08-01,110.1
1985-09-01,NA
1985-10-01,111.1
1985-11-01,NA
1985-12-01,111.7
1986-01-01,NA
1986-02-01,112.3
1986-03-01,NA
1986-04-01,113
1986-05-01,NA
1986-06-01,113.7
1986-07-01,NA
1986-08-01,114.6
1986-09-01,NA
1986-10-01,115.9
1986-11-01,NA
1986-12-01,115.7
1987-01-01,116.1
1987-02-01,116.7
1987-03-01,117.3
1987-04-01,118
1987-05-01,118
1987-06-01,118.1
1987-07-01,118.3
1987-08-01,118.9
1987-09-01,119.7
1987-10-01,120.3
1987-11-01,120.7
1987-12-01,120.8
1988-01-01,121.4
1988-02-01,121.7
1988-03-01,122.4
1988-04-01,122.6
1988-05-01,122.9
1988-06-01,123.2
1988-07-01,123.4
1988-08-01,123.9
1988-09-01,124.5
1988-10-01,125.1
1988-11-01,125.6
1988-12-01,125.9
1989-01-01,126.5
1989-02-01,127
1989-03-01,127.7
1989-04-01,127.6
1989-05-01,128
1989-06-01,128.3
1989-07-01,129
1989-08-01,129.4
1989-09-01,130
1989-10-01,130.5
1989-11-01,131.1
1989-12-01,131.7
1990-01-01,132.2
1990-02-01,133.2
1990-03-01,134.1
1990-04-01,134.1
1990-05-01,134.2
1990-06-01,135.1
1990-07-01,135.7
1990-08-01,136.3
1990-09-01,137.5
1990-10-01,138
1990-11-01,138.2
1990-12-01,138.8
1991-01-01,140
1991-02-01,140.6
1991-03-01,141
1991-04-01,141.2
1991-05-01,140.9
1991-06-01,141.5
1991-07-01,142.5
1991-08-01,143.4
1991-09-01,144.1
1991-10-01,144.2
1991-11-01,144.7
1991-12-01,144.5
1992-01-01,145.6
