"Date","CUURA316SEHC01"
1982-12-01,100
1983-01-01,NA
1983-02-01,101.1
1983-03-01,NA
1983-04-01,104.3
1983-05-01,NA
1983-06-01,105.9
1983-07-01,NA
1983-08-01,105.4
1983-09-01,NA
1983-10-01,106.1
1983-11-01,NA
1983-12-01,106.4
1984-01-01,NA
1984-02-01,107.2
1984-03-01,NA
1984-04-01,107.8
1984-05-01,NA
1984-06-01,108.7
1984-07-01,NA
1984-08-01,108.6
1984-09-01,NA
1984-10-01,111.5
1984-11-01,NA
1984-12-01,110.1
1985-01-01,NA
1985-02-01,111.5
1985-03-01,NA
1985-04-01,111.6
1985-05-01,NA
1985-06-01,113.7
1985-07-01,NA
1985-08-01,116.5
1985-09-01,NA
1985-10-01,114.9
1985-11-01,NA
1985-12-01,116.1
1986-01-01,NA
1986-02-01,118.4
1986-03-01,NA
1986-04-01,119.8
1986-05-01,NA
1986-06-01,118.3
1986-07-01,NA
1986-08-01,117.9
1986-09-01,NA
1986-10-01,119.1
1986-11-01,NA
1986-12-01,119.5
1987-01-01,119.6
1987-02-01,119.2
1987-03-01,120.2
1987-04-01,119.3
1987-05-01,116.2
1987-06-01,116.8
1987-07-01,119.2
1987-08-01,118.7
1987-09-01,120
1987-10-01,119.9
1987-11-01,121
1987-12-01,119.4
1988-01-01,117.1
1988-02-01,116.9
1988-03-01,117.8
1988-04-01,117.8
1988-05-01,116.5
1988-06-01,117.1
1988-07-01,120.4
1988-08-01,121.4
1988-09-01,118.5
1988-10-01,118.5
1988-11-01,118.1
1988-12-01,118.3
1989-01-01,119.1
1989-02-01,119.2
1989-03-01,119.9
1989-04-01,119
1989-05-01,119.5
1989-06-01,119.9
1989-07-01,120.7
1989-08-01,121.8
1989-09-01,122.1
1989-10-01,122.2
1989-11-01,120.5
1989-12-01,120.6
1990-01-01,121.6
1990-02-01,122
1990-03-01,122.2
1990-04-01,122
1990-05-01,121.7
1990-06-01,123.1
1990-07-01,125.8
1990-08-01,125
1990-09-01,125.4
1990-10-01,126.6
1990-11-01,125.2
1990-12-01,126.1
1991-01-01,125.9
1991-02-01,126.4
1991-03-01,127.7
1991-04-01,127.6
1991-05-01,126.7
1991-06-01,127
1991-07-01,128.1
1991-08-01,127
1991-09-01,128.4
1991-10-01,132.1
1991-11-01,133.5
1991-12-01,131.7
1992-01-01,130.9
1992-02-01,130.3
1992-03-01,130
1992-04-01,129.4
1992-05-01,130.5
1992-06-01,131.8
1992-07-01,132.7
1992-08-01,132.6
1992-09-01,132
1992-10-01,129.7
1992-11-01,130.2
1992-12-01,131.2
1993-01-01,133.9
1993-02-01,135.1
1993-03-01,133.7
1993-04-01,132.5
1993-05-01,128.3
1993-06-01,128.9
1993-07-01,132.2
1993-08-01,134.8
1993-09-01,135.1
1993-10-01,134.6
1993-11-01,133.3
1993-12-01,132.2
1994-01-01,133.6
1994-02-01,134.7
1994-03-01,136
1994-04-01,137.9
1994-05-01,137.1
1994-06-01,136
1994-07-01,135.9
1994-08-01,136.3
1994-09-01,138.4
1994-10-01,138.4
1994-11-01,139
1994-12-01,139.4
1995-01-01,139.9
1995-02-01,140.3
1995-03-01,140.4
1995-04-01,140.4
1995-05-01,140.4
1995-06-01,140.8
1995-07-01,140.9
1995-08-01,141.3
1995-09-01,142.2
1995-10-01,144.3
1995-11-01,144.6
1995-12-01,144.9
1996-01-01,145.7
1996-02-01,146.1
1996-03-01,146.6
1996-04-01,146
1996-05-01,147.1
1996-06-01,147.4
1996-07-01,147.7
1996-08-01,147.7
1996-09-01,148.2
1996-10-01,149
1996-11-01,149.7
1996-12-01,150
1997-01-01,150.3
1997-02-01,150.5
1997-03-01,151
1997-04-01,151.8
1997-05-01,151.5
1997-06-01,152.6
1997-07-01,153.1
1997-08-01,153.4
1997-09-01,155
1997-10-01,156.5
1997-11-01,157.4
1997-12-01,157.3
1998-01-01,157.8
1998-02-01,158.6
1998-03-01,158.7
1998-04-01,160
1998-05-01,160.8
1998-06-01,161.3
1998-07-01,161.4
1998-08-01,162
1998-09-01,162.8
1998-10-01,162.7
1998-11-01,163.1
1998-12-01,164
1999-01-01,164.4
1999-02-01,164.7
1999-03-01,164.8
1999-04-01,165.2
1999-05-01,165.2
1999-06-01,165.9
1999-07-01,166.3
1999-08-01,166.6
1999-09-01,167
1999-10-01,167.4
1999-11-01,168
1999-12-01,169
2000-01-01,169.3
2000-02-01,169.6
2000-03-01,170.8
2000-04-01,171.1
2000-05-01,172
2000-06-01,171.9
2000-07-01,173.1
2000-08-01,174.1
2000-09-01,173.7
2000-10-01,174.6
2000-11-01,174.1
2000-12-01,173.9
2001-01-01,174.1
2001-02-01,174.7
2001-03-01,175.8
2001-04-01,176.2
2001-05-01,176.8
2001-06-01,178.4
2001-07-01,178.5
2001-08-01,179.7
2001-09-01,180.2
2001-10-01,180.8
2001-11-01,182.1
2001-12-01,182.6
2002-01-01,184.1
2002-02-01,184.4
2002-03-01,184.1
2002-04-01,183.8
2002-05-01,183.5
2002-06-01,182.5
2002-07-01,182.6
2002-08-01,182.3
2002-09-01,182.2
2002-10-01,182.7
2002-11-01,182.8
2002-12-01,184.2
2003-01-01,185.3
2003-02-01,185.3
2003-03-01,185.9
2003-04-01,185.6
2003-05-01,185.4
2003-06-01,185.7
2003-07-01,186
2003-08-01,185.9
2003-09-01,184.4
2003-10-01,185.3
2003-11-01,185.1
2003-12-01,184.8
2004-01-01,184
2004-02-01,183.3
2004-03-01,184.9
2004-04-01,184.3
2004-05-01,184.2
2004-06-01,184.3
2004-07-01,184.8
2004-08-01,185.3
2004-09-01,186
2004-10-01,186.3
2004-11-01,186.8
2004-12-01,187.6
2005-01-01,187.9
2005-02-01,187.6
2005-03-01,187.5
2005-04-01,188.2
2005-05-01,187.8
2005-06-01,187.3
2005-07-01,187.9
2005-08-01,188.8
2005-09-01,188.6
2005-10-01,188.1
2005-11-01,188.3
2005-12-01,188.3
2006-01-01,188.3
2006-02-01,188.2
2006-03-01,187.2
2006-04-01,187.5
2006-05-01,187.8
2006-06-01,187.9
2006-07-01,188.4
2006-08-01,188.4
2006-09-01,189
2006-10-01,189.6
2006-11-01,189.6
2006-12-01,189.6
2007-01-01,189.574
2007-02-01,190.953
2007-03-01,191.008
2007-04-01,191.562
2007-05-01,192.237
2007-06-01,192.039
2007-07-01,192.492
2007-08-01,193.154
2007-09-01,193.08
2007-10-01,193.562
2007-11-01,192.989
2007-12-01,193.636
2008-01-01,194.238
2008-02-01,194.09
