"Date","CUSR0000SAS"
1956-01-01,20.7
1956-02-01,20.7
1956-03-01,20.7
1956-04-01,20.8
1956-05-01,20.8
1956-06-01,20.9
1956-07-01,20.9
1956-08-01,21
1956-09-01,21.1
1956-10-01,21.1
1956-11-01,21.2
1956-12-01,21.3
1957-01-01,21.4
1957-02-01,21.4
1957-03-01,21.6
1957-04-01,21.6
1957-05-01,21.7
1957-06-01,21.8
1957-07-01,21.8
1957-08-01,21.9
1957-09-01,22
1957-10-01,22.1
1957-11-01,22.2
1957-12-01,22.2
1958-01-01,22.3
1958-02-01,22.4
1958-03-01,22.4
1958-04-01,22.5
1958-05-01,22.6
1958-06-01,22.6
1958-07-01,22.7
1958-08-01,22.7
1958-09-01,22.8
1958-10-01,22.8
1958-11-01,22.8
1958-12-01,22.8
1959-01-01,22.9
1959-02-01,23
1959-03-01,23
1959-04-01,23.1
1959-05-01,23.2
1959-06-01,23.2
1959-07-01,23.3
1959-08-01,23.4
1959-09-01,23.5
1959-10-01,23.6
1959-11-01,23.6
1959-12-01,23.7
1960-01-01,23.7
1960-02-01,23.8
1960-03-01,23.9
1960-04-01,23.9
1960-05-01,24
1960-06-01,24
1960-07-01,24.1
1960-08-01,24.1
1960-09-01,24.2
1960-10-01,24.2
1960-11-01,24.3
1960-12-01,24.3
1961-01-01,24.4
1961-02-01,24.4
1961-03-01,24.4
1961-04-01,24.5
1961-05-01,24.5
1961-06-01,24.5
1961-07-01,24.5
1961-08-01,24.6
1961-09-01,24.6
1961-10-01,24.7
1961-11-01,24.7
1961-12-01,24.8
1962-01-01,24.8
1962-02-01,24.8
1962-03-01,24.9
1962-04-01,24.9
1962-05-01,25
1962-06-01,25
1962-07-01,25.1
1962-08-01,25.1
1962-09-01,25.1
1962-10-01,25.1
1962-11-01,25.2
1962-12-01,25.2
1963-01-01,25.3
1963-02-01,25.3
1963-03-01,25.3
1963-04-01,25.4
1963-05-01,25.4
1963-06-01,25.5
1963-07-01,25.5
1963-08-01,25.6
1963-09-01,25.6
1963-10-01,25.6
1963-11-01,25.7
1963-12-01,25.8
1964-01-01,25.8
1964-02-01,25.8
1964-03-01,25.8
1964-04-01,25.9
1964-05-01,25.9
1964-06-01,26
1964-07-01,26
1964-08-01,26
1964-09-01,26
1964-10-01,26.1
1964-11-01,26.2
1964-12-01,26.2
1965-01-01,26.3
1965-02-01,26.4
1965-03-01,26.4
1965-04-01,26.5
1965-05-01,26.5
1965-06-01,26.5
1965-07-01,26.6
1965-08-01,26.6
1965-09-01,26.7
1965-10-01,26.8
1965-11-01,26.9
1965-12-01,26.9
1966-01-01,27
1966-02-01,27
1966-03-01,27.1
1966-04-01,27.3
1966-05-01,27.4
1966-06-01,27.5
1966-07-01,27.7
1966-08-01,27.7
1966-09-01,27.9
1966-10-01,28
1966-11-01,28.2
1966-12-01,28.2
1967-01-01,28.3
1967-02-01,28.4
1967-03-01,28.5
1967-04-01,28.6
1967-05-01,28.6
1967-06-01,28.8
1967-07-01,28.8
1967-08-01,28.9
1967-09-01,29
1967-10-01,29.2
1967-11-01,29.2
1967-12-01,29.4
1968-01-01,29.5
1968-02-01,29.6
1968-03-01,29.8
1968-04-01,29.9
1968-05-01,30
1968-06-01,30.2
1968-07-01,30.4
1968-08-01,30.6
1968-09-01,30.7
1968-10-01,30.9
1968-11-01,31
1968-12-01,31.2
1969-01-01,31.4
1969-02-01,31.5
1969-03-01,31.8
1969-04-01,32
1969-05-01,32.2
1969-06-01,32.3
1969-07-01,32.5
1969-08-01,32.7
1969-09-01,33
1969-10-01,33.1
1969-11-01,33.3
1969-12-01,33.5
1970-01-01,33.8
1970-02-01,34
1970-03-01,34.4
1970-04-01,34.6
1970-05-01,34.8
1970-06-01,35
1970-07-01,35.2
1970-08-01,35.4
1970-09-01,35.6
1970-10-01,35.8
1970-11-01,36
1970-12-01,36.2
1971-01-01,36.4
1971-02-01,36.5
1971-03-01,36.5
1971-04-01,36.6
1971-05-01,36.7
1971-06-01,37
1971-07-01,37.1
1971-08-01,37.3
1971-09-01,37.4
1971-10-01,37.5
1971-11-01,37.6
1971-12-01,37.7
1972-01-01,37.9
1972-02-01,38
1972-03-01,38.1
1972-04-01,38.2
1972-05-01,38.3
1972-06-01,38.4
1972-07-01,38.5
1972-08-01,38.6
1972-09-01,38.7
1972-10-01,38.8
1972-11-01,38.9
1972-12-01,39
1973-01-01,39.1
1973-02-01,39.2
1973-03-01,39.4
1973-04-01,39.5
1973-05-01,39.6
1973-06-01,39.8
1973-07-01,39.9
1973-08-01,40.2
1973-09-01,40.5
1973-10-01,41
1973-11-01,41.3
1973-12-01,41.5
1974-01-01,41.8
1974-02-01,42
1974-03-01,42.4
1974-04-01,42.6
1974-05-01,43.1
1974-06-01,43.5
1974-07-01,44
1974-08-01,44.5
1974-09-01,45
1974-10-01,45.4
1974-11-01,45.8
1974-12-01,46.2
1975-01-01,46.5
1975-02-01,46.9
1975-03-01,47
1975-04-01,47.3
1975-05-01,47.5
1975-06-01,47.8
1975-07-01,48
1975-08-01,48.3
1975-09-01,48.7
1975-10-01,49
1975-11-01,49.6
1975-12-01,49.9
1976-01-01,50.5
1976-02-01,50.8
1976-03-01,51.1
1976-04-01,51.3
1976-05-01,51.4
1976-06-01,51.7
1976-07-01,52.1
1976-08-01,52.4
1976-09-01,52.8
1976-10-01,53.1
1976-11-01,53.4
1976-12-01,53.7
1977-01-01,54.1
1977-02-01,54.4
1977-03-01,54.8
1977-04-01,55.2
1977-05-01,55.4
1977-06-01,55.8
1977-07-01,56.3
1977-08-01,56.6
1977-09-01,56.9
1977-10-01,57.2
1977-11-01,57.6
1977-12-01,57.9
1978-01-01,58.3
1978-02-01,58.7
1978-03-01,59.1
1978-04-01,59.6
1978-05-01,60
1978-06-01,60.5
1978-07-01,61
1978-08-01,61.5
1978-09-01,62.1
1978-10-01,62.6
1978-11-01,63.1
1978-12-01,63.3
1979-01-01,63.8
1979-02-01,64.4
1979-03-01,64.9
1979-04-01,65.5
1979-05-01,66.2
1979-06-01,66.8
1979-07-01,67.6
1979-08-01,68.5
1979-09-01,69.2
1979-10-01,70.1
1979-11-01,71.1
1979-12-01,72
1980-01-01,73.1
1980-02-01,74.1
1980-03-01,75.4
1980-04-01,76.6
1980-05-01,77.6
1980-06-01,79
1980-07-01,78.5
1980-08-01,78.5
1980-09-01,79
1980-10-01,80
1980-11-01,81.1
1980-12-01,82.2
1981-01-01,83
1981-02-01,83.7
1981-03-01,84.4
1981-04-01,85.3
1981-05-01,86.4
1981-06-01,87.5
1981-07-01,88.9
1981-08-01,89.9
1981-09-01,91.2
1981-10-01,91.7
1981-11-01,92.5
1981-12-01,93
1982-01-01,93.5
1982-02-01,93.9
1982-03-01,94
1982-04-01,94.9
1982-05-01,95.7
1982-06-01,96.5
1982-07-01,97
1982-08-01,97.6
1982-09-01,97.6
1982-10-01,97.9
1982-11-01,97.7
1982-12-01,96.9
1983-01-01,97.5
1983-02-01,97.9
1983-03-01,98.1
1983-04-01,98.7
1983-05-01,98.9
1983-06-01,99.2
1983-07-01,99.6
1983-08-01,99.8
1983-09-01,100.2
1983-10-01,100.7
1983-11-01,101.3
1983-12-01,101.6
1984-01-01,102.1
1984-02-01,102.6
1984-03-01,103
1984-04-01,103.5
1984-05-01,103.9
1984-06-01,104.2
1984-07-01,104.9
1984-08-01,105.4
1984-09-01,105.9
1984-10-01,106.3
1984-11-01,106.7
1984-12-01,107.1
1985-01-01,107.4
1985-02-01,107.9
1985-03-01,108.4
1985-04-01,108.7
1985-05-01,109.4
1985-06-01,109.8
1985-07-01,110.3
1985-08-01,110.7
1985-09-01,111
1985-10-01,111.5
1985-11-01,112.1
1985-12-01,112.5
1986-01-01,113.1
1986-02-01,113.5
1986-03-01,114.1
1986-04-01,114.6
1986-05-01,114.8
1986-06-01,115.5
1986-07-01,115.7
1986-08-01,116.1
1986-09-01,116.5
1986-10-01,116.9
1986-11-01,117.2
1986-12-01,117.5
1987-01-01,117.9
1987-02-01,118.3
1987-03-01,118.6
1987-04-01,119.2
1987-05-01,119.6
1987-06-01,120
1987-07-01,120.3
1987-08-01,120.9
1987-09-01,121.4
1987-10-01,121.8
1987-11-01,122.2
1987-12-01,122.6
1988-01-01,123
1988-02-01,123.5
1988-03-01,123.9
1988-04-01,124.4
1988-05-01,124.8
1988-06-01,125.4
1988-07-01,125.8
1988-08-01,126.4
1988-09-01,126.9
1988-10-01,127.5
1988-11-01,127.9
1988-12-01,128.4
1989-01-01,128.9
1989-02-01,129.4
1989-03-01,130
1989-04-01,130.5
1989-05-01,131.1
1989-06-01,131.6
1989-07-01,132.3
1989-08-01,132.8
1989-09-01,133.1
1989-10-01,133.7
1989-11-01,134.3
1989-12-01,134.9
1990-01-01,135.4
1990-02-01,136
1990-03-01,136.8
1990-04-01,137.4
1990-05-01,137.9
1990-06-01,138.8
1990-07-01,139.6
1990-08-01,140.6
1990-09-01,141.1
1990-10-01,141.6
1990-11-01,142.2
1990-12-01,142.7
1991-01-01,143.7
1991-02-01,144.4
1991-03-01,144.7
1991-04-01,144.9
1991-05-01,145.4
1991-06-01,145.9
1991-07-01,146.5
1991-08-01,146.9
1991-09-01,147.6
1991-10-01,148
1991-11-01,148.5
1991-12-01,149.2
1992-01-01,149.6
1992-02-01,149.9
1992-03-01,150.4
1992-04-01,150.9
1992-05-01,151.3
1992-06-01,151.7
1992-07-01,152.2
1992-08-01,152.6
1992-09-01,152.9
1992-10-01,153.7
1992-11-01,154.3
1992-12-01,154.7
1993-01-01,155.3
1993-02-01,155.6
1993-03-01,156
1993-04-01,156.7
1993-05-01,157.3
1993-06-01,157.8
1993-07-01,158.1
1993-08-01,158.6
1993-09-01,159
1993-10-01,159.4
1993-11-01,159.9
1993-12-01,160.5
1994-01-01,160.8
1994-02-01,161.4
1994-03-01,162
1994-04-01,162.2
1994-05-01,162.4
1994-06-01,162.8
1994-07-01,163.1
1994-08-01,163.8
1994-09-01,164.1
1994-10-01,164.5
1994-11-01,165
1994-12-01,165.2
1995-01-01,166
1995-02-01,166.5
1995-03-01,167.1
1995-04-01,167.7
1995-05-01,168.1
1995-06-01,168.5
1995-07-01,168.9
1995-08-01,169.3
1995-09-01,169.7
1995-10-01,170.3
1995-11-01,170.7
1995-12-01,170.9
1996-01-01,171.5
1996-02-01,172
1996-03-01,172.4
1996-04-01,172.8
1996-05-01,173.4
1996-06-01,173.8
1996-07-01,174.4
1996-08-01,174.9
1996-09-01,175.4
1996-10-01,175.8
1996-11-01,176.3
1996-12-01,176.7
1997-01-01,177.3
1997-02-01,177.6
1997-03-01,178
