"Date","CUURA103SA0E"
1997-02-01,116.5
1997-03-01,115.1
1997-04-01,114.3
1997-05-01,102.7
1997-06-01,102.4
1997-07-01,101
1997-08-01,101.8
1997-09-01,103.1
1997-10-01,102.5
1997-11-01,110.1
1997-12-01,109.8
1998-01-01,108.3
1998-02-01,106.2
1998-03-01,102.4
1998-04-01,100.4
1998-05-01,95.2
1998-06-01,95.2
1998-07-01,95
1998-08-01,94.4
1998-09-01,93
1998-10-01,93.2
1998-11-01,98.7
1998-12-01,97.7
1999-01-01,97.8
1999-02-01,96.9
1999-03-01,96.6
1999-04-01,99.7
1999-05-01,94.6
1999-06-01,94.9
1999-07-01,95.3
1999-08-01,97.6
1999-09-01,99.9
1999-10-01,101.3
1999-11-01,107.8
1999-12-01,109.8
2000-01-01,110.8
2000-02-01,119.4
2000-03-01,119.7
2000-04-01,118.8
2000-05-01,112.8
2000-06-01,116.8
2000-07-01,121.4
2000-08-01,120.2
2000-09-01,122.1
2000-10-01,121.7
2000-11-01,128.5
2000-12-01,128.7
2001-01-01,131.7
2001-02-01,137.7
2001-03-01,136.1
2001-04-01,136.8
2001-05-01,135.9
2001-06-01,138
2001-07-01,135
2001-08-01,131.3
2001-09-01,128.2
2001-10-01,123.7
2001-11-01,120.5
2001-12-01,116.8
2002-01-01,112.1
2002-02-01,112.1
2002-03-01,113.8
2002-04-01,117.5
2002-05-01,114.9
2002-06-01,116.6
2002-07-01,114.5
2002-08-01,116
2002-09-01,116.2
2002-10-01,115.5
2002-11-01,122
2002-12-01,123.4
2003-01-01,129.9
2003-02-01,138.3
2003-03-01,145.3
2003-04-01,140
2003-05-01,131.8
2003-06-01,131.4
2003-07-01,131.6
2003-08-01,132.7
2003-09-01,139.8
2003-10-01,134.9
2003-11-01,136.6
2003-12-01,134.8
2004-01-01,140.5
2004-02-01,144.6
2004-03-01,145.8
2004-04-01,145.8
2004-05-01,144.6
2004-06-01,154.6
2004-07-01,151.8
2004-08-01,151.2
2004-09-01,151.4
2004-10-01,155.7
2004-11-01,164.2
2004-12-01,162.1
2005-01-01,156.4
2005-02-01,162.6
2005-03-01,166.3
2005-04-01,176.5
2005-05-01,169.4
2005-06-01,168.7
2005-07-01,178.5
2005-08-01,182.8
2005-09-01,219.9
2005-10-01,209.1
2005-11-01,197.2
2005-12-01,190.1
2006-01-01,206.6
2006-02-01,204.8
2006-03-01,199.1
2006-04-01,213
2006-05-01,216.8
2006-06-01,220.3
2006-07-01,220.4
2006-08-01,221.4
2006-09-01,207.3
2006-10-01,185.9
2006-11-01,197.8
2006-12-01,203.1
2007-01-01,204.708
2007-02-01,197.567
2007-03-01,209.224
2007-04-01,215.719
2007-05-01,214.092
2007-06-01,217.915
2007-07-01,213.521
2007-08-01,208.7
2007-09-01,205.798
2007-10-01,206.764
2007-11-01,231.041
2007-12-01,233.484
2008-01-01,237.224
2008-02-01,235.749
2008-03-01,244.581
2008-04-01,254.017
2008-05-01,272.08
2008-06-01,290.939
2008-07-01,299.805
2008-08-01,282.014
2008-09-01,261.098
2008-10-01,234.271
2008-11-01,207.61
2008-12-01,187.358
2009-01-01,188.282
2009-02-01,190.887
2009-03-01,189.294
2009-04-01,192.249
2009-05-01,180.609
2009-06-01,195.182
2009-07-01,188.429
2009-08-01,192.884
2009-09-01,191.038
2009-10-01,189.16
2009-11-01,207.049
2009-12-01,205.573
2010-01-01,212.152
2010-02-01,211.666
2010-03-01,214.046
2010-04-01,215.212
2010-05-01,208.511
2010-06-01,202.673
2010-07-01,201.08
2010-08-01,201.18
2010-09-01,197.949
2010-10-01,205.016
2010-11-01,220.763
2010-12-01,227.387
2011-01-01,232.775
2011-02-01,236.923
2011-03-01,249.587
2011-04-01,261.2
2011-05-01,259.108
2011-06-01,251.051
2011-07-01,248.629
2011-08-01,247.58
2011-09-01,245.075
2011-10-01,238.04
2011-11-01,245.19
2011-12-01,240.534
2012-01-01,246.464
2012-02-01,251.365
2012-03-01,257.552
2012-04-01,262.373
2012-05-01,242.347
2012-06-01,232.505
2012-07-01,230.639
2012-08-01,239.347
2012-09-01,249.837
2012-10-01,249.11
2012-11-01,249.219
2012-12-01,243.285
2013-01-01,245.342
2013-02-01,254.7
2013-03-01,253.038
2013-04-01,247.669
2013-05-01,240.894
2013-06-01,242.818
2013-07-01,246.198
2013-08-01,248.382
2013-09-01,245.97
2013-10-01,237.587
2013-11-01,245.602
2013-12-01,250.735
2014-01-01,253.977
2014-02-01,255.186
2014-03-01,262.622
2014-04-01,263.612
2014-05-01,253.446
2014-06-01,253.76
2014-07-01,253.636
2014-08-01,247.471
2014-09-01,243.098
2014-10-01,233.648
2014-11-01,245.031
2014-12-01,234.771
2015-01-01,221.409
2015-02-01,218.085
2015-03-01,225.327
2015-04-01,221.101
2015-05-01,211.791
2015-06-01,215.043
2015-07-01,207.142
2015-08-01,197.885
2015-09-01,188.409
2015-10-01,181.904
2015-11-01,198.064
2015-12-01,192.681
2016-01-01,189.622
2016-02-01,183.161
2016-03-01,187.218
2016-04-01,196.348
2016-05-01,196.875
2016-06-01,198.591
2016-07-01,194.338
2016-08-01,192.134
2016-09-01,195.675
2016-10-01,199.932
2016-11-01,205.775
2016-12-01,208.204
2017-01-01,213.684
2017-02-01,212.766
2017-03-01,212.731
2017-04-01,215.67
2017-05-01,212.173
2017-06-01,209.178
2017-07-01,208.245
2017-08-01,211.611
2017-09-01,225.634
2017-10-01,220.881
2017-11-01,233.102
2017-12-01,232.957
2018-01-01,242.147
2018-02-01,245.854
2018-03-01,248.537
2018-04-01,253.271
2018-05-01,241.495
2018-06-01,242.558
2018-07-01,239.136
2018-08-01,239.599
2018-09-01,239.658
2018-10-01,239.767
2018-11-01,249.278
2018-12-01,243.899
2019-01-01,240.079
2019-02-01,237.384
2019-03-01,242.276
2019-04-01,248.631
2019-05-01,243.239
2019-06-01,236.987
2019-07-01,231.691
2019-08-01,230.023
2019-09-01,226.643
2019-10-01,225.419
2019-11-01,239.561
2019-12-01,239.637
2020-01-01,241.489
2020-02-01,236.936
2020-03-01,231.503
2020-04-01,217.981
2020-05-01,198.879
2020-06-01,201.525
2020-07-01,199.79
2020-08-01,199.56
2020-09-01,201.231
2020-10-01,198.684
2020-11-01,215.61
2020-12-01,219.266
2021-01-01,230.658
2021-02-01,236.843
2021-03-01,250.57
2021-04-01,254.126
2021-05-01,245.456
2021-06-01,248.027
2021-07-01,249.249
2021-08-01,252.253
2021-09-01,253.829
2021-10-01,264.842
2021-11-01,289.779
2021-12-01,290.735
2022-01-01,298.633
2022-02-01,306.464
2022-03-01,342.958
2022-04-01,342.506
2022-05-01,351.088
2022-06-01,372.16
2022-07-01,358.607
2022-08-01,343.695
2022-09-01,332.423
2022-10-01,338.695
2022-11-01,375.2
2022-12-01,358.516
2023-01-01,366.659
2023-02-01,361.584
2023-03-01,354.865
2023-04-01,336.551
2023-05-01,318.606
2023-06-01,315.733
2023-07-01,304.034
2023-08-01,307.049
2023-09-01,308.446
2023-10-01,305.11
2023-11-01,322.526
