"Date","APUS49D72620"
2013-10-01,1.19
2013-11-01,1.195
2013-12-01,1.195
2014-01-01,1.195
2014-02-01,1.195
2014-03-01,1.195
2014-04-01,1.195
2014-05-01,1.187
2014-06-01,1.187
2014-07-01,1.187
2014-08-01,1.187
2014-09-01,1.187
2014-10-01,1.186
2014-11-01,1.214
2014-12-01,1.214
2015-01-01,1.216
2015-02-01,1.216
2015-03-01,1.216
2015-04-01,1.216
2015-05-01,1.253
2015-06-01,1.25
2015-07-01,1.25
2015-08-01,1.25
2015-09-01,1.25
2015-10-01,1.252
2015-11-01,1.056
2015-12-01,1.056
2016-01-01,1.056
2016-02-01,1.056
2016-03-01,1.058
2016-04-01,1.058
2016-05-01,1.085
2016-06-01,1.123
2016-07-01,1.123
2016-08-01,1.123
2016-09-01,1.119
2016-10-01,1.119
2016-11-01,1.122
2016-12-01,1.122
2017-01-01,1.122
2017-02-01,1.122
2017-03-01,1.122
2017-04-01,1.122
2017-05-01,1.149
2017-06-01,1.15
2017-07-01,1.15
2017-08-01,1.15
2017-09-01,1.15
2017-10-01,1.15
2017-11-01,1.127
2017-12-01,1.078
2018-01-01,1.078
2018-02-01,1.078
2018-03-01,1.078
2018-04-01,1.078
2018-05-01,1.086
2018-06-01,1.086
2018-07-01,1.086
2018-08-01,1.083
2018-09-01,1.083
2018-10-01,1.081
2018-11-01,0.983
2018-12-01,0.983
2019-01-01,0.987
2019-02-01,0.987
2019-03-01,1.012
2019-04-01,1.018
2019-05-01,0.999
2019-06-01,0.999
2019-07-01,0.999
2019-08-01,0.999
2019-09-01,0.999
2019-10-01,1
2019-11-01,1.008
2019-12-01,1.137
2020-01-01,1.137
2020-02-01,1.137
2020-03-01,1.139
2020-04-01,1.139
2020-05-01,1.09
2020-06-01,1.09
2020-07-01,1.09
2020-08-01,1.09
2020-09-01,1.089
2020-10-01,1.092
2020-11-01,1.175
2020-12-01,1.175
2021-01-01,1.175
2021-02-01,1.175
2021-03-01,1.175
2021-04-01,1.175
2021-05-01,1.186
2021-06-01,1.186
2021-07-01,1.186
2021-08-01,1.186
2021-09-01,1.187
2021-10-01,1.192
2021-11-01,1.269
2021-12-01,1.269
2022-01-01,1.269
2022-02-01,1.269
2022-03-01,1.269
2022-04-01,1.263
2022-05-01,1.261
2022-06-01,1.261
2022-07-01,1.261
2022-08-01,1.261
2022-09-01,1.264
2022-10-01,1.263
2022-11-01,1.42
2022-12-01,1.42
2023-01-01,1.491
2023-02-01,1.491
2023-03-01,1.491
2023-04-01,1.491
2023-05-01,1.589
2023-06-01,1.589
2023-07-01,1.589
2023-08-01,1.589
2023-09-01,1.589
2023-10-01,1.644
2023-11-01,1.144
