"Date","CUSR0000SEFJ"
1989-01-01,111.6
1989-02-01,112.5
1989-03-01,113.3
1989-04-01,114.2
1989-05-01,114.2
1989-06-01,114.6
1989-07-01,115.1
1989-08-01,115.2
1989-09-01,116.4
1989-10-01,118
1989-11-01,119.9
1989-12-01,122.2
1990-01-01,124.5
1990-02-01,125.9
1990-03-01,126.1
1990-04-01,125.5
1990-05-01,125.3
1990-06-01,126.1
1990-07-01,126.9
1990-08-01,127.8
1990-09-01,127.8
1990-10-01,128.3
1990-11-01,127.8
1990-12-01,125.9
1991-01-01,123.9
1991-02-01,124.5
1991-03-01,124.4
1991-04-01,124.9
1991-05-01,125.3
1991-06-01,125
1991-07-01,124.9
1991-08-01,124.7
1991-09-01,125.3
1991-10-01,125.3
1991-11-01,126
1991-12-01,126.8
1992-01-01,128.2
1992-02-01,128.1
1992-03-01,127.8
1992-04-01,127.4
1992-05-01,127
1992-06-01,127.8
1992-07-01,128.3
1992-08-01,129.2
1992-09-01,129.7
1992-10-01,130.1
1992-11-01,129.4
1992-12-01,129.1
1993-01-01,129.5
1993-02-01,128.8
1993-03-01,128.8
1993-04-01,128
1993-05-01,128
1993-06-01,129.8
1993-07-01,130.2
1993-08-01,130.5
1993-09-01,129.6
1993-10-01,129.5
1993-11-01,129.5
1993-12-01,130.2
1994-01-01,131.6
1994-02-01,131.8
1994-03-01,131.8
1994-04-01,131.8
1994-05-01,132
1994-06-01,132.2
1994-07-01,131.8
1994-08-01,131.8
1994-09-01,131.3
1994-10-01,131.5
1994-11-01,131.7
1994-12-01,131.6
1995-01-01,132.7
1995-02-01,132.1
1995-03-01,132.2
1995-04-01,132.1
1995-05-01,132.8
1995-06-01,132.2
1995-07-01,132.9
1995-08-01,132.8
1995-09-01,132.3
1995-10-01,133.2
1995-11-01,133.7
1995-12-01,135
1996-01-01,136.3
1996-02-01,137.2
1996-03-01,136.7
1996-04-01,137
1996-05-01,137.6
1996-06-01,139.8
1996-07-01,142
1996-08-01,144.6
1996-09-01,146.7
1996-10-01,149.3
1996-11-01,149.3
1996-12-01,148.6
1997-01-01,147.8
1997-02-01,146.2
1997-03-01,146.1
1997-04-01,145.7
1997-05-01,145.4
1997-06-01,144.1
1997-07-01,143.3
1997-08-01,143.4
1997-09-01,143.5
1997-10-01,145.7
1997-11-01,147
1997-12-01,147.8
1998-01-01,148.3
1998-02-01,147.7
1998-03-01,148.4
1998-04-01,148.5
1998-05-01,148.1
1998-06-01,148.1
1998-07-01,148.2
1998-08-01,150.5
1998-09-01,152.9
1998-10-01,155
1998-11-01,155.9
1998-12-01,157.6
1999-01-01,159.7
1999-02-01,161.7
1999-03-01,161.6
1999-04-01,156.8
1999-05-01,157
1999-06-01,157.3
1999-07-01,157.1
1999-08-01,157.3
1999-09-01,158.5
1999-10-01,163.1
1999-11-01,163.6
1999-12-01,161.2
2000-01-01,158.9
2000-02-01,160.3
2000-03-01,159.3
2000-04-01,161
2000-05-01,160.4
2000-06-01,160.7
2000-07-01,161.9
2000-08-01,161.6
2000-09-01,161.3
2000-10-01,160.7
2000-11-01,160.5
2000-12-01,160.9
2001-01-01,163.1
2001-02-01,163.1
2001-03-01,163.5
2001-04-01,164.1
2001-05-01,165.5
2001-06-01,168
2001-07-01,168.8
2001-08-01,169.2
2001-09-01,169.1
2001-10-01,169.7
2001-11-01,170.5
2001-12-01,170.1
2002-01-01,170.1
2002-02-01,169.7
2002-03-01,169.7
2002-04-01,169.4
2002-05-01,169.6
2002-06-01,169.1
2002-07-01,167.8
2002-08-01,167.2
2002-09-01,166.1
2002-10-01,165.6
2002-11-01,166.5
2002-12-01,166.5
2003-01-01,165.9
2003-02-01,166.7
2003-03-01,167.2
2003-04-01,166.4
2003-05-01,165.8
2003-06-01,165.4
2003-07-01,165
2003-08-01,167.6
2003-09-01,170.4
2003-10-01,171
2003-11-01,170.8
2003-12-01,172.3
2004-01-01,172.4
2004-02-01,172.1
2004-03-01,171.9
2004-04-01,174
2004-05-01,185.9
2004-06-01,188.8
2004-07-01,187.7
2004-08-01,184.9
2004-09-01,181.6
2004-10-01,182.1
2004-11-01,180.9
2004-12-01,180.1
2005-01-01,183.3
2005-02-01,181.8
2005-03-01,181.4
2005-04-01,182.2
2005-05-01,183.3
2005-06-01,181
2005-07-01,181.6
2005-08-01,182.9
2005-09-01,181.8
2005-10-01,182.6
2005-11-01,183.5
2005-12-01,183.2
2006-01-01,183.7
2006-02-01,183.4
2006-03-01,183
2006-04-01,181.3
2006-05-01,181
2006-06-01,179.6
2006-07-01,180.8
2006-08-01,180
2006-09-01,179.9
2006-10-01,182
2006-11-01,180.6
2006-12-01,181
2007-01-01,183.453
2007-02-01,183.779
2007-03-01,185.724
2007-04-01,185.821
2007-05-01,187.266
2007-06-01,191.435
2007-07-01,197.899
2007-08-01,201.739
2007-09-01,203.541
2007-10-01,205.319
2007-11-01,205.959
2007-12-01,205.299
2008-01-01,206.905
2008-02-01,208.166
2008-03-01,206.171
2008-04-01,207.68
2008-05-01,207.778
2008-06-01,209.117
2008-07-01,213.981
2008-08-01,214.748
2008-09-01,213.533
2008-10-01,212.733
2008-11-01,213.102
2008-12-01,210.838
2009-01-01,209.632
2009-02-01,204.537
2009-03-01,199.687
2009-04-01,197.124
2009-05-01,196.055
2009-06-01,194.197
2009-07-01,193.118
2009-08-01,192.381
2009-09-01,193.353
2009-10-01,195.36
2009-11-01,193.914
2009-12-01,194.792
2010-01-01,198.949
2010-02-01,198.8
2010-03-01,198.814
2010-04-01,197.308
2010-05-01,197.749
2010-06-01,197.947
2010-07-01,198.991
2010-08-01,198.712
2010-09-01,199.042
2010-10-01,201.291
2010-11-01,201.277
2010-12-01,202.056
2011-01-01,200.678
2011-02-01,202.523
2011-03-01,205.695
2011-04-01,210.435
2011-05-01,212.226
2011-06-01,213.636
2011-07-01,215.861
2011-08-01,217.638
2011-09-01,219.742
2011-10-01,218.797
2011-11-01,218.135
2011-12-01,217.743
2012-01-01,218.318
2012-02-01,218.122
2012-03-01,218.247
2012-04-01,217.233
2012-05-01,216.962
2012-06-01,216.94
2012-07-01,215.932
2012-08-01,215.676
2012-09-01,215.791
2012-10-01,216.551
2012-11-01,218.228
2012-12-01,218.551
2013-01-01,218.351
2013-02-01,218.484
2013-03-01,217.41
2013-04-01,218.414
2013-05-01,217.441
2013-06-01,217.815
2013-07-01,217.569
2013-08-01,217.825
2013-09-01,217.279
2013-10-01,215.837
2013-11-01,216.61
2013-12-01,217.315
2014-01-01,217.638
2014-02-01,220.217
2014-03-01,222.743
2014-04-01,224.6
2014-05-01,226.944
2014-06-01,226.764
2014-07-01,226.831
2014-08-01,227.199
2014-09-01,227.194
2014-10-01,227.642
2014-11-01,227.401
2014-12-01,228.748
2015-01-01,226.065
2015-02-01,224.929
2015-03-01,224.214
2015-04-01,222.912
2015-05-01,222.333
2015-06-01,221.849
2015-07-01,222.965
2015-08-01,221.436
2015-09-01,221.947
2015-10-01,220.736
2015-11-01,219.848
2015-12-01,219.897
2016-01-01,219.359
2016-02-01,219.126
2016-03-01,217.77
2016-04-01,218.297
2016-05-01,217.117
2016-06-01,216.471
2016-07-01,216.112
2016-08-01,216.02
2016-09-01,216.501
2016-10-01,217.392
2016-11-01,216.479
2016-12-01,217.1
2017-01-01,218.351
2017-02-01,220.167
2017-03-01,218.236
2017-04-01,217.821
2017-05-01,217.826
2017-06-01,216.676
2017-07-01,217.766
2017-08-01,217.08
2017-09-01,216.371
2017-10-01,216.341
2017-11-01,216.678
2017-12-01,216.172
2018-01-01,216.779
2018-02-01,216.262
2018-03-01,216.295
2018-04-01,216.617
2018-05-01,216.09
2018-06-01,216.869
2018-07-01,216.367
2018-08-01,216.654
2018-09-01,216.496
2018-10-01,216.317
2018-11-01,216.11
2018-12-01,216.497
2019-01-01,216.462
2019-02-01,216.724
2019-03-01,217.502
2019-04-01,217.258
2019-05-01,217.814
2019-06-01,217.746
2019-07-01,218.108
2019-08-01,218.753
2019-09-01,219.453
2019-10-01,220.326
2019-11-01,221.936
2019-12-01,222.034
2020-01-01,222.963
2020-02-01,224.782
2020-03-01,226.069
2020-04-01,228.507
2020-05-01,229.597
2020-06-01,228.252
2020-07-01,227.217
2020-08-01,230.922
2020-09-01,230.095
2020-10-01,228.823
2020-11-01,230.268
2020-12-01,232.195
2021-01-01,231.895
2021-02-01,231.049
2021-03-01,230.203
2021-04-01,229.988
2021-05-01,229.327
2021-06-01,229.475
2021-07-01,230.868
2021-08-01,229.545
2021-09-01,231.254
2021-10-01,232.953
2021-11-01,234.04
2021-12-01,236.407
2022-01-01,239.396
2022-02-01,243.213
2022-03-01,246.675
2022-04-01,250.89
2022-05-01,256.096
2022-06-01,260.056
2022-07-01,264.85
2022-08-01,266.369
2022-09-01,267.902
2022-10-01,269.378
2022-11-01,272.326
2022-12-01,272.888
2023-01-01,272.861
2023-02-01,273.2
2023-03-01,272.951
2023-04-01,270.95
2023-05-01,267.917
2023-06-01,267.107
2023-07-01,268.343
2023-08-01,267.186
2023-09-01,267.486
2023-10-01,268.348
2023-11-01,268.614
