"Date","CUSR0000SEFT"
1981-01-01,88.6
1981-02-01,89.1
1981-03-01,90
1981-04-01,90.6
1981-05-01,91.2
1981-06-01,91.9
1981-07-01,92.7
1981-08-01,93.2
1981-09-01,93.8
1981-10-01,94.5
1981-11-01,95.3
1981-12-01,95.3
1982-01-01,95.8
1982-02-01,95.8
1982-03-01,96.2
1982-04-01,96.2
1982-05-01,96.5
1982-06-01,96.8
1982-07-01,97
1982-08-01,97.5
1982-09-01,97.6
1982-10-01,98
1982-11-01,98
1982-12-01,98.3
1983-01-01,98.7
1983-02-01,99.3
1983-03-01,99.6
1983-04-01,99.9
1983-05-01,100
1983-06-01,99.8
1983-07-01,100.1
1983-08-01,100
1983-09-01,100.5
1983-10-01,100.3
1983-11-01,100.8
1983-12-01,101.1
1984-01-01,101.4
1984-02-01,101.5
1984-03-01,101.8
1984-04-01,102.3
1984-05-01,102.5
1984-06-01,103.3
1984-07-01,103.2
1984-08-01,103.7
1984-09-01,103.9
1984-10-01,104.2
1984-11-01,104.3
1984-12-01,104.4
1985-01-01,104.8
1985-02-01,105.2
1985-03-01,105.5
1985-04-01,105.6
1985-05-01,105.9
1985-06-01,106.1
1985-07-01,106.5
1985-08-01,106.8
1985-09-01,107.2
1985-10-01,107.3
1985-11-01,107.6
1985-12-01,108
1986-01-01,107.9
1986-02-01,108.1
1986-03-01,108.1
1986-04-01,108.3
1986-05-01,108.8
1986-06-01,109.1
1986-07-01,109.2
1986-08-01,109.4
1986-09-01,109.9
1986-10-01,110.2
1986-11-01,110.2
1986-12-01,110.9
1987-01-01,111.5
1987-02-01,112.7
1987-03-01,112.5
1987-04-01,113.1
1987-05-01,113.2
1987-06-01,113.6
1987-07-01,114.2
1987-08-01,114.6
1987-09-01,114.6
1987-10-01,114.7
1987-11-01,115.4
1987-12-01,115.6
1988-01-01,115.9
1988-02-01,115.9
1988-03-01,116.1
1988-04-01,116.4
1988-05-01,116.8
1988-06-01,117.1
1988-07-01,118.4
1988-08-01,118.5
1988-09-01,119.2
1988-10-01,119.9
1988-11-01,120.5
1988-12-01,121.2
1989-01-01,121.8
1989-02-01,122.7
1989-03-01,123.5
1989-04-01,125
1989-05-01,125
1989-06-01,125.5
1989-07-01,126.1
1989-08-01,126.5
1989-09-01,126.8
1989-10-01,127.3
1989-11-01,127.8
1989-12-01,128.1
1990-01-01,128.2
1990-02-01,128.7
1990-03-01,129.3
1990-04-01,129.7
1990-05-01,130.2
1990-06-01,130.9
1990-07-01,131.1
1990-08-01,131.8
1990-09-01,132.6
1990-10-01,133.2
1990-11-01,133.7
1990-12-01,134.6
1991-01-01,135.4
1991-02-01,135.7
1991-03-01,136
1991-04-01,136.6
1991-05-01,136.1
1991-06-01,137
1991-07-01,137.5
1991-08-01,137.8
1991-09-01,138.5
1991-10-01,138.1
1991-11-01,138.2
1991-12-01,138.6
1992-01-01,139
1992-02-01,138.9
1992-03-01,139.4
1992-04-01,139.4
1992-05-01,139.7
1992-06-01,140.1
1992-07-01,139.9
1992-08-01,140.5
1992-09-01,140.6
1992-10-01,140.9
1992-11-01,141.4
1992-12-01,141.7
1993-01-01,141.9
1993-02-01,142.4
1993-03-01,142.6
1993-04-01,142.7
1993-05-01,143.4
1993-06-01,143.3
1993-07-01,144.3
1993-08-01,144
1993-09-01,144.3
1993-10-01,145.1
1993-11-01,145.2
1993-12-01,145.5
1994-01-01,145.7
1994-02-01,146.3
1994-03-01,146.1
1994-04-01,147.3
1994-05-01,146.7
1994-06-01,147.2
1994-07-01,147.6
1994-08-01,148
1994-09-01,149
1994-10-01,148.4
1994-11-01,148.9
1994-12-01,148.7
1995-01-01,149.4
1995-02-01,149.4
1995-03-01,150.2
1995-04-01,150.4
1995-05-01,151.1
1995-06-01,151.1
1995-07-01,151.3
1995-08-01,151.8
1995-09-01,151.7
1995-10-01,152
1995-11-01,151.9
1995-12-01,152.7
1996-01-01,153.2
1996-02-01,153.3
1996-03-01,154.4
1996-04-01,154.9
1996-05-01,155.5
1996-06-01,156
1996-07-01,156.6
1996-08-01,155.9
1996-09-01,157.7
1996-10-01,158.6
1996-11-01,159
1996-12-01,159.5
1997-01-01,159.5
1997-02-01,160.5
1997-03-01,160.2
1997-04-01,160.7
1997-05-01,160.4
1997-06-01,161
1997-07-01,161.1
1997-08-01,161.2
1997-09-01,162
1997-10-01,162.7
1997-11-01,162.1
1997-12-01,163.3
1998-01-01,163.7
1998-02-01,164.2
