"Date","CUURA103SAE"
1997-12-01,100
1998-01-01,100.1
1998-02-01,NA
1998-03-01,99
1998-04-01,NA
1998-05-01,100.3
1998-06-01,NA
1998-07-01,100.4
1998-08-01,NA
1998-09-01,100.9
1998-10-01,NA
1998-11-01,100.9
1998-12-01,NA
1999-01-01,100.9
1999-02-01,NA
1999-03-01,101
1999-04-01,NA
1999-05-01,100.2
1999-06-01,NA
1999-07-01,101.6
1999-08-01,NA
1999-09-01,102.3
1999-10-01,NA
1999-11-01,102.5
1999-12-01,NA
2000-01-01,102.2
2000-02-01,NA
2000-03-01,101.1
2000-04-01,NA
2000-05-01,101.3
2000-06-01,NA
2000-07-01,102
2000-08-01,NA
2000-09-01,103.8
2000-10-01,NA
2000-11-01,105.6
2000-12-01,NA
2001-01-01,106.9
2001-02-01,NA
2001-03-01,107.4
2001-04-01,NA
2001-05-01,105.9
2001-06-01,NA
2001-07-01,105.8
2001-08-01,NA
2001-09-01,107.9
2001-10-01,NA
2001-11-01,107.8
2001-12-01,NA
2002-01-01,105.5
2002-02-01,NA
2002-03-01,105.2
2002-04-01,NA
2002-05-01,103.6
2002-06-01,NA
2002-07-01,106.2
2002-08-01,NA
2002-09-01,110.1
2002-10-01,NA
2002-11-01,110.3
2002-12-01,NA
2003-01-01,109.6
2003-02-01,NA
2003-03-01,110.1
2003-04-01,NA
2003-05-01,108.5
2003-06-01,NA
2003-07-01,108.1
2003-08-01,NA
2003-09-01,113.5
2003-10-01,NA
2003-11-01,111.1
2003-12-01,NA
2004-01-01,114.3
2004-02-01,NA
2004-03-01,115.4
2004-04-01,NA
2004-05-01,113.6
2004-06-01,NA
2004-07-01,113.1
2004-08-01,NA
2004-09-01,116.3
2004-10-01,NA
2004-11-01,116.9
2004-12-01,NA
2005-01-01,116.1
2005-02-01,NA
2005-03-01,117
2005-04-01,NA
2005-05-01,117.1
2005-06-01,NA
2005-07-01,116.4
2005-08-01,NA
2005-09-01,119
2005-10-01,NA
2005-11-01,118.8
2005-12-01,NA
2006-01-01,119.2
2006-02-01,NA
2006-03-01,119.3
2006-04-01,NA
2006-05-01,118.9
2006-06-01,NA
2006-07-01,120.5
2006-08-01,NA
2006-09-01,120.6
2006-10-01,NA
2006-11-01,119.9
2006-12-01,NA
2007-01-01,119.485
2007-02-01,NA
2007-03-01,119.376
2007-04-01,NA
2007-05-01,119.898
2007-06-01,NA
2007-07-01,119.706
2007-08-01,NA
2007-09-01,121.014
2007-10-01,NA
2007-11-01,129.307
2007-12-01,NA
2008-01-01,129.37
2008-02-01,NA
2008-03-01,130.615
2008-04-01,NA
2008-05-01,130.743
2008-06-01,NA
2008-07-01,131.531
2008-08-01,NA
2008-09-01,133.727
2008-10-01,NA
2008-11-01,134.861
2008-12-01,NA
2009-01-01,135.135
2009-02-01,NA
2009-03-01,135.307
2009-04-01,NA
2009-05-01,137.078
2009-06-01,NA
2009-07-01,137.128
2009-08-01,NA
2009-09-01,138.651
2009-10-01,NA
2009-11-01,137.892
2009-12-01,NA
2010-01-01,138.203
2010-02-01,NA
2010-03-01,138.247
2010-04-01,NA
2010-05-01,138.455
2010-06-01,NA
2010-07-01,138.918
2010-08-01,NA
2010-09-01,139.14
2010-10-01,NA
2010-11-01,138.922
2010-12-01,NA
2011-01-01,138.913
2011-02-01,NA
2011-03-01,139.382
2011-04-01,NA
2011-05-01,138.836
2011-06-01,NA
2011-07-01,139.316
2011-08-01,NA
2011-09-01,143.339
2011-10-01,NA
2011-11-01,143.207
2011-12-01,NA
2012-01-01,143.673
2012-02-01,NA
2012-03-01,142.725
2012-04-01,NA
2012-05-01,143.164
2012-06-01,NA
2012-07-01,142.67
2012-08-01,NA
2012-09-01,146.361
2012-10-01,NA
2012-11-01,146.197
2012-12-01,NA
2013-01-01,146.644
2013-02-01,NA
2013-03-01,146.176
2013-04-01,NA
2013-05-01,146.089
2013-06-01,NA
2013-07-01,146.66
2013-08-01,NA
2013-09-01,149.012
2013-10-01,NA
2013-11-01,149.357
2013-12-01,NA
2014-01-01,149.093
2014-02-01,NA
2014-03-01,148.421
2014-04-01,NA
2014-05-01,148.128
2014-06-01,NA
2014-07-01,148.373
2014-08-01,NA
2014-09-01,149.764
2014-10-01,NA
2014-11-01,148.429
2014-12-01,NA
2015-01-01,150.755
2015-02-01,NA
2015-03-01,150.604
2015-04-01,NA
2015-05-01,150.823
2015-06-01,NA
2015-07-01,151.166
2015-08-01,NA
2015-09-01,155.09
2015-10-01,NA
2015-11-01,155.978
2015-12-01,NA
2016-01-01,156.34
2016-02-01,NA
2016-03-01,156.459
2016-04-01,NA
2016-05-01,155.893
2016-06-01,NA
2016-07-01,156.3
2016-08-01,NA
2016-09-01,159.091
2016-10-01,NA
2016-11-01,160.521
2016-12-01,NA
2017-01-01,161.094
2017-02-01,NA
2017-03-01,158.582
2017-04-01,NA
2017-05-01,158.366
2017-06-01,NA
2017-07-01,158.204
2017-08-01,NA
2017-09-01,162.225
2017-10-01,NA
2017-11-01,163.261
2017-12-01,NA
2018-01-01,163.858
2018-02-01,NA
2018-03-01,165.292
2018-04-01,NA
2018-05-01,164.946
2018-06-01,NA
2018-07-01,165.467
2018-08-01,NA
2018-09-01,166.898
