"Date","CWSR0000SEEB"
1978-01-01,57.3
1978-02-01,57.8
1978-03-01,58.3
1978-04-01,58.7
1978-05-01,59.3
1978-06-01,59.8
1978-07-01,60.1
1978-08-01,60.8
1978-09-01,60.1
1978-10-01,60.3
1978-11-01,60.9
1978-12-01,61.3
1979-01-01,61.7
1979-02-01,62.2
1979-03-01,62.7
1979-04-01,63.3
1979-05-01,63.8
1979-06-01,64.4
1979-07-01,64.9
1979-08-01,65.4
1979-09-01,65.7
1979-10-01,65.8
1979-11-01,66.4
1979-12-01,67
1980-01-01,67.5
1980-02-01,68
1980-03-01,68.6
1980-04-01,69.2
1980-05-01,69.8
1980-06-01,70.3
1980-07-01,70.8
1980-08-01,71.5
1980-09-01,73.4
1980-10-01,73.7
1980-11-01,74.4
1980-12-01,75
1981-01-01,75.7
1981-02-01,76.3
1981-03-01,76.8
1981-04-01,77.4
1981-05-01,78.1
1981-06-01,78.8
1981-07-01,79.7
1981-08-01,80.5
1981-09-01,82.4
1981-10-01,83.1
1981-11-01,83.9
1981-12-01,84.7
1982-01-01,85.8
1982-02-01,86.6
1982-03-01,87.7
1982-04-01,88.5
1982-05-01,89.3
1982-06-01,90.1
1982-07-01,91
1982-08-01,91.8
1982-09-01,92.7
1982-10-01,93.3
1982-11-01,94.2
1982-12-01,95
1983-01-01,95.6
1983-02-01,96.4
1983-03-01,97.1
1983-04-01,97.9
1983-05-01,98.7
1983-06-01,99.4
1983-07-01,100.3
1983-08-01,101.1
1983-09-01,99.5
1983-10-01,102.2
1983-11-01,103
1983-12-01,103.9
1984-01-01,104.7
1984-02-01,105.5
1984-03-01,107
1984-04-01,107.8
1984-05-01,108.6
1984-06-01,109.4
1984-07-01,110.3
1984-08-01,111.1
1984-09-01,112.6
1984-10-01,113.1
1984-11-01,113.8
1984-12-01,114.7
1985-01-01,115.6
1985-02-01,116.4
1985-03-01,117.1
1985-04-01,117.8
1985-05-01,118.6
1985-06-01,119.4
1985-07-01,120.4
1985-08-01,120.6
1985-09-01,122.5
1985-10-01,122.7
1985-11-01,123.8
1985-12-01,124.7
1986-01-01,125.4
1986-02-01,126.2
1986-03-01,127
1986-04-01,127.7
1986-05-01,128.4
1986-06-01,129.2
1986-07-01,129.8
1986-08-01,130.4
1986-09-01,132.5
1986-10-01,132.7
1986-11-01,133.5
1986-12-01,134.3
1987-01-01,135.4
1987-02-01,136.2
1987-03-01,137.1
1987-04-01,138
1987-05-01,138.8
1987-06-01,139.7
1987-07-01,140.6
1987-08-01,141.4
1987-09-01,141.5
1987-10-01,142.6
1987-11-01,143.5
1987-12-01,144.7
1988-01-01,145.4
1988-02-01,146.6
1988-03-01,147.6
1988-04-01,148.6
1988-05-01,149.6
1988-06-01,150.6
1988-07-01,151.4
1988-08-01,153.1
1988-09-01,152.9
1988-10-01,153.6
1988-11-01,154.7
1988-12-01,155.5
1989-01-01,156.8
1989-02-01,157.8
1989-03-01,158.9
1989-04-01,159.8
1989-05-01,160.7
1989-06-01,161.6
1989-07-01,162.6
1989-08-01,163.8
1989-09-01,164.9
1989-10-01,166
1989-11-01,166.9
1989-12-01,168.1
1990-01-01,169.2
1990-02-01,170.2
1990-03-01,171.2
1990-04-01,172
1990-05-01,173.4
1990-06-01,174.4
1990-07-01,175.9
1990-08-01,177.5
1990-09-01,177.8
1990-10-01,178.9
1990-11-01,180
1990-12-01,181.2
1991-01-01,182.8
1991-02-01,184.1
1991-03-01,185.3
1991-04-01,186.7
1991-05-01,187.8
1991-06-01,189
1991-07-01,190.3
1991-08-01,190.6
1991-09-01,194.7
1991-10-01,195.6
1991-11-01,196.6
1991-12-01,197.8
1992-01-01,198.7
1992-02-01,199.8
1992-03-01,201.2
1992-04-01,202.5
1992-05-01,203.7
1992-06-01,205.1
1992-07-01,206
1992-08-01,207.3
1992-09-01,208.8
1992-10-01,210.2
1992-11-01,211.4
1992-12-01,212.8
1993-01-01,214.2
1993-02-01,215.5
1993-03-01,216.7
1993-04-01,218
1993-05-01,219.1
1993-06-01,220.4
1993-07-01,221.6
1993-08-01,222.5
1993-09-01,223.7
1993-10-01,224.8
1993-11-01,226
1993-12-01,227.1
1994-01-01,228.3
1994-02-01,229.4
1994-03-01,230.5
1994-04-01,231.6
1994-05-01,233
1994-06-01,234.2
1994-07-01,235.3
1994-08-01,236.2
1994-09-01,237.1
1994-10-01,238.2
1994-11-01,239.4
1994-12-01,240.5
1995-01-01,241.7
1995-02-01,243.1
1995-03-01,244.2
1995-04-01,245
1995-05-01,246
1995-06-01,247
1995-07-01,248.2
1995-08-01,249.8
1995-09-01,251.4
1995-10-01,252.2
1995-11-01,253.3
1995-12-01,254.4
1996-01-01,255.3
1996-02-01,256.4
1996-03-01,257.4
1996-04-01,258.6
1996-05-01,259.6
1996-06-01,260.5
1996-07-01,261.6
1996-08-01,262.7
1996-09-01,263.4
1996-10-01,264.5
1996-11-01,265.6
1996-12-01,266.6
1997-01-01,268.5
1997-02-01,269.2
1997-03-01,270.3
1997-04-01,271.3
1997-05-01,272.7
1997-06-01,273.8
1997-07-01,274.9
1997-08-01,276
1997-09-01,277.7
1997-10-01,278.9
1997-11-01,280.1
1997-12-01,281.4
1998-01-01,282.7
1998-02-01,283.2
1998-03-01,284.6
1998-04-01,286
1998-05-01,287.3
1998-06-01,287.8
1998-07-01,288.8
1998-08-01,290.3
1998-09-01,291.1
1998-10-01,292
1998-11-01,293.1
1998-12-01,294.5
1999-01-01,295.6
1999-02-01,297.5
1999-03-01,298.8
1999-04-01,300
1999-05-01,301.2
1999-06-01,302.4
1999-07-01,303.9
1999-08-01,304.3
1999-09-01,305.5
1999-10-01,306.6
1999-11-01,307.9
1999-12-01,309
2000-01-01,310.8
2000-02-01,312.4
2000-03-01,313.6
2000-04-01,315.2
2000-05-01,316.5
2000-06-01,318.6
2000-07-01,319.9
2000-08-01,319.4
2000-09-01,320.6
2000-10-01,322.1
2000-11-01,323.6
2000-12-01,325
2001-01-01,326.1
2001-02-01,327.2
2001-03-01,328.9
2001-04-01,330.4
2001-05-01,332.2
2001-06-01,333.7
2001-07-01,335.3
2001-08-01,337.2
2001-09-01,338.4
2001-10-01,340.3
2001-11-01,341.9
2001-12-01,343.6
2002-01-01,345.1
2002-02-01,346.8
2002-03-01,348.5
2002-04-01,349.9
2002-05-01,351.4
2002-06-01,354
2002-07-01,355.8
2002-08-01,357.5
2002-09-01,359.7
2002-10-01,361.1
2002-11-01,362.8
2002-12-01,364.3
2003-01-01,366.1
2003-02-01,367.9
2003-03-01,369.7
2003-04-01,371.9
2003-05-01,373.6
2003-06-01,375.3
2003-07-01,377.3
2003-08-01,381.7
2003-09-01,383.1
2003-10-01,385.1
2003-11-01,386.7
2003-12-01,388.8
2004-01-01,391.4
2004-02-01,393.2
2004-03-01,395.5
2004-04-01,397.4
2004-05-01,399.1
2004-06-01,401.5
2004-07-01,403.2
2004-08-01,405.2
2004-09-01,407.5
2004-10-01,409.8
2004-11-01,411.8
2004-12-01,413.8
2005-01-01,415.5
2005-02-01,417.5
2005-03-01,419.8
2005-04-01,421.9
2005-05-01,424.5
2005-06-01,426.8
2005-07-01,428.8
2005-08-01,429.6
2005-09-01,432.2
2005-10-01,434
2005-11-01,436.3
2005-12-01,438.3
2006-01-01,442.1
2006-02-01,443.1
2006-03-01,445
2006-04-01,447.1
2006-05-01,449.2
2006-06-01,451.6
2006-07-01,453.6
2006-08-01,456.6
2006-09-01,459.5
2006-10-01,461.6
2006-11-01,463.7
2006-12-01,466
2007-01-01,467.219
2007-02-01,469.288
2007-03-01,471.334
2007-04-01,473.135
2007-05-01,474.999
2007-06-01,476.153
2007-07-01,477.999
2007-08-01,479.717
2007-09-01,481.054
2007-10-01,484.138
2007-11-01,486.729
2007-12-01,489.148
2008-01-01,492.563
2008-02-01,493.77
2008-03-01,495.722
2008-04-01,498.318
2008-05-01,500.276
2008-06-01,502.565
2008-07-01,504.127
2008-08-01,507.49
2008-09-01,510.34
2008-10-01,512.668
2008-11-01,514.763
2008-12-01,517.178
2009-01-01,518.819
2009-02-01,520.495
2009-03-01,522.371
2009-04-01,523.96
2009-05-01,526.353
2009-06-01,528.159
2009-07-01,529.917
2009-08-01,532.556
2009-09-01,534.663
2009-10-01,536.434
2009-11-01,538.3
2009-12-01,539.921
2010-01-01,541.497
2010-02-01,544.588
2010-03-01,547.237
2010-04-01,549.687
2010-05-01,550.899
2010-06-01,553.324
2010-07-01,554.933
2010-08-01,556.334
2010-09-01,557.36
2010-10-01,557.743
2010-11-01,559.97
2010-12-01,562.253
2011-01-01,564.916
2011-02-01,566.686
2011-03-01,568.336
2011-04-01,569.891
2011-05-01,571.844
2011-06-01,573.527
2011-07-01,575.471
2011-08-01,578.602
2011-09-01,580.322
2011-10-01,583.039
2011-11-01,584.952
2011-12-01,586.78
2012-01-01,588.26
2012-02-01,589.617
2012-03-01,591.051
2012-04-01,592.558
2012-05-01,594.382
2012-06-01,595.601
2012-07-01,598.551
2012-08-01,599.992
2012-09-01,602.631
2012-10-01,604.383
2012-11-01,605.923
2012-12-01,607.869
2013-01-01,610.594
2013-02-01,612.168
2013-03-01,613.483
2013-04-01,614.906
2013-05-01,616.182
2013-06-01,617.662
2013-07-01,619.518
2013-08-01,621.529
2013-09-01,622.395
2013-10-01,624.045
2013-11-01,626.316
2013-12-01,628.297
2014-01-01,628.516
2014-02-01,630.965
2014-03-01,633.151
2014-04-01,634.734
2014-05-01,636.205
2014-06-01,637.677
2014-07-01,638.64
2014-08-01,640.717
2014-09-01,642.055
2014-10-01,644.021
2014-11-01,645.81
2014-12-01,647.62
2015-01-01,650.084
2015-02-01,651.308
2015-03-01,655.083
2015-04-01,659.27
2015-05-01,660.59
2015-06-01,662.459
2015-07-01,664.448
2015-08-01,665.598
2015-09-01,667.805
2015-10-01,668.77
2015-11-01,670.487
2015-12-01,671.212
2016-01-01,672.65
2016-02-01,674.058
2016-03-01,675.857
2016-04-01,677.18
2016-05-01,678.492
2016-06-01,679.635
2016-07-01,681.441
2016-08-01,682.366
2016-09-01,683.546
2016-10-01,685.717
2016-11-01,686.841
2016-12-01,689.448
2017-01-01,690.338
2017-02-01,691.43
2017-03-01,692.164
2017-04-01,693.377
2017-05-01,694.126
2017-06-01,696.421
2017-07-01,696.916
2017-08-01,697.841
2017-09-01,699.861
2017-10-01,701.507
2017-11-01,702.93
2017-12-01,704.263
2018-01-01,704.703
2018-02-01,705.669
2018-03-01,705.594
2018-04-01,706.729
2018-05-01,707.956
2018-06-01,710.126
2018-07-01,711.495
2018-08-01,716.274
2018-09-01,716.957
2018-10-01,718.561
2018-11-01,720.381
2018-12-01,722.085
2019-01-01,724.164
2019-02-01,726.288
2019-03-01,728.878
2019-04-01,730.215
2019-05-01,731.758
2019-06-01,732.383
2019-07-01,733.55
2019-08-01,735.115
2019-09-01,736.426
2019-10-01,738.213
2019-11-01,739.217
2019-12-01,740.194
2020-01-01,742.374
2020-02-01,744.599
2020-03-01,746.971
2020-04-01,748.109
2020-05-01,748.686
2020-06-01,748.808
2020-07-01,750.973
2020-08-01,748.661
2020-09-01,747.033
2020-10-01,748.275
2020-11-01,749.239
2020-12-01,750.598
2021-01-01,751.848
2021-02-01,753.268
2021-03-01,751.241
2021-04-01,752.504
2021-05-01,754.814
2021-06-01,756.262
2021-07-01,758.491
2021-08-01,757.832
2021-09-01,758.678
2021-10-01,760.362
2021-11-01,761.752
2021-12-01,762.387
2022-01-01,763.069
2022-02-01,764.651
2022-03-01,766.401
2022-04-01,768.547
2022-05-01,769.928
2022-06-01,772.621
2022-07-01,774.773
2022-08-01,778.658
2022-09-01,780.761
2022-10-01,782.342
2022-11-01,784.49
2022-12-01,787.013
2023-01-01,789.702
2023-02-01,790.833
2023-03-01,795.811
2023-04-01,799.015
2023-05-01,798.35
2023-06-01,800.846
2023-07-01,802.818
2023-08-01,804.011
2023-09-01,805.602
2023-10-01,805.988
2023-11-01,806.332
