"Date","CUSR0000SERA02"
1992-01-01,180.8
1992-02-01,181.8
1992-03-01,183.3
1992-04-01,186.2
1992-05-01,185.2
1992-06-01,185.9
1992-07-01,188
1992-08-01,188.8
1992-09-01,186.7
1992-10-01,188.6
1992-11-01,190.3
1992-12-01,188.4
1993-01-01,190.5
1993-02-01,194.5
1993-03-01,199.4
1993-04-01,200
1993-05-01,196.2
1993-06-01,198.4
1993-07-01,199
1993-08-01,200.7
1993-09-01,201.8
1993-10-01,202.6
1993-11-01,202.2
1993-12-01,202.1
1994-01-01,201.8
1994-02-01,200.5
1994-03-01,199.5
1994-04-01,198.5
1994-05-01,198.7
1994-06-01,197.8
1994-07-01,196.1
1994-08-01,195.3
1994-09-01,194.5
1994-10-01,194.5
1994-11-01,195.3
1994-12-01,196.7
1995-01-01,197.1
1995-02-01,197.3
1995-03-01,198.3
1995-04-01,199
1995-05-01,200.2
1995-06-01,200.1
1995-07-01,200.6
1995-08-01,201.5
1995-09-01,202.3
1995-10-01,203.2
1995-11-01,203.8
1995-12-01,204.3
1996-01-01,204.8
1996-02-01,206
1996-03-01,206.8
1996-04-01,208.6
1996-05-01,209.9
1996-06-01,210.7
1996-07-01,214.4
1996-08-01,215.3
1996-09-01,217
1996-10-01,218.6
1996-11-01,219.6
1996-12-01,220.1
1997-01-01,220.9
1997-02-01,222.7
1997-03-01,223.5
1997-04-01,224.9
1997-05-01,226.1
1997-06-01,228.1
1997-07-01,230.4
1997-08-01,231.3
1997-09-01,232.8
1997-10-01,233.7
1997-11-01,234.8
1997-12-01,235.4
1998-01-01,238.5
1998-02-01,240.4
1998-03-01,241.3
1998-04-01,242.3
1998-05-01,243.5
1998-06-01,244.7
1998-07-01,245.6
1998-08-01,246.7
1998-09-01,248.7
1998-10-01,249.1
1998-11-01,250.3
1998-12-01,252
1999-01-01,251.7
1999-02-01,252
1999-03-01,252.2
1999-04-01,252.6
1999-05-01,253.7
1999-06-01,253.9
1999-07-01,254.6
1999-08-01,255.6
1999-09-01,255.6
1999-10-01,256.6
1999-11-01,257.6
1999-12-01,259.1
2000-01-01,260.7
2000-02-01,261.8
2000-03-01,263.5
2000-04-01,263.9
2000-05-01,264.6
2000-06-01,265.9
2000-07-01,266.6
2000-08-01,268.7
2000-09-01,270.2
2000-10-01,271.3
2000-11-01,272.1
2000-12-01,272.4
2001-01-01,272.9
2001-02-01,274
2001-03-01,275.5
2001-04-01,276.6
2001-05-01,277.6
2001-06-01,277.2
2001-07-01,279.2
2001-08-01,280
2001-09-01,280.5
2001-10-01,281.5
2001-11-01,282.3
2001-12-01,283.2
2002-01-01,286.3
2002-02-01,289.2
2002-03-01,289.8
2002-04-01,291.3
2002-05-01,292.4
2002-06-01,294.5
2002-07-01,296.8
2002-08-01,296.2
2002-09-01,297.4
2002-10-01,300
2002-11-01,302.1
2002-12-01,303.7
2003-01-01,304.4
2003-02-01,305.1
2003-03-01,305.3
2003-04-01,305.7
2003-05-01,307.9
2003-06-01,309.5
2003-07-01,310.8
2003-08-01,311.4
2003-09-01,311.6
2003-10-01,312.9
2003-11-01,314.5
2003-12-01,314.9
2004-01-01,316
2004-02-01,317.6
2004-03-01,318.1
2004-04-01,320.4
2004-05-01,321.4
2004-06-01,322.6
2004-07-01,323.6
2004-08-01,324.4
2004-09-01,325.1
2004-10-01,325.5
2004-11-01,326.1
2004-12-01,327.5
2005-01-01,329.1
2005-02-01,328.8
2005-03-01,330.2
2005-04-01,330.6
2005-05-01,330.9
2005-06-01,325.4
2005-07-01,326.9
2005-08-01,333.9
2005-09-01,334.8
2005-10-01,336.4
2005-11-01,337
2005-12-01,338.6
2006-01-01,338.9
2006-02-01,338.6
2006-03-01,341.9
2006-04-01,344.1
2006-05-01,344.7
2006-06-01,345.2
2006-07-01,346.3
2006-08-01,346.9
2006-09-01,347.5
2006-10-01,348
2006-11-01,348.8
2006-12-01,347.5
2007-01-01,348.057
2007-02-01,348.416
2007-03-01,346.967
2007-04-01,348.608
2007-05-01,351.665
2007-06-01,351.704
2007-07-01,351.085
2007-08-01,350.488
2007-09-01,353.405
2007-10-01,355.918
2007-11-01,355.179
2007-12-01,356.176
2008-01-01,357.821
2008-02-01,358.005
2008-03-01,359.246
2008-04-01,359.304
2008-05-01,359.226
2008-06-01,357.325
2008-07-01,358.229
2008-08-01,361.113
2008-09-01,362.641
2008-10-01,361.625
2008-11-01,362.03
2008-12-01,362.69
2009-01-01,362.993
2009-02-01,364.193
2009-03-01,365.245
2009-04-01,366.147
2009-05-01,366.596
2009-06-01,368.081
2009-07-01,369.255
2009-08-01,369.31
2009-09-01,369.279
2009-10-01,368.874
2009-11-01,370.18
2009-12-01,370.954
2010-01-01,373.451
2010-02-01,370.619
2010-03-01,370.119
2010-04-01,370.237
2010-05-01,370.189
2010-06-01,373.545
2010-07-01,372.777
2010-08-01,372.39
2010-09-01,372.59
2010-10-01,374.736
2010-11-01,375.888
2010-12-01,372.32
2011-01-01,373.589
2011-02-01,375.11
2011-03-01,375.256
2011-04-01,376.543
2011-05-01,377.532
2011-06-01,377.248
2011-07-01,378.696
2011-08-01,378.889
2011-09-01,381.479
2011-10-01,383.106
2011-11-01,384.353
2011-12-01,386.396
2012-01-01,388.681
2012-02-01,389.998
2012-03-01,391.599
2012-04-01,392.642
2012-05-01,394.235
2012-06-01,395.478
2012-07-01,396.66
2012-08-01,399.258
2012-09-01,400.681
2012-10-01,398.888
2012-11-01,399.602
2012-12-01,400.418
2013-01-01,401.712
2013-02-01,403.042
2013-03-01,403.975
2013-04-01,404.17
2013-05-01,404.894
2013-06-01,405.274
2013-07-01,406.317
2013-08-01,407.692
