"Date","CUSR0000SAN"
1956-01-01,29.5
1956-02-01,29.4
1956-03-01,29.5
1956-04-01,29.6
1956-05-01,29.8
1956-06-01,30
1956-07-01,30.1
1956-08-01,30.1
1956-09-01,30.1
1956-10-01,30.2
1956-11-01,30.3
1956-12-01,30.4
1957-01-01,30.4
1957-02-01,30.6
1957-03-01,30.6
1957-04-01,30.6
1957-05-01,30.7
1957-06-01,30.8
1957-07-01,31
1957-08-01,31.2
1957-09-01,31.1
1957-10-01,31.1
1957-11-01,31.1
1957-12-01,31.2
1958-01-01,31.5
1958-02-01,31.5
1958-03-01,31.8
1958-04-01,31.9
1958-05-01,31.9
1958-06-01,31.7
1958-07-01,31.7
1958-08-01,31.7
1958-09-01,31.6
1958-10-01,31.6
1958-11-01,31.6
1958-12-01,31.5
1959-01-01,31.6
1959-02-01,31.5
1959-03-01,31.4
1959-04-01,31.4
1959-05-01,31.4
1959-06-01,31.5
1959-07-01,31.6
1959-08-01,31.6
1959-09-01,31.6
1959-10-01,31.7
1959-11-01,31.7
1959-12-01,31.7
1960-01-01,31.6
1960-02-01,31.6
1960-03-01,31.7
1960-04-01,31.9
1960-05-01,32
1960-06-01,32
1960-07-01,31.9
1960-08-01,32
1960-09-01,32
1960-10-01,32.2
1960-11-01,32.3
1960-12-01,32.4
1961-01-01,32.3
1961-02-01,32.4
1961-03-01,32.3
1961-04-01,32.2
1961-05-01,32.2
1961-06-01,32.2
1961-07-01,32.2
1961-08-01,32.2
1961-09-01,32.2
1961-10-01,32.2
1961-11-01,32.2
1961-12-01,32.2
1962-01-01,32.2
1962-02-01,32.4
1962-03-01,32.4
1962-04-01,32.5
1962-05-01,32.4
1962-06-01,32.4
1962-07-01,32.3
1962-08-01,32.4
1962-09-01,32.7
1962-10-01,32.7
1962-11-01,32.7
1962-12-01,32.6
1963-01-01,32.8
1963-02-01,32.8
1963-03-01,32.8
1963-04-01,32.7
1963-05-01,32.7
1963-06-01,32.9
1963-07-01,33
1963-08-01,33
1963-09-01,33
1963-10-01,32.9
1963-11-01,33.1
1963-12-01,33.1
1964-01-01,33.2
1964-02-01,33.1
1964-03-01,33.1
1964-04-01,33.1
1964-05-01,33.2
1964-06-01,33.2
1964-07-01,33.2
1964-08-01,33.2
1964-09-01,33.3
1964-10-01,33.3
1964-11-01,33.4
1964-12-01,33.4
1965-01-01,33.4
1965-02-01,33.4
1965-03-01,33.4
1965-04-01,33.6
1965-05-01,33.8
1965-06-01,34.1
1965-07-01,34
1965-08-01,34
1965-09-01,34
1965-10-01,34
1965-11-01,34.1
1965-12-01,34.3
1966-01-01,34.4
1966-02-01,34.7
1966-03-01,34.9
1966-04-01,35
1966-05-01,35
1966-06-01,35
1966-07-01,35
1966-08-01,35.2
1966-09-01,35.3
1966-10-01,35.4
1966-11-01,35.4
1966-12-01,35.4
1967-01-01,35.4
1967-02-01,35.4
1967-03-01,35.5
1967-04-01,35.5
1967-05-01,35.5
1967-06-01,35.6
1967-07-01,35.8
1967-08-01,35.9
1967-09-01,36
1967-10-01,36.1
1967-11-01,36.2
1967-12-01,36.2
1968-01-01,36.4
1968-02-01,36.5
1968-03-01,36.7
1968-04-01,36.8
1968-05-01,36.9
1968-06-01,37
1968-07-01,37.1
1968-08-01,37.3
1968-09-01,37.5
1968-10-01,37.7
1968-11-01,37.8
1968-12-01,37.9
1969-01-01,38
1969-02-01,38
1969-03-01,38.2
1969-04-01,38.4
1969-05-01,38.5
1969-06-01,38.9
1969-07-01,39
1969-08-01,39.2
1969-09-01,39.4
1969-10-01,39.5
1969-11-01,39.8
1969-12-01,40
1970-01-01,40.2
1970-02-01,40.3
1970-03-01,40.4
1970-04-01,40.5
1970-05-01,40.7
1970-06-01,40.7
1970-07-01,40.8
1970-08-01,40.9
1970-09-01,41
1970-10-01,41.2
1970-11-01,41.3
1970-12-01,41.3
1971-01-01,41.4
1971-02-01,41.4
1971-03-01,41.6
1971-04-01,41.8
1971-05-01,41.9
1971-06-01,42.1
1971-07-01,42.2
1971-08-01,42.4
1971-09-01,42.4
1971-10-01,42.5
1971-11-01,42.6
1971-12-01,42.8
1972-01-01,42.8
1972-02-01,43
1972-03-01,43.1
1972-04-01,43.1
1972-05-01,43.2
1972-06-01,43.3
1972-07-01,43.4
1972-08-01,43.5
1972-09-01,43.8
1972-10-01,44
1972-11-01,44.2
1972-12-01,44.3
1973-01-01,44.8
1973-02-01,45.2
1973-03-01,45.8
1973-04-01,46.4
1973-05-01,46.7
1973-06-01,47.2
1973-07-01,47.3
1973-08-01,48.8
1973-09-01,48.7
1973-10-01,49.1
1973-11-01,49.7
1973-12-01,50.2
1974-01-01,51
1974-02-01,51.9
1974-03-01,52.6
1974-04-01,52.9
1974-05-01,53.3
1974-06-01,53.7
1974-07-01,53.8
1974-08-01,54.6
1974-09-01,55.3
1974-10-01,55.7
1974-11-01,56.2
1974-12-01,56.7
1975-01-01,57
1975-02-01,57.2
1975-03-01,57.2
1975-04-01,57.3
1975-05-01,57.3
1975-06-01,57.7
1975-07-01,58.7
1975-08-01,58.8
1975-09-01,59.1
1975-10-01,59.5
1975-11-01,59.8
1975-12-01,60.2
1976-01-01,60.2
1976-02-01,59.8
1976-03-01,59.6
1976-04-01,59.6
1976-05-01,59.8
1976-06-01,60
1976-07-01,60.4
1976-08-01,60.7
1976-09-01,61
1976-10-01,61.3
1976-11-01,61.6
1976-12-01,61.9
1977-01-01,62
1977-02-01,62.5
1977-03-01,62.7
1977-04-01,63.1
1977-05-01,63.4
1977-06-01,63.9
1977-07-01,64.2
1977-08-01,64.5
1977-09-01,64.7
1977-10-01,65.1
1977-11-01,65.7
1977-12-01,66
1978-01-01,65.9
1978-02-01,66.1
1978-03-01,66.6
1978-04-01,67.2
1978-05-01,68
1978-06-01,68.7
1978-07-01,69.1
1978-08-01,69.4
1978-09-01,69.8
1978-10-01,70.5
1978-11-01,71
1978-12-01,71.6
1979-01-01,72.2
1979-02-01,72.9
1979-03-01,73.9
1979-04-01,74.7
1979-05-01,75.8
1979-06-01,76.8
1979-07-01,77.8
1979-08-01,78.6
1979-09-01,79.7
1979-10-01,80.5
1979-11-01,81.1
1979-12-01,82.2
1980-01-01,83.3
1980-02-01,84.4
1980-03-01,85.8
1980-04-01,86.2
1980-05-01,86.6
1980-06-01,87.1
1980-07-01,87.7
1980-08-01,88.6
1980-09-01,89.3
1980-10-01,89.9
1980-11-01,90.7
1980-12-01,91.4
1981-01-01,92.2
1981-02-01,93.6
1981-03-01,94.7
1981-04-01,94.6
1981-05-01,94.7
1981-06-01,94.9
1981-07-01,95.4
1981-08-01,95.7
1981-09-01,96.2
1981-10-01,96.4
1981-11-01,96.7
1981-12-01,97
1982-01-01,96.8
1982-02-01,97.1
1982-03-01,96.8
1982-04-01,96.3
1982-05-01,96.8
1982-06-01,98.1
1982-07-01,98.6
1982-08-01,98.5
1982-09-01,98.7
1982-10-01,98.8
1982-11-01,98.8
1982-12-01,98.6
1983-01-01,98.4
1983-02-01,98.2
1983-03-01,98.1
1983-04-01,99.1
1983-05-01,99.8
1983-06-01,100
1983-07-01,100.2
1983-08-01,100.5
1983-09-01,100.7
1983-10-01,100.7
1983-11-01,100.5
1983-12-01,100.5
1984-01-01,101.2
1984-02-01,102
1984-03-01,102.1
1984-04-01,102.3
1984-05-01,102.3
1984-06-01,102.2
1984-07-01,102.2
1984-08-01,102.6
1984-09-01,103
1984-10-01,103.2
1984-11-01,103.1
1984-12-01,103.1
1985-01-01,103
1985-02-01,103.4
1985-03-01,104
1985-04-01,104.6
1985-05-01,104.8
1985-06-01,105
1985-07-01,104.9
1985-08-01,105
1985-09-01,105.3
1985-10-01,105.5
1985-11-01,106
1985-12-01,106.3
1986-01-01,106.4
1986-02-01,105.2
1986-03-01,103.5
1986-04-01,102.3
1986-05-01,102.7
1986-06-01,103
1986-07-01,102.6
1986-08-01,102.7
1986-09-01,103.5
1986-10-01,103.3
1986-11-01,103.4
