"Date","APUA21472601"
1978-11-01,9.006
1978-12-01,8.938
1979-01-01,8.987
1979-02-01,9.822
1979-03-01,NA
1979-04-01,9.708
1979-05-01,10.268
1979-06-01,10.228
1979-07-01,10.004
1979-08-01,9.974
1979-09-01,9.954
1979-10-01,10.042
1979-11-01,10.226
1979-12-01,10.289
1980-01-01,10.774
1980-02-01,11.238
1980-03-01,11.202
1980-04-01,11.132
1980-05-01,12.671
1980-06-01,12.628
1980-07-01,12.632
1980-08-01,12.632
1980-09-01,12.544
1980-10-01,12.848
1980-11-01,13.492
1980-12-01,13.26
1981-01-01,13.405
1981-02-01,13.897
1981-03-01,13.949
1981-04-01,14.002
1981-05-01,14.875
1981-06-01,15.173
1981-07-01,15.117
1981-08-01,14.703
1981-09-01,14.619
1981-10-01,14.743
1981-11-01,17.659
1981-12-01,17.571
1982-01-01,19.181
1982-02-01,19.443
1982-03-01,19.583
1982-04-01,19.63
1982-05-01,21.068
1982-06-01,20.76
1982-07-01,20.679
1982-08-01,20.497
1982-09-01,21.659
1982-10-01,21.851
1982-11-01,25.296
1982-12-01,25.459
1983-01-01,26.117
1983-02-01,26.327
1983-03-01,26.149
1983-04-01,26.595
1983-05-01,24.909
1983-06-01,22.948
1983-07-01,22.697
1983-08-01,22.951
1983-09-01,22.93
1983-10-01,23.595
1983-11-01,23.842
1983-12-01,24.068
1984-01-01,24.302
1984-02-01,24.415
1984-03-01,24.196
1984-04-01,24.393
1984-05-01,24.096
1984-06-01,23.914
1984-07-01,22.945
1984-08-01,23.78
1984-09-01,23.877
1984-10-01,23.817
1984-11-01,23.545
1984-12-01,23.548
1985-01-01,22.675
1985-02-01,22.691
1985-03-01,22.211
1985-04-01,22.162
1985-05-01,20.443
1985-06-01,20.388
1985-07-01,20.483
1985-08-01,20.32
1985-09-01,NA
1985-10-01,20.589
1985-11-01,20.48
1985-12-01,20.204
1986-01-01,20.179
1986-02-01,20.194
1986-03-01,20.136
1986-04-01,20.112
1986-05-01,19.594
1986-06-01,18.534
1986-07-01,18.836
1986-08-01,18.913
1986-09-01,19.013
1986-10-01,19.048
1986-11-01,20.569
1986-12-01,20.882
