"Date","APUA2127471A"
1978-01-01,0.594
1978-02-01,0.594
1978-03-01,0.591
1978-04-01,0.592
1978-05-01,0.597
1978-06-01,0.602
1978-07-01,0.611
1978-08-01,0.621
1978-09-01,0.631
1978-10-01,0.632
1978-11-01,0.633
1978-12-01,0.642
1979-01-01,0.653
1979-02-01,0.664
1979-03-01,0.689
1979-04-01,0.721
1979-05-01,0.762
1979-06-01,0.833
1979-07-01,0.881
1979-08-01,0.938
1979-09-01,0.959
1979-10-01,0.964
1979-11-01,0.984
1979-12-01,1.005
1980-01-01,1.066
1980-02-01,1.124
1980-03-01,1.18
1980-04-01,1.192
1980-05-01,1.204
1980-06-01,1.195
1980-07-01,1.188
1980-08-01,1.177
1980-09-01,1.162
1980-10-01,1.153
1980-11-01,1.162
1980-12-01,1.174
1981-01-01,1.221
1981-02-01,1.299
1981-03-01,1.334
1981-04-01,1.319
1981-05-01,1.304
1981-06-01,1.288
1981-07-01,1.273
1981-08-01,1.305
1981-09-01,1.316
1981-10-01,1.318
1981-11-01,1.32
1981-12-01,1.319
1982-01-01,1.321
1982-02-01,1.311
1982-03-01,1.262
1982-04-01,1.178
1982-05-01,1.201
1982-06-01,1.299
1982-07-01,1.319
1982-08-01,1.311
1982-09-01,1.297
1982-10-01,1.283
1982-11-01,1.27
1982-12-01,1.253
1983-01-01,1.214
1983-02-01,1.157
1983-03-01,1.138
1983-04-01,1.186
1983-05-01,1.242
1983-06-01,1.25
1983-07-01,1.255
1983-08-01,1.267
1983-09-01,1.253
1983-10-01,1.242
1983-11-01,1.225
1983-12-01,1.195
1984-01-01,1.218
1984-02-01,1.173
1984-03-01,1.201
1984-04-01,1.217
1984-05-01,1.212
1984-06-01,1.203
1984-07-01,1.183
1984-08-01,1.168
1984-09-01,1.184
1984-10-01,1.195
1984-11-01,1.188
1984-12-01,1.167
1985-01-01,1.117
1985-02-01,1.097
1985-03-01,1.149
1985-04-01,1.198
1985-05-01,1.221
1985-06-01,1.235
1985-07-01,1.235
1985-08-01,1.228
1985-09-01,1.197
1985-10-01,1.168
1985-11-01,1.204
1985-12-01,1.2
1986-01-01,1.165
1986-02-01,1.041
1986-03-01,0.871
1986-04-01,0.822
1986-05-01,0.93
1986-06-01,0.976
1986-07-01,0.833
1986-08-01,0.812
1986-09-01,0.858
1986-10-01,0.813
1986-11-01,0.818
1986-12-01,0.836
