"Date","CUUR0200SETA02"
1977-12-01,51.1
1978-01-01,50.9
1978-02-01,50.9
1978-03-01,51.6
1978-04-01,53.1
1978-05-01,55.3
1978-06-01,57.3
1978-07-01,58.6
1978-08-01,58.9
1978-09-01,58.6
1978-10-01,58.5
1978-11-01,58.3
1978-12-01,58.1
1979-01-01,57.9
1979-02-01,57.9
1979-03-01,58.5
1979-04-01,59.9
1979-05-01,61.5
1979-06-01,62.6
1979-07-01,62.7
1979-08-01,62
1979-09-01,60.8
1979-10-01,59.9
1979-11-01,59.5
1979-12-01,59.4
1980-01-01,59.1
1980-02-01,58.5
1980-03-01,58.5
1980-04-01,58.9
1980-05-01,59.7
1980-06-01,60.2
1980-07-01,60.9
1980-08-01,61.9
1980-09-01,64.3
1980-10-01,66.7
1980-11-01,69.2
1980-12-01,70.2
1981-01-01,70.1
1981-02-01,70.2
1981-03-01,70.5
1981-04-01,71.6
1981-05-01,73.5
1981-06-01,75.8
1981-07-01,78
1981-08-01,80
1981-09-01,81.7
1981-10-01,83.4
1981-11-01,84.3
1981-12-01,84.4
1982-01-01,84
1982-02-01,83.8
1982-03-01,84.1
1982-04-01,85.4
1982-05-01,87.3
1982-06-01,89.3
1982-07-01,90.6
1982-08-01,91.1
1982-09-01,91.2
1982-10-01,91.9
1982-11-01,93
1982-12-01,93.6
1983-01-01,93.1
1983-02-01,92.6
1983-03-01,92.6
1983-04-01,93.6
1983-05-01,94.9
1983-06-01,96.6
1983-07-01,98.7
1983-08-01,100.9
1983-09-01,103
1983-10-01,104.9
1983-11-01,106.6
1983-12-01,107
1984-01-01,107
1984-02-01,106.9
1984-03-01,108.4
1984-04-01,110.8
1984-05-01,113.2
1984-06-01,114.4
1984-07-01,114.7
1984-08-01,114.9
1984-09-01,115
1984-10-01,115.2
1984-11-01,114.9
1984-12-01,114.6
1985-01-01,114.6
1985-02-01,115.2
1985-03-01,115.6
1985-04-01,115.7
1985-05-01,115
1985-06-01,113.9
1985-07-01,112.8
1985-08-01,112
1985-09-01,112.1
1985-10-01,112.4
1985-11-01,112.7
1985-12-01,112.5
1986-01-01,112.1
1986-02-01,111
1986-03-01,110
1986-04-01,109.2
1986-05-01,108.9
1986-06-01,108.5
1986-07-01,107.9
1986-08-01,107.2
1986-09-01,107.7
1986-10-01,108
1986-11-01,108.1
1986-12-01,106.8
1987-01-01,106.2
1987-02-01,106.9
1987-03-01,108.7
1987-04-01,111.2
1987-05-01,113.2
1987-06-01,114.5
1987-07-01,115.1
1987-08-01,115.2
1987-09-01,115.7
1987-10-01,115.9
1987-11-01,116.3
1987-12-01,116.2
1988-01-01,115.9
1988-02-01,115.7
1988-03-01,115.8
1988-04-01,116.3
1988-05-01,116.5
1988-06-01,117
1988-07-01,117.3
1988-08-01,118.5
1988-09-01,118.7
1988-10-01,119.2
1988-11-01,118.9
1988-12-01,119.5
1989-01-01,119.8
1989-02-01,119.9
1989-03-01,119.8
1989-04-01,120
1989-05-01,120.3
1989-06-01,120.6
1989-07-01,120.2
1989-08-01,119.3
1989-09-01,118.8
1989-10-01,118.8
1989-11-01,119.1
1989-12-01,118.6
1990-01-01,117.8
1990-02-01,116.3
1990-03-01,115.4
1990-04-01,115
1990-05-01,115.5
1990-06-01,116
1990-07-01,116.6
1990-08-01,116.6
1990-09-01,116.7
1990-10-01,116.5
1990-11-01,115.7
1990-12-01,115.5
1991-01-01,114.6
1991-02-01,113.6
1991-03-01,112.9
1991-04-01,113.4
1991-05-01,115.3
1991-06-01,117.1
1991-07-01,118.5
1991-08-01,118.2
1991-09-01,118.1
1991-10-01,118.5
1991-11-01,118.8
1991-12-01,118.5
1992-01-01,116.3
1992-02-01,114.7
1992-03-01,114.4
1992-04-01,116.5
1992-05-01,119.1
1992-06-01,121.5
1992-07-01,123.2
1992-08-01,124.7
1992-09-01,126.1
1992-10-01,127.6
1992-11-01,128.5
1992-12-01,127.8
1993-01-01,126.2
1993-02-01,124.9
1993-03-01,125.5
1993-04-01,127.6
1993-05-01,130.4
1993-06-01,133.1
1993-07-01,134.9
1993-08-01,136.2
1993-09-01,137.3
1993-10-01,138.5
1993-11-01,139.5
1993-12-01,138.2
1994-01-01,135.9
1994-02-01,133.4
1994-03-01,132.9
1994-04-01,134.7
1994-05-01,137.5
1994-06-01,140.4
1994-07-01,142.3
1994-08-01,143.8
1994-09-01,145.3
1994-10-01,147.7
1994-11-01,150.1
1994-12-01,151.5
1995-01-01,152.6
1995-02-01,153.8
1995-03-01,155.6
1995-04-01,157.5
1995-05-01,158.7
1995-06-01,159.4
