"Date","APUS12A7471A"
1978-01-01,0.647
1978-02-01,0.646
1978-03-01,0.645
1978-04-01,0.645
1978-05-01,0.647
1978-06-01,0.653
1978-07-01,0.659
1978-08-01,0.669
1978-09-01,0.678
1978-10-01,0.679
1978-11-01,0.684
1978-12-01,0.695
1979-01-01,0.704
1979-02-01,0.72
1979-03-01,0.742
1979-04-01,0.791
1979-05-01,0.836
1979-06-01,0.905
1979-07-01,0.979
1979-08-01,1.01
1979-09-01,1.041
1979-10-01,1.046
1979-11-01,1.058
1979-12-01,1.08
1980-01-01,1.154
1980-02-01,1.24
1980-03-01,1.286
1980-04-01,1.298
1980-05-01,1.291
1980-06-01,1.293
1980-07-01,1.289
1980-08-01,1.282
1980-09-01,1.274
1980-10-01,1.264
1980-11-01,1.255
1980-12-01,1.266
1981-01-01,1.309
1981-02-01,1.402
1981-03-01,1.44
1981-04-01,1.433
1981-05-01,1.418
1981-06-01,1.411
1981-07-01,1.398
1981-08-01,1.393
1981-09-01,1.402
1981-10-01,1.398
1981-11-01,1.396
1981-12-01,1.392
1982-01-01,1.389
1982-02-01,1.371
1982-03-01,1.316
1982-04-01,1.254
1982-05-01,1.246
1982-06-01,1.302
1982-07-01,1.329
1982-08-01,1.328
1982-09-01,1.328
1982-10-01,1.324
1982-11-01,1.321
1982-12-01,1.312
1983-01-01,1.29
1983-02-01,1.253
1983-03-01,1.203
1983-04-01,1.249
1983-05-01,1.273
1983-06-01,1.28
1983-07-01,1.29
1983-08-01,1.292
1983-09-01,1.26
1983-10-01,1.251
1983-11-01,1.241
1983-12-01,1.222
1984-01-01,1.219
1984-02-01,1.221
1984-03-01,1.215
1984-04-01,1.213
1984-05-01,1.212
1984-06-01,1.209
1984-07-01,1.201
1984-08-01,1.18
1984-09-01,1.185
1984-10-01,1.181
1984-11-01,1.176
1984-12-01,1.176
1985-01-01,1.168
1985-02-01,1.162
1985-03-01,1.174
1985-04-01,1.198
1985-05-01,1.216
1985-06-01,1.239
1985-07-01,1.244
1985-08-01,1.241
1985-09-01,1.231
1985-10-01,1.232
1985-11-01,1.24
1985-12-01,1.247
1986-01-01,1.242
1986-02-01,1.198
1986-03-01,1.067
1986-04-01,0.911
1986-05-01,0.907
1986-06-01,0.949
1986-07-01,0.902
1986-08-01,0.862
1986-09-01,0.864
1986-10-01,0.856
1986-11-01,0.843
