"Date","APUS00072620"
1987-01-01,0.57
1987-02-01,0.571
1987-03-01,0.566
1987-04-01,0.563
1987-05-01,0.61
1987-06-01,0.606
1987-07-01,0.582
1987-08-01,0.606
1987-09-01,0.596
1987-10-01,0.59
1987-11-01,0.553
1987-12-01,0.547
1988-01-01,0.556
1988-02-01,0.561
1988-03-01,0.557
1988-04-01,0.557
1988-05-01,0.607
1988-06-01,0.597
1988-07-01,0.594
1988-08-01,0.59
1988-09-01,0.592
1988-10-01,0.6
1988-11-01,0.566
1988-12-01,0.563
1989-01-01,0.579
1989-02-01,0.581
1989-03-01,0.583
1989-04-01,0.58
1989-05-01,0.602
1989-06-01,0.602
1989-07-01,0.603
1989-08-01,0.605
1989-09-01,0.598
1989-10-01,0.609
1989-11-01,0.59
1989-12-01,0.596
1990-01-01,0.602
1990-02-01,0.61
1990-03-01,0.603
1990-04-01,0.568
1990-05-01,0.584
1990-06-01,0.599
1990-07-01,0.582
1990-08-01,0.586
1990-09-01,0.592
1990-10-01,0.6
1990-11-01,0.601
1990-12-01,0.605
1991-01-01,0.624
1991-02-01,0.611
1991-03-01,0.606
1991-04-01,0.59
1991-05-01,0.607
1991-06-01,0.591
1991-07-01,0.596
1991-08-01,0.591
1991-09-01,0.595
1991-10-01,0.604
1991-11-01,0.61
1991-12-01,0.609
1992-01-01,0.615
1992-02-01,0.609
1992-03-01,0.561
1992-04-01,0.576
1992-05-01,0.579
1992-06-01,0.583
1992-07-01,0.586
1992-08-01,0.579
1992-09-01,0.606
1992-10-01,0.614
1992-11-01,0.624
1992-12-01,0.621
1993-01-01,0.625
1993-02-01,0.617
1993-03-01,0.613
1993-04-01,0.62
1993-05-01,0.633
1993-06-01,0.643
1993-07-01,0.644
1993-08-01,0.647
1993-09-01,0.652
1993-10-01,0.657
1993-11-01,0.651
1993-12-01,0.667
1994-01-01,0.668
1994-02-01,0.667
1994-03-01,0.673
1994-04-01,0.671
1994-05-01,0.653
1994-06-01,0.646
1994-07-01,0.642
1994-08-01,0.644
1994-09-01,0.64
1994-10-01,0.637
1994-11-01,0.638
1994-12-01,0.651
1995-01-01,0.651
1995-02-01,0.646
1995-03-01,0.633
1995-04-01,0.631
1995-05-01,0.616
1995-06-01,0.612
1995-07-01,0.612
1995-08-01,0.608
1995-09-01,0.609
1995-10-01,0.604
1995-11-01,0.599
1995-12-01,0.632
1996-01-01,0.638
1996-02-01,0.642
1996-03-01,0.621
1996-04-01,0.631
1996-05-01,0.655
1996-06-01,0.656
1996-07-01,0.658
1996-08-01,0.659
1996-09-01,0.655
1996-10-01,0.652
1996-11-01,0.676
1996-12-01,0.694
1997-01-01,0.735
1997-02-01,0.741
1997-03-01,0.698
1997-04-01,0.669
1997-05-01,0.651
1997-06-01,0.669
1997-07-01,0.674
1997-08-01,0.665
1997-09-01,0.68
1997-10-01,0.69
1997-11-01,0.724
1997-12-01,0.713
1998-01-01,0.705
1998-02-01,0.684
1998-03-01,0.685
1998-04-01,0.687
1998-05-01,0.696
1998-06-01,0.676
1998-07-01,0.671
1998-08-01,0.674
1998-09-01,0.671
1998-10-01,0.674
1998-11-01,0.692
1998-12-01,0.698
1999-01-01,0.692
1999-02-01,0.674
1999-03-01,0.657
1999-04-01,0.658
1999-05-01,0.658
1999-06-01,0.669
1999-07-01,0.678
1999-08-01,0.685
1999-09-01,0.708
1999-10-01,0.709
1999-11-01,0.723
1999-12-01,0.707
2000-01-01,0.706
2000-02-01,0.709
2000-03-01,0.704
2000-04-01,0.724
2000-05-01,0.73
2000-06-01,0.775
2000-07-01,0.815
2000-08-01,0.804
2000-09-01,0.86
2000-10-01,0.912
2000-11-01,0.923
2000-12-01,0.981
2001-01-01,1.147
2001-02-01,1.142
2001-03-01,1.105
2001-04-01,1.065
2001-05-01,1.019
2001-06-01,0.95
2001-07-01,0.886
2001-08-01,0.853
2001-09-01,0.808
2001-10-01,0.763
2001-11-01,0.8
2001-12-01,0.793
2002-01-01,0.795
2002-02-01,0.758
2002-03-01,0.757
2002-04-01,0.785
2002-05-01,0.779
2002-06-01,0.775
2002-07-01,0.781
2002-08-01,0.777
2002-09-01,0.783
2002-10-01,0.804
2002-11-01,0.846
2002-12-01,0.847
2003-01-01,0.884
2003-02-01,0.91
2003-03-01,1.033
2003-04-01,1.004
2003-05-01,0.975
2003-06-01,1.002
2003-07-01,0.996
2003-08-01,0.987
2003-09-01,0.992
2003-10-01,0.985
2003-11-01,0.997
2003-12-01,1.008
2004-01-01,1.043
2004-02-01,1.032
2004-03-01,1
2004-04-01,1.012
2004-05-01,1.018
2004-06-01,1.057
2004-07-01,1.071
2004-08-01,1.075
2004-09-01,1.046
2004-10-01,1.066
2004-11-01,1.167
2004-12-01,1.17
2005-01-01,1.158
2005-02-01,1.125
2005-03-01,1.108
2005-04-01,1.177
2005-05-01,1.17
2005-06-01,1.138
2005-07-01,1.19
2005-08-01,1.206
2005-09-01,1.349
2005-10-01,1.553
2005-11-01,1.565
2005-12-01,1.517
2006-01-01,1.555
2006-02-01,1.423
2006-03-01,1.342
2006-04-01,1.29
2006-05-01,1.277
2006-06-01,1.212
2006-07-01,1.222
2006-08-01,1.233
2006-09-01,1.252
2006-10-01,1.148
2006-11-01,1.267
2006-12-01,1.307
2007-01-01,1.289
2007-02-01,1.296
2007-03-01,1.329
2007-04-01,1.318
2007-05-01,1.311
2007-06-01,1.315
2007-07-01,1.294
2007-08-01,1.238
2007-09-01,1.214
2007-10-01,1.229
2007-11-01,1.292
2007-12-01,1.298
2008-01-01,1.298
2008-02-01,1.335
2008-03-01,1.387
2008-04-01,1.453
2008-05-01,1.541
2008-06-01,1.602
2008-07-01,1.741
2008-08-01,1.608
2008-09-01,1.442
2008-10-01,1.41
2008-11-01,1.402
2008-12-01,1.372
2009-01-01,1.335
2009-02-01,1.286
2009-03-01,1.212
2009-04-01,1.14
2009-05-01,1.067
2009-06-01,1.08
2009-07-01,1.1
2009-08-01,1.086
2009-09-01,1.046
2009-10-01,1.066
2009-11-01,1.146
2009-12-01,1.141
2010-01-01,1.201
2010-02-01,1.209
2010-03-01,1.173
2010-04-01,1.122
2010-05-01,1.101
2010-06-01,1.105
2010-07-01,1.142
2010-08-01,1.126
2010-09-01,1.084
2010-10-01,1.091
2010-11-01,1.087
2010-12-01,1.105
2011-01-01,1.113
2011-02-01,1.124
2011-03-01,1.103
2011-04-01,1.106
2011-05-01,1.088
2011-06-01,1.097
2011-07-01,1.11
2011-08-01,1.109
2011-09-01,1.093
2011-10-01,1.069
2011-11-01,1.065
2011-12-01,1.053
2012-01-01,1.035
2012-02-01,0.991
2012-03-01,0.987
2012-04-01,0.959
2012-05-01,0.918
2012-06-01,0.945
2012-07-01,0.961
2012-08-01,0.98
2012-09-01,0.974
2012-10-01,0.984
2012-11-01,1.019
2012-12-01,1.029
2013-01-01,1.018
2013-02-01,1.019
2013-03-01,1.017
2013-04-01,1.05
2013-05-01,1.064
2013-06-01,1.068
2013-07-01,1.057
2013-08-01,1.032
2013-09-01,1.029
2013-10-01,1.025
2013-11-01,1.019
2013-12-01,1.02
2014-01-01,1.068
2014-02-01,1.1
2014-03-01,1.2
2014-04-01,1.19
2014-05-01,1.149
2014-06-01,1.118
2014-07-01,1.123
2014-08-01,1.089
2014-09-01,1.08
2014-10-01,1.047
2014-11-01,1.043
2014-12-01,1.072
2015-01-01,1.048
2015-02-01,1.01
2015-03-01,0.993
2015-04-01,0.959
2015-05-01,0.95
2015-06-01,0.958
2015-07-01,0.95
2015-08-01,0.952
2015-09-01,0.941
2015-10-01,0.931
2015-11-01,0.924
2015-12-01,0.906
2016-01-01,0.911
2016-02-01,0.909
2016-03-01,0.908
2016-04-01,0.908
2016-05-01,0.9
2016-06-01,0.919
2016-07-01,0.961
2016-08-01,0.974
2016-09-01,0.99
2016-10-01,0.998
2016-11-01,1.002
2016-12-01,1.005
2017-01-01,1.031
2017-02-01,1.035
2017-03-01,1.024
2017-04-01,1.037
2017-05-01,1.087
2017-06-01,1.096
2017-07-01,1.083
2017-08-01,1.076
2017-09-01,1.063
2017-10-01,1.063
2017-11-01,1.068
2017-12-01,1.085
2018-01-01,1.066
2018-02-01,1.099
2018-03-01,1.072
2018-04-01,1.06
2018-05-01,1.103
2018-06-01,1.099
2018-07-01,1.106
2018-08-01,1.142
2018-09-01,1.079
2018-10-01,1.069
2018-11-01,1.051
2018-12-01,1.137
2019-01-01,1.138
2019-02-01,1.115
2019-03-01,1.111
2019-04-01,1.084
2019-05-01,1.091
2019-06-01,1.095
2019-07-01,1.098
2019-08-01,1.101
2019-09-01,1.072
2019-10-01,1.096
2019-11-01,1.067
2019-12-01,1.055
2020-01-01,1.08
2020-02-01,1.059
2020-03-01,1.036
2020-04-01,1.047
2020-05-01,1.076
2020-06-01,1.08
2020-07-01,1.081
2020-08-01,1.074
2020-09-01,1.099
2020-10-01,1.108
2020-11-01,1.118
2020-12-01,1.123
2021-01-01,1.134
2021-02-01,1.139
2021-03-01,1.157
2021-04-01,1.194
2021-05-01,1.233
2021-06-01,1.256
2021-07-01,1.276
2021-08-01,1.294
2021-09-01,1.33
2021-10-01,1.411
2021-11-01,1.401
2021-12-01,1.415
2022-01-01,1.434
2022-02-01,1.412
2022-03-01,1.441
2022-04-01,1.466
2022-05-01,1.637
2022-06-01,1.797
2022-07-01,1.723
2022-08-01,1.787
2022-09-01,1.811
2022-10-01,1.759
2022-11-01,1.655
2022-12-01,1.68
2023-01-01,2.049
2023-02-01,1.638
2023-03-01,1.489
2023-04-01,1.431
2023-05-01,1.422
2023-06-01,1.403
2023-07-01,1.435
2023-08-01,1.448
2023-09-01,1.437
2023-10-01,1.441
2023-11-01,1.471
