"Date","APU0400710411"
1980-01-01,1.672
1980-02-01,1.609
1980-03-01,1.64
1980-04-01,1.707
1980-05-01,1.702
1980-06-01,1.769
1980-07-01,1.757
1980-08-01,1.779
1980-09-01,1.784
1980-10-01,1.781
1980-11-01,1.845
1980-12-01,1.846
1981-01-01,1.88
1981-02-01,1.896
1981-03-01,1.912
1981-04-01,2.026
1981-05-01,2.06
1981-06-01,2.068
1981-07-01,2.072
1981-08-01,2.047
1981-09-01,2.048
1981-10-01,2.085
1981-11-01,2.055
1981-12-01,2.068
1982-01-01,2.05
1982-02-01,2.065
1982-03-01,2.161
1982-04-01,2.184
1982-05-01,2.151
1982-06-01,2.19
1982-07-01,2.19
1982-08-01,2.181
1982-09-01,2.242
1982-10-01,2.338
1982-11-01,2.234
1982-12-01,2.263
1983-01-01,2.266
1983-02-01,2.255
1983-03-01,2.217
1983-04-01,2.245
1983-05-01,2.237
1983-06-01,2.247
1983-07-01,2.234
1983-08-01,2.311
1983-09-01,2.354
1983-10-01,2.367
1983-11-01,2.311
1983-12-01,2.324
1984-01-01,2.33
1984-02-01,2.33
1984-03-01,2.305
1984-04-01,2.383
1984-05-01,2.373
1984-06-01,2.392
1984-07-01,2.366
1984-08-01,2.36
1984-09-01,2.372
1984-10-01,2.381
1984-11-01,2.358
1984-12-01,2.424
1985-01-01,2.424
1985-02-01,2.356
1985-03-01,2.481
1985-04-01,2.48
1985-05-01,2.511
1985-06-01,2.476
1985-07-01,2.408
1985-08-01,2.387
1985-09-01,2.447
1985-10-01,2.495
1985-11-01,2.476
1985-12-01,2.372
1986-01-01,2.409
1986-02-01,2.403
1986-03-01,2.446
1986-04-01,2.468
1986-05-01,2.43
1986-06-01,2.326
1986-07-01,2.515
1986-08-01,2.359
1986-09-01,2.389
1986-10-01,2.429
1986-11-01,2.505
1986-12-01,2.489
1987-01-01,NA
1987-02-01,2.489
1987-03-01,2.441
1987-04-01,2.428
1987-05-01,2.488
1987-06-01,2.489
1987-07-01,2.454
1987-08-01,2.525
1987-09-01,2.476
1987-10-01,2.5
1987-11-01,2.463
1987-12-01,2.465
1988-01-01,2.534
1988-02-01,2.574
1988-03-01,2.413
1988-04-01,2.466
1988-05-01,2.436
1988-06-01,2.422
1988-07-01,2.354
1988-08-01,2.336
1988-09-01,2.379
1988-10-01,2.427
