"Date","CUURA423SANL11"
1975-11-01,54.1
1975-12-01,NA
1976-01-01,NA
1976-02-01,54.5
1976-03-01,NA
1976-04-01,NA
1976-05-01,55.7
1976-06-01,NA
1976-07-01,NA
1976-08-01,56.1
1976-09-01,NA
1976-10-01,NA
1976-11-01,57.1
1976-12-01,NA
1977-01-01,NA
1977-02-01,58
1977-03-01,NA
1977-04-01,NA
1977-05-01,58.9
1977-06-01,NA
1977-07-01,NA
1977-08-01,59.5
1977-09-01,NA
1977-10-01,NA
1977-11-01,60.5
1977-12-01,NA
1978-01-01,60.7
1978-02-01,NA
1978-03-01,60.8
1978-04-01,NA
1978-05-01,61.8
1978-06-01,NA
1978-07-01,62.5
1978-08-01,NA
1978-09-01,63.7
1978-10-01,NA
1978-11-01,64
1978-12-01,NA
1979-01-01,64.5
1979-02-01,NA
1979-03-01,66.9
1979-04-01,NA
1979-05-01,70
1979-06-01,NA
1979-07-01,73.9
1979-08-01,NA
1979-09-01,78.4
1979-10-01,NA
1979-11-01,80.1
1979-12-01,NA
1980-01-01,82.1
1980-02-01,NA
1980-03-01,87.6
1980-04-01,NA
1980-05-01,88.2
1980-06-01,NA
1980-07-01,89.3
1980-08-01,NA
1980-09-01,90.8
1980-10-01,NA
1980-11-01,90.7
1980-12-01,NA
1981-01-01,91.9
1981-02-01,NA
1981-03-01,96.2
1981-04-01,NA
1981-05-01,97.1
1981-06-01,NA
1981-07-01,98.7
1981-08-01,NA
1981-09-01,99.4
1981-10-01,NA
1981-11-01,99.3
1981-12-01,NA
1982-01-01,98.8
1982-02-01,NA
1982-03-01,98.4
1982-04-01,NA
1982-05-01,97.1
1982-06-01,NA
1982-07-01,99
1982-08-01,NA
1982-09-01,100.3
1982-10-01,NA
1982-11-01,99.9
1982-12-01,NA
1983-01-01,97.4
1983-02-01,NA
1983-03-01,95
1983-04-01,NA
1983-05-01,98.4
1983-06-01,NA
1983-07-01,101.9
1983-08-01,NA
1983-09-01,103.1
1983-10-01,NA
1983-11-01,101.2
1983-12-01,NA
1984-01-01,99.4
1984-02-01,NA
1984-03-01,99.6
1984-04-01,NA
1984-05-01,102.1
1984-06-01,NA
1984-07-01,101.9
1984-08-01,NA
1984-09-01,102.6
1984-10-01,NA
1984-11-01,103.1
1984-12-01,NA
1985-01-01,102.6
1985-02-01,NA
1985-03-01,103.7
1985-04-01,NA
1985-05-01,103.8
1985-06-01,NA
1985-07-01,105.3
1985-08-01,NA
1985-09-01,104.9
1985-10-01,NA
1985-11-01,104.5
1985-12-01,NA
1986-01-01,103.7
1986-02-01,NA
1986-03-01,98.4
1986-04-01,NA
1986-05-01,96
1986-06-01,NA
1986-07-01,96.2
1986-08-01,NA
1986-09-01,96.1
1986-10-01,NA
1986-11-01,93.4
1986-12-01,92.8
1987-01-01,NA
1987-02-01,NA
1987-03-01,NA
1987-04-01,NA
1987-05-01,NA
1987-06-01,NA
1987-07-01,NA
1987-08-01,NA
1987-09-01,NA
1987-10-01,NA
1987-11-01,NA
1987-12-01,NA
1988-01-01,NA
1988-02-01,NA
1988-03-01,NA
1988-04-01,NA
1988-05-01,NA
1988-06-01,NA
1988-07-01,NA
1988-08-01,NA
1988-09-01,NA
1988-10-01,NA
1988-11-01,NA
1988-12-01,NA
1989-01-01,NA
1989-02-01,NA
1989-03-01,NA
1989-04-01,NA
1989-05-01,NA
1989-06-01,NA
1989-07-01,NA
1989-08-01,NA
1989-09-01,NA
1989-10-01,NA
1989-11-01,NA
1989-12-01,NA
1990-01-01,NA
1990-02-01,NA
1990-03-01,NA
1990-04-01,NA
1990-05-01,NA
1990-06-01,NA
1990-07-01,NA
1990-08-01,NA
1990-09-01,NA
1990-10-01,NA
1990-11-01,NA
1990-12-01,NA
1991-01-01,NA
1991-02-01,NA
1991-03-01,NA
1991-04-01,NA
1991-05-01,NA
1991-06-01,NA
1991-07-01,NA
1991-08-01,NA
1991-09-01,NA
1991-10-01,NA
1991-11-01,NA
1991-12-01,NA
1992-01-01,NA
1992-02-01,NA
1992-03-01,NA
1992-04-01,NA
1992-05-01,NA
1992-06-01,NA
1992-07-01,NA
1992-08-01,NA
1992-09-01,NA
1992-10-01,NA
1992-11-01,NA
1992-12-01,NA
1993-01-01,NA
1993-02-01,NA
1993-03-01,NA
1993-04-01,NA
1993-05-01,NA
1993-06-01,NA
1993-07-01,NA
1993-08-01,NA
1993-09-01,NA
1993-10-01,NA
1993-11-01,NA
1993-12-01,NA
1994-01-01,NA
1994-02-01,NA
1994-03-01,NA
1994-04-01,NA
1994-05-01,NA
1994-06-01,NA
1994-07-01,NA
1994-08-01,NA
1994-09-01,NA
1994-10-01,NA
1994-11-01,NA
1994-12-01,NA
1995-01-01,NA
1995-02-01,NA
1995-03-01,NA
1995-04-01,NA
1995-05-01,NA
1995-06-01,NA
1995-07-01,NA
1995-08-01,NA
1995-09-01,NA
1995-10-01,NA
1995-11-01,NA
1995-12-01,NA
1996-01-01,NA
1996-02-01,NA
1996-03-01,NA
1996-04-01,NA
1996-05-01,NA
1996-06-01,NA
1996-07-01,NA
1996-08-01,NA
1996-09-01,NA
1996-10-01,NA
1996-11-01,NA
1996-12-01,NA
1997-01-01,NA
1997-02-01,NA
1997-03-01,NA
1997-04-01,NA
1997-05-01,NA
1997-06-01,NA
1997-07-01,NA
1997-08-01,NA
1997-09-01,NA
1997-10-01,NA
1997-11-01,NA
1997-12-01,135.6
1998-01-01,NA
1998-02-01,134.4
1998-03-01,NA
1998-04-01,132.5
1998-05-01,NA
1998-06-01,132.6
1998-07-01,NA
1998-08-01,135.1
1998-09-01,NA
1998-10-01,134.3
1998-11-01,NA
1998-12-01,133.1
1999-01-01,NA
1999-02-01,133.4
1999-03-01,NA
1999-04-01,141.9
1999-05-01,NA
1999-06-01,139.5
1999-07-01,NA
1999-08-01,139.1
1999-09-01,NA
1999-10-01,141.8
1999-11-01,NA
1999-12-01,140.6
2000-01-01,NA
2000-02-01,143.2
2000-03-01,NA
2000-04-01,149.6
2000-05-01,NA
2000-06-01,149.7
2000-07-01,NA
2000-08-01,151.1
2000-09-01,NA
2000-10-01,156.3
2000-11-01,NA
2000-12-01,152.2
2001-01-01,NA
2001-02-01,150.6
2001-03-01,NA
2001-04-01,149.4
2001-05-01,NA
2001-06-01,151.6
2001-07-01,NA
2001-08-01,150.6
2001-09-01,NA
2001-10-01,154.1
2001-11-01,NA
2001-12-01,143.7
2002-01-01,NA
2002-02-01,145.3
2002-03-01,NA
2002-04-01,152
2002-05-01,NA
2002-06-01,153.3
2002-07-01,NA
2002-08-01,154.8
2002-09-01,NA
2002-10-01,153.9
2002-11-01,NA
2002-12-01,150.6
2003-01-01,NA
2003-02-01,157.2
2003-03-01,NA
2003-04-01,159.8
2003-05-01,NA
2003-06-01,153.2
2003-07-01,NA
2003-08-01,157.1
2003-09-01,NA
2003-10-01,156.3
2003-11-01,NA
2003-12-01,149.1
2004-01-01,NA
2004-02-01,154.4
2004-03-01,NA
2004-04-01,164.3
2004-05-01,NA
2004-06-01,171.2
2004-07-01,NA
2004-08-01,165.2
2004-09-01,NA
2004-10-01,169.3
2004-11-01,NA
2004-12-01,161.1
2005-01-01,NA
2005-02-01,162.4
2005-03-01,NA
2005-04-01,178.4
2005-05-01,NA
2005-06-01,171.2
2005-07-01,NA
2005-08-01,178.3
2005-09-01,NA
2005-10-01,184.4
2005-11-01,NA
2005-12-01,171.5
2006-01-01,NA
2006-02-01,168.7
2006-03-01,NA
2006-04-01,185.1
2006-05-01,NA
2006-06-01,189
2006-07-01,NA
2006-08-01,189.3
2006-09-01,NA
2006-10-01,180.6
2006-11-01,NA
2006-12-01,181
2007-01-01,NA
2007-02-01,180.034
2007-03-01,NA
2007-04-01,197.867
2007-05-01,NA
2007-06-01,195.421
2007-07-01,NA
2007-08-01,188.404
2007-09-01,NA
2007-10-01,196.524
2007-11-01,NA
2007-12-01,195.659
2008-01-01,NA
2008-02-01,199.002
2008-03-01,NA
2008-04-01,205.623
2008-05-01,NA
2008-06-01,220.229
2008-07-01,NA
2008-08-01,213.39
2008-09-01,NA
2008-10-01,193.015
2008-11-01,NA
2008-12-01,162.58
2009-01-01,NA
2009-02-01,170.68
2009-03-01,NA
2009-04-01,175.481
2009-05-01,NA
2009-06-01,185.955
2009-07-01,NA
2009-08-01,184.104
2009-09-01,NA
2009-10-01,185.99
2009-11-01,NA
2009-12-01,182.774
2010-01-01,NA
2010-02-01,185.371
2010-03-01,NA
2010-04-01,193.036
2010-05-01,NA
2010-06-01,192.494
2010-07-01,NA
2010-08-01,194.191
2010-09-01,NA
2010-10-01,194.658
2010-11-01,NA
2010-12-01,192.697
2011-01-01,NA
2011-02-01,196.198
2011-03-01,NA
2011-04-01,206.45
2011-05-01,NA
2011-06-01,207.372
2011-07-01,NA
2011-08-01,204.746
2011-09-01,NA
2011-10-01,209.717
2011-11-01,NA
2011-12-01,201.904
2012-01-01,NA
2012-02-01,203.328
2012-03-01,NA
2012-04-01,213.374
2012-05-01,NA
2012-06-01,211.386
2012-07-01,NA
2012-08-01,210.827
2012-09-01,NA
2012-10-01,215.943
2012-11-01,NA
2012-12-01,197.808
2013-01-01,NA
2013-02-01,204.855
2013-03-01,NA
2013-04-01,204.93
2013-05-01,NA
2013-06-01,207.474
2013-07-01,NA
2013-08-01,206.797
2013-09-01,NA
2013-10-01,203.692
2013-11-01,NA
2013-12-01,195.973
2014-01-01,NA
2014-02-01,197.659
2014-03-01,NA
2014-04-01,209.084
2014-05-01,NA
2014-06-01,208.437
2014-07-01,NA
2014-08-01,206.163
2014-09-01,NA
2014-10-01,198.004
2014-11-01,NA
2014-12-01,184.208
2015-01-01,NA
2015-02-01,176.201
2015-03-01,NA
2015-04-01,183.938
2015-05-01,NA
2015-06-01,188.021
2015-07-01,NA
2015-08-01,189.266
2015-09-01,NA
2015-10-01,178.141
2015-11-01,NA
2015-12-01,176.586
2016-01-01,NA
2016-02-01,169.723
2016-03-01,NA
2016-04-01,175.409
2016-05-01,NA
2016-06-01,180.586
2016-07-01,NA
2016-08-01,179.41
2016-09-01,NA
2016-10-01,184.64
2016-11-01,NA
2016-12-01,175.378
2017-01-01,NA
2017-02-01,181.883
2017-03-01,NA
2017-04-01,185.553
2017-05-01,NA
2017-06-01,188.293
2017-07-01,NA
2017-08-01,186.972
2017-09-01,NA
2017-10-01,186.245
2017-11-01,NA
2017-12-01,183.923
2018-01-01,NA
2018-02-01,190.249
2018-03-01,NA
2018-04-01,196.703
2018-05-01,NA
2018-06-01,194.352
2018-07-01,NA
2018-08-01,192.194
2018-09-01,NA
2018-10-01,194.507
2018-11-01,NA
2018-12-01,189.858
2019-01-01,NA
2019-02-01,191.296
2019-03-01,NA
2019-04-01,196.125
2019-05-01,NA
2019-06-01,196.679
2019-07-01,NA
2019-08-01,192.321
2019-09-01,NA
2019-10-01,193.29
2019-11-01,NA
2019-12-01,189.792
2020-01-01,NA
2020-02-01,190.103
2020-03-01,NA
2020-04-01,179.826
2020-05-01,NA
2020-06-01,180.075
2020-07-01,NA
2020-08-01,185.465
2020-09-01,NA
2020-10-01,184.531
2020-11-01,NA
2020-12-01,182.28
2021-01-01,NA
2021-02-01,187.55
2021-03-01,NA
2021-04-01,194.627
2021-05-01,NA
2021-06-01,204.359
2021-07-01,NA
2021-08-01,207.507
2021-09-01,NA
2021-10-01,207.279
2021-11-01,NA
2021-12-01,207.501
2022-01-01,NA
2022-02-01,213.57
2022-03-01,NA
2022-04-01,222.981
2022-05-01,NA
2022-06-01,239.6
2022-07-01,NA
2022-08-01,228.551
2022-09-01,NA
2022-10-01,233.647
2022-11-01,NA
2022-12-01,216.686
2023-01-01,NA
2023-02-01,222.166
2023-03-01,NA
2023-04-01,228.781
2023-05-01,NA
2023-06-01,231.536
2023-07-01,NA
2023-08-01,235.994
2023-09-01,NA
2023-10-01,234.973
