"Date","CUUR0200SAT"
1966-12-01,33.3
1967-01-01,NA
1967-02-01,NA
1967-03-01,33.4
1967-04-01,NA
1967-05-01,NA
1967-06-01,33.9
1967-07-01,NA
1967-08-01,NA
1967-09-01,34.2
1967-10-01,NA
1967-11-01,NA
1967-12-01,34.8
1968-01-01,NA
1968-02-01,NA
1968-03-01,35.1
1968-04-01,NA
1968-05-01,NA
1968-06-01,35.2
1968-07-01,NA
1968-08-01,NA
1968-09-01,35.1
1968-10-01,NA
1968-11-01,NA
1968-12-01,35.3
1969-01-01,NA
1969-02-01,NA
1969-03-01,36.6
1969-04-01,NA
1969-05-01,NA
1969-06-01,36.8
1969-07-01,NA
1969-08-01,NA
1969-09-01,36.4
1969-10-01,NA
1969-11-01,NA
1969-12-01,37.2
1970-01-01,NA
1970-02-01,NA
1970-03-01,37
1970-04-01,NA
1970-05-01,NA
1970-06-01,38.3
1970-07-01,NA
1970-08-01,NA
1970-09-01,38.3
1970-10-01,NA
1970-11-01,NA
1970-12-01,40.1
1971-01-01,NA
1971-02-01,NA
1971-03-01,40
1971-04-01,NA
1971-05-01,NA
1971-06-01,40.6
1971-07-01,NA
1971-08-01,NA
1971-09-01,40.4
1971-10-01,NA
1971-11-01,NA
1971-12-01,40.3
1972-01-01,NA
1972-02-01,NA
1972-03-01,40
1972-04-01,NA
1972-05-01,NA
1972-06-01,40.6
1972-07-01,NA
1972-08-01,NA
1972-09-01,40.9
1972-10-01,NA
1972-11-01,NA
1972-12-01,40.9
1973-01-01,NA
1973-02-01,NA
1973-03-01,41.2
1973-04-01,NA
1973-05-01,NA
1973-06-01,42.4
1973-07-01,NA
1973-08-01,NA
1973-09-01,42.1
1973-10-01,NA
1973-11-01,NA
1973-12-01,43.1
1974-01-01,NA
1974-02-01,NA
1974-03-01,44.9
1974-04-01,NA
1974-05-01,NA
1974-06-01,47.4
1974-07-01,NA
1974-08-01,NA
1974-09-01,48.5
1974-10-01,NA
1974-11-01,NA
1974-12-01,48.6
1975-01-01,NA
1975-02-01,NA
1975-03-01,48.8
1975-04-01,NA
1975-05-01,NA
1975-06-01,50.5
1975-07-01,NA
1975-08-01,NA
1975-09-01,52.2
1975-10-01,NA
1975-11-01,NA
1975-12-01,52.5
1976-01-01,NA
1976-02-01,NA
1976-03-01,52.8
1976-04-01,NA
1976-05-01,NA
1976-06-01,55.3
1976-07-01,NA
1976-08-01,NA
1976-09-01,56.4
1976-10-01,NA
1976-11-01,NA
1976-12-01,57.3
1977-01-01,NA
1977-02-01,NA
1977-03-01,58.4
1977-04-01,NA
1977-05-01,NA
1977-06-01,60.1
1977-07-01,NA
1977-08-01,NA
1977-09-01,59.7
1977-10-01,NA
1977-11-01,NA
1977-12-01,59.8
1978-01-01,NA
1978-02-01,59.9
1978-03-01,NA
1978-04-01,60.5
1978-05-01,NA
1978-06-01,62.2
1978-07-01,NA
1978-08-01,63
1978-09-01,NA
1978-10-01,63.5
1978-11-01,NA
1978-12-01,64.6
1979-01-01,NA
1979-02-01,65.7
1979-03-01,NA
1979-04-01,68.1
1979-05-01,NA
1979-06-01,71.4
1979-07-01,NA
1979-08-01,73.6
1979-09-01,NA
1979-10-01,74.8
1979-11-01,NA
1979-12-01,76.6
1980-01-01,NA
1980-02-01,80
1980-03-01,NA
1980-04-01,82.7
1980-05-01,NA
1980-06-01,83.9
1980-07-01,NA
1980-08-01,84.4
1980-09-01,NA
1980-10-01,85.5
1980-11-01,NA
1980-12-01,87.5
1981-01-01,NA
1981-02-01,90.9
1981-03-01,NA
1981-04-01,92.1
1981-05-01,NA
1981-06-01,93.7
1981-07-01,NA
1981-08-01,94.9
1981-09-01,NA
1981-10-01,96.1
1981-11-01,NA
1981-12-01,97
1982-01-01,NA
1982-02-01,96.2
1982-03-01,NA
1982-04-01,94.6
1982-05-01,NA
1982-06-01,98.5
1982-07-01,NA
1982-08-01,99.1
1982-09-01,NA
1982-10-01,98.3
1982-11-01,NA
1982-12-01,98.2
1983-01-01,NA
1983-02-01,96.4
1983-03-01,NA
1983-04-01,97.2
1983-05-01,NA
1983-06-01,98.9
1983-07-01,NA
1983-08-01,100.6
1983-09-01,NA
1983-10-01,101.5
1983-11-01,NA
1983-12-01,101.8
1984-01-01,NA
1984-02-01,101.5
1984-03-01,NA
1984-04-01,102.8
1984-05-01,NA
1984-06-01,103.9
1984-07-01,NA
1984-08-01,103.6
1984-09-01,NA
1984-10-01,104.5
1984-11-01,NA
1984-12-01,104.5
1985-01-01,NA
1985-02-01,103.8
1985-03-01,NA
1985-04-01,106
1985-05-01,NA
1985-06-01,106.6
1985-07-01,NA
1985-08-01,106.2
1985-09-01,NA
1985-10-01,106
1985-11-01,NA
1985-12-01,107.3
1986-01-01,NA
1986-02-01,104.3
1986-03-01,NA
1986-04-01,99
1986-05-01,NA
1986-06-01,101.7
1986-07-01,NA
1986-08-01,98.8
1986-09-01,NA
1986-10-01,99.2
1986-11-01,NA
1986-12-01,100.6
1987-01-01,101.9
1987-02-01,101.7
1987-03-01,101.9
1987-04-01,103
1987-05-01,103.5
1987-06-01,104.3
1987-07-01,104.9
1987-08-01,105.4
1987-09-01,105.2
1987-10-01,105.9
1987-11-01,106.8
1987-12-01,106.3
1988-01-01,105.2
1988-02-01,104.7
1988-03-01,104.5
1988-04-01,105.4
1988-05-01,106.7
1988-06-01,106.8
1988-07-01,107.1
1988-08-01,108.4
1988-09-01,108.1
1988-10-01,108.1
1988-11-01,109.1
1988-12-01,109
1989-01-01,109.1
1989-02-01,110
1989-03-01,110.2
1989-04-01,113.7
1989-05-01,115.2
1989-06-01,114.9
1989-07-01,114.2
1989-08-01,112.6
1989-09-01,112.4
1989-10-01,113.5
1989-11-01,113.9
1989-12-01,113.6
1990-01-01,116.3
1990-02-01,115.4
1990-03-01,114.7
1990-04-01,115.9
1990-05-01,116.2
1990-06-01,116.7
1990-07-01,116
1990-08-01,119.5
1990-09-01,121.8
1990-10-01,124.6
1990-11-01,125
1990-12-01,124.6
1991-01-01,122.7
1991-02-01,121.4
1991-03-01,120.2
1991-04-01,121.1
1991-05-01,122.5
1991-06-01,122.4
1991-07-01,121.6
1991-08-01,122.1
1991-09-01,121.5
1991-10-01,121.8
1991-11-01,123.4
1991-12-01,123.1
1992-01-01,121.4
1992-02-01,120.7
1992-03-01,121.5
1992-04-01,123
1992-05-01,124.4
1992-06-01,124.7
1992-07-01,124.1
1992-08-01,123.7
1992-09-01,124
1992-10-01,125.1
1992-11-01,126.1
1992-12-01,125.2
1993-01-01,124.8
1993-02-01,125.3
1993-03-01,125.3
1993-04-01,126.7
1993-05-01,127.7
1993-06-01,127.5
1993-07-01,126.8
1993-08-01,126.7
1993-09-01,126.4
1993-10-01,128.1
1993-11-01,128.4
1993-12-01,127.4
1994-01-01,127.2
1994-02-01,128.2
1994-03-01,128.3
1994-04-01,129.5
1994-05-01,129.9
1994-06-01,131.3
1994-07-01,132.6
1994-08-01,134.4
1994-09-01,133.8
1994-10-01,133.2
1994-11-01,134.3
1994-12-01,133.9
1995-01-01,134
1995-02-01,134.5
1995-03-01,135.7
1995-04-01,137.6
1995-05-01,138.8
1995-06-01,139.5
1995-07-01,137.8
1995-08-01,136.5
1995-09-01,136.3
1995-10-01,136.8
1995-11-01,136.5
1995-12-01,136.2
1996-01-01,137.5
1996-02-01,138.2
1996-03-01,139.6
1996-04-01,141.4
1996-05-01,142.5
1996-06-01,141.4
1996-07-01,141.1
1996-08-01,140.3
1996-09-01,141.2
1996-10-01,142.4
1996-11-01,143.9
1996-12-01,144.5
1997-01-01,143.9
1997-02-01,143.2
1997-03-01,142.6
1997-04-01,142.5
1997-05-01,142.8
1997-06-01,142.6
1997-07-01,141.7
1997-08-01,142.5
1997-09-01,142
1997-10-01,142.1
1997-11-01,141.4
1997-12-01,140.7
1998-01-01,140.3
1998-02-01,140.5
1998-03-01,140.4
1998-04-01,140.6
1998-05-01,141.2
1998-06-01,140.6
1998-07-01,140.6
1998-08-01,139.8
1998-09-01,139.4
1998-10-01,140.2
1998-11-01,140.2
1998-12-01,138.9
1999-01-01,139.2
1999-02-01,138.5
1999-03-01,139.7
1999-04-01,142.8
1999-05-01,142.9
1999-06-01,142.2
1999-07-01,143.7
1999-08-01,144.3
1999-09-01,145.7
1999-10-01,145.8
1999-11-01,146.8
1999-12-01,147.5
2000-01-01,148.3
2000-02-01,150.2
2000-03-01,153
2000-04-01,150.9
2000-05-01,152.6
2000-06-01,159
2000-07-01,153.7
2000-08-01,150.3
2000-09-01,154.2
2000-10-01,153.1
2000-11-01,154.9
2000-12-01,153.3
2001-01-01,155.2
2001-02-01,155.5
2001-03-01,153.1
2001-04-01,157.1
2001-05-01,162
2001-06-01,159
2001-07-01,152.1
2001-08-01,154
2001-09-01,159.5
2001-10-01,152.3
2001-11-01,150.5
2001-12-01,149.3
2002-01-01,149.3
2002-02-01,148.6
2002-03-01,151.3
2002-04-01,154.3
2002-05-01,154.5
