"Date","APU0200FC1101"
1998-01-01,1.687
1998-02-01,1.667
1998-03-01,1.734
1998-04-01,1.681
1998-05-01,1.676
1998-06-01,1.654
1998-07-01,1.658
1998-08-01,1.674
1998-09-01,1.67
1998-10-01,1.652
1998-11-01,1.689
1998-12-01,1.673
1999-01-01,1.655
1999-02-01,1.707
1999-03-01,1.673
1999-04-01,1.704
1999-05-01,1.701
1999-06-01,1.737
1999-07-01,1.679
1999-08-01,1.727
1999-09-01,1.726
1999-10-01,1.778
1999-11-01,1.756
1999-12-01,1.78
2000-01-01,1.755
2000-02-01,1.783
2000-03-01,1.802
2000-04-01,1.851
2000-05-01,1.868
2000-06-01,1.861
2000-07-01,1.839
2000-08-01,1.886
2000-09-01,1.846
2000-10-01,1.852
2000-11-01,1.898
2000-12-01,1.888
2001-01-01,1.946
2001-02-01,1.974
2001-03-01,1.979
2001-04-01,1.975
2001-05-01,1.963
2001-06-01,2.017
2001-07-01,2.021
2001-08-01,2.034
2001-09-01,2.034
2001-10-01,2.029
2001-11-01,1.998
2001-12-01,1.996
2002-01-01,1.969
2002-02-01,2.016
2002-03-01,2.035
2002-04-01,1.984
2002-05-01,2.156
2002-06-01,2.084
2002-07-01,2.105
2002-08-01,2.14
2002-09-01,2.048
2002-10-01,2.14
2002-11-01,2.075
2002-12-01,2.096
2003-01-01,2.125
2003-02-01,2.218
2003-03-01,2.22
2003-04-01,2.24
2003-05-01,2.267
2003-06-01,2.256
2003-07-01,2.213
2003-08-01,2.241
2003-09-01,2.287
2003-10-01,2.27
2003-11-01,2.505
2003-12-01,2.55
2004-01-01,2.507
2004-02-01,2.519
2004-03-01,2.48
2004-04-01,2.364
2004-05-01,2.405
2004-06-01,2.437
2004-07-01,2.487
2004-08-01,2.522
2004-09-01,2.578
2004-10-01,2.544
2004-11-01,2.565
2004-12-01,2.534
2005-01-01,2.598
2005-02-01,2.679
2005-03-01,2.693
2005-04-01,2.743
2005-05-01,2.734
2005-06-01,2.752
2005-07-01,2.74
2005-08-01,2.745
2005-09-01,2.813
2005-10-01,2.757
2005-11-01,2.748
2005-12-01,2.71
2006-01-01,2.719
2006-02-01,2.695
2006-03-01,2.69
2006-04-01,2.688
2006-05-01,2.686
2006-06-01,2.653
2006-07-01,2.604
2006-08-01,2.651
2006-09-01,2.655
2006-10-01,2.661
2006-11-01,2.627
2006-12-01,2.584
2007-01-01,2.601
2007-02-01,2.646
2007-03-01,2.718
2007-04-01,2.677
2007-05-01,2.588
2007-06-01,2.548
2007-07-01,2.514
2007-08-01,2.554
2007-09-01,2.576
2007-10-01,2.606
2007-11-01,2.658
2007-12-01,2.562
2008-01-01,2.697
2008-02-01,2.692
2008-03-01,2.71
2008-04-01,2.712
2008-05-01,2.697
2008-06-01,2.715
2008-07-01,2.772
2008-08-01,2.849
2008-09-01,2.832
2008-10-01,2.876
2008-11-01,2.869
2008-12-01,2.864
2009-01-01,2.849
2009-02-01,2.883
2009-03-01,2.84
2009-04-01,2.831
2009-05-01,2.78
2009-06-01,2.796
2009-07-01,2.768
2009-08-01,2.79
2009-09-01,2.771
2009-10-01,2.71
2009-11-01,2.762
2009-12-01,2.772
2010-01-01,2.741
2010-02-01,2.813
2010-03-01,2.778
2010-04-01,2.802
2010-05-01,2.838
2010-06-01,2.947
2010-07-01,2.893
2010-08-01,2.868
2010-09-01,2.86
2010-10-01,2.928
2010-11-01,2.86
2010-12-01,2.847
2011-01-01,2.944
2011-02-01,3.048
2011-03-01,3.116
2011-04-01,3.162
2011-05-01,3.246
2011-06-01,3.251
2011-07-01,3.238
2011-08-01,3.268
2011-09-01,3.248
2011-10-01,3.349
2011-11-01,3.299
2011-12-01,3.361
2012-01-01,3.401
2012-02-01,3.426
2012-03-01,3.501
2012-04-01,3.461
